customer_id,age,monthly_income_rub,visits_per_month,avg_session_minutes,support_requests_3m,purchases_last_3m,days_since_last_purchase
CUST0093,50,72918,9,14.5,2,2,22
CUST0094,39,86517,8,12.6,1,4,25
CUST0095,44,26007,3,4.4,2,1,83
CUST0096,47,52491,12,12.8,2,3,18
CUST0097,40,107352,6,14.1,1,4,14
CUST0098,24,47835,1,5.6,1,2,69
CUST0099,34,46826,2,5.1,0,1,47
CUST0100,64,136396,19,26.4,1,8,8
CUST0101,43,162677,15,21.4,1,9,2
CUST0102,32,85510,6,9.7,1,5,20
CUST0103,28,40727,3,4.7,0,0,65
CUST0104,44,226739,15,21.6,0,8,7
CUST0105,53,82744,9,14.3,1,3,8
CUST0106,29,92025,8,10.8,1,2,31
CUST0107,53,108037,9,9.9,1,4,24
CUST0108,25,29022,2,6.9,1,1,61
CUST0109,35,46559,1,6.5,1,1,76
CUST0110,42,148907,17,19.3,1,10,12
CUST0111,38,71180,8,10.6,0,3,23
CUST0112,21,67286,2,5.6,1,2,88
CUST0113,28,31907,4,6.7,2,0,58
CUST0114,46,64527,10,14.2,0,4,26
CUST0115,25,39054,2,4.7,1,1,78
CUST0116,48,115056,20,21.0,1,11,1
CUST0117,37,92722,8,13.5,2,5,22
CUST0118,47,100312,7,13.5,2,6,18
CUST0119,38,72122,10,13.3,1,4,22
CUST0120,33,90175,11,8.7,0,2,24
CUST0121,43,79735,9,11.3,1,5,19
CUST0122,41,67648,10,9.6,2,5,26
CUST0123,31,38662,3,6.8,1,1,55
CUST0124,43,118942,12,8.4,1,6,21
CUST0125,28,32427,3,3.2,2,2,61
CUST0126,35,80694,6,13.0,1,3,20
CUST0127,26,47571,1,5.5,2,1,78
CUST0128,30,25000,4,1.0,1,2,68
CUST0129,33,25000,4,5.4,1,1,58
CUST0130,24,83542,7,14.8,0,6,24
CUST0131,22,30528,3,3.7,0,1,47
CUST0132,41,217025,19,21.7,0,8,8
CUST0133,28,85418,8,12.4,1,4,22
CUST0134,28,41202,2,6.7,1,1,73
CUST0135,44,59709,9,15.5,1,4,20
CUST0136,22,39391,3,4.3,1,0,77
CUST0137,54,167284,20,21.9,1,8,14
CUST0138,41,94029,6,14.5,1,3,32
CUST0139,52,100540,9,15.5,1,4,19
CUST0140,27,34890,3,5.4,1,0,80
CUST0141,34,110931,8,13.5,1,4,29
CUST0142,30,94713,11,13.5,2,3,14
CUST0143,51,167658,16,23.3,0,11,16
CUST0144,34,61036,8,9.6,0,6,26
CUST0145,36,105432,9,13.2,1,4,14
CUST0146,27,30424,2,5.6,0,0,78
CUST0147,27,51201,3,5.4,1,1,79
CUST0148,39,103100,9,13.7,2,3,11
CUST0149,24,78578,10,11.4,1,6,17
CUST0150,29,46467,3,5.8,2,1,73
CUST0151,53,179433,19,18.6,1,9,8
CUST0152,50,192780,19,28.0,1,10,5
CUST0153,32,44871,4,5.4,1,3,78
CUST0154,30,104985,8,12.3,1,5,18
CUST0155,30,44992,2,6.5,1,1,59
CUST0156,42,109955,14,8.2,1,3,18
CUST0157,19,45015,3,6.2,2,1,67
CUST0158,23,73961,6,12.0,1,3,38
CUST0159,30,74013,9,12.4,0,4,24
CUST0160,33,87170,9,13.3,2,4,21
CUST0161,24,49113,3,7.4,3,0,72
CUST0162,43,126375,19,18.7,1,8,4
CUST0163,30,61672,3,6.2,1,0,94
CUST0164,26,41188,2,5.0,2,0,52
CUST0165,33,64685,8,11.9,2,3,23
CUST0166,46,71080,10,12.5,2,5,7
CUST0167,46,177417,21,22.8,1,6,6
CUST0168,52,188618,19,11.8,0,12,5
CUST0169,27,51944,3,6.2,2,1,104
CUST0170,51,194678,22,19.7,1,10,15
CUST0171,25,37588,2,1.4,1,1,65
CUST0172,48,94182,10,12.6,2,4,27
CUST0173,29,62109,2,6.1,2,2,72
CUST0174,32,203218,19,24.0,0,7,8
CUST0175,27,66906,3,7.1,2,2,69
CUST0176,31,33271,2,4.5,3,2,81
CUST0177,39,71037,5,12.3,1,5,35
CUST0178,45,177488,25,25.4,1,8,4
CUST0179,46,162015,23,19.9,0,10,5
CUST0180,35,102645,6,10.9,1,3,13
CUST0181,47,114018,21,16.0,1,8,4
CUST0182,43,180306,18,23.9,1,8,4
CUST0183,35,52044,8,10.0,2,2,14
CUST0184,22,36311,3,2.0,0,1,94
CUST0185,47,123710,8,12.0,2,2,31
CUST0186,36,74671,7,12.6,2,4,24
CUST0187,43,103109,14,11.2,1,5,30
CUST0188,30,34551,2,5.6,2,1,46
CUST0189,27,87526,7,10.5,1,3,33
CUST0190,24,38100,3,6.4,1,1,44
CUST0191,46,212229,17,21.7,1,9,7
CUST0192,35,41979,3,4.4,2,0,87
CUST0193,18,37067,4,6.3,2,2,79
CUST0194,58,174328,21,20.1,0,12,8
CUST0195,23,42098,4,6.3,0,1,97
CUST0196,38,48141,2,4.9,2,1,88
CUST0197,39,87200,11,10.1,0,5,28
CUST0198,45,185474,19,19.5,1,12,2
CUST0199,26,38097,0,6.1,1,0,84
CUST0200,29,42414,4,8.0,2,0,75
CUST0201,41,126367,10,15.2,1,4,27
CUST0202,56,200680,17,23.9,1,10,8
CUST0203,49,94950,10,10.2,2,5,29
CUST0204,34,44582,1,7.1,1,2,71
CUST0205,21,33064,2,6.7,1,0,84
CUST0206,18,35889,2,6.9,1,2,62
CUST0207,28,37031,2,7.5,3,0,71
CUST0208,37,90085,11,14.7,1,4,29
CUST0209,26,33275,2,7.7,1,2,65
CUST0210,29,59634,11,10.2,1,3,26
CUST0211,41,73867,8,11.2,0,3,25
CUST0212,37,79508,10,15.2,1,5,22
CUST0213,30,26039,3,7.3,1,2,62
CUST0214,35,158765,22,15.3,0,7,7
CUST0215,45,97924,9,12.9,0,5,16
CUST0216,39,87180,10,5.7,1,4,24
CUST0217,20,40727,3,5.7,2,2,57
CUST0218,18,43616,2,4.9,1,1,98
CUST0219,38,209912,18,20.9,0,7,6
CUST0220,31,100361,8,8.1,2,5,31
CUST0221,31,45523,2,3.1,2,2,55
CUST0222,44,103951,8,8.4,1,5,20
CUST0223,52,103211,10,14.1,1,4,23
CUST0224,51,152941,20,18.0,1,8,9
CUST0225,27,42097,2,4.6,1,2,70
CUST0226,55,182565,20,20.2,1,8,6
CUST0227,21,34300,3,8.1,0,1,53
CUST0228,34,81459,9,10.8,0,5,29
CUST0229,40,100815,7,12.0,1,6,37
CUST0230,21,50826,3,4.0,2,1,80
CUST0231,27,40489,4,6.4,2,1,57
CUST0232,44,105615,9,15.1,2,4,18
CUST0233,48,156170,17,16.6,1,8,16
CUST0234,42,114469,9,13.3,0,3,16
CUST0235,32,130622,18,18.5,1,9,10
CUST0236,47,172890,20,21.4,1,8,5
CUST0237,32,79404,7,14.2,1,3,30
CUST0238,46,81406,8,12.1,2,4,16
CUST0239,38,41989,0,6.0,3,2,98
CUST0240,22,44018,1,4.5,1,2,83
CUST0241,45,145600,21,24.5,1,8,0
CUST0242,34,77988,12,14.8,1,4,23
CUST0243,29,48534,4,3.7,2,1,37
CUST0244,42,91820,9,16.3,0,4,26
CUST0245,25,112558,8,16.5,1,5,24
CUST0246,48,173267,17,20.6,0,13,7
CUST0247,40,68858,8,12.5,2,4,34
CUST0248,37,128243,8,10.3,0,7,30
CUST0249,43,121458,6,11.4,1,2,31
CUST0250,56,84348,8,12.3,2,3,20
CUST0251,21,70393,12,12.9,1,4,24
CUST0252,42,172096,19,22.7,0,10,10
CUST0253,37,76642,9,14.8,1,3,21
CUST0254,29,46705,3,7.6,2,0,59
CUST0255,20,38024,2,4.5,1,2,75
CUST0256,35,90066,9,13.0,2,3,30
CUST0257,53,197958,17,21.0,0,7,10
CUST0258,28,37298,2,6.6,1,0,74
CUST0259,23,50436,2,8.2,1,2,63
CUST0260,29,81644,10,14.3,1,4,29
CUST0261,22,44116,4,7.9,2,1,82
CUST0262,42,132532,20,21.6,1,10,8
CUST0263,29,35464,3,6.5,1,1,63
CUST0264,34,51591,3,8.5,1,3,69
CUST0265,50,186725,19,26.3,1,9,4
CUST0266,23,35011,5,5.1,0,1,71
CUST0267,31,36196,3,4.2,1,0,55
CUST0268,32,42353,3,2.9,2,1,81
CUST0269,18,35591,3,6.5,1,0,62
CUST0270,18,34603,3,3.7,1,2,54
CUST0271,24,36836,4,5.0,2,1,67
CUST0272,33,37064,3,5.4,2,0,86
CUST0273,34,62106,4,7.6,2,0,46
CUST0274,30,88996,10,8.8,1,6,16
CUST0275,42,107557,10,14.0,0,5,18
CUST0276,41,95391,7,9.0,2,4,32
CUST0277,32,38666,3,4.5,3,0,67
CUST0278,40,115790,8,12.9,0,4,22
CUST0279,45,160385,18,15.2,0,11,1
CUST0280,60,184983,18,24.9,0,11,3
CUST0281,20,40045,3,4.8,2,1,81
CUST0282,24,43363,3,8.6,2,2,115
CUST0283,31,32919,2,4.7,2,1,74
CUST0284,26,35970,4,6.7,0,1,74
CUST0285,40,99363,9,10.5,1,4,24
CUST0286,38,85498,9,13.1,0,2,22
CUST0287,31,28785,2,5.9,2,1,59
CUST0288,44,77108,8,6.1,1,3,17
CUST0289,19,93448,7,13.1,0,4,22
CUST0290,25,28173,1,4.6,1,1,81
CUST0291,46,170872,20,26.6,0,9,8
CUST0292,18,37402,1,2.9,1,0,80
CUST0293,46,116685,18,22.2,1,8,10
CUST0294,31,57040,3,5.4,0,0,74
CUST0295,48,167993,21,21.4,1,9,7
CUST0296,67,174756,20,22.6,2,10,2
CUST0297,48,131739,20,19.0,1,9,13
CUST0298,48,155290,22,20.0,0,11,5
CUST0299,43,121053,10,15.2,0,4,17
CUST0300,38,67397,7,9.0,1,6,34
CUST0301,45,65275,8,14.4,1,2,28
CUST0302,33,42165,2,6.8,2,2,84
CUST0303,40,91432,9,9.3,0,4,26
CUST0304,46,107269,9,13.3,1,6,28
CUST0305,59,160287,20,22.6,0,10,3
CUST0306,40,85128,10,11.9,1,5,19
CUST0307,25,75272,12,12.8,0,2,23
CUST0308,48,95630,10,9.1,2,4,30
CUST0309,29,40613,3,5.1,1,2,87
CUST0310,22,31337,4,2.9,2,1,69
CUST0311,31,101483,9,9.2,1,6,36
CUST0312,41,103613,10,13.7,1,4,20
CUST0313,28,47018,1,6.5,3,1,71
CUST0314,29,93251,8,10.8,1,6,37
CUST0315,57,83159,8,8.1,2,5,41
CUST0316,27,49254,1,7.7,2,1,81
CUST0317,34,60356,11,14.6,1,4,22
CUST0318,30,106833,9,16.4,1,3,33
CUST0319,34,36124,2,5.2,1,1,91
CUST0320,37,208284,19,19.1,1,7,11
CUST0321,48,202167,20,23.6,1,10,8
CUST0322,30,90068,9,12.9,1,4,23
CUST0323,20,26390,3,6.2,2,1,45
CUST0324,29,99773,8,12.2,1,5,25
CUST0325,49,133469,20,28.9,1,10,7
CUST0326,48,77363,8,11.6,0,3,24
CUST0327,42,178581,18,20.5,1,9,6
CUST0328,36,91289,8,10.1,1,5,27
CUST0329,43,104961,11,11.8,2,4,28
CUST0330,22,48312,5,4.9,2,1,65
CUST0331,34,64600,8,8.2,1,7,21
CUST0332,22,53694,2,4.6,1,2,69
CUST0333,36,69650,10,8.1,1,5,26
CUST0334,56,189042,20,23.8,1,8,3
CUST0335,33,33573,2,6.2,1,0,77
CUST0336,48,119198,7,11.3,1,6,21
CUST0337,24,48499,1,5.2,0,0,84
CUST0338,32,86469,10,14.2,0,3,25
CUST0339,28,39256,2,5.1,2,0,71
CUST0340,45,189928,22,20.8,1,8,6
CUST0341,28,31872,2,8.7,1,0,92
CUST0342,47,156714,19,16.9,1,9,13
CUST0343,47,236227,21,18.6,1,8,3
CUST0344,23,71613,9,11.1,1,3,29
CUST0345,24,72519,10,15.7,1,5,24
CUST0346,28,69540,10,9.5,1,2,26
CUST0347,50,197130,17,21.2,0,8,6
CUST0348,18,25000,1,6.4,0,0,97
CUST0349,43,100600,6,11.5,0,7,13
CUST0350,18,54173,5,4.8,1,0,69
CUST0351,39,96322,10,11.3,0,5,24
CUST0352,18,29092,2,3.9,2,1,87
CUST0353,47,97515,9,15.3,1,4,18
CUST0354,37,110926,5,11.9,1,3,41
CUST0355,38,57954,8,14.2,1,3,33
CUST0356,34,86168,8,9.8,0,3,17
CUST0357,39,117212,8,12.7,1,4,29
CUST0358,35,84279,7,10.2,1,3,27
CUST0359,40,73454,8,10.5,1,3,31
CUST0360,27,94051,11,12.6,2,6,22
CUST0361,42,195323,20,21.8,1,12,8
CUST0362,32,39111,3,5.8,2,0,50
CUST0363,23,47712,2,5.8,1,1,80
CUST0364,27,61789,2,4.5,1,1,70
CUST0365,30,87610,9,10.8,1,4,30
CUST0366,33,99153,10,13.9,1,5,23
CUST0367,32,79945,9,12.9,1,4,23
CUST0368,36,87435,12,9.3,1,1,21
CUST0369,33,49745,3,4.9,2,1,61
CUST0370,53,224190,19,18.7,0,10,2
CUST0371,41,86485,10,12.4,1,6,22
CUST0372,34,55218,3,6.3,2,1,80
CUST0373,47,105594,8,10.4,1,5,17
CUST0374,26,51090,2,5.2,1,2,61
CUST0375,20,36518,4,5.8,1,1,70
CUST0376,24,54780,1,5.6,3,1,48
CUST0377,50,143189,17,19.3,1,11,10
CUST0378,27,98532,7,11.5,1,3,17
CUST0379,46,99712,9,10.4,0,3,27
CUST0380,31,109272,9,8.9,2,4,27
CUST0381,32,123946,11,13.8,1,3,33
CUST0382,36,111937,20,18.6,0,10,13
CUST0383,38,104203,11,11.2,1,4,28
CUST0384,38,112077,11,13.1,2,4,35
CUST0385,28,78970,10,12.9,2,3,30
CUST0386,41,201601,22,22.8,1,9,7
CUST0387,31,73222,8,12.5,1,4,28
CUST0388,46,153730,20,15.5,0,11,2
CUST0389,24,44626,4,4.8,2,1,65
CUST0390,56,160213,16,17.8,1,12,8
CUST0391,36,83947,7,15.1,0,5,21
CUST0392,22,35879,2,6.1,1,0,60
CUST0393,41,85817,8,15.7,1,3,32
CUST0394,38,90004,9,16.6,1,1,26
CUST0395,29,44213,2,5.4,2,1,59
CUST0396,38,66069,9,9.9,1,5,27
CUST0397,60,134011,23,24.1,1,8,7
CUST0398,25,25000,4,5.4,1,1,77
CUST0399,41,98305,9,9.5,1,2,17
CUST0400,35,82834,13,12.8,1,4,20
CUST0401,29,40387,2,6.6,0,1,56
CUST0402,32,125642,19,19.6,0,12,8
CUST0403,43,83913,8,13.3,0,6,25
CUST0404,21,31542,3,5.6,1,0,54
CUST0405,43,205224,19,24.8,0,9,7
CUST0406,47,184406,17,20.5,0,11,8
CUST0407,33,48888,1,4.5,1,2,74
CUST0408,37,163617,15,22.6,1,12,10
CUST0409,18,33337,3,2.3,1,0,73
CUST0410,48,201409,19,18.7,1,7,8
CUST0411,33,85715,8,12.5,1,4,32
CUST0412,42,89807,8,17.3,1,4,19
CUST0413,22,46613,3,4.7,2,1,75
CUST0414,49,166536,17,26.1,0,10,6
CUST0415,22,33271,3,3.4,1,0,75
CUST0416,33,30230,3,4.4,3,2,58
CUST0417,25,40475,4,4.4,2,2,83
CUST0418,24,73100,10,11.7,1,5,16
CUST0419,22,54883,3,5.9,3,0,72
CUST0420,50,136228,21,24.2,1,6,4
CUST0421,18,109885,9,10.2,2,3,19
CUST0422,36,45237,3,6.7,1,1,62
CUST0423,30,43062,0,5.8,2,1,71
CUST0424,18,44802,3,7.1,2,0,38
CUST0425,35,102818,9,14.8,1,5,28
CUST0426,44,187061,23,21.7,1,10,10
CUST0427,34,59014,3,5.6,1,1,70
CUST0428,57,135355,18,21.3,2,8,5
CUST0429,18,32975,5,6.4,1,1,73
CUST0430,50,150965,21,18.9,0,6,2
CUST0431,50,133815,11,17.9,0,8,12
CUST0432,37,89323,7,11.9,1,4,22
CUST0433,41,82830,9,11.8,0,4,20
CUST0434,45,179741,17,28.6,1,11,9
CUST0435,18,37984,3,5.7,2,2,77
CUST0436,20,56527,3,4.6,1,1,62
CUST0437,25,36663,4,5.9,2,0,70
CUST0438,37,107265,9,13.7,1,2,26
CUST0439,41,84422,8,13.2,1,3,32
CUST0440,51,103897,8,12.6,1,1,18
CUST0441,49,194366,18,17.8,1,8,7
CUST0442,18,38504,2,4.3,2,2,71
CUST0443,37,88746,9,12.6,1,3,17
CUST0444,28,46547,1,8.2,1,1,84
CUST0445,28,67717,3,7.9,2,1,58
CUST0446,50,93200,4,11.3,1,4,29
CUST0447,47,165820,18,24.7,0,10,7
CUST0448,38,121699,10,8.2,0,5,23
CUST0449,29,49615,2,4.9,2,1,72
CUST0450,27,121631,8,10.7,1,4,21
CUST0451,28,25000,4,5.3,2,0,65
CUST0452,43,184710,17,19.6,1,11,1
CUST0453,29,77014,6,10.4,0,3,32
CUST0454,20,28175,1,5.4,2,2,81
CUST0455,25,40189,5,2.9,1,2,51
CUST0456,25,27636,3,6.5,2,0,73
CUST0457,63,167488,16,21.5,0,7,4
CUST0458,42,98367,7,10.8,1,3,22
CUST0459,39,115483,9,14.6,1,2,16
CUST0460,37,99834,11,12.7,1,2,24
CUST0461,54,109849,10,9.9,1,4,19
CUST0462,20,52771,3,2.9,1,1,86
CUST0463,49,130808,15,24.4,1,10,11
CUST0464,21,57582,3,4.9,1,1,49
CUST0465,40,81654,9,10.3,1,6,34
CUST0466,44,108079,8,11.8,0,5,38
CUST0467,42,75534,8,13.4,1,3,19
CUST0468,40,156353,20,20.5,0,11,0
CUST0469,27,47054,4,4.4,2,1,48
CUST0470,41,96239,9,10.9,1,2,24
CUST0471,41,107239,8,13.7,1,3,22
CUST0472,41,93754,6,8.4,1,3,26
CUST0473,18,57069,3,4.9,1,1,55
CUST0474,33,38394,1,4.9,0,1,70
CUST0475,33,49385,4,5.4,2,0,82
CUST0476,20,42049,2,6.1,0,0,91
CUST0477,37,106312,10,12.3,2,3,24
CUST0478,34,91165,9,9.7,1,3,22
CUST0479,21,104254,8,14.7,1,4,37
CUST0480,38,96646,9,13.9,1,3,20
CUST0481,43,110875,7,10.4,0,6,26
CUST0482,26,46583,2,7.1,3,0,58
CUST0483,46,87831,9,10.2,2,4,22
CUST0484,25,42095,3,8.0,2,2,69
CUST0485,28,29196,2,5.4,1,2,79
CUST0486,38,75014,9,12.0,0,3,22
CUST0487,33,97501,9,5.7,1,5,12
CUST0488,22,42019,1,7.9,1,1,91
CUST0489,32,97918,8,7.3,1,2,35
CUST0490,32,59769,7,14.2,2,5,23
CUST0491,54,86980,13,15.1,0,3,19
CUST0492,61,72764,9,13.4,1,4,17
CUST0493,40,99123,12,14.1,1,3,20
CUST0494,24,33578,1,3.0,1,0,58
CUST0495,41,101843,8,11.0,1,3,19
CUST0496,42,104810,5,15.0,1,5,27
CUST0497,40,85012,11,8.5,1,6,20
CUST0498,40,78219,9,13.9,1,5,30
CUST0499,63,106872,10,10.1,1,6,36
CUST0500,27,97794,7,8.7,1,5,30
CUST0501,30,88320,6,7.6,1,3,30
CUST0502,52,147809,14,21.4,0,8,13
CUST0503,41,188614,20,22.1,0,8,10
CUST0504,30,95423,13,12.2,2,3,24
CUST0505,31,77047,11,14.6,2,6,25
CUST0506,43,74280,7,13.1,1,4,32
CUST0507,18,44280,3,3.2,1,0,72
CUST0508,42,178690,20,22.2,1,9,12
CUST0509,44,104277,10,14.5,1,4,25
CUST0510,22,31321,4,6.3,1,1,76
CUST0511,25,41956,3,2.6,1,1,70
CUST0512,61,156578,20,27.0,0,12,7
CUST0513,28,41409,2,5.6,2,1,68
CUST0514,34,35995,2,6.1,3,2,54
CUST0515,25,56439,1,3.1,1,1,81
CUST0516,30,52581,1,7.3,1,2,53
CUST0517,33,27732,3,3.9,2,2,90
CUST0518,48,63708,10,14.1,1,3,31
CUST0519,26,48439,2,4.5,2,2,104
CUST0520,40,191489,17,19.0,0,9,8
CUST0521,38,183922,19,24.5,0,6,7
CUST0522,36,76074,12,9.7,1,5,11
CUST0523,32,47023,2,3.9,1,0,79
CUST0524,40,104793,8,10.9,1,4,26
CUST0525,30,49980,2,6.5,1,1,92
CUST0526,53,78737,7,10.4,1,1,23
CUST0527,50,149381,20,23.2,0,8,0
CUST0528,48,140420,18,17.3,1,10,8
CUST0529,48,65342,8,11.1,1,4,34
CUST0530,31,47762,2,6.8,1,0,78
CUST0531,37,78494,10,11.9,1,4,16
CUST0532,42,70604,9,12.8,1,3,24
CUST0533,45,95399,7,13.6,1,5,20
CUST0534,39,97899,8,9.0,2,7,27
CUST0535,30,54070,1,5.3,2,2,67
CUST0536,33,41256,3,4.8,1,2,77
CUST0537,29,81167,9,10.8,1,4,17
CUST0538,32,45538,3,6.0,1,0,76
CUST0539,35,47695,3,5.4,1,1,73
CUST0540,54,147003,17,25.4,1,8,7
CUST0541,51,230909,19,23.0,0,8,11
CUST0542,45,61572,10,16.2,0,6,5
CUST0543,31,176599,22,22.1,1,8,1
CUST0544,55,113315,15,18.5,0,9,8
CUST0545,30,37066,2,2.6,1,1,74
CUST0546,35,94579,11,11.8,1,4,19
CUST0547,41,90452,8,11.3,1,2,27
CUST0548,23,59058,2,4.2,1,0,93
CUST0549,30,118980,8,11.4,2,5,39
CUST0550,33,60448,8,14.5,1,4,17
CUST0551,41,92667,8,13.9,0,4,42
CUST0552,26,37836,4,6.2,2,2,72
CUST0553,28,26605,2,7.2,1,0,72
CUST0554,45,116679,20,23.0,0,11,9
CUST0555,30,46686,3,2.8,0,0,70
CUST0556,33,52336,2,5.9,1,1,77
CUST0557,30,36638,4,5.0,2,1,95
CUST0558,47,99362,9,14.4,3,4,25
CUST0559,33,85546,6,9.4,1,4,36
CUST0560,32,111995,11,12.1,1,5,17
CUST0561,25,43848,2,6.1,1,0,82
CUST0562,24,33345,2,4.7,1,2,79
CUST0563,53,154259,20,20.2,1,10,6
CUST0564,36,59754,10,14.1,3,4,20
CUST0565,39,77019,9,7.6,2,3,24
CUST0566,35,89819,10,15.2,1,5,34
CUST0567,46,107168,10,8.8,0,4,29
CUST0568,34,52792,4,3.9,2,1,49
CUST0569,41,122284,9,17.4,1,4,15
CUST0570,32,110499,11,14.5,1,4,24
CUST0571,29,59774,3,5.1,2,2,100
CUST0572,46,179977,23,22.3,1,9,6
CUST0573,51,86164,9,10.1,1,6,35
CUST0574,36,98448,10,12.1,1,5,22
CUST0575,66,133686,16,18.1,1,10,9
CUST0576,32,86094,9,8.5,0,3,29
CUST0577,35,126427,21,12.7,1,6,10
CUST0578,63,53629,10,8.0,1,4,25
CUST0579,37,197282,18,16.8,1,9,13
CUST0580,26,43089,4,6.2,2,1,71
CUST0581,34,80967,8,8.9,1,6,23
CUST0582,42,87418,8,12.4,1,1,30
CUST0583,21,28771,3,7.9,2,0,75
CUST0584,42,42226,10,9.8,0,4,27
CUST0585,53,166221,17,18.1,1,7,10
CUST0586,24,87652,10,9.1,1,4,19
CUST0587,29,56574,4,6.1,1,1,68
CUST0588,31,61198,2,3.5,1,2,71
CUST0589,31,40575,2,4.9,1,2,71
CUST0590,20,39895,4,4.7,1,1,79
CUST0591,52,183701,16,18.1,0,7,9
CUST0592,18,122887,7,16.5,0,3,9
CUST0593,20,29647,3,6.6,3,1,75
CUST0594,33,97431,11,14.2,0,5,24
CUST0595,23,57680,3,5.8,1,3,90
CUST0596,25,43312,2,6.2,3,0,56
CUST0597,53,106027,11,11.4,1,2,29
CUST0598,41,86626,9,12.4,2,2,29
CUST0599,33,161451,23,26.0,1,12,7
CUST0600,33,79159,5,14.8,1,3,16
CUST0601,54,63426,8,9.7,2,4,20
CUST0602,50,98751,10,6.1,1,6,33
CUST0603,39,209488,20,18.7,1,5,4
