customer_id,age,monthly_income_rub,visits_per_month,avg_session_minutes,support_requests_3m,purchases_last_3m,days_since_last_purchase,monthly_spend_rub,premium_buyer
CUST0257,53,197958,17,21.0,0,7,10,10806.79,1
CUST0258,28,37298,2,6.6,1,0,74,1567.36,0
CUST0259,23,50436,2,8.2,1,2,63,4143.11,0
CUST0260,29,81644,10,14.3,1,4,29,5938.62,0
CUST0261,22,44116,4,7.9,2,1,82,1018.35,0
CUST0262,42,132532,20,21.6,1,10,8,12652.7,1
CUST0263,29,35464,3,6.5,1,1,63,1119.82,0
CUST0264,34,51591,3,8.5,1,3,69,3342.55,0
CUST0265,50,186725,19,26.3,1,9,4,13063.77,1
CUST0266,23,35011,5,5.1,0,1,71,2167.86,0
CUST0267,31,36196,3,4.2,1,0,55,1846.11,0
CUST0268,32,42353,3,2.9,2,1,81,1528.37,0
CUST0269,18,35591,3,6.5,1,0,62,657.93,0
CUST0270,18,34603,3,3.7,1,2,54,1964.38,0
CUST0271,24,36836,4,5.0,2,1,67,1896.78,0
CUST0272,33,37064,3,5.4,2,0,86,951.53,0
CUST0273,34,62106,4,7.6,2,0,46,1922.73,0
CUST0274,30,88996,10,8.8,1,6,16,7819.23,0
CUST0275,42,107557,10,14.0,0,5,18,7340.64,1
CUST0276,41,95391,7,9.0,2,4,32,5315.02,0
CUST0277,32,38666,3,4.5,3,0,67,768.32,0
CUST0278,40,115790,8,12.9,0,4,22,5629.5,0
CUST0279,45,160385,18,15.2,0,11,1,12283.56,1
CUST0280,60,184983,18,24.9,0,11,3,14750.96,1
CUST0281,20,40045,3,4.8,2,1,81,1634.7,0
CUST0282,24,43363,3,8.6,2,2,115,2159.1,0
CUST0283,31,32919,2,4.7,2,1,74,2023.88,0
CUST0284,26,35970,4,6.7,0,1,74,2316.47,0
CUST0285,40,99363,9,10.5,1,4,24,4302.8,0
CUST0286,38,85498,9,13.1,0,2,22,5309.46,0
CUST0287,31,28785,2,5.9,2,1,59,1320.33,0
CUST0288,44,77108,8,6.1,1,3,17,4779.71,1
CUST0289,19,93448,7,13.1,0,4,22,6080.7,0
CUST0290,25,28173,1,4.6,1,1,81,667.78,0
CUST0291,46,170872,20,26.6,0,9,8,12569.79,1
CUST0292,18,37402,1,2.9,1,0,80,889.16,0
CUST0293,46,116685,18,22.2,1,8,10,9151.99,1
CUST0294,31,57040,3,5.4,0,0,74,934.37,0
CUST0295,48,167993,21,21.4,1,9,7,13214.54,1
CUST0296,67,174756,20,22.6,2,10,2,14164.56,0
CUST0297,48,131739,20,19.0,1,9,13,13040.22,1
CUST0298,48,155290,22,20.0,0,11,5,13443.13,1
CUST0299,43,121053,10,15.2,0,4,17,6621.35,0
CUST0300,38,67397,7,9.0,1,6,34,4543.56,0
CUST0301,45,65275,8,14.4,1,2,28,2272.07,0
CUST0302,33,42165,2,6.8,2,2,84,2790.14,0
CUST0303,40,91432,9,9.3,0,4,26,6993.47,0
CUST0304,46,107269,9,13.3,1,6,28,6367.93,0
CUST0305,59,160287,20,22.6,0,10,3,12347.39,0
CUST0306,40,85128,10,11.9,1,5,19,6543.59,1
CUST0307,25,75272,12,12.8,0,2,23,6105.9,0
CUST0308,48,95630,10,9.1,2,4,30,5024.3,0
CUST0309,29,40613,3,5.1,1,2,87,1275.3,0
CUST0310,22,31337,4,2.9,2,1,69,1609.35,0
CUST0311,31,101483,9,9.2,1,6,36,7584.44,1
CUST0312,41,103613,10,13.7,1,4,20,4686.79,0
CUST0313,28,47018,1,6.5,3,1,71,1541.98,0
CUST0314,29,93251,8,10.8,1,6,37,7165.44,1
CUST0315,57,83159,8,8.1,2,5,41,4528.77,0
CUST0316,27,49254,1,7.7,2,1,81,698.9,0
CUST0317,34,60356,11,14.6,1,4,22,5931.44,0
CUST0318,30,106833,9,16.4,1,3,33,6143.17,0
CUST0319,34,36124,2,5.2,1,1,91,1269.97,0
CUST0320,37,208284,19,19.1,1,7,11,11078.02,0
CUST0321,48,202167,20,23.6,1,10,8,13335.08,1
CUST0322,30,90068,9,12.9,1,4,23,4525.56,0
CUST0323,20,26390,3,6.2,2,1,45,500.0,0
CUST0324,29,99773,8,12.2,1,5,25,6114.87,0
CUST0325,49,133469,20,28.9,1,10,7,10925.5,1
CUST0326,48,77363,8,11.6,0,3,24,4166.73,0
CUST0327,42,178581,18,20.5,1,9,6,12537.34,1
CUST0328,36,91289,8,10.1,1,5,27,6452.93,0
CUST0329,43,104961,11,11.8,2,4,28,6393.07,0
CUST0330,22,48312,5,4.9,2,1,65,3137.4,0
CUST0331,34,64600,8,8.2,1,7,21,5534.06,0
CUST0332,22,53694,2,4.6,1,2,69,1816.28,0
CUST0333,36,69650,10,8.1,1,5,26,6458.47,0
CUST0334,56,189042,20,23.8,1,8,3,12484.06,1
CUST0335,33,33573,2,6.2,1,0,77,500.0,0
CUST0336,48,119198,7,11.3,1,6,21,6953.21,0
CUST0337,24,48499,1,5.2,0,0,84,692.56,0
CUST0338,32,86469,10,14.2,0,3,25,5342.41,0
CUST0339,28,39256,2,5.1,2,0,71,805.45,0
CUST0340,45,189928,22,20.8,1,8,6,12902.81,1
CUST0341,28,31872,2,8.7,1,0,92,774.23,0
CUST0342,47,156714,19,16.9,1,9,13,11662.95,1
CUST0343,47,236227,21,18.6,1,8,3,12529.97,1
CUST0344,23,71613,9,11.1,1,3,29,3749.84,1
CUST0345,24,72519,10,15.7,1,5,24,5539.9,0
CUST0346,28,69540,10,9.5,1,2,26,3749.34,0
CUST0347,50,197130,17,21.2,0,8,6,11249.36,1
CUST0348,18,25000,1,6.4,0,0,97,500.0,0
CUST0349,43,100600,6,11.5,0,7,13,6839.14,0
CUST0350,18,54173,5,4.8,1,0,69,1078.2,0
CUST0351,39,96322,10,11.3,0,5,24,7465.9,1
CUST0352,18,29092,2,3.9,2,1,87,1171.67,0
CUST0353,47,97515,9,15.3,1,4,18,6781.84,0
CUST0354,37,110926,5,11.9,1,3,41,4863.4,0
CUST0355,38,57954,8,14.2,1,3,33,5646.39,0
CUST0356,34,86168,8,9.8,0,3,17,3747.87,0
CUST0357,39,117212,8,12.7,1,4,29,6825.76,1
CUST0358,35,84279,7,10.2,1,3,27,5760.16,0
CUST0359,40,73454,8,10.5,1,3,31,4416.31,0
CUST0360,27,94051,11,12.6,2,6,22,7038.59,0
CUST0361,42,195323,20,21.8,1,12,8,14463.73,1
CUST0362,32,39111,3,5.8,2,0,50,500.0,0
CUST0363,23,47712,2,5.8,1,1,80,1944.53,0
CUST0364,27,61789,2,4.5,1,1,70,1720.55,0
CUST0365,30,87610,9,10.8,1,4,30,5552.65,1
CUST0366,33,99153,10,13.9,1,5,23,7021.95,1
CUST0367,32,79945,9,12.9,1,4,23,3805.02,1
CUST0368,36,87435,12,9.3,1,1,21,3800.53,0
CUST0369,33,49745,3,4.9,2,1,61,500.0,0
CUST0370,53,224190,19,18.7,0,10,2,14204.21,1
CUST0371,41,86485,10,12.4,1,6,22,7802.12,1
CUST0372,34,55218,3,6.3,2,1,80,931.59,0
CUST0373,47,105594,8,10.4,1,5,17,6909.9,1
CUST0374,26,51090,2,5.2,1,2,61,2614.93,0
CUST0375,20,36518,4,5.8,1,1,70,4513.26,0
CUST0376,24,54780,1,5.6,3,1,48,1313.51,0
CUST0377,50,143189,17,19.3,1,11,10,12910.01,1
CUST0378,27,98532,7,11.5,1,3,17,5104.57,0
CUST0379,46,99712,9,10.4,0,3,27,5626.95,0
CUST0380,31,109272,9,8.9,2,4,27,6217.49,0
CUST0381,32,123946,11,13.8,1,3,33,5288.37,0
CUST0382,36,111937,20,18.6,0,10,13,12869.99,1
CUST0383,38,104203,11,11.2,1,4,28,6086.54,0
CUST0384,38,112077,11,13.1,2,4,35,6723.52,0
CUST0385,28,78970,10,12.9,2,3,30,5974.55,0
CUST0386,41,201601,22,22.8,1,9,7,13639.49,1
CUST0387,31,73222,8,12.5,1,4,28,4843.77,1
CUST0388,46,153730,20,15.5,0,11,2,13988.08,1
CUST0389,24,44626,4,4.8,2,1,65,963.83,0
CUST0390,56,160213,16,17.8,1,12,8,12958.97,1
CUST0391,36,83947,7,15.1,0,5,21,6035.26,0
CUST0392,22,35879,2,6.1,1,0,60,1949.96,0
CUST0393,41,85817,8,15.7,1,3,32,4481.7,0
CUST0394,38,90004,9,16.6,1,1,26,4190.27,0
CUST0395,29,44213,2,5.4,2,1,59,4088.05,0
CUST0396,38,66069,9,9.9,1,5,27,6343.39,0
CUST0397,60,134011,23,24.1,1,8,7,11032.91,0
CUST0398,25,25000,4,5.4,1,1,77,506.31,0
CUST0399,41,98305,9,9.5,1,2,17,4042.4,0
CUST0400,35,82834,13,12.8,1,4,20,4352.57,0
CUST0401,29,40387,2,6.6,0,1,56,3230.75,0
CUST0402,32,125642,19,19.6,0,12,8,13579.15,1
CUST0403,43,83913,8,13.3,0,6,25,8064.24,0
CUST0404,21,31542,3,5.6,1,0,54,898.54,0
CUST0405,43,205224,19,24.8,0,9,7,11577.05,1
CUST0406,47,184406,17,20.5,0,11,8,13750.3,1
CUST0407,33,48888,1,4.5,1,2,74,795.05,0
CUST0408,37,163617,15,22.6,1,12,10,13095.63,0
CUST0409,18,33337,3,2.3,1,0,73,500.0,0
CUST0410,48,201409,19,18.7,1,7,8,11805.73,0
CUST0411,33,85715,8,12.5,1,4,32,5029.44,0
CUST0412,42,89807,8,17.3,1,4,19,7541.3,0
CUST0413,22,46613,3,4.7,2,1,75,1408.4,0
CUST0414,49,166536,17,26.1,0,10,6,14296.26,1
CUST0415,22,33271,3,3.4,1,0,75,500.0,0
CUST0416,33,30230,3,4.4,3,2,58,1088.62,0
CUST0417,25,40475,4,4.4,2,2,83,1816.88,0
CUST0418,24,73100,10,11.7,1,5,16,6118.05,0
CUST0419,22,54883,3,5.9,3,0,72,1290.28,0
CUST0420,50,136228,21,24.2,1,6,4,10534.11,1
CUST0421,18,109885,9,10.2,2,3,19,5734.53,0
CUST0422,36,45237,3,6.7,1,1,62,2035.97,0
CUST0423,30,43062,0,5.8,2,1,71,2548.95,0
CUST0424,18,44802,3,7.1,2,0,38,949.88,0
CUST0425,35,102818,9,14.8,1,5,28,8031.09,0
CUST0426,44,187061,23,21.7,1,10,10,13166.39,1
CUST0427,34,59014,3,5.6,1,1,70,2023.45,0
CUST0428,57,135355,18,21.3,2,8,5,10233.2,1
CUST0429,18,32975,5,6.4,1,1,73,2336.76,0
CUST0430,50,150965,21,18.9,0,6,2,9406.39,1
CUST0431,50,133815,11,17.9,0,8,12,9308.16,0
CUST0432,37,89323,7,11.9,1,4,22,4795.88,0
CUST0433,41,82830,9,11.8,0,4,20,5007.75,1
CUST0434,45,179741,17,28.6,1,11,9,15232.27,1
CUST0435,18,37984,3,5.7,2,2,77,2613.79,0
CUST0436,20,56527,3,4.6,1,1,62,772.81,0
CUST0437,25,36663,4,5.9,2,0,70,1181.78,0
CUST0438,37,107265,9,13.7,1,2,26,5560.3,0
CUST0439,41,84422,8,13.2,1,3,32,4195.16,0
CUST0440,51,103897,8,12.6,1,1,18,4150.93,0
CUST0441,49,194366,18,17.8,1,8,7,11406.58,1
CUST0442,18,38504,2,4.3,2,2,71,1606.0,0
CUST0443,37,88746,9,12.6,1,3,17,3797.19,0
CUST0444,28,46547,1,8.2,1,1,84,540.91,0
CUST0445,28,67717,3,7.9,2,1,58,3088.7,0
CUST0446,50,93200,4,11.3,1,4,29,4502.08,0
CUST0447,47,165820,18,24.7,0,10,7,11492.55,1
CUST0448,38,121699,10,8.2,0,5,23,7994.66,0
CUST0449,29,49615,2,4.9,2,1,72,2261.97,0
CUST0450,27,121631,8,10.7,1,4,21,6227.54,0
CUST0451,28,25000,4,5.3,2,0,65,500.0,0
CUST0452,43,184710,17,19.6,1,11,1,12274.47,1
CUST0453,29,77014,6,10.4,0,3,32,4885.3,0
CUST0454,20,28175,1,5.4,2,2,81,848.23,0
CUST0455,25,40189,5,2.9,1,2,51,1909.22,0
CUST0456,25,27636,3,6.5,2,0,73,500.0,0
CUST0457,63,167488,16,21.5,0,7,4,10264.12,1
CUST0458,42,98367,7,10.8,1,3,22,5461.76,0
CUST0459,39,115483,9,14.6,1,2,16,4548.14,0
CUST0460,37,99834,11,12.7,1,2,24,5025.92,0
CUST0461,54,109849,10,9.9,1,4,19,6659.68,0
CUST0462,20,52771,3,2.9,1,1,86,1136.02,0
CUST0463,49,130808,15,24.4,1,10,11,12600.66,1
