date,team_id,planned_agents,active_agents,absence_count,shift_hours,backlog_start,backlog_end,incoming_tickets,resolved_tickets,avg_handle_time_min,overtime_hours,load_ts
2025-04-13,T001,18,17,1,127.5,2,3,7,6,27.5,0.6,2025-04-13 02:50:00
2025-04-04,T004,10,10,0,80.0,8,1,5,12,72.6,0.5,2025-04-04 02:03:00
2025-05-10,T025,13,12,1,90.0,6,6,6,6,24.9,0.0,2025-05-10 02:53:00
2025-05-10,T005,15,15,0,112.5,8,1,2,9,32.9,0.1,2025-05-10 02:39:00
2026-05-04,T001,20,18,2,144.0,7,3,8,12,44.2,0.0,2026-05-04 03:13:00
2025-07-30,T014,17,17,0,136.0,11,6,9,14,68.4,0.5,2025-07-30 03:04:00
2026-02-12,T007,10,9,1,72.0,7,6,6,7,32.7,0.0,2026-02-12 03:11:00
2025-01-05,T005,15,15,0,112.5,9,5,7,11,37.9,0.8,2025-01-05 03:44:00
2026-05-10,T005,15,15,0,112.5,4,0,6,11,41.0,0.0,2026-05-10 02:08:00
2026-05-18,T004,10,9,1,72.0,10,4,7,13,55.3,0.3,2026-05-18 02:06:00
2025-02-19,T008,7,6,1,48.0,6,0,1,7,62.2,0.7,2025-02-19 02:09:00
2025-06-11,T006,17,17,0,136.0,8,6,7,9,75.7,0.6,2025-06-11 02:11:00
2026-01-15,T018,13,13,0,104.0,9,3,7,13,34.0,0.0,2026-01-15 02:30:00
2025-08-25,T004,10,10,0,80.0,6,4,3,5,70.2,0.4,2025-08-25 02:03:00
2025-02-17,T013,17,17,0,136.0,7,1,9,15,30.3,0.5,2025-02-17 03:17:00
2025-08-04,T011,8,8,0,64.0,6,3,7,10,33.1,0.7,2025-08-04 03:19:00
2026-01-02,T017,12,12,0,96.0,11,2,10,19,31.6,0.0,2026-01-02 02:45:00
2026-06-28,T014,15,13,2,97.5,5,0,8,16,37.7,0.0,2026-06-28 02:59:00
2026-05-22,T031,15,13,2,104.0,8,7,4,5,37.0,0.5,2026-05-22 03:50:00
2025-10-30,T021,20,19,1,152.0,4,0,7,13,43.0,0.6,2025-10-30 03:26:00
2025-10-23,T022,16,13,3,104.0,13,8,5,10,55.6,0.0,2025-10-23 02:19:00
2025-06-20,T001,20,20,0,160.0,4,0,8,13,20.5,0.2,2025-06-20 03:25:00
2026-04-29,T028,6,6,0,48.0,8,1,1,8,61.4,0.5,2026-04-29 02:03:00
2026-06-03,T026,10,10,0,80.0,7,6,6,7,51.0,0.0,2026-06-03 02:05:00
2025-03-09,T015,16,15,1,112.5,3,3,1,1,35.5,0.0,2025-03-09 03:12:00
2026-01-23,T031,15,15,0,120.0,9,7,8,10,55.6,0.1,2026-01-23 03:30:00
2025-08-05,T022,16,16,0,128.0,1,4,4,1,57.0,0.7,2025-08-05 02:47:00
2025-02-07,T006,17,15,2,120.0,10,5,10,15,39.0,0.0,2025-02-07 03:59:00
2025-09-16,T023,18,17,1,136.0,12,9,15,18,52.2,0.4,2025-09-16 03:43:00
2025-10-19,T015,16,16,0,120.0,3,0,1,6,41.8,0.8,2025-10-19 02:53:00
2025-11-27,T005,17,15,2,120.0,2,4,2,0,38.6,0.2,2025-11-27 03:27:00
2025-09-22,T019,12,11,1,88.0,8,6,5,7,47.7,0.2,2025-09-22 03:27:00
2025-03-07,T025,15,12,3,96.0,6,0,10,16,28.7,1.1,2025-03-07 02:43:00
2026-06-04,T026,10,10,0,80.0,7,3,5,9,54.0,0.6,2026-06-04 02:57:00
2026-04-18,T008,5,5,0,37.5,3,0,1,5,52.1,0.0,2026-04-18 03:56:00
2025-05-04,T019,10,9,1,67.5,7,3,1,5,26.6,0.1,2025-05-04 03:42:00
2025-10-03,T025,15,11,4,88.0,6,0,7,15,32.0,0.0,2025-10-03 03:23:00
2025-12-17,T016,14,14,0,112.0,5,0,2,7,96.8,0.6,2025-12-17 03:27:00
2025-12-02,T006,17,16,1,128.0,9,10,15,14,41.2,1.2,2025-12-02 02:54:00
2026-03-23,T015,18,18,0,144.0,6,5,7,8,51.2,1.6,2026-03-23 03:14:00
2025-09-06,T010,12,10,2,75.0,4,0,2,8,39.4,0.4,2025-09-06 03:38:00
2025-05-21,T029,20,19,1,152.0,7,5,6,8,33.3,0.0,2025-05-21 02:59:00
2025-10-26,T011,6,6,0,45.0,5,1,3,7,37.3,0.0,2025-10-26 02:26:00
2025-05-14,T028,6,6,0,48.0,8,9,5,4,58.0,0.5,2025-05-14 03:39:00
2025-08-07,T001,20,19,1,152.0,13,8,9,14,26.3,0.6,2025-08-07 03:43:00
2025-03-03,T005,17,17,0,136.0,6,1,5,10,45.2,0.6,2025-03-03 03:21:00
2025-02-07,T018,13,12,1,96.0,12,5,4,11,62.2,0.5,2025-02-07 03:34:00
2025-05-12,T027,8,5,3,40.0,4,8,7,3,49.3,0.0,2025-05-12 02:45:00
2026-05-28,T032,11,10,1,80.0,5,0,6,13,56.8,0.2,2026-05-28 03:39:00
2025-10-17,T012,10,10,0,80.0,1,2,3,2,92.3,0.1,2025-10-17 02:32:00
2025-11-24,T007,10,9,1,72.0,2,0,3,5,48.4,0.1,2025-11-24 02:20:00
2026-04-15,T016,14,12,2,96.0,7,2,4,9,70.4,0.4,2026-04-15 02:41:00
2025-02-02,T003,9,8,1,60.0,5,4,4,5,45.6,0.5,2025-02-02 03:46:00
2025-12-15,T003,11,10,1,80.0,8,5,2,5,38.3,0.8,2025-12-15 03:25:00
2025-06-15,T030,8,8,0,60.0,5,2,8,11,58.5,0.0,2025-06-15 02:36:00
2026-04-05,T015,16,15,1,112.5,5,0,5,11,54.0,0.0,2026-04-05 02:02:00
2026-01-03,T023,16,15,1,112.5,7,9,4,2,54.4,0.0,2026-01-03 02:50:00
2025-01-01,T019,12,12,0,96.0,8,6,6,8,41.1,0.4,2025-01-01 02:05:00
2026-06-09,T017,12,11,1,88.0,8,5,5,8,23.1,0.0,2026-06-09 02:53:00
2025-08-06,T032,11,11,0,88.0,6,1,1,6,73.5,0.8,2025-08-06 02:19:00
2025-05-07,T003,11,9,2,72.0,10,11,5,4,52.4,1.4,2025-05-07 03:10:00
2025-08-09,T029,18,18,0,135.0,5,0,2,10,32.3,0.3,2025-08-09 03:28:00
2026-01-05,T002,15,13,2,104.0,3,0,6,20,60.0,0.0,2026-01-05 03:58:00
2025-01-19,T005,15,15,0,112.5,10,5,9,14,23.7,0.0,2025-01-19 02:46:00
2025-12-05,T002,15,14,1,112.0,10,4,5,11,69.2,0.0,2025-12-05 03:15:00
2026-06-17,T015,18,18,0,144.0,9,8,8,9,51.9,0.5,2026-06-17 03:32:00
2026-04-25,T030,8,8,0,60.0,8,8,5,5,43.9,0.5,2026-04-25 02:19:00
2025-04-14,T012,10,7,3,56.0,8,4,9,13,61.7,0.0,2025-04-14 03:10:00
2025-03-08,T016,12,11,1,82.5,5,0,2,9,68.1,0.5,2025-03-08 02:43:00
2026-04-27,T019,12,12,0,96.0,9,6,5,8,55.5,0.5,2026-04-27 02:36:00
2025-03-01,T001,18,18,0,135.0,7,0,9,19,24.7,0.2,2025-03-01 02:34:00
2025-09-28,T021,18,18,0,135.0,7,6,7,8,35.1,0.2,2025-09-28 02:18:00
2025-07-15,T029,20,20,0,160.0,10,10,8,8,21.5,0.0,2025-07-15 02:02:00
2025-08-24,T005,15,15,0,112.5,6,3,3,6,43.9,0.0,2025-08-24 03:03:00
2026-04-01,T025,15,14,1,112.0,8,1,5,12,43.9,0.1,2026-04-01 03:49:00
2025-07-08,T020,16,16,0,128.0,6,6,6,6,53.5,0.0,2025-07-08 03:04:00
2026-06-10,T003,11,11,0,88.0,7,1,1,7,47.2,0.0,2026-06-10 03:36:00
2026-03-02,T031,15,14,1,112.0,5,0,10,15,50.4,0.0,2026-03-02 03:32:00
2025-09-16,T012,10,10,0,80.0,14,4,6,16,84.9,0.4,2025-09-16 02:46:00
2025-08-06,T018,13,12,1,96.0,5,6,6,5,54.5,0.3,2025-08-06 02:03:00
2026-04-28,T002,15,13,2,104.0,13,3,5,15,75.4,1.1,2026-04-28 02:19:00
2026-01-05,T003,11,9,2,72.0,4,0,5,10,28.8,0.3,2026-01-05 03:24:00
2025-12-04,T004,10,9,1,72.0,6,4,4,6,83.3,0.5,2025-12-04 03:09:00
2025-10-14,T012,10,10,0,80.0,9,9,9,9,60.1,0.6,2025-10-14 03:03:00
2026-05-25,T011,8,11,0,64.0,3,0,1,4,23.7,0.0,2026-05-25 03:55:00
2026-05-18,T002,15,15,0,120.0,8,4,11,15,36.1,1.0,2026-05-18 02:21:00
2025-08-17,T024,14,14,0,105.0,8,8,4,4,67.5,0.3,2025-08-17 03:12:00
2025-12-23,T030,10,10,0,80.0,8,4,8,12,56.7,1.8,2025-12-23 03:38:00
2026-05-29,T013,17,14,3,112.0,3,3,5,5,18.5,0.0,2026-05-29 03:37:00
2025-06-13,T032,11,10,1,80.0,3,3,1,1,55.2,0.0,2025-06-13 02:30:00
2025-02-21,T014,17,16,1,128.0,10,6,7,11,37.4,0.2,2025-02-21 03:41:00
2025-11-15,T006,15,15,0,112.5,7,6,10,11,75.4,0.0,2025-11-15 02:20:00
2026-06-08,T009,13,13,0,104.0,5,0,3,9,36.9,0.5,2026-06-08 02:31:00
2025-10-06,T032,11,10,1,80.0,9,6,3,6,62.9,0.8,2025-10-06 03:37:00
2026-02-05,T004,10,10,0,80.0,4,1,4,7,96.5,0.3,2026-02-05 03:05:00
2026-02-22,T003,9,8,1,60.0,5,0,2,8,23.5,0.1,2026-02-22 03:03:00
2026-04-06,T026,10,9,1,72.0,6,2,8,12,52.9,0.7,2026-04-06 02:29:00
2025-05-10,T022,14,12,2,90.0,3,0,4,9,74.2,0.0,2025-05-10 03:11:00
2025-12-16,T027,8,8,0,64.0,9,3,2,8,25.8,0.0,2025-12-16 03:13:00
2025-05-12,T028,6,6,0,48.0,8,1,4,11,89.2,0.0,2025-05-12 02:42:00
2025-05-17,T026,8,8,0,60.0,8,7,4,5,46.7,0.6,2025-05-17 03:37:00
2026-06-21,T024,14,13,1,97.5,9,8,2,3,67.6,0.0,2026-06-21 02:24:00
2026-05-24,T031,13,12,1,90.0,5,0,5,10,23.8,0.8,2026-05-24 03:54:00
2025-06-14,T021,18,18,0,135.0,10,5,7,12,35.8,0.0,2025-06-14 03:25:00
2025-02-07,T029,20,20,0,160.0,10,10,4,4,25.9,0.0,2025-02-07 02:11:00
2025-11-29,T007,8,8,0,60.0,3,0,6,9,46.8,0.9,2025-11-29 02:24:00
2026-03-06,T004,10,10,0,80.0,10,2,8,16,78.8,0.3,2026-03-06 03:14:00
2026-03-02,T029,20,20,0,160.0,14,13,12,13,23.9,0.9,2026-03-02 02:06:00
2025-08-05,T025,15,15,0,120.0,6,4,9,11,42.7,1.1,2025-08-05 03:02:00
2026-06-13,T010,12,12,0,90.0,4,1,3,6,39.3,0.2,2026-06-13 02:55:00
2025-10-28,T011,8,8,0,64.0,5,0,2,9,47.2,0.1,2025-10-28 02:27:00
2025-06-14,T029,18,18,0,135.0,8,3,5,10,37.6,0.0,2025-06-14 03:17:00
2025-10-03,T030,10,9,1,72.0,7,8,5,4,64.3,0.0,2025-10-03 02:26:00
2025-09-16,T021,20,20,0,160.0,7,7,11,11,38.1,0.7,2025-09-16 03:26:00
2025-01-07,T022,16,14,2,112.0,6,0,6,12,65.2,0.8,2025-01-07 02:46:00
2025-12-08,T023,18,18,0,144.0,10,7,5,8,55.2,0.7,2025-12-08 03:53:00
2026-03-04,T001,20,20,0,160.0,5,1,6,10,32.6,0.4,2026-03-04 03:22:00
2026-03-08,T006,15,14,1,105.0,6,8,4,2,41.0,0.6,2026-03-08 03:00:00
2025-10-10,T017,12,12,0,96.0,10,1,9,18,31.0,0.4,2025-10-10 02:46:00
2025-04-13,T009,11,10,1,75.0,1,0,7,8,34.3,0.5,2025-04-13 02:01:00
2025-02-16,T010,12,11,1,82.5,6,2,3,7,57.1,0.0,2025-02-16 03:32:00
2025-01-31,T018,13,12,1,96.0,7,6,7,8,55.6,0.3,2025-01-31 02:30:00
2025-10-24,T002,15,15,0,120.0,5,0,3,10,35.9,0.9,2025-10-24 03:42:00
2026-02-08,T006,15,13,2,97.5,9,7,9,11,48.0,0.7,2026-02-08 02:23:00
2025-02-27,T018,13,13,0,104.0,9,0,10,19,64.8,0.0,2025-02-27 03:29:00
2025-03-22,T013,15,14,1,105.0,1,0,4,5,19.1,0.0,2025-03-22 03:51:00
2025-02-10,T023,18,18,0,144.0,7,4,4,7,25.3,0.5,2025-02-10 02:18:00
2026-04-07,T009,13,13,0,104.0,6,4,8,10,27.4,0.0,2026-04-07 02:14:00
2025-10-10,T013,17,17,0,136.0,5,0,10,15,18.1,0.1,2025-10-10 02:27:00
2026-05-08,T004,10,10,0,80.0,12,7,5,10,69.9,0.0,2026-05-08 03:21:00
2026-01-05,T032,11,11,0,88.0,5,5,3,3,73.7,0.1,2026-01-05 03:08:00
2025-02-09,T030,8,6,2,45.0,4,5,6,5,42.9,0.6,2025-02-09 03:15:00
2025-10-23,T015,18,16,2,128.0,3,0,3,9,47.4,0.7,2025-10-23 03:07:00
2025-04-11,T017,12,10,2,80.0,11,6,11,16,37.2,0.5,2025-04-11 03:49:00
2026-06-25,T024,16,16,0,128.0,8,6,2,4,84.1,0.7,2026-06-25 02:36:00
2025-07-03,T012,10,8,2,64.0,4,3,1,2,59.4,0.0,2025-07-03 02:53:00
2026-03-16,T027,8,7,1,56.0,4,0,3,8,47.3,0.5,2026-03-16 02:32:00
2026-06-26,T027,8,6,2,48.0,7,6,6,7,36.5,0.3,2026-06-26 02:32:00
2025-01-31,T015,18,18,0,144.0,5,3,5,7,22.2,0.0,2025-01-31 02:26:00
2026-06-05,T004,10,8,2,64.0,7,4,5,8,71.6,0.5,2026-06-05 02:36:00
2026-01-13,T005,17,15,2,120.0,11,8,8,11,19.3,0.9,2026-01-13 03:14:00
2026-02-01,T025,13,13,0,97.5,12,10,8,10,35.0,0.1,2026-02-01 02:28:00
2025-08-05,T006,17,17,0,136.0,6,5,9,10,40.3,0.4,2025-08-05 03:38:00
2026-05-11,T006,17,17,0,136.0,6,8,4,2,72.0,0.0,2026-05-11 03:41:00
2026-04-08,T024,16,16,0,128.0,7,2,5,10,95.2,0.4,2026-04-08 02:53:00
2025-06-27,T008,7,6,1,48.0,7,2,7,12,82.9,0.0,2025-06-27 03:58:00
2026-03-04,T014,17,17,0,136.0,6,2,5,9,66.7,0.0,2026-03-04 02:14:00
2025-05-13,T024,16,15,1,120.0,6,3,2,5,93.6,0.0,2025-05-13 02:06:00
2026-06-13,T027,6,6,0,45.0,6,4,2,4,54.4,0.7,2026-06-13 03:55:00
2025-01-08,T012,10,10,0,80.0,9,8,3,4,77.7,0.0,2025-01-08 02:36:00
2025-05-29,T029,20,19,1,152.0,2,4,7,5,45.6,0.0,2025-05-29 02:05:00
2025-04-18,T005,17,16,1,128.0,3,0,5,8,30.5,0.0,2025-04-18 03:00:00
2025-12-13,T016,12,11,1,82.5,9,1,2,10,56.7,0.0,2025-12-13 02:29:00
2025-02-17,T012,10,9,1,72.0,13,12,7,8,70.0,0.9,2025-02-17 02:10:00
2025-03-20,T004,10,10,0,80.0,2,0,4,7,82.8,0.5,2025-03-20 03:58:00
2025-06-18,T013,17,16,1,128.0,6,0,9,21,42.6,0.3,2025-06-18 02:53:00
2025-01-02,T006,17,14,3,112.0,9,6,11,14,38.7,0.1,2025-01-02 03:18:00
2025-07-30,T017,12,11,1,88.0,8,6,7,9,40.1,0.2,2025-07-30 03:36:00
2025-06-16,T007,10,9,1,72.0,6,4,8,10,26.4,0.0,2025-06-16 02:46:00
2026-05-28,T005,17,16,1,128.0,10,8,9,11,44.5,0.6,2026-05-28 03:13:00
2025-10-19,T028,4,4,0,30.0,3,0,3,7,68.8,0.5,2025-10-19 03:38:00
2026-04-16,T004,10,10,0,80.0,11,3,9,17,89.9,0.0,2026-04-16 03:23:00
2025-05-09,T029,20,20,0,160.0,6,3,8,11,23.6,0.0,2025-05-09 02:30:00
2025-06-06,T028,6,3,3,24.0,5,4,5,6,85.6,1.0,2025-06-06 02:58:00
2026-03-10,T032,11,11,0,88.0,7,2,5,10,86.3,0.0,2026-03-10 02:56:00
2025-03-13,T009,13,12,1,96.0,2,0,7,11,38.6,0.0,2025-03-13 03:58:00
2026-05-20,T014,17,17,0,136.0,9,10,9,8,62.2,0.0,2026-05-20 02:41:00
2025-12-10,T020,16,16,0,128.0,6,0,4,13,69.9,0.0,2025-12-10 02:44:00
2025-07-28,T020,16,15,1,120.0,10,7,3,6,95.1,0.0,2025-07-28 02:35:00
2025-02-28,T014,17,16,1,128.0,7,0,7,14,49.4,0.0,2025-02-28 03:47:00
2026-04-16,T011,8,8,0,64.0,5,0,6,20,23.1,0.5,2026-04-16 03:50:00
2026-05-13,T002,15,12,3,96.0,9,4,4,9,63.6,0.1,2026-05-13 03:45:00
2025-09-18,T022,16,16,0,128.0,8,10,10,8,45.4,1.3,2025-09-18 02:02:00
2025-12-26,T004,10,7,3,56.0,5,0,0,7,64.9,0.6,2025-12-26 02:43:00
2025-08-06,T016,14,13,1,104.0,13,11,5,7,80.0,1.2,2025-08-06 02:02:00
2025-10-07,T009,13,12,1,96.0,10,1,6,15,23.6,0.2,2025-10-07 03:19:00
2026-02-11,T016,14,13,1,104.0,7,0,3,11,81.2,0.1,2026-02-11 02:25:00
2025-02-15,T029,18,14,4,105.0,8,0,7,15,45.1,0.0,2025-02-15 03:36:00
2025-05-29,T023,18,17,1,136.0,6,5,4,5,40.3,0.0,2025-05-29 02:55:00
2026-01-01,T005,17,17,0,136.0,5,4,8,9,26.1,0.0,2026-01-01 03:46:00
2026-01-25,T003,9,9,0,67.5,7,0,4,11,26.2,0.7,2026-01-25 03:16:00
2025-07-12,T024,14,14,0,105.0,8,1,5,12,52.2,1.3,2025-07-12 03:08:00
2026-04-23,T012,10,9,1,72.0,7,6,3,4,66.1,0.1,2026-04-23 03:22:00
2025-03-03,T014,17,16,1,128.0,6,1,9,14,55.8,0.0,2025-03-03 02:28:00
2025-02-22,T012,8,7,1,52.5,4,1,4,7,52.1,0.1,2025-02-22 03:09:00
2026-01-28,T022,16,16,0,128.0,8,6,8,10,48.9,0.0,2026-01-28 03:32:00
2026-03-25,T027,8,8,0,64.0,10,3,9,16,22.8,0.0,2026-03-25 03:19:00
2025-05-25,T019,10,10,0,75.0,6,4,4,6,42.4,0.5,2025-05-25 03:59:00
2025-12-15,T024,16,15,1,120.0,5,4,5,6,85.4,0.2,2025-12-15 03:21:00
2026-06-14,T002,13,13,0,97.5,3,2,4,5,59.7,0.6,2026-06-14 02:47:00
2026-03-27,T025,15,14,1,112.0,6,0,10,16,22.5,0.0,2026-03-27 03:31:00
2025-03-12,T024,16,15,1,120.0,11,5,7,13,96.6,0.0,2025-03-12 02:21:00
2025-01-05,T006,15,13,2,97.5,7,3,4,8,60.5,0.0,2025-01-05 03:26:00
2025-03-23,T002,13,12,1,90.0,8,0,6,17,72.0,0.0,2025-03-23 02:14:00
2025-09-14,T008,5,4,1,30.0,7,5,7,9,90.4,0.1,2025-09-14 03:43:00
2025-09-23,T014,17,17,0,136.0,7,1,7,13,46.7,0.0,2025-09-23 03:46:00
2026-06-10,T004,10,10,0,80.0,9,8,5,6,89.8,0.0,2026-06-10 03:56:00
2025-07-19,T015,16,15,1,112.5,8,3,5,10,35.4,0.1,2025-07-19 02:58:00
2025-11-30,T015,16,15,1,112.5,4,0,1,6,24.6,0.2,2025-11-30 02:58:00
2025-01-13,T004,10,7,3,56.0,6,5,3,4,79.6,0.0,2025-01-13 03:43:00
2026-06-17,T025,15,15,0,120.0,6,5,6,7,27.0,0.7,2026-06-17 02:36:00
2026-06-01,T005,17,17,0,136.0,12,9,12,15,18.5,0.0,2026-06-01 03:40:00
2026-03-18,T005,17,15,2,120.0,6,3,10,13,26.4,0.4,2026-03-18 02:51:00
2025-07-29,T025,15,14,1,112.0,5,2,6,9,37.5,0.3,2025-07-29 02:41:00
2025-04-16,T005,17,17,0,136.0,4,0,10,19,24.9,0.7,2025-04-16 03:47:00
2025-01-23,T012,10,10,0,80.0,5,2,6,9,81.5,1.1,2025-01-23 02:23:00
2025-01-06,T003,11,10,1,80.0,12,4,5,13,34.3,0.4,2025-01-06 03:15:00
2025-06-01,T006,15,14,1,105.0,6,4,5,7,74.4,0.4,2025-06-01 03:19:00
2025-12-30,T011,8,8,0,64.0,7,0,5,12,29.7,0.2,2025-12-30 02:58:00
2026-06-10,T015,18,16,2,128.0,3,1,3,5,38.0,0.1,2026-06-10 03:26:00
2025-05-04,T023,16,15,1,112.5,3,1,2,4,36.7,0.3,2025-05-04 03:17:00
