batch_id,source_system,load_date,extracted_at,loaded_at,expected_rows,loaded_rows,rejected_rows,freshness_minutes,schema_version,checksum_match,load_status,error_code
BATCH-000020,portal,2025-01-04,2025-01-04 01:27:00,2025-01-04 02:28:00,68,68,0,61,1.0,1,success,
BATCH-000021,chat_platform,2025-01-04,2025-01-04 01:27:00,2025-01-04 01:40:00,29,29,0,13,1.0,1,success,
BATCH-000022,workflow,2025-01-04,2025-01-04 01:00:00,2025-01-04 01:43:00,72,72,0,43,1.0,1,success,
BATCH-000023,workforce,2025-01-04,2025-01-04 01:08:00,2025-01-04 01:30:00,82,82,0,22,1.0,1,success,
BATCH-000024,calendar,2025-01-04,2025-01-04 01:24:00,2025-01-04 01:35:00,60,60,0,11,2.0,1,success,
BATCH-000025,crm,2025-01-05,2025-01-05 01:03:00,2025-01-05 01:13:00,56,56,0,10,1.0,1,success,
BATCH-000026,portal,2025-01-05,2025-01-05 01:15:00,2025-01-05 01:56:00,187,187,0,41,1.0,1,success,
BATCH-000027,chat_platform,2025-01-05,2025-01-05 01:27:00,2025-01-05 01:42:00,81,81,0,15,2.0,1,success,
BATCH-000028,workflow,2025-01-05,2025-01-05 01:06:00,2025-01-05 02:07:00,171,171,0,61,1.0,1,success,
BATCH-000029,workforce,2025-01-05,2025-01-05 01:01:00,2025-01-05 01:56:00,166,166,0,55,1.0,1,success,
BATCH-000030,calendar,2025-01-05,2025-01-05 01:00:00,2025-01-05 01:45:00,146,146,0,45,1.0,1,success,
BATCH-000031,crm,2025-01-06,2025-01-06 01:20:00,2025-01-06 03:33:00,104,103,1,133,1.0,1,warning,LATE_ARRIVAL
BATCH-000032,portal,2025-01-06,2025-01-06 01:10:00,2025-01-06 02:01:00,153,153,0,51,1.0,1,success,
BATCH-000033,chat_platform,2025-01-06,2025-01-06 01:09:00,2025-01-06 02:10:00,236,236,0,61,1.1,1,success,
BATCH-000034,workflow,2025-01-06,2025-01-06 01:16:00,2025-01-06 02:07:00,215,215,0,51,1.0,1,success,
BATCH-000035,workforce,2025-01-06,2025-01-06 01:19:00,2025-01-06 01:50:00,227,227,0,31,1.0,1,success,
BATCH-000036,calendar,2025-01-06,2025-01-06 01:05:00,2025-01-06 01:49:00,196,196,0,44,2.0,1,success,
BATCH-000037,crm,2025-01-07,2025-01-07 01:03:00,2025-01-07 01:27:00,148,148,0,24,1.0,1,success,
BATCH-000038,portal,2025-01-07,2025-01-07 01:05:00,2025-01-07 02:00:00,161,161,0,55,1.1,1,success,
BATCH-000039,chat_platform,2025-01-07,2025-01-07 01:21:00,2025-01-07 02:04:00,190,190,0,43,1.0,1,success,
BATCH-000040,workflow,2025-01-07,2025-01-07 01:12:00,2025-01-07 01:55:00,65,65,0,43,1.0,1,success,
BATCH-000041,workforce,2025-01-07,2025-01-07 01:23:00,2025-01-07 01:50:00,159,159,0,27,1.0,1,success,
BATCH-000042,calendar,2025-01-07,2025-01-07 01:17:00,2025-01-07 01:33:00,219,219,0,16,1.0,1,success,
BATCH-000043,crm,2025-01-08,2025-01-08 01:03:00,2025-01-08 04:18:00,109,101,8,195,1.1,1,warning,LATE_ARRIVAL
BATCH-000044,portal,2025-01-08,2025-01-08 01:15:00,2025-01-08 01:44:00,235,235,0,29,1.1,1,success,
BATCH-000045,chat_platform,2025-01-08,2025-01-08 01:22:00,2025-01-08 02:09:00,111,111,0,47,1.0,1,success,
BATCH-000046,workflow,2025-01-08,2025-01-08 01:12:00,2025-01-08 01:22:00,59,59,0,10,1.0,1,success,
BATCH-000047,workforce,2025-01-08,2025-01-08 01:27:00,2025-01-08 01:42:00,142,142,0,15,1.0,1,success,
BATCH-000048,calendar,2025-01-08,2025-01-08 01:05:00,2025-01-08 01:52:00,136,136,0,47,1.1,1,success,
BATCH-000049,crm,2025-01-09,2025-01-09 01:16:00,2025-01-09 01:30:00,84,84,0,14,1.0,1,success,
BATCH-000050,portal,2025-01-09,2025-01-09 01:19:00,2025-01-09 02:11:00,44,44,0,52,1.1,1,success,
BATCH-000051,chat_platform,2025-01-09,2025-01-09 01:00:00,2025-01-09 09:44:00,150,0,150,524,1.0,0,failed,SRC_UNAVAILABLE
BATCH-000052,workflow,2025-01-09,2025-01-09 01:17:00,2025-01-09 01:28:00,119,119,0,11,1.0,1,success,
BATCH-000053,workforce,2025-01-09,2025-01-09 01:16:00,2025-01-09 01:22:00,34,34,0,6,1.0,1,success,
BATCH-000054,calendar,2025-01-09,2025-01-09 01:03:00,2025-01-09 01:08:00,251,251,0,5,1.0,1,success,
BATCH-000055,crm,2025-01-10,2025-01-10 01:02:00,2025-01-10 01:44:00,149,149,0,42,1.0,1,success,
BATCH-000056,portal,2025-01-10,2025-01-10 01:05:00,2025-01-10 01:56:00,183,183,0,51,1.1,1,success,
BATCH-000057,chat_platform,2025-01-10,2025-01-10 01:24:00,2025-01-10 01:43:00,105,105,0,19,2.0,1,success,
BATCH-000058,workflow,2025-01-10,2025-01-10 01:26:00,2025-01-10 02:00:00,154,154,0,34,1.0,1,success,
BATCH-000059,workforce,2025-01-10,2025-01-10 01:10:00,2025-01-10 01:33:00,157,157,0,23,1.0,1,success,
BATCH-000060,calendar,2025-01-10,2025-01-10 01:26:00,2025-01-10 01:58:00,172,172,0,32,1.0,1,success,
BATCH-000061,crm,2025-01-11,2025-01-11 01:27:00,2025-01-11 02:00:00,103,103,0,33,2.0,1,success,
BATCH-000062,portal,2025-01-11,2025-01-11 01:06:00,2025-01-11 04:56:00,169,162,7,230,1.0,1,warning,SCHEMA_DRIFT
BATCH-000063,chat_platform,2025-01-11,2025-01-11 01:28:00,2025-01-11 04:26:00,178,171,7,178,1.0,1,warning,ROW_REJECTED
BATCH-000064,workflow,2025-01-11,2025-01-11 01:14:00,2025-01-11 01:29:00,215,215,0,15,1.1,1,success,
BATCH-000065,workforce,2025-01-11,2025-01-11 01:20:00,2025-01-11 01:30:00,243,243,0,10,1.0,1,success,
BATCH-000066,calendar,2025-01-11,2025-01-11 01:26:00,2025-01-11 02:06:00,112,112,0,40,1.0,1,success,
BATCH-000067,crm,2025-01-12,2025-01-12 01:12:00,2025-01-12 03:05:00,169,166,3,113,1.0,1,warning,LATE_ARRIVAL
BATCH-000068,portal,2025-01-12,2025-01-12 01:14:00,2025-01-12 01:53:00,125,125,0,39,1.1,1,success,
BATCH-000069,chat_platform,2025-01-12,2025-01-12 01:15:00,2025-01-12 01:45:00,141,141,0,30,1.0,1,success,
BATCH-000070,workflow,2025-01-12,2025-01-12 01:29:00,2025-01-12 02:33:00,101,101,0,64,1.0,1,success,
BATCH-000071,workforce,2025-01-12,2025-01-12 01:24:00,2025-01-12 02:26:00,75,75,0,62,1.0,1,success,
BATCH-000072,calendar,2025-01-12,2025-01-12 01:24:00,2025-01-12 01:58:00,174,174,0,34,1.0,1,success,
BATCH-000073,crm,2025-01-13,2025-01-13 01:29:00,2025-01-13 02:03:00,154,154,0,34,1.1,1,success,
BATCH-000074,portal,2025-01-13,2025-01-13 01:16:00,2025-01-13 01:44:00,226,226,0,28,1.0,1,success,
BATCH-000075,chat_platform,2025-01-13,2025-01-13 01:01:00,2025-01-13 01:14:00,176,176,0,13,1.0,1,success,
BATCH-000076,workflow,2025-01-13,2025-01-13 01:11:00,2025-01-13 01:36:00,28,28,0,25,1.0,1,success,
BATCH-000077,workforce,2025-01-13,2025-01-13 01:24:00,2025-01-13 01:57:00,228,228,0,33,1.0,1,success,
BATCH-000078,calendar,2025-01-13,2025-01-13 01:11:00,2025-01-13 01:28:00,28,28,0,17,1.0,1,success,
BATCH-000079,crm,2025-01-14,2025-01-14 01:17:00,2025-01-14 01:59:00,235,235,0,42,1.0,1,success,
BATCH-000080,portal,2025-01-14,2025-01-14 01:19:00,2025-01-14 01:29:00,206,206,0,10,1.0,1,success,
BATCH-000081,chat_platform,2025-01-14,2025-01-14 01:13:00,2025-01-14 01:52:00,108,108,0,39,1.0,1,success,
BATCH-000082,workflow,2025-01-14,2025-01-14 01:07:00,2025-01-14 02:05:00,117,117,0,58,1.0,1,success,
BATCH-000083,workforce,2025-01-14,2025-01-14 01:23:00,2025-01-14 02:05:00,35,35,0,42,1.0,1,success,
BATCH-000084,calendar,2025-01-14,2025-01-14 01:02:00,2025-01-14 01:41:00,222,222,0,39,2.0,1,success,
BATCH-000085,crm,2025-01-15,2025-01-15 01:11:00,2025-01-15 02:03:00,222,222,0,52,1.0,1,success,
BATCH-000086,portal,2025-01-15,2025-01-15 01:03:00,2025-01-15 01:33:00,109,109,0,30,1.0,1,success,
BATCH-000087,chat_platform,2025-01-15,2025-01-15 01:13:00,2025-01-15 01:46:00,241,241,0,33,1.0,1,success,
BATCH-000088,workflow,2025-01-15,2025-01-15 01:10:00,2025-01-15 01:29:00,156,156,0,19,1.0,1,success,
BATCH-000089,workforce,2025-01-15,2025-01-15 01:21:00,2025-01-15 02:18:00,26,26,0,57,1.0,1,success,
BATCH-000090,calendar,2025-01-15,2025-01-15 01:11:00,2025-01-15 01:53:00,209,209,0,42,1.0,1,success,
BATCH-000091,crm,2025-01-16,2025-01-16 01:07:00,2025-01-16 01:15:00,46,46,0,8,1.0,1,success,
BATCH-000092,portal,2025-01-16,2025-01-16 01:20:00,2025-01-16 02:03:00,144,144,0,43,1.0,1,success,
BATCH-000093,chat_platform,2025-01-16,2025-01-16 01:04:00,2025-01-16 01:12:00,80,80,0,8,1.0,1,success,
BATCH-000094,workflow,2025-01-16,2025-01-16 01:20:00,2025-01-16 04:51:00,193,188,5,211,1.0,0,warning,ROW_REJECTED
BATCH-000095,workforce,2025-01-16,2025-01-16 01:22:00,2025-01-16 01:36:00,201,201,0,14,1.1,1,success,
BATCH-000096,calendar,2025-01-16,2025-01-16 01:13:00,2025-01-16 01:20:00,187,187,0,7,1.0,1,success,
BATCH-000097,crm,2025-01-17,2025-01-17 01:16:00,2025-01-17 01:33:00,220,220,0,17,1.0,1,success,
BATCH-000098,portal,2025-01-17,2025-01-17 01:24:00,2025-01-17 01:52:00,215,215,0,28,1.0,1,success,
BATCH-000099,chat_platform,2025-01-17,2025-01-17 01:06:00,2025-01-17 01:29:00,253,253,0,23,1.0,1,success,
BATCH-000100,workflow,2025-01-17,2025-01-17 01:06:00,2025-01-17 01:52:00,88,88,0,46,1.1,1,success,
BATCH-000101,workforce,2025-01-17,2025-01-17 01:02:00,2025-01-17 01:17:00,214,214,0,15,1.0,1,success,
BATCH-000102,calendar,2025-01-17,2025-01-17 01:07:00,2025-01-17 02:04:00,85,85,0,57,1.0,1,success,
BATCH-000103,crm,2025-01-18,2025-01-18 01:04:00,2025-01-18 01:25:00,60,60,0,21,1.0,1,success,
BATCH-000104,portal,2025-01-18,2025-01-18 01:25:00,2025-01-18 02:14:00,177,177,0,49,1.1,1,success,
BATCH-000105,chat_platform,2025-01-18,2025-01-18 01:23:00,2025-01-18 01:59:00,36,36,0,36,1.0,1,success,
BATCH-000106,workflow,2025-01-18,2025-01-18 01:20:00,2025-01-18 01:51:00,208,208,0,31,1.0,1,success,
BATCH-000107,workforce,2025-01-18,2025-01-18 01:06:00,2025-01-18 01:57:00,53,53,0,51,1.0,1,success,
BATCH-000108,calendar,2025-01-18,2025-01-18 01:15:00,2025-01-18 02:07:00,259,259,0,52,1.0,1,success,
BATCH-000109,crm,2025-01-19,2025-01-19 01:08:00,2025-01-19 01:31:00,226,226,0,23,1.0,1,success,
BATCH-000110,portal,2025-01-19,2025-01-19 01:23:00,2025-01-19 01:54:00,115,115,0,31,1.0,1,success,
BATCH-000111,chat_platform,2025-01-19,2025-01-19 01:18:00,2025-01-19 02:14:00,169,169,0,56,1.0,1,success,
BATCH-000112,workflow,2025-01-19,2025-01-19 01:22:00,2025-01-19 01:48:00,148,148,0,26,1.0,1,success,
BATCH-000113,workforce,2025-01-19,2025-01-19 01:19:00,2025-01-19 01:46:00,173,173,0,27,1.0,1,success,
BATCH-000114,calendar,2025-01-19,2025-01-19 01:28:00,2025-01-19 02:02:00,180,180,0,34,1.0,1,success,
BATCH-000115,crm,2025-01-20,2025-01-20 01:22:00,2025-01-20 01:58:00,159,159,0,36,1.0,1,success,
BATCH-000116,portal,2025-01-20,2025-01-20 01:24:00,2025-01-20 01:39:00,181,181,0,15,1.0,1,success,
BATCH-000117,chat_platform,2025-01-20,2025-01-20 01:08:00,2025-01-20 02:00:00,154,154,0,52,2.0,1,success,
BATCH-000118,workflow,2025-01-20,2025-01-20 01:25:00,2025-01-20 02:05:00,229,229,0,40,1.0,1,success,
BATCH-000119,workforce,2025-01-20,2025-01-20 01:24:00,2025-01-20 03:25:00,118,111,7,121,1.0,1,warning,ROW_REJECTED
BATCH-000120,calendar,2025-01-20,2025-01-20 01:22:00,2025-01-20 02:02:00,112,112,0,40,1.0,1,success,
BATCH-000121,crm,2025-01-21,2025-01-21 01:17:00,2025-01-21 01:49:00,201,201,0,32,1.0,1,success,
BATCH-000122,portal,2025-01-21,2025-01-21 01:20:00,2025-01-21 01:48:00,70,70,0,28,1.0,1,success,
BATCH-000123,chat_platform,2025-01-21,2025-01-21 01:20:00,2025-01-21 01:47:00,205,205,0,27,1.0,1,success,
BATCH-000124,workflow,2025-01-21,2025-01-21 01:18:00,2025-01-21 01:55:00,72,72,0,37,1.0,1,success,
BATCH-000125,workforce,2025-01-21,2025-01-21 01:15:00,2025-01-21 01:28:00,254,254,0,13,1.0,1,success,
BATCH-000126,calendar,2025-01-21,2025-01-21 01:02:00,2025-01-21 01:57:00,97,97,0,55,1.0,1,success,
BATCH-000127,crm,2025-01-22,2025-01-22 01:01:00,2025-01-22 01:44:00,106,106,0,43,1.1,1,success,
BATCH-000128,portal,2025-01-22,2025-01-22 01:28:00,2025-01-22 02:14:00,234,234,0,46,1.0,1,success,
BATCH-000129,chat_platform,2025-01-22,2025-01-22 01:07:00,2025-01-22 02:03:00,44,44,0,56,1.0,1,success,
BATCH-000130,workflow,2025-01-22,2025-01-22 01:07:00,2025-01-22 02:11:00,33,33,0,64,1.0,1,success,
BATCH-000131,workforce,2025-01-22,2025-01-22 01:19:00,2025-01-22 04:27:00,188,177,11,188,1.1,0,warning,ROW_REJECTED
BATCH-000132,calendar,2025-01-22,2025-01-22 01:18:00,2025-01-22 01:44:00,221,221,0,26,1.0,1,success,
BATCH-000133,crm,2025-01-23,2025-01-23 01:05:00,2025-01-23 01:25:00,102,102,0,20,1.0,1,success,
BATCH-000134,portal,2025-01-23,2025-01-23 01:09:00,2025-01-23 01:59:00,146,146,0,50,1.0,1,success,
BATCH-000135,chat_platform,2025-01-23,2025-01-23 01:19:00,2025-01-23 01:49:00,249,249,0,30,1.0,1,success,
BATCH-000136,workflow,2025-01-23,2025-01-23 01:10:00,2025-01-23 01:55:00,93,93,0,45,1.1,1,success,
BATCH-000137,workforce,2025-01-23,2025-01-23 01:24:00,2025-01-23 02:10:00,253,253,0,46,1.0,1,success,
BATCH-000138,calendar,2025-01-23,2025-01-23 01:23:00,2025-01-23 02:05:00,144,144,0,42,1.0,1,success,
BATCH-000139,crm,2025-01-24,2025-01-24 01:16:00,2025-01-24 01:33:00,162,162,0,17,1.0,1,success,
BATCH-000140,portal,2025-01-24,2025-01-24 01:10:00,2025-01-24 01:30:00,63,63,0,20,1.0,1,success,
BATCH-000141,chat_platform,2025-01-24,2025-01-24 01:16:00,2025-01-24 01:59:00,41,41,0,43,1.1,1,success,
BATCH-000142,workflow,2025-01-24,2025-01-24 01:22:00,2025-01-24 01:36:00,64,64,0,14,1.0,1,success,
BATCH-000143,workforce,2025-01-24,2025-01-24 01:21:00,2025-01-24 01:34:00,220,220,0,13,1.0,1,success,
BATCH-000144,calendar,2025-01-24,2025-01-24 01:21:00,2025-01-24 02:20:00,100,100,0,59,1.0,1,success,
BATCH-000145,crm,2025-01-25,2025-01-25 01:19:00,2025-01-25 01:44:00,102,102,0,25,1.0,1,success,
BATCH-000146,portal,2025-01-25,2025-01-25 01:25:00,2025-01-25 01:52:00,171,171,0,27,1.0,1,success,
BATCH-000147,chat_platform,2025-01-25,2025-01-25 01:08:00,2025-01-25 02:00:00,37,37,0,52,1.0,1,success,
BATCH-000148,workflow,2025-01-25,2025-01-25 01:25:00,2025-01-25 02:07:00,151,151,0,42,1.1,1,success,
BATCH-000149,workforce,2025-01-25,2025-01-25 01:27:00,2025-01-25 02:24:00,256,256,0,57,1.0,1,success,
BATCH-000150,calendar,2025-01-25,2025-01-25 01:14:00,2025-01-25 01:58:00,241,241,0,44,1.0,1,success,
BATCH-000151,crm,2025-01-26,2025-01-26 01:23:00,2025-01-26 01:28:00,139,139,0,5,1.0,1,success,
BATCH-000152,portal,2025-01-26,2025-01-26 01:13:00,2025-01-26 02:00:00,127,127,0,47,1.0,1,success,
BATCH-000153,chat_platform,2025-01-26,2025-01-26 01:01:00,2025-01-26 01:58:00,50,50,0,57,1.0,1,success,
BATCH-000154,workflow,2025-01-26,2025-01-26 01:02:00,2025-01-26 10:07:00,112,0,112,545,1.0,0,failed,SRC_UNAVAILABLE
BATCH-000155,workforce,2025-01-26,2025-01-26 01:20:00,2025-01-26 02:00:00,74,74,0,40,1.0,1,success,
BATCH-000156,calendar,2025-01-26,2025-01-26 01:22:00,2025-01-26 01:31:00,221,221,0,9,1.0,1,success,
BATCH-000157,crm,2025-01-27,2025-01-27 01:15:00,2025-01-27 01:47:00,141,141,0,32,1.0,1,success,
BATCH-000158,portal,2025-01-27,2025-01-27 01:05:00,2025-01-27 01:24:00,122,122,0,19,1.0,1,success,
BATCH-000159,chat_platform,2025-01-27,2025-01-27 01:08:00,2025-01-27 02:08:00,176,176,0,60,1.1,1,success,
BATCH-000160,workflow,2025-01-27,2025-01-27 01:15:00,2025-01-27 01:28:00,190,190,0,13,1.1,1,success,
BATCH-000161,workforce,2025-01-27,2025-01-27 01:25:00,2025-01-27 01:54:00,247,247,0,29,1.0,1,success,
BATCH-000162,calendar,2025-01-27,2025-01-27 01:12:00,2025-01-27 02:05:00,46,46,0,53,1.0,1,success,
BATCH-000163,crm,2025-01-28,2025-01-28 01:19:00,2025-01-28 02:11:00,209,209,0,52,1.0,1,success,
BATCH-000164,portal,2025-01-28,2025-01-28 01:28:00,2025-01-28 02:23:00,76,76,0,55,1.1,1,success,
BATCH-000165,chat_platform,2025-01-28,2025-01-28 01:10:00,2025-01-28 01:22:00,230,230,0,12,1.0,1,success,
BATCH-000166,workflow,2025-01-28,2025-01-28 01:15:00,2025-01-28 02:18:00,114,114,0,63,1.0,1,success,
BATCH-000167,workforce,2025-01-28,2025-01-28 01:20:00,2025-01-28 01:27:00,243,243,0,7,1.0,1,success,
BATCH-000168,calendar,2025-01-28,2025-01-28 01:23:00,2025-01-28 02:14:00,110,110,0,51,1.0,1,success,
BATCH-000169,crm,2025-01-29,2025-01-29 01:21:00,2025-01-29 02:20:00,174,174,0,59,1.1,1,success,
BATCH-000170,portal,2025-01-29,2025-01-29 01:18:00,2025-01-29 01:33:00,66,66,0,15,1.0,1,success,
BATCH-000171,chat_platform,2025-01-29,2025-01-29 01:08:00,2025-01-29 02:01:00,104,104,0,53,1.0,1,success,
BATCH-000172,workflow,2025-01-29,2025-01-29 01:12:00,2025-01-29 01:18:00,181,181,0,6,1.0,1,success,
BATCH-000173,workforce,2025-01-29,2025-01-29 01:10:00,2025-01-29 02:09:00,31,31,0,59,1.0,1,success,
BATCH-000174,calendar,2025-01-29,2025-01-29 01:19:00,2025-01-29 01:37:00,238,238,0,18,1.0,1,success,
BATCH-000175,crm,2025-01-30,2025-01-30 01:09:00,2025-01-30 01:36:00,160,160,0,27,1.0,1,success,
BATCH-000176,portal,2025-01-30,2025-01-30 01:12:00,2025-01-30 01:55:00,63,63,0,43,1.0,1,success,
BATCH-000177,chat_platform,2025-01-30,2025-01-30 01:06:00,2025-01-30 02:54:00,202,197,5,108,1.0,0,warning,ROW_REJECTED
BATCH-000178,workflow,2025-01-30,2025-01-30 01:24:00,2025-01-30 03:02:00,115,110,5,98,1.0,1,warning,ROW_REJECTED
BATCH-000179,workforce,2025-01-30,2025-01-30 01:01:00,2025-01-30 01:40:00,242,242,0,39,1.0,1,success,
BATCH-000180,calendar,2025-01-30,2025-01-30 01:26:00,2025-01-30 01:43:00,201,201,0,17,1.0,1,success,
BATCH-000181,crm,2025-01-31,2025-01-31 01:00:00,2025-01-31 01:24:00,221,221,0,24,1.0,1,success,
BATCH-000182,portal,2025-01-31,2025-01-31 01:07:00,2025-01-31 02:04:00,223,223,0,57,1.0,1,success,
BATCH-000183,chat_platform,2025-01-31,2025-01-31 01:27:00,2025-01-31 01:50:00,84,84,0,23,1.0,1,success,
BATCH-000184,workflow,2025-01-31,2025-01-31 01:10:00,2025-01-31 01:58:00,50,50,0,48,1.0,1,success,
BATCH-000185,workforce,2025-01-31,2025-01-31 01:19:00,2025-01-31 02:07:00,44,44,0,48,1.0,1,success,
BATCH-000186,calendar,2025-01-31,2025-01-31 01:22:00,2025-01-31 02:03:00,171,171,0,41,1.0,1,success,
BATCH-000187,crm,2025-02-01,2025-02-01 01:08:00,2025-02-01 02:08:00,62,62,0,60,1.0,1,success,
BATCH-000188,portal,2025-02-01,2025-02-01 01:23:00,2025-02-01 02:44:00,105,102,3,81,1.0,1,warning,LATE_ARRIVAL
BATCH-000189,chat_platform,2025-02-01,2025-02-01 01:19:00,2025-02-01 01:52:00,192,192,0,33,1.0,1,success,
BATCH-000190,workflow,2025-02-01,2025-02-01 01:13:00,2025-02-01 01:41:00,159,159,0,28,1.0,1,success,
BATCH-000191,workforce,2025-02-01,2025-02-01 01:13:00,2025-02-01 01:20:00,208,208,0,7,1.0,1,success,
BATCH-000192,calendar,2025-02-01,2025-02-01 01:18:00,2025-02-01 04:56:00,247,231,16,218,1.0,0,warning,SCHEMA_DRIFT
BATCH-000193,crm,2025-02-02,2025-02-02 01:03:00,2025-02-02 01:28:00,189,189,0,25,1.1,1,success,
BATCH-000194,portal,2025-02-02,2025-02-02 01:03:00,2025-02-02 01:11:00,224,224,0,8,1.0,1,success,
BATCH-000195,chat_platform,2025-02-02,2025-02-02 01:10:00,2025-02-02 02:12:00,196,196,0,62,1.0,1,success,
BATCH-000196,workflow,2025-02-02,2025-02-02 01:13:00,2025-02-02 02:14:00,58,58,0,61,1.0,1,success,
BATCH-000197,workforce,2025-02-02,2025-02-02 01:27:00,2025-02-02 02:05:00,25,25,0,38,1.0,1,success,
BATCH-000198,calendar,2025-02-02,2025-02-02 01:18:00,2025-02-02 01:56:00,107,107,0,38,1.0,1,success,
BATCH-000199,crm,2025-02-03,2025-02-03 01:03:00,2025-02-03 01:51:00,235,235,0,48,1.0,1,success,
BATCH-000200,portal,2025-02-03,2025-02-03 01:07:00,2025-02-03 02:01:00,33,33,0,54,1.0,1,success,
BATCH-000201,chat_platform,2025-02-03,2025-02-03 01:04:00,2025-02-03 04:32:00,234,220,14,208,1.0,1,warning,SCHEMA_DRIFT
BATCH-000202,workflow,2025-02-03,2025-02-03 01:19:00,2025-02-03 02:08:00,143,143,0,49,1.0,1,success,
BATCH-000203,workforce,2025-02-03,2025-02-03 01:22:00,2025-02-03 01:53:00,59,59,0,31,1.0,1,success,
BATCH-000204,calendar,2025-02-03,2025-02-03 01:13:00,2025-02-03 02:17:00,139,139,0,64,1.0,1,success,
BATCH-000205,crm,2025-02-04,2025-02-04 01:10:00,2025-02-04 02:03:00,245,245,0,53,1.1,1,success,
BATCH-000206,portal,2025-02-04,2025-02-04 01:08:00,2025-02-04 01:55:00,152,152,0,47,1.0,1,success,
BATCH-000207,chat_platform,2025-02-04,2025-02-04 01:29:00,2025-02-04 01:57:00,210,210,0,28,1.0,1,success,
BATCH-000208,workflow,2025-02-04,2025-02-04 01:11:00,2025-02-04 01:44:00,190,190,0,33,1.0,1,success,
BATCH-000209,workforce,2025-02-04,2025-02-04 01:28:00,2025-02-04 01:42:00,164,164,0,14,1.0,1,success,
BATCH-000210,calendar,2025-02-04,2025-02-04 01:16:00,2025-02-04 01:56:00,194,194,0,40,1.0,1,success,
BATCH-000211,crm,2025-02-05,2025-02-05 01:27:00,2025-02-05 02:20:00,180,180,0,53,2.0,1,success,
BATCH-000212,portal,2025-02-05,2025-02-05 01:25:00,2025-02-05 01:33:00,242,242,0,8,1.0,1,success,
BATCH-000213,chat_platform,2025-02-05,2025-02-05 01:09:00,2025-02-05 03:54:00,179,178,1,165,1.0,1,warning,SCHEMA_DRIFT
BATCH-000214,workflow,2025-02-05,2025-02-05 01:06:00,2025-02-05 01:11:00,135,135,0,5,1.0,1,success,
BATCH-000215,workforce,2025-02-05,2025-02-05 01:06:00,2025-02-05 01:16:00,234,234,0,10,1.0,1,success,
BATCH-000216,calendar,2025-02-05,2025-02-05 01:14:00,2025-02-05 01:52:00,112,112,0,38,1.0,1,success,
BATCH-000217,crm,2025-02-06,2025-02-06 01:25:00,2025-02-06 06:19:00,117,0,117,294,1.0,0,failed,SRC_UNAVAILABLE
BATCH-000218,portal,2025-02-06,2025-02-06 01:20:00,2025-02-06 01:35:00,35,35,0,15,1.0,1,success,
BATCH-000219,chat_platform,2025-02-06,2025-02-06 01:10:00,2025-02-06 01:42:00,236,236,0,32,1.1,1,success,
