ticket_id,source_system,source_record_id,schema_version,load_ts,source_updated_at,created_at_utc,first_response_at_utc,resolved_at_utc,closed_at_utc,created_date,created_hour_local,created_weekday,channel,category,subcategory,priority,customer_segment,product,product_version,language,initial_team_id,team_id,region_id,description_length,attachment_count,is_vip,customer_tenure_days,prior_tickets_30d,prior_tickets_90d,previous_sla_breaches_90d,requested_callback,status,first_response_min,resolution_min,sla_target_min,sla_breached,reopen_count,escalation_count,csat
TCK-020826,portal,SRC-00020826,1.0,2025-05-17 12:16:56,2025-05-17 11:51:56,2025-05-17 11:42:56,2025-05-17 13:49:02,2025-05-17 23:15:02,2025-05-18 04:53:02,2025-05-17,14,5,phone,performance,timeout,low,Public,Analytics,2.1,ru,T007,T007,R02,1897,0,0,218,1,4,0,0,closed,126.1,692.1,1440,0.0,1,0,5.0
TCK-010017,crm,SRC-00010017,1.0,2025-03-10 18:32:17,2025-03-10 19:37:17,2025-03-10 18:00:17,2025-03-10 19:45:17,2025-03-11 04:36:05,2025-03-11 10:29:05,2025-03-10,21,0,chat,billing,invoice,medium,SMB,Core,4.2,ru,T006,T006,R02,1825,1,0,1208,1,2,0,0,closed,105.0,635.8,720,0.0,0,1,4.4
TCK-010706,portal,SRC-00010706,1.0,2026-03-18 15:00:56,2026-03-18 12:36:56,2026-03-18 12:29:56,2026-03-18 13:27:20,2026-03-19 14:57:08,2026-03-19 17:30:08,2026-03-18,15,2,email,integration,webhook,medium,Enterprise,Analytics,1.3,en,T032,T032,R08,1954,0,0,1299,2,3,1,0,closed,57.4,1587.2,720,1.0,1,0,3.2
TCK-023951,crm,SRC-00023951,1.0,2025-09-21 09:47:57,2025-09-21 07:17:57,2025-09-21 07:06:57,2025-09-21 09:03:03,2025-09-22 01:36:57,2025-09-21 05:06:57,2025-09-21,10,6,portal,incident,availability,medium,SMB,API,2.9,ru,T001,T001,R01,702,0,0,2482,0,2,1,0,closed,116.1,1110.0,720,1.0,1,1,3.3
TCK-023721,chat_platform,SRC-00023721,1.0,2025-07-16 11:50:34,2025-07-16 10:24:34,2025-07-16 09:45:34,2025-07-16 11:00:52,2025-07-16 17:46:28,2025-07-16 21:22:28,2025-07-16,13,2,portal,consultation,configuration,medium,SMB,Billing,1.4,ru,T023,T023,R06,1288,0,0,2362,1,3,0,0,closed,75.3,480.9,720,0.0,0,0,3.6
TCK-008271,crm,SRC-00008271,1.0,2025-04-07 18:02:36,2025-04-07 16:44:36,2025-04-07 15:03:36,2025-04-07 16:48:18,2025-04-07 20:22:06,2025-04-08 00:14:06,2025-04-07,18,0,chat,incident,degradation,medium,SMB,API,4.5,ru,T004,T004,R01,1403,1,0,202,5,5,1,0,closed,104.7,318.5,720,0.0,0,0,3.8
TCK-022141,crm,SRC-00022141,1.0,2025-12-30 13:31:21,2025-12-30 11:39:21,2025-12-30 11:34:21,2025-12-30 12:07:45,2025-12-30 12:30:09,2025-12-30 12:53:09,2025-12-30,14,1,portal,billing,invoice,high,Enterprise,Mobile,3.7,ru,T015,T015,R04,579,0,0,780,2,6,2,0,closed,33.4,55.8,240,0.0,0,0,4.4
TCK-004069,portal,SRC-00004069,1.0,2025-05-28 13:05:35,2025-05-28 10:58:35,2025-05-28 10:27:35,2025-05-28 11:38:59,2025-05-29 12:56:23,2025-05-29 18:07:23,2025-05-28,14,2,chat,access,password,medium,Enterprise,Mobile,4.9,ru,T021,T021,R06,670,0,0,1132,1,4,0,0,closed,71.4,1588.8,720,1.0,0,1,2.8
TCK-022220,crm,SRC-00022220,1.0,2026-04-20 16:46:07,2026-04-20 16:35:07,2026-04-20 16:32:07,2026-04-20 17:17:19,2026-04-21 03:30:01,2026-04-21 06:01:01,2026-04-20,19,0,portal,access,password,high,Enterprise,Mobile,4.5,ru,T003,T003,R01,2139,0,1,2400,0,2,1,0,closed,45.2,657.9,240,1.0,0,0,3.3
TCK-018816,crm,SRC-00018816,1.0,2025-05-20 14:57:45,2025-05-20 12:50:45,2025-05-20 12:49:45,2025-05-20 14:15:51,2025-05-21 04:01:45,2025-05-21 09:11:45,2025-05-20,17,1,chat,consultation,best_practice,low,Enterprise,Analytics,4.2,ru,T009,T009,R03,685,3,0,149,1,3,1,0,closed,86.1,912.0,1440,0.0,0,0,4.6
TCK-015853,portal,SRC-00015853,1.0,2025-09-01 14:19:50,2025-09-01 13:40:50,2025-09-01 12:45:50,2025-09-01 14:28:32,2025-09-03 03:52:44,2025-09-03 05:36:44,2025-09-01,17,0,email,access,login,low,SMB,API,3.7,ru,T010,T010,R03,709,1,0,1658,1,6,3,0,closed,102.7,2346.9,1440,1.0,1,0,3.3
TCK-003111,crm,SRC-00003111,1.0,2025-09-03 09:46:59,2025-09-03 10:11:59,2025-09-03 08:34:59,2025-09-03 08:49:11,2025-09-03 08:59:35,2025-09-03 11:14:35,2025-09-03,11,2,email,consultation,usage,critical,SMB,Core,4.9,ru,T031,T031,R08,1907,0,0,1354,1,5,0,0,closed,14.2,24.6,60,0.0,0,0,5.0
TCK-004126,crm,SRC-00004126,1.0,2026-03-05 14:50:54,2026-03-05 13:31:54,2026-03-05 12:08:54,2026-03-05 12:30:00,2026-03-05 13:24:18,2026-03-05 14:09:18,2026-03-05,15,3,phone,integration,api,critical,Public,Core,2.6,ru,T006,T006,R02,1809,0,0,1447,1,6,0,0,closed,21.1,75.4,60,1.0,0,0,3.6
TCK-006232,crm,SRC-00006232,1.0,2025-01-16 21:57:28,2025-01-16 20:08:28,2025-01-16 19:06:28,2025-01-16 19:39:52,2025-01-16 21:43:58,2025-01-16 22:20:58,2025-01-16,2,3,portal,billing,payment,high,Public,Core,3.0,ru,T019,T019,R05,1184,0,0,599,1,2,0,0,closed,33.4,157.5,240,0.0,0,1,4.5
TCK-020540,crm,SRC-00020540,1.0,2025-08-13 11:57:47,2025-08-13 10:25:47,2025-08-13 09:59:47,2025-08-13 11:16:17,2025-08-14 08:19:05,2025-08-14 14:02:05,2025-08-13,13,2,portal,incident,availability,medium,Public,Core,2.6,ru,T022,T022,R06,60,1,0,1209,4,5,1,0,closed,76.5,1339.3,720,1.0,0,1,
TCK-017977,crm,SRC-00017977,1.0,2025-11-03 13:03:30,2025-11-03 13:52:30,2025-11-03 12:23:30,2025-11-03 14:32:12,2025-11-03 22:14:00,2025-11-04 00:24:00,2025-11-03,19,0,phone,integration,webhook,medium,SMB,Billing,3.7,ru,T018,T018,R05,398,0,0,1173,1,5,0,0,closed,128.7,590.5,720,0.0,0,0,5.0
TCK-022528,crm,SRC-00022528,1.0,2025-11-13 16:39:28,2025-11-13 18:11:28,2025-11-13 16:24:28,2025-11-13 17:25:34,2025-11-14 09:00:46,2025-11-14 10:00:46,2025-11-13,19,3,email,integration,api,medium,Enterprise,API,4.8,ru,T005,T005,R02,2184,0,0,1266,2,5,2,0,closed,61.1,996.3,720,1.0,1,1,6.0
TCK-011082,portal,SRC-00011082,1.0,2025-11-14 14:49:51,2025-11-14 15:52:51,2025-11-14 14:41:51,2025-11-14 15:26:33,2025-11-14 22:20:39,2025-11-15 00:36:39,2025-11-14,21,4,email,access,permissions,medium,SMB,Analytics,1.5,ru,T017,T017,R05,1664,0,0,1272,1,11,4,0,closed,44.7,458.8,720,0.0,0,0,5.0
TCK-009988,portal,SRC-00009988,1.0,2026-01-28 10:09:29,2026-01-28 11:33:29,2026-01-28 09:51:29,2026-01-28 10:03:23,2026-01-28 10:13:35,2026-01-28 15:57:35,2026-01-28,12,2,chat,access,password,critical,SMB,Billing,2.0,ru,T002,T002,R01,93,1,0,2316,4,4,0,0,closed,11.9,22.1,60,0.0,0,0,4.2
TCK-023833,portal,SRC-00023833,1.0,2026-05-03 12:13:39,2026-05-03 11:29:39,2026-05-03 11:03:39,2026-05-03 12:29:09,2026-05-03 17:14:09,2026-05-03 19:44:09,2026-05-03,14,6,portal,consultation,configuration,medium,SMB,Billing,3.7,ru,T029,T029,R08,534,0,0,709,0,8,3,1,closed,85.5,370.5,720,0.0,1,0,
TCK-012500,chat_platform,SRC-00012500,1.0,2025-04-26 09:23:30,2025-04-26 09:32:30,2025-04-26 08:19:30,2025-04-26 12:32:54,2025-04-27 05:21:12,2025-04-27 08:46:12,2025-04-26,12,5,phone,billing,tariff,low,Enterprise,Mobile,2.1,ru,T021,T021,R06,2094,3,0,917,6,8,0,0,closed,253.4,1261.7,1440,0.0,0,1,4.5
TCK-011571,portal,SRC-00011571,1.0,2026-02-07 12:49:16,2026-02-07 10:48:16,2026-02-07 10:00:16,2026-02-07 10:14:04,2026-02-07 12:34:34,2026-02-07 16:39:34,2026-02-07,13,5,portal,incident,degradation,critical,SMB,Core,4.0,ru,T025,T025,R07,1509,0,0,997,1,8,1,0,closed,13.8,154.3,60,1.0,1,1,3.4
TCK-011805,portal,SRC-00011805,1.0,2025-07-31 13:26:22,2025-07-31 12:54:22,2025-07-31 11:43:22,2025-07-31 13:17:04,2025-08-01 07:35:16,2025-08-01 10:29:16,2025-07-31,14,3,chat,consultation,best_practice,low,Enterprise,Mobile,4.0,en,T002,T002,R01,1149,1,0,115,0,4,1,0,closed,93.7,1191.9,1440,0.0,0,0,4.8
TCK-020354,crm,SRC-00020354,1.0,2025-05-28 10:06:01,2025-05-28 10:55:01,2025-05-28 09:36:01,2025-05-28 10:41:25,2025-05-29 17:33:49,2025-05-29 18:49:49,2025-05-28,12,2,portal,performance,latency,medium,Enterprise,Mobile,2.6,ru,T001,T001,R01,908,1,0,1726,2,8,0,0,closed,65.4,1917.8,720,1.0,0,0,3.0
TCK-007933,portal,SRC-00007933,1.0,2025-03-19 15:38:27,2025-03-19 15:40:27,2025-03-19 14:44:27,2025-03-19 15:27:03,2025-03-20 12:37:39,2025-03-20 17:43:39,2025-03-19,19,2,portal,integration,api,low,Enterprise,Mobile,2.3,ru,T011,T011,R03,203,0,0,941,2,4,2,0,closed,42.6,1313.2,1440,0.0,0,0,5.0
TCK-018568,chat_platform,SRC-00018568,1.0,2026-05-17 09:42:25,2026-05-17 08:09:25,2026-05-17 07:03:25,2026-05-17 07:44:55,2026-05-17 07:56:07,2026-05-17 10:07:07,2026-05-17,10,6,chat,access,password,high,SMB,Billing,2.5,ru,T003,T003,R01,1842,0,0,793,3,6,1,0,closed,41.5,52.7,240,0.0,0,0,5.0
TCK-003793,crm,SRC-00003793,1.0,2026-01-29 02:41:25,2026-01-29 01:43:25,2026-01-29 01:26:25,2026-01-29 01:41:55,2026-01-29 09:42:19,2026-01-29 14:02:19,2026-01-29,5,3,chat,incident,data_error,high,SMB,Core,4.9,ru,T024,T024,R06,1970,1,0,1745,1,7,3,0,closed,15.5,495.9,240,1.0,1,1,2.8
TCK-008660,portal,SRC-00008660,1.1,2025-07-11 20:09:43,2025-07-11 17:24:43,2025-07-11 17:14:43,2025-07-11 19:00:13,2025-07-11 20:42:25,2025-07-11 22:17:25,2025-07-11,20,4,email,incident,degradation,medium,SMB,Analytics,3.3,ru,T001,T001,R01,1172,0,0,1173,4,11,0,0,closed,105.5,207.7,720,0.0,0,0,5.0
TCK-006661,chat_platform,SRC-00006661,1.0,2025-12-30 19:30:32,2025-12-30 17:55:32,2025-12-30 16:48:32,2025-12-30 19:06:02,2025-12-31 12:38:56,2025-12-31 13:39:56,2025-12-30,20,1,email,performance,timeout,low,SMB,API,1.5,ru,T023,T023,R06,371,0,0,2276,2,6,2,0,closed,137.5,1190.4,1440,0.0,0,1,5.0
TCK-009148,crm,SRC-00009148,1.0,2025-03-03 18:44:30,2025-03-03 19:54:30,2025-03-03 18:16:30,2025-03-03 20:27:42,2025-03-03 21:56:06,2025-03-04 02:42:06,2025-03-03,21,0,phone,billing,payment,medium,SMB,Mobile,1.4,ru,T029,T029,R08,573,1,0,2366,0,2,1,1,closed,131.2,219.6,720,0.0,0,1,4.7
TCK-016488,portal,SRC-00016488,1.0,2025-10-30 08:18:44,2025-10-30 08:37:44,2025-10-30 06:48:44,2025-10-30 07:16:38,2025-10-30 13:37:26,2025-10-30 17:10:26,2025-10-30,9,3,email,incident,availability,high,Enterprise,Core,4.5,ru,T016,T016,R04,818,0,0,2005,2,4,0,0,closed,27.9,408.7,240,1.0,1,2,3.2
TCK-022350,crm,SRC-00022350,1.0,2025-12-19 13:06:39,2025-12-19 13:11:39,2025-12-19 11:51:39,2025-12-19 13:42:09,2025-12-22 01:26:57,2025-12-22 02:51:57,2025-12-19,14,4,portal,consultation,configuration,low,SMB,Billing,3.4,ru,T014,T014,R04,1768,0,0,928,0,6,3,0,closed,110.5,3695.3,1440,1.0,0,0,
TCK-017688,crm,SRC-00017688,1.0,2026-05-26 17:07:23,2026-05-26 16:40:23,2026-05-26 16:04:23,2026-05-26 16:53:05,2026-05-27 01:36:29,2026-05-27 03:18:29,2026-05-26,19,1,email,access,login,medium,Public,Billing,3.9,ru,T002,T002,R01,139,0,0,2462,4,6,0,0,closed,48.7,572.1,720,0.0,0,0,4.6
TCK-023188,portal,SRC-00023188,1.0,2025-10-27 17:15:36,2025-10-27 18:12:36,2025-10-27 16:19:36,2025-10-27 16:32:18,2025-10-27 18:15:06,2025-10-27 23:45:06,2025-10-27,21,0,email,billing,tariff,critical,SMB,API,4.4,ru,T011,T011,R03,1200,0,0,2428,3,8,2,0,closed,12.7,115.5,60,1.0,0,0,2.9
TCK-005513,crm,SRC-00005513,1.0,2025-10-01 06:56:54,2025-10-01 05:31:54,2025-10-01 05:22:54,2025-10-01 06:20:24,2025-10-01 14:37:24,2025-10-01 16:05:24,2025-10-01,8,2,email,consultation,configuration,high,SMB,Billing,3.4,ru,T014,T014,R04,1951,1,0,503,2,2,0,0,closed,57.5,554.5,240,1.0,0,2,3.7
TCK-001057,chat_platform,SRC-00001057,1.0,2026-06-25 14:39:10,2026-06-25 15:49:10,2026-06-25 13:59:10,2026-06-25 14:41:04,2026-06-25 21:17:46,2026-06-26 00:42:46,2026-06-25,18,3,portal,access,permissions,medium,SMB,Billing,4.8,ru,T010,T010,R03,869,2,0,484,2,4,2,0,closed,41.9,438.6,720,0.0,0,0,
TCK-017891,chat_platform,SRC-00017891,1.0,2025-10-24 13:57:38,2025-10-24 14:25:38,2025-10-24 13:14:38,2025-10-24 15:12:20,2025-10-24 23:51:50,2025-10-25 02:21:50,2025-10-24,16,4,chat,performance,timeout,medium,SMB,API,1.5,ru,T013,T013,R04,604,1,0,135,0,6,0,1,closed,117.7,637.2,720,0.0,0,1,4.4
TCK-013484,portal,SRC-00013484,1.0,2025-05-15 15:45:54,2025-05-15 15:44:54,2025-05-15 14:14:54,2025-05-15 14:22:48,2025-05-15 16:00:42,2025-05-15 17:20:42,2025-05-15,18,3,portal,performance,throughput,critical,SMB,API,2.7,en,T021,T021,R06,1608,0,0,1948,3,5,1,0,closed,7.9,105.8,60,1.0,0,0,3.2
TCK-012278,chat_platform,SRC-00012278,1.0,2026-04-27 16:03:37,2026-04-27 13:41:37,2026-04-27 13:13:37,2026-04-27 14:56:49,2026-04-27 15:27:49,2026-04-27 17:42:49,2026-04-27,16,0,chat,access,login,medium,SMB,API,3.8,ru,T025,T025,R07,1352,0,0,744,2,4,2,0,closed,103.2,134.2,720,0.0,0,0,4.6
TCK-021307,crm,SRC-00021307,1.0,2025-06-12 14:38:11,2025-06-12 15:13:11,2025-06-12 14:11:11,2025-06-12 14:56:05,2025-06-12 17:00:05,2025-06-12 20:13:05,2025-06-12,17,3,phone,integration,webhook,high,SMB,Core,3.0,ru,T003,T003,R01,1776,3,1,1634,0,6,1,0,closed,44.9,168.9,240,0.0,0,0,
TCK-019301,crm,SRC-00019301,1.0,2025-01-26 16:50:04,2025-01-26 15:10:04,2025-01-26 14:26:04,2025-01-26 15:35:28,2025-01-27 17:15:22,2025-01-27 17:58:22,2025-01-26,17,6,portal,access,login,low,SMB,Analytics,2.6,ru,T006,T006,R02,444,0,0,1255,2,2,1,0,closed,69.4,1609.3,1440,1.0,0,0,
TCK-008248,crm,SRC-00008248,1.0,2026-04-24 15:31:26,2026-04-24 14:39:26,2026-04-24 13:16:26,2026-04-24 14:35:20,2026-04-25 03:50:14,2026-04-25 04:27:14,2026-04-24,17,4,email,incident,degradation,medium,SMB,Mobile,1.2,ru,T022,T022,R06,2140,0,0,690,1,2,1,0,closed,78.9,873.8,720,1.0,1,1,3.6
TCK-022412,crm,SRC-00022412,1.0,2025-04-29 16:54:05,2025-04-29 15:31:05,2025-04-29 14:10:05,2025-04-29 16:57:59,2025-04-30 20:38:53,2025-05-01 01:09:53,2025-04-29,17,1,phone,consultation,best_practice,medium,Enterprise,Billing,1.8,ru,T013,T013,R04,965,0,0,319,2,6,2,0,closed,167.9,1828.8,720,1.0,0,1,3.7
TCK-022310,crm,SRC-00022310,1.0,2025-07-24 12:19:28,2025-07-24 11:46:28,2025-07-24 11:02:28,2025-07-24 11:23:46,2025-07-24 14:37:40,2025-07-24 18:53:40,2025-07-24,18,3,portal,consultation,best_practice,high,SMB,API,1.3,ru,T020,T020,R05,2081,1,0,1041,1,10,2,0,closed,21.3,215.2,240,0.0,0,0,
TCK-012204,chat_platform,SRC-00012204,1.0,2025-11-19 14:45:19,2025-11-19 13:15:19,2025-11-19 12:21:19,2025-11-19 13:01:13,2025-11-19 18:29:43,2025-11-19 21:50:43,2025-11-19,15,2,email,incident,data_error,high,Enterprise,Billing,2.4,en,T027,T027,R07,1434,0,0,1106,2,5,0,0,closed,39.9,368.4,240,1.0,1,0,3.7
TCK-011889,portal,SRC-00011889,1.0,2025-06-25 20:18:08,2025-06-25 20:35:08,2025-06-25 18:57:08,2025-06-25 20:12:50,2025-06-26 02:09:38,2025-06-26 02:58:38,2025-06-25,21,2,portal,consultation,configuration,medium,SMB,Analytics,2.0,ru,T005,T005,R02,2073,0,0,2367,1,2,0,0,closed,75.7,432.5,720,0.0,0,1,5.0
TCK-012554,crm,SRC-00012554,1.0,2025-02-08 14:07:29,2025-02-08 13:07:29,2025-02-08 12:30:29,2025-02-08 14:23:23,2025-02-09 02:35:29,2025-02-09 03:48:29,2025-02-08,17,5,portal,performance,latency,low,SMB,API,3.8,ru,T012,T012,R03,1049,2,0,2396,1,6,2,0,closed,112.9,845.0,1440,0.0,0,0,
TCK-016988,chat_platform,SRC-00016988,1.0,2025-10-30 17:53:35,2025-10-30 17:25:35,2025-10-30 17:10:35,2025-10-30 18:35:29,2025-10-31 21:04:41,2025-11-01 00:16:41,2025-10-30,21,3,email,performance,throughput,low,Enterprise,API,4.9,ru,T022,T022,R06,1583,0,0,176,3,5,2,0,closed,84.9,1674.1,1440,1.0,0,1,4.3
TCK-002852,chat_platform,SRC-00002852,1.0,2026-02-24 12:19:21,2026-02-24 11:16:21,2026-02-24 09:39:21,2026-02-24 10:18:33,2026-02-24 19:15:51,2026-02-24 23:48:51,2026-02-24,12,1,chat,incident,data_error,high,Enterprise,API,4.4,ru,T029,T029,R08,1149,0,0,682,0,5,1,0,closed,39.2,576.5,240,1.0,0,1,4.0
