event_id,ticket_id,event_ts_utc,event_type,status_from,status_to,team_from,team_to,actor_type,queue_name,comment_length,source_system,load_ts
EVT-00114007,TCK-023163,2026-03-23 04:28:57,transferred,in_progress,in_progress,T014,T014,customer,queue_incident,432,crm,2026-03-23 04:46:57
EVT-00135601,TCK-001822,2026-06-06 22:50:31,escalated,in_progress,in_progress,T030,T030,agent,queue_access,399,chat_platform,2026-06-07 00:12:31
EVT-00116429,TCK-010452,2026-03-31 22:33:56,agent_response,in_progress,in_progress,T003,T003,customer,queue_incident,273,workflow,2026-03-31 23:23:56
EVT-00015783,TCK-017647,2025-03-13 15:08:08,closed,resolved,closed,T004,T004,customer,queue_performance,543,crm,2025-03-13 16:12:08
EVT-00106505,TCK-005371,2026-02-24 11:46:11,created,,new,T008,T008,agent,queue_billing,15,workflow,2026-02-24 12:42:11
EVT-00039162,TCK-016000,2025-06-16 13:46:12,assigned,new,in_progress,T008,T008,system,queue_performance,576,workflow,2025-06-16 14:28:12
EVT-00129030,TCK-018290,2026-05-16 07:49:59,created,,new,T030,T030,customer,queue_consultation,788,workflow,2026-05-16 09:01:59
EVT-00022893,TCK-023647,2025-04-09 19:27:59,assigned,new,in_progress,T012,T012,agent,queue_performance,703,workflow,2025-04-09 19:30:59
EVT-00144445,TCK-001362,2026-06-30 11:30:03,assigned,new,in_progress,T007,T007,agent,queue_integration,536,chat_platform,2026-06-30 11:31:03
EVT-00129744,TCK-012846,2026-05-19 19:43:30,closed,resolved,closed,T009,T009,system,queue_access,796,chat_platform,2026-05-19 19:52:30
EVT-00038397,TCK-012648,2025-06-12 10:46:19,created,,new,T011,T011,agent,queue_access,331,crm,2025-06-12 10:47:19
EVT-00037790,TCK-007315,2025-06-09 21:20:07,assigned,new,in_progress,T005,T005,agent,queue_billing,243,workflow,2025-06-09 21:29:07
EVT-00019733,TCK-022441,2025-03-27 15:07:53,assigned,new,in_progress,T019,T019,agent,queue_access,673,crm,2025-03-27 16:12:53
EVT-00112828,TCK-013695,2026-03-18 13:50:26,assigned,new,in_progress,T026,T026,customer,queue_incident,281,chat_platform,2026-03-18 14:13:26
EVT-00078525,TCK-015969,2025-11-14 07:14:38,agent_response,in_progress,in_progress,T008,T008,agent,queue_access,762,chat_platform,2025-11-14 07:57:38
EVT-00135744,TCK-000856,2026-06-07 07:18:56,resolved,waiting_customer,resolved,T001,T001,agent,queue_consultation,533,crm,2026-06-07 07:50:56
EVT-00144277,TCK-001862,2026-06-30 13:54:03,escalated,in_progress,in_progress,T020,T020,customer,queue_performance,182,workflow,2026-06-30 15:16:03
EVT-00032719,TCK-007787,2025-05-21 02:28:06,closed,resolved,closed,T029,T029,agent,queue_performance,654,crm,2025-05-21 03:38:06
EVT-00107371,TCK-018818,2026-02-27 04:58:32,created,,new,T003,T003,agent,queue_integration,627,crm,2026-02-27 05:14:32
EVT-00080679,TCK-003027,2025-11-21 18:56:37,resolved,in_progress,resolved,T009,T009,agent,queue_incident,714,chat_platform,2025-11-21 19:21:37
EVT-00049500,TCK-006881,2025-07-27 17:34:29,closed,resolved,closed,T002,T002,agent,queue_access,649,crm,2025-07-27 17:39:29
EVT-00098290,TCK-004162,2026-01-26 16:07:44,status_changed,in_progress,in_progress,T006,T006,system,queue_billing,38,workflow,2026-01-26 16:12:44
EVT-00009909,TCK-008311,2025-02-15 01:00:25,resolved,in_progress,resolved,T031,T031,customer,queue_access,408,crm,2025-02-15 02:19:25
EVT-00134415,TCK-001748,2026-06-03 17:53:01,reopened,resolved,in_progress,T022,T022,customer,queue_performance,129,crm,2026-06-03 19:02:01
EVT-00081219,TCK-007820,2025-11-24 07:26:31,created,,new,T005,T005,system,queue_access,214,workflow,2025-11-24 08:35:31
EVT-00075442,TCK-009523,2025-11-03 19:10:16,status_changed,in_progress,waiting_customer,T025,T025,agent,queue_incident,217,crm,2025-11-03 20:34:16
EVT-00136599,TCK-001360,2026-06-09 00:16:34,reopened,resolved,in_progress,T018,T018,customer,queue_access,133,crm,2026-06-09 00:41:34
EVT-00023845,TCK-009464,2025-04-14 22:53:21,resolved,in_progress,resolved,T010,T010,customer,queue_integration,430,chat_platform,2025-04-14 23:00:21
EVT-00062922,TCK-018500,2025-09-15 18:28:16,created,,new,T013,T013,system,queue_billing,778,crm,2025-09-15 19:55:16
EVT-00098548,TCK-013361,2026-01-27 18:17:15,closed,resolved,closed,T018,T018,customer,queue_integration,859,crm,2026-01-27 19:25:15
EVT-00074004,TCK-014361,2025-10-27 18:13:35,assigned,new,in_progress,T013,T013,system,queue_consultation,878,chat_platform,2025-10-27 18:57:35
EVT-00135326,TCK-001447,2026-06-05 13:19:41,created,,new,T008,T008,customer,queue_incident,67,chat_platform,2026-06-05 13:29:41
EVT-00105558,TCK-016040,2026-02-21 12:22:07,resolved,in_progress,resolved,T021,T021,system,queue_billing,267,workflow,2026-02-21 13:19:07
EVT-00124241,TCK-018922,2026-04-29 00:53:07,assigned,new,in_progress,T005,T005,agent,queue_performance,450,chat_platform,2026-04-29 01:40:07
EVT-00070494,TCK-011609,2025-10-14 05:16:13,customer_response,in_progress,in_progress,T017,T017,agent,queue_integration,424,chat_platform,2025-10-14 05:29:13
EVT-00075527,TCK-017371,2025-11-02 15:42:17,created,,new,T012,T012,system,queue_integration,486,chat_platform,2025-11-02 17:10:17
EVT-00140982,TCK-000725,2026-06-21 18:15:45,closed,resolved,closed,T019,T019,system,queue_billing,832,crm,2026-06-21 18:28:45
EVT-00142964,TCK-000332,2026-06-26 05:35:31,closed,resolved,closed,T021,T021,customer,queue_incident,84,crm,2026-06-26 05:46:31
EVT-00107391,TCK-022736,2026-02-27 09:39:33,agent_response,in_progress,in_progress,T007,T007,agent,queue_consultation,310,crm,2026-02-27 10:53:33
EVT-00014197,TCK-023030,2025-03-05 17:48:02,agent_response,in_progress,in_progress,T007,T007,agent,queue_incident,19,crm,2025-03-05 18:15:02
EVT-00122537,TCK-007810,2026-04-23 09:22:54,resolved,in_progress,resolved,T022,T022,system,queue_access,584,crm,2026-04-23 09:48:54
EVT-00027742,TCK-015649,2025-04-30 12:09:49,assigned,new,in_progress,T009,T009,agent,queue_access,104,crm,2025-04-30 12:43:49
EVT-00120837,TCK-015805,2026-04-17 09:11:25,agent_response,in_progress,in_progress,T008,T008,agent,queue_billing,287,workflow,2026-04-17 10:30:25
EVT-00003167,TCK-012997,2025-01-16 20:31:47,closed,resolved,closed,T008,T008,system,queue_billing,160,crm,2025-01-16 21:04:47
EVT-00042062,TCK-013247,2025-06-27 17:28:54,resolved,in_progress,resolved,T005,T005,agent,queue_incident,565,workflow,2025-06-27 18:31:54
EVT-00065524,TCK-007251,2025-09-26 00:43:46,escalated,waiting_customer,in_progress,T001,T001,customer,queue_incident,173,workflow,2025-09-26 02:03:46
EVT-00106066,TCK-014456,2026-02-22 23:13:56,agent_response,in_progress,in_progress,T013,T013,agent,queue_consultation,661,workflow,2026-02-23 00:17:56
EVT-00014162,TCK-016926,2025-03-06 01:08:29,reopened,resolved,in_progress,T014,T014,agent,queue_performance,525,crm,2025-03-06 02:17:29
EVT-00071240,TCK-005619,2025-10-16 19:51:25,resolved,in_progress,resolved,T016,T016,system,queue_performance,312,workflow,2025-10-16 20:07:25
EVT-00134655,TCK-000431,2026-06-04 22:57:16,agent_response,in_progress,in_progress,T012,T012,customer,queue_performance,867,workflow,2026-06-04 23:38:16
EVT-00031466,TCK-023119,2025-05-15 18:21:49,assigned,new,in_progress,T023,T023,agent,queue_incident,770,workflow,2025-05-15 19:05:49
EVT-00055883,TCK-010449,2025-08-20 18:12:13,escalated,in_progress,in_progress,T009,T009,agent,queue_incident,528,workflow,2025-08-20 18:58:13
EVT-00041030,TCK-010161,2025-06-24 07:48:54,resolved,in_progress,resolved,T001,T001,system,queue_consultation,39,crm,2025-06-24 09:02:54
EVT-UNKNOWN-0022,TCK-UNKNOWN-0022,2025-05-06 00:00:00,created,,new,T001,T001,system,queue_unknown,0,workflow,2026-04-18 00:00:00
EVT-00082767,TCK-015294,2025-11-30 18:03:33,closed,resolved,closed,T006,T006,agent,queue_access,270,workflow,2025-11-30 18:42:33
EVT-00094771,TCK-009622,2026-01-14 04:29:39,escalated,in_progress,in_progress,T029,T029,system,queue_access,270,workflow,2026-01-14 05:46:39
EVT-00043100,TCK-014290,2025-07-01 16:18:29,reopened,resolved,in_progress,T002,T002,system,queue_integration,869,chat_platform,2025-07-01 17:06:29
EVT-00031597,TCK-011990,2025-05-16 17:08:04,closed,resolved,closed,T013,T013,customer,queue_incident,631,chat_platform,2025-05-16 17:38:04
EVT-00141245,TCK-000106,2026-06-22 08:54:55,resolved,in_progress,resolved,T020,T020,system,queue_performance,521,workflow,2026-06-22 10:20:55
EVT-00137731,TCK-000796,2026-06-11 18:18:47,customer_response,in_progress,in_progress,T026,T026,agent,queue_performance,383,workflow,2026-06-11 18:57:47
EVT-00017704,TCK-016816,2025-03-20 15:45:30,agent_response,in_progress,in_progress,T012,T012,customer,queue_consultation,251,crm,2025-03-20 17:00:30
EVT-00085844,TCK-004425,2025-12-09 16:58:17,resolved,waiting_customer,resolved,T010,T010,customer,queue_integration,358,workflow,2025-12-09 17:48:17
EVT-00038741,TCK-009692,2025-06-14 12:50:55,closed,resolved,closed,T002,T002,agent,queue_performance,823,workflow,2025-06-14 14:16:55
EVT-00073576,TCK-022406,2025-10-26 07:51:02,closed,resolved,closed,T024,T024,agent,queue_consultation,782,crm,2025-10-26 08:24:02
EVT-00034109,TCK-005024,2025-05-28 10:26:35,transferred,in_progress,in_progress,T003,T003,customer,queue_incident,489,crm,2025-05-28 11:37:35
EVT-00104982,TCK-011564,2026-02-19 01:25:07,resolved,in_progress,resolved,T026,T026,customer,queue_integration,675,workflow,2026-02-19 02:04:07
EVT-00129011,TCK-007144,2026-05-15 21:31:59,closed,resolved,closed,T022,T022,customer,queue_access,676,chat_platform,2026-05-15 22:01:59
EVT-00082323,TCK-012120,2025-11-27 00:36:30,resolved,in_progress,resolved,T001,T001,system,queue_incident,87,chat_platform,2025-11-27 01:16:30
EVT-00037361,TCK-008327,2025-06-08 22:27:46,resolved,in_progress,resolved,T013,T013,agent,queue_performance,416,crm,2025-06-08 22:30:46
EVT-00015111,TCK-010685,2025-03-10 09:05:39,resolved,in_progress,resolved,T001,T001,customer,queue_access,27,chat_platform,2025-03-10 09:23:39
EVT-00085555,TCK-011395,2025-12-09 23:32:11,transferred,in_progress,in_progress,T005,T005,customer,queue_billing,63,crm,2025-12-10 00:12:11
EVT-00085967,TCK-009612,2025-12-10 03:10:29,transferred,in_progress,in_progress,T002,T002,agent,queue_access,332,crm,2025-12-10 04:16:29
EVT-00100942,TCK-023781,2026-02-05 14:00:33,resolved,waiting_customer,resolved,T005,T005,agent,queue_consultation,809,crm,2026-02-05 15:25:33
EVT-00122805,TCK-019588,2026-04-23 16:02:42,created,,new,T024,T024,agent,queue_access,235,workflow,2026-04-23 16:18:42
EVT-00114259,TCK-006159,2026-03-23 15:33:08,created,,new,T030,T030,customer,queue_consultation,799,crm,2026-03-23 16:58:08
EVT-00117708,TCK-013420,2026-04-06 11:39:10,status_changed,in_progress,waiting_customer,T027,T027,customer,queue_integration,796,workflow,2026-04-06 12:17:10
EVT-00004047,TCK-019853,2025-01-20 17:21:40,agent_response,in_progress,in_progress,T006,T006,agent,queue_integration,881,crm,2025-01-20 18:18:40
EVT-00034958,TCK-016011,2025-05-30 04:03:41,customer_response,in_progress,in_progress,T024,T024,customer,queue_billing,89,workflow,2025-05-30 04:55:41
EVT-00074749,TCK-021475,2025-10-30 05:11:08,assigned,new,in_progress,T021,T021,agent,queue_billing,287,chat_platform,2025-10-30 05:24:08
EVT-00138653,TCK-000716,2026-06-15 15:42:47,agent_response,in_progress,in_progress,T013,T013,customer,queue_integration,214,crm,2026-06-15 16:06:47
EVT-00113774,TCK-001914,2026-03-21 18:58:24,assigned,new,in_progress,T003,T003,agent,queue_performance,114,chat_platform,2026-03-21 19:03:24
EVT-00051148,TCK-019100,2025-08-04 06:16:24,closed,resolved,closed,T007,T007,agent,queue_incident,182,workflow,2025-08-04 07:12:24
EVT-00025912,TCK-022081,2025-04-22 16:29:12,created,,new,T031,T031,customer,queue_billing,185,crm,2025-04-22 17:21:12
EVT-00012047,TCK-020999,2025-02-24 22:14:28,assigned,new,in_progress,T005,T005,agent,queue_incident,194,crm,2025-02-24 22:30:28
EVT-00034722,TCK-006412,2025-05-29 10:26:52,assigned,new,in_progress,T027,T027,customer,queue_incident,591,crm,2025-05-29 11:34:52
EVT-00137377,TCK-001797,2026-06-11 11:23:44,resolved,in_progress,resolved,T001,T001,system,queue_incident,317,crm,2026-06-11 12:00:44
EVT-00078092,TCK-015657,2025-11-12 14:00:06,created,,new,T015,T015,agent,queue_performance,676,chat_platform,2025-11-12 14:01:06
EVT-00059434,TCK-010790,2025-09-02 22:16:47,resolved,in_progress,resolved,T015,T015,system,queue_performance,159,workflow,2025-09-02 22:34:47
EVT-00015963,TCK-002755,2025-03-12 21:33:23,resolved,in_progress,resolved,T030,T030,customer,queue_access,751,crm,2025-03-12 22:50:23
EVT-00133240,TCK-021194,2026-05-31 18:06:09,created,,new,T009,T009,agent,queue_billing,250,workflow,2026-05-31 18:21:09
EVT-00059927,TCK-004188,2025-09-04 08:10:20,agent_response,in_progress,in_progress,T025,T025,customer,queue_integration,90,workflow,2025-09-04 09:31:20
EVT-00125328,TCK-004842,2026-05-03 12:34:11,assigned,new,in_progress,T005,T005,customer,queue_performance,852,crm,2026-05-03 12:47:11
EVT-00052998,TCK-020649,2025-08-09 18:01:06,closed,resolved,closed,T003,T003,system,queue_billing,613,workflow,2025-08-09 18:04:06
EVT-00130987,TCK-008602,2026-05-23 14:30:27,agent_response,in_progress,in_progress,T022,T022,system,queue_performance,15,workflow,2026-05-23 15:15:27
EVT-00143338,TCK-001381,2026-06-26 20:53:32,created,,new,T003,T003,agent,queue_access,628,workflow,2026-06-26 22:05:32
EVT-00104099,TCK-020588,2026-02-16 05:09:06,assigned,new,in_progress,T018,T018,system,queue_performance,844,crm,2026-02-16 05:47:06
EVT-00120257,TCK-009753,2026-04-14 15:23:24,assigned,new,in_progress,T030,T030,customer,queue_performance,878,crm,2026-04-14 16:28:24
EVT-00047427,TCK-013775,2025-07-18 04:02:39,created,,new,T013,T013,agent,queue_integration,844,crm,2025-07-18 04:54:39
EVT-00117358,TCK-004129,2026-04-04 10:02:37,reopened,resolved,in_progress,T016,T016,agent,queue_integration,137,chat_platform,2026-04-04 10:07:37
EVT-PRE-0023,TCK-010800,2025-10-28 11:59:22,assigned,new,in_progress,T014,T014,system,queue_invalid_time,0,workflow,2025-10-28 12:59:22
EVT-00064796,TCK-015487,2025-09-22 16:53:24,created,,new,T019,T019,agent,queue_access,236,crm,2025-09-22 17:13:24
EVT-00096118,TCK-017082,2026-01-18 05:08:46,created,,new,T018,T018,agent,queue_incident,453,crm,2026-01-18 05:22:46
EVT-00025622,TCK-017393,2025-04-22 14:00:39,closed,resolved,closed,T008,T008,agent,queue_billing,331,crm,2025-04-22 14:36:39
EVT-00063946,TCK-007662,2025-09-19 14:03:03,assigned,new,in_progress,T028,T028,system,queue_incident,605,chat_platform,2025-09-19 14:16:03
EVT-00028424,TCK-015275,2025-05-05 04:00:57,resolved,in_progress,resolved,T021,T021,agent,queue_billing,784,crm,2025-05-05 04:29:57
EVT-00134350,TCK-001040,2026-06-04 16:06:19,resolved,waiting_customer,resolved,T018,T018,agent,queue_access,772,crm,2026-06-04 17:05:19
EVT-00082603,TCK-021861,2025-11-27 12:40:25,created,,new,T006,T006,customer,queue_billing,593,crm,2025-11-27 14:08:25
EVT-00097707,TCK-007019,2026-01-23 17:53:07,assigned,new,in_progress,T024,T024,agent,queue_billing,417,workflow,2026-01-23 18:04:07
EVT-00074999,TCK-018283,2025-11-02 15:26:05,status_changed,in_progress,waiting_customer,T001,T001,system,queue_access,184,crm,2025-11-02 15:58:05
EVT-00009759,TCK-020172,2025-02-13 18:59:21,assigned,new,in_progress,T022,T022,agent,queue_integration,74,crm,2025-02-13 19:34:21
EVT-00125650,TCK-005007,2026-05-05 06:09:21,customer_response,in_progress,in_progress,T022,T022,agent,queue_performance,474,crm,2026-05-05 07:19:21
EVT-00009821,TCK-007698,2025-02-14 11:13:09,agent_response,in_progress,in_progress,T014,T014,agent,queue_integration,412,chat_platform,2025-02-14 12:31:09
EVT-00132323,TCK-004309,2026-05-28 15:29:26,escalated,in_progress,in_progress,T028,T028,agent,queue_performance,871,crm,2026-05-28 16:09:26
EVT-00058709,TCK-003379,2025-08-29 12:35:16,assigned,new,in_progress,T012,T012,agent,queue_access,664,chat_platform,2025-08-29 13:53:16
EVT-00012825,TCK-009921,2025-02-27 20:10:43,created,,new,T028,T028,agent,queue_incident,863,chat_platform,2025-02-27 20:28:43
EVT-00072074,TCK-008740,2025-10-20 14:52:36,assigned,new,in_progress,T028,T028,agent,queue_incident,393,crm,2025-10-20 15:06:36
EVT-00079328,TCK-018379,2025-11-17 15:02:45,resolved,in_progress,resolved,T025,T025,agent,queue_integration,834,chat_platform,2025-11-17 16:03:45
EVT-00105224,TCK-017886,2026-02-20 13:26:36,closed,resolved,closed,T009,T009,customer,queue_billing,504,crm,2026-02-20 13:53:36
EVT-00118388,TCK-016116,2026-04-08 00:14:30,closed,resolved,closed,T020,T020,agent,queue_access,221,crm,2026-04-08 01:04:30
EVT-00066785,TCK-002002,2025-09-30 08:19:24,created,,new,T014,T014,agent,queue_performance,85,crm,2025-09-30 08:37:24
EVT-00119337,TCK-008736,2026-04-10 20:57:24,assigned,new,in_progress,T022,T022,agent,queue_performance,685,chat_platform,2026-04-10 21:42:24
EVT-00024281,TCK-010066,2025-04-15 22:14:58,assigned,new,in_progress,T022,T022,agent,queue_billing,47,crm,2025-04-15 22:37:58
EVT-00109850,TCK-002583,2026-03-08 07:23:23,reopened,resolved,in_progress,T007,T007,agent,queue_incident,720,chat_platform,2026-03-08 08:25:23
EVT-00032006,TCK-004333,2025-05-17 20:27:25,created,,new,T028,T028,agent,queue_billing,493,workflow,2025-05-17 20:52:25
EVT-00076812,TCK-017076,2025-11-07 22:22:25,resolved,in_progress,resolved,T015,T015,agent,queue_billing,605,crm,2025-11-07 22:43:25
EVT-00005981,TCK-020268,2025-01-29 15:31:10,customer_response,in_progress,in_progress,T006,T006,customer,queue_consultation,48,workflow,2025-01-29 16:47:10
EVT-00064979,TCK-022055,2025-09-24 02:31:34,agent_response,in_progress,in_progress,T016,T016,agent,queue_incident,520,crm,2025-09-24 02:48:34
EVT-00058778,TCK-008553,2025-08-29 19:23:51,agent_response,in_progress,in_progress,T015,T015,agent,queue_performance,203,crm,2025-08-29 19:56:51
EVT-00121026,TCK-021432,2026-04-17 14:40:32,agent_response,in_progress,in_progress,T001,T001,agent,queue_integration,598,workflow,2026-04-17 14:53:32
EVT-00006841,TCK-021804,2025-02-01 17:42:51,closed,resolved,closed,T013,T013,agent,queue_performance,25,workflow,2025-02-01 18:53:51
EVT-00142394,TCK-001682,2026-06-24 20:11:35,closed,resolved,closed,T002,T002,agent,queue_consultation,160,workflow,2026-06-24 21:15:35
EVT-00123084,TCK-009231,2026-04-24 19:29:42,assigned,new,in_progress,T015,T015,agent,queue_consultation,1,chat_platform,2026-04-24 19:51:42
EVT-00017557,TCK-022587,2025-03-19 14:20:40,created,,new,T030,T030,agent,queue_consultation,431,chat_platform,2025-03-19 15:22:40
EVT-00010241,TCK-022907,2025-02-18 14:23:35,closed,resolved,closed,T031,T031,agent,queue_incident,118,chat_platform,2025-02-18 14:40:35
EVT-00043842,TCK-019996,2025-07-04 01:38:40,status_changed,in_progress,in_progress,T009,T009,agent,queue_incident,681,workflow,2025-07-04 02:19:40
EVT-00064660,TCK-015329,2025-09-23 13:13:14,resolved,in_progress,resolved,T020,T020,agent,queue_incident,23,workflow,2025-09-23 13:44:14
EVT-00015664,TCK-008074,2025-03-11 21:02:40,agent_response,in_progress,in_progress,T018,T018,system,queue_billing,13,crm,2025-03-11 21:44:40
EVT-00114176,TCK-007511,2026-03-23 23:46:44,agent_response,in_progress,in_progress,T010,T010,customer,queue_performance,597,crm,2026-03-24 00:32:44
EVT-00082954,TCK-015449,2025-11-28 13:02:01,created,,new,T027,T027,system,queue_performance,535,crm,2025-11-28 13:28:01
EVT-00077373,TCK-004043,2025-11-10 14:21:36,transferred,in_progress,in_progress,T004,T004,agent,queue_incident,404,workflow,2025-11-10 14:27:36
EVT-00110433,TCK-007878,2026-03-10 09:07:48,created,,new,T006,T006,agent,queue_access,449,crm,2026-03-10 09:54:48
EVT-00008951,TCK-017852,2025-02-11 06:44:26,escalated,in_progress,in_progress,T018,T018,agent,queue_access,379,chat_platform,2025-02-11 07:01:26
EVT-00050676,TCK-019603,2025-07-31 10:21:08,created,,new,T010,T010,agent,queue_consultation,658,chat_platform,2025-07-31 10:36:08
EVT-00096662,TCK-009221,2026-01-19 23:54:06,assigned,new,in_progress,T007,T007,agent,queue_integration,547,workflow,2026-01-20 01:19:06
EVT-00007802,TCK-003872,2025-02-05 12:31:57,transferred,in_progress,in_progress,T029,T029,system,queue_performance,185,crm,2025-02-05 13:23:57
EVT-00062505,TCK-007825,2025-09-15 09:00:43,resolved,in_progress,resolved,T004,T004,agent,queue_access,632,crm,2025-09-15 10:04:43
EVT-00088254,TCK-014912,2025-12-17 16:50:28,assigned,new,in_progress,T007,T007,agent,queue_integration,118,chat_platform,2025-12-17 17:58:28
EVT-00050265,TCK-021387,2025-07-30 13:28:24,closed,resolved,closed,T002,T002,agent,queue_consultation,445,chat_platform,2025-07-30 14:12:24
EVT-00007091,TCK-015035,2025-02-03 03:27:59,agent_response,in_progress,in_progress,T026,T026,agent,queue_billing,662,workflow,2025-02-03 03:51:59
EVT-00108956,TCK-010038,2026-03-04 13:26:15,created,,new,T013,T013,agent,queue_incident,16,crm,2026-03-04 14:39:15
EVT-00126824,TCK-016838,2026-05-08 16:16:29,reopened,resolved,in_progress,T005,T005,customer,queue_billing,805,crm,2026-05-08 16:48:29
EVT-00025389,TCK-021380,2025-04-21 07:29:22,created,,new,T009,T009,agent,queue_billing,757,crm,2025-04-21 07:30:22
EVT-00061993,TCK-021830,2025-09-11 16:38:49,created,,new,T021,T021,customer,queue_access,605,workflow,2025-09-11 16:52:49
EVT-00057737,TCK-007250,2025-08-27 16:41:12,resolved,in_progress,resolved,T001,T001,agent,queue_incident,126,crm,2025-08-27 17:22:12
EVT-00097961,TCK-015779,2026-01-25 04:47:31,created,,new,T005,T005,customer,queue_billing,439,workflow,2026-01-25 04:57:31
EVT-00076484,TCK-014659,2025-11-07 00:08:07,status_changed,in_progress,in_progress,T014,T014,customer,queue_access,854,workflow,2025-11-07 01:20:07
EVT-00080871,TCK-014237,2025-11-22 11:00:35,closed,resolved,closed,T013,T013,agent,queue_billing,204,crm,2025-11-22 12:11:35
EVT-00118703,TCK-003368,2026-04-08 14:24:32,created,,new,T010,T010,system,queue_billing,373,crm,2026-04-08 14:38:32
EVT-00072482,TCK-021030,2025-10-21 19:48:08,agent_response,in_progress,in_progress,T024,T024,customer,queue_performance,472,crm,2025-10-21 20:57:08
EVT-00130996,TCK-010206,2026-05-23 15:57:42,closed,resolved,closed,T001,T001,agent,queue_billing,737,workflow,2026-05-23 16:27:42
EVT-00084497,TCK-023483,2025-12-04 11:57:10,transferred,in_progress,in_progress,T014,T014,agent,queue_access,673,chat_platform,2025-12-04 12:47:10
EVT-00113062,TCK-021338,2026-03-18 23:09:12,created,,new,T015,T015,agent,queue_incident,598,crm,2026-03-18 23:59:12
EVT-00143988,TCK-000665,2026-06-30 00:45:40,escalated,in_progress,in_progress,T005,T005,system,queue_performance,769,crm,2026-06-30 01:28:40
EVT-00137770,TCK-000914,2026-06-11 12:09:11,created,,new,T002,T002,agent,queue_billing,494,crm,2026-06-11 12:32:11
EVT-00127221,TCK-004040,2026-05-10 14:25:12,agent_response,in_progress,in_progress,T022,T022,system,queue_access,637,crm,2026-05-10 14:45:12
EVT-00104784,TCK-009885,2026-02-17 22:08:43,assigned,new,in_progress,T013,T013,system,queue_access,623,workflow,2026-02-17 22:19:43
EVT-00131201,TCK-006066,2026-05-24 11:35:28,created,,new,T006,T006,agent,queue_integration,863,crm,2026-05-24 12:20:28
EVT-00123117,TCK-004061,2026-04-24 23:14:54,reopened,resolved,in_progress,T010,T010,agent,queue_integration,381,crm,2026-04-25 00:08:54
EVT-00005400,TCK-023407,2025-01-26 11:27:59,status_changed,in_progress,in_progress,T016,T016,agent,queue_integration,743,workflow,2025-01-26 12:53:59
