order_id,order_date,region,channel,category,product,quantity,unit_price,discount_pct,status
ORD-100053,2026-01-25,Москва,retail,Аксессуары,Мышь беспроводная,1,1935.82,0.15,returned
ORD-100054,2026-04-17,Санкт-Петербург,retail,Аксессуары,Мышь беспроводная,2,1758.33,0.05,completed
ORD-100055,2026-06-15,Казань,online,Аксессуары,Мышь беспроводная,2,1932.56,0.1,returned
ORD-100056,2026-03-04,Москва,online,Аксессуары,Мышь беспроводная,0,1945.65,0,completed
ORD-100057,2026-03-14,Санкт-Петербург,retail,Периферия,Принтер,1,19884.55,0.05,completed
ORD-100058,2026-03-12,Санкт-Петербург,online,Периферия,Принтер,2,20469.84,0.2,completed
ORD-100059,2026-01-13,Казань,retail,Аксессуары,Гарнитура,1,4662.07,0,completed
ORD-100060,2026-02-23,Санкт-Петербург,partner,Мониторы,Монитор 24,2,16862.98,0.1,completed
ORD-100061,2026-06-18,Санкт-Петербург,retail,Мониторы,Монитор 27,1,24268.85,0.05,completed
ORD-100062,2026-05-10,Санкт-Петербург,online,Ноутбуки,Ноутбук Pro 15,4,71323.7,0.1,completed
ORD-100063,2026-01-12,Санкт-Петербург,retail,Аксессуары,Клавиатура,2,3073.03,0,completed
ORD-100064,2026-05-26,Новосибирск,retail,Мониторы,Монитор 24,2,17124.55,0,completed
ORD-100065,2026-02-28,Екатеринбург,retail,Ноутбуки,Ноутбук Pro 15,4,71100.16,0,completed
ORD-100066,2026-05-21,Краснодар,online,Хранение данных,Внешний диск 2 ТБ,1,10672.42,0.15,completed
ORD-100067,2026-05-31,Казань,partner,Смартфоны,Смартфон Lite,4,21053.34,0,completed
ORD-100068,2026-06-05,Краснодар,online,Аксессуары,Гарнитура,3,4463.42,0,completed
ORD-100069,2026-02-09,Краснодар,partner,Мониторы,Монитор 27,4,23605.28,0,completed
ORD-100070,2026-06-02,Екатеринбург,partner,Хранение данных,SSD 1 ТБ,1,9447.61,0,completed
ORD-100071,2026-02-01,Краснодар,online,Ноутбуки,Ноутбук Start 14,1,52125.26,0.1,completed
ORD-100072,2026-03-13,Новосибирск,online,Ноутбуки,Ноутбук Start 14,1,47377.64,0,completed
ORD-100073,2026-06-25,Казань,retail,Смартфоны,Смартфон Lite,2,0,0.05,completed
ORD-100074,2026-04-13,Екатеринбург,partner,Сетевое оборудование,Коммутатор,1,9104.0,0.2,completed
ORD-100075,2026-05-14,Екатеринбург,online,Сетевое оборудование,Wi-Fi роутер,3,6169.62,0.2,completed
ORD-100076,2026-06-06,Новосибирск,retail,Ноутбуки,Ноутбук Start 14,1,52207.45,0.15,completed
ORD-100077,2026-01-31,Санкт-Петербург,partner,Хранение данных,SSD 1 ТБ,1,9008.18,0,completed
ORD-100078,2026-02-28,Новосибирск,online,Мониторы,Монитор 24,2,16139.01,0.05,completed
ORD-100079,2026-06-08,Екатеринбург,retail,Периферия,Сканер,3,15938.89,0,completed
ORD-100080,2026-05-25,Краснодар,online,Смартфоны,Смартфон Plus,1,36802.09,0,completed
ORD-100081,2026-02-15,Екатеринбург,retail,Периферия,Сканер,1,15205.7,0.15,completed
ORD-100082,2026-01-08,Новосибирск,partner,Ноутбуки,Ноутбук Start 14,2,50145.71,0.05,completed
ORD-100083,2026-05-29,Краснодар,online,Хранение данных,Внешний диск 2 ТБ,1,10210.25,0.1,completed
ORD-100084,2026-02-18,Новосибирск,retail,Мониторы,Монитор 24,3,16752.46,0.05,completed
ORD-100085,2026-06-13,Санкт-Петербург,retail,Сетевое оборудование,Коммутатор,4,8724.27,0,completed
ORD-100086,2026-04-28,Екатеринбург,online,Хранение данных,SSD 1 ТБ,3,9654.61,0,completed
ORD-100087,2026-03-06,Москва,online,Сетевое оборудование,Коммутатор,4,8714.61,0.1,completed
ORD-100088,2026-03-11,Москва,online,Периферия,Сканер,1,16500.59,0.05,completed
ORD-100089,2026-04-23,Санкт-Петербург,online,Аксессуары,Мышь беспроводная,2,1881.55,0,completed
ORD-100090,2026-05-30,Москва,online,Мониторы,Монитор 27,1,25282.71,0,completed
ORD-100091,2026-02-07,Краснодар,retail,Сетевое оборудование,Wi-Fi роутер,1,6061.5,0.1,Completed 
ORD-100092,2026-04-02,Краснодар,retail,Сетевое оборудование,Wi-Fi роутер,5,5939.51,0.2,completed
ORD-100093,2026-01-07,Москва,retail,Аксессуары,Клавиатура,1,3126.99,0,completed
ORD-100094,2026-05-11,Москва,partner,Ноутбуки,Ноутбук Pro 15,2,78674.53,0.15,completed
ORD-100095,2026-03-07,Санкт-Петербург,retail,Мониторы,Монитор 24,1,15989.43,0.2,completed
ORD-100096,2026-06-01,Казань,retail,Сетевое оборудование,Коммутатор,1,8572.16,0.1,completed
ORD-100097,2026-02-19,Санкт-Петербург,online,Хранение данных,Внешний диск 2 ТБ,1,10065.16,0.05,completed
ORD-100098,2026-03-26,Москва,retail,Сетевое оборудование,Wi-Fi роутер,2,6431.34,0.1,completed
ORD-100099,2026-04-24,Казань,online,Хранение данных,Внешний диск 2 ТБ,2,11113.03,0.1,completed
ORD-100100,2026-03-24,Казань,online,Мониторы,Монитор 24,3,16971.48,0.05,completed
ORD-100101,2026-05-06,Новосибирск,online,Сетевое оборудование,Коммутатор,3,8716.18,0,cancelled
ORD-100102,2026-02-22,Санкт-Петербург,partner,Периферия,Принтер,1,20692.45,0,completed
ORD-100103,2026-03-14,Санкт-Петербург,online,Аксессуары,Мышь беспроводная,1,1881.81,0.1,completed
ORD-100104,2026-06-04,Новосибирск,retail,Ноутбуки,Ноутбук Pro 15,2,78550.77,0,cancelled
ORD-100105,2026-06-23,Краснодар,retail,Смартфоны,Смартфон Lite,1,23025.93,0.05,completed
ORD-100106,2026-01-28,Казань,online,Хранение данных,Внешний диск 2 ТБ,3,9972.68,0.1,completed
ORD-100107,2026-02-05,Новосибирск,online,Хранение данных,SSD 1 ТБ,3,9322.63,0.05,completed
ORD-100108,2026-05-15,Краснодар,online,Сетевое оборудование,Wi-Fi роутер,3,6253.94,0.2,cancelled
ORD-100109,2026-05-27,Новосибирск,online,Мониторы,Монитор 24,1,17491.11,0,completed
ORD-100110,2026-02-23,Краснодар,retail,Смартфоны,Смартфон Lite,1,21195.25,0,completed
ORD-100111,2026-02-17,Новосибирск,online,Аксессуары,Мышь беспроводная,1,1777.22,0,cancelled
ORD-100112,2026-06-09,Москва,online,Сетевое оборудование,Коммутатор,1,8709.17,0.1,completed
ORD-100113,2026-04-06,Казань,online,Хранение данных,SSD 1 ТБ,1,9765.77,0,returned
ORD-100114,2026-05-17,Казань,retail,Смартфоны,Смартфон Lite,1,22333.82,0.1,completed
ORD-100115,2026-02-19,Новосибирск,retail,Мониторы,Монитор 24,1,17247.95,0.2,cancelled
ORD-100116,2026-01-09,Краснодар,retail,Хранение данных,Внешний диск 2 ТБ,1,10057.14,0,completed
ORD-100117,2026-05-18,Екатеринбург,retail,Хранение данных,SSD 1 ТБ,1,8865.85,0.15,completed
ORD-100118,2026-02-10,,partner,Мониторы,Монитор 24,1,16823.51,0.2,cancelled
ORD-100119,2026-05-19,Санкт-Петербург,online,Мониторы,Монитор 24,2,15811.37,0.2,completed
ORD-100120,2026-01-11,Новосибирск,online,Аксессуары,Мышь беспроводная,2,1782.41,0,completed
ORD-100121,2026-05-19,Казань,online,Периферия,Сканер,1,15224.5,0.1,completed
ORD-100122,2026-04-14,Казань,retail,Аксессуары,Клавиатура,2,3498.14,0,completed
ORD-100123,2026-02-06,Санкт-Петербург,online,Мониторы,Монитор 24,1,16751.33,0.1,cancelled
ORD-100124,2026-05-05,Краснодар,online,Ноутбуки,Ноутбук Start 14,2,47056.67,0,completed
ORD-100125,2026-04-06,Краснодар,retail,Периферия,Сканер,1,15160.22,0.1,completed
ORD-100126,2026-03-07,Новосибирск,partner,Периферия,Сканер,4,14692.33,0.1,returned
ORD-100127,2026-06-07,Москва,online,Ноутбуки,Ноутбук Start 14,1,51957.3,0.05,completed
ORD-100128,2026-03-23,Новосибирск,online,Смартфоны,Смартфон Lite,3,21730.36,0.05,completed
ORD-100129,2026-03-26,Казань,retail,Хранение данных,SSD 1 ТБ,1,8839.23,0.1,completed
ORD-100130,2026-06-24,Екатеринбург,retail,Мониторы,Монитор 24,1,16408.43,0.15,cancelled
ORD-100131,2026-05-24,Новосибирск,online,Смартфоны,Смартфон Lite,1,21437.96,0.1,completed
ORD-100132,2026-06-08,Краснодар,online,Ноутбуки,Ноутбук Start 14,1,49120.06,0.1,cancelled
ORD-100133,2026-02-22,Санкт-Петербург,online,Хранение данных,SSD 1 ТБ,2,8906.03,0.1,completed
ORD-100134,2026-01-02,Казань,retail,Мониторы,Монитор 24,2,17312.29,0,completed
ORD-100135,2026-05-10,Екатеринбург,retail,Ноутбуки,Ноутбук Pro 15,3,71891.7,0.15,completed
ORD-100136,2026-03-30,Казань,retail,Аксессуары,Гарнитура,1,4606.25,0,returned
ORD-100137,2026-03-30,Санкт-Петербург,retail,Аксессуары,Гарнитура,1,4629.11,0.1,completed
ORD-100138,2026-05-31,Москва,retail,Хранение данных,SSD 1 ТБ,1,9766.75,0,completed
ORD-100139,2026-01-08,Екатеринбург,online,  Сетевое оборудование ,Коммутатор,1,8220.5,0,completed
ORD-100140,2026-05-05,Екатеринбург,online,Аксессуары,Клавиатура,1,3158.06,0,completed
ORD-100141,2026-03-30,Краснодар,online,Мониторы,Монитор 27,1,24968.5,0,completed
ORD-100142,2026-01-15,Москва,partner,Сетевое оборудование,Коммутатор,2,8869.87,0,completed
ORD-100143,2026-02-13,Краснодар,online,Периферия,Принтер,1,18745.23,0.1,cancelled
ORD-100144,2026-03-23,Москва,retail,Периферия,Сканер,1,16380.85,0.05,completed
ORD-100145,2026-05-17,Новосибирск,online,Периферия,Принтер,1,19196.31,0.1,returned
ORD-100146,2026-02-18,Екатеринбург,retail,Смартфоны,Смартфон Lite,1,22536.72,0,cancelled
ORD-100147,2026-04-05,Екатеринбург,online,Периферия,Сканер,3,14528.21,0,completed
ORD-100148,2026-03-27,Москва,retail,Периферия,Сканер,2,16440.62,0.05,completed
ORD-100149,2026-03-12,Новосибирск,online,Ноутбуки,Ноутбук Pro 15,2,77057.64,0,completed
ORD-100150,2026-05-15,Краснодар,online,Аксессуары,Мышь беспроводная,3,1785.62,0.2,completed
ORD-100151,2026-03-30,Санкт-Петербург,online,Аксессуары,Клавиатура,5,3371.5,0,completed
ORD-100152,2026-03-07,Екатеринбург,retail,Ноутбуки,Ноутбук Pro 15,3,71215.2,0.1,completed
ORD-100153,2026-02-28,Москва,retail,Мониторы,Монитор 27,1,25354.7,0,completed
ORD-100154,2026-04-17,Новосибирск,online,Мониторы,Монитор 27,4,24775.25,0.15,completed
ORD-100155,2026-05-02,Новосибирск,online,Сетевое оборудование,Коммутатор,1,8419.93,0,completed
ORD-100156,2026-03-22,Екатеринбург,partner,Хранение данных,Внешний диск 2 ТБ,1,10635.22,0.05,completed
ORD-100157,2026-05-14,Санкт-Петербург,online,Ноутбуки,Ноутбук Start 14,2,47924.68,0,completed
ORD-100158,2026-04-24,Казань,retail,Мониторы,Монитор 27,2,24971.31,0,cancelled
ORD-100159,2026-06-21,Казань,online,Смартфоны,Смартфон Lite,3,22307.24,0.05,completed
ORD-100160,2026-03-05,Санкт-Петербург,retail,Хранение данных,SSD 1 ТБ,4,9701.81,0.1,completed
ORD-100161,2026-03-16,Екатеринбург,retail,Смартфоны,Смартфон Lite,2,22073.91,0.1,completed
ORD-100162,2026-06-27,Новосибирск,online,Аксессуары,Гарнитура,2,4736.88,0.05,returned
ORD-100163,2026-02-28,Санкт-Петербург,online,Периферия,Сканер,1,16208.35,0.05,completed
ORD-100164,2026-05-15,Екатеринбург,partner,Смартфоны,Смартфон Plus,3,38121.82,0,completed
ORD-100165,2026-02-01,Екатеринбург,partner,Хранение данных,SSD 1 ТБ,3,9281.31,0,completed
ORD-100166,2026-02-13,Москва,online,Периферия,Сканер,1,16341.09,0,completed
ORD-100167,2026-02-11,Екатеринбург,partner,Сетевое оборудование,Wi-Fi роутер,1,6445.41,0.1,cancelled
ORD-100168,2026-02-13,Екатеринбург,online,Сетевое оборудование,Коммутатор,1,8791.82,0,completed
ORD-100169,2026-04-11,Екатеринбург,online,Ноутбуки,Ноутбук Start 14,1,50407.86,0,completed
ORD-100170,2026-02-24,Новосибирск,online,Аксессуары,Мышь беспроводная,1,1820.46,0.15,completed
ORD-100171,2026-03-09,Екатеринбург,online,Смартфоны,Смартфон Plus,5,38957.03,0.05,completed
ORD-100172,2026-01-02,Екатеринбург,online,Мониторы,Монитор 24,1,17280.91,0.15,completed
ORD-100173,2026-02-10,Москва,online,Аксессуары,Гарнитура,1,4456.18,0,completed
ORD-100174,2026-01-03,Новосибирск,online,Смартфоны,Смартфон Lite,1,22441.22,0.15,cancelled
ORD-100175,2026-01-09,Москва,online,Смартфоны,Смартфон Lite,3,22401.1,0,returned
ORD-100176,2026-06-14,Санкт-Петербург,retail,Смартфоны,Смартфон Lite,1,20323.03,0,completed
ORD-100177,2026-04-23,Санкт-Петербург,online,Аксессуары,Мышь беспроводная,2,1814.63,0.1,completed
ORD-100178,2026-02-19,Екатеринбург,online,Смартфоны,Смартфон Plus,2,41499.77,0.1,completed
ORD-100179,2026-06-05,Москва,partner,Ноутбуки,Ноутбук Start 14,2,45965.08,0,completed
ORD-100180,2026-01-19,Краснодар,retail,Периферия,Сканер,2,15341.81,0,completed
ORD-100181,2026-06-28,Санкт-Петербург,retail,Мониторы,Монитор 24,1,16998.88,0,completed
ORD-100182,2026-03-27,Казань,retail,Периферия,Сканер,4,14836.47,0,completed
ORD-100183,2026-03-22,Новосибирск,retail,Ноутбуки,Ноутбук Pro 15,2,70503.23,0.1,completed
ORD-100184,2026-01-15,Краснодар,online,Аксессуары,Клавиатура,5,3330.68,0.05,completed
ORD-100185,2026-01-14,Екатеринбург,retail,Аксессуары,Мышь беспроводная,1,1882.46,0.05,completed
ORD-100186,2026-05-12,Новосибирск,partner,Смартфоны,Смартфон Plus,4,39296.24,0,completed
ORD-100187,2026-03-10,Москва,retail,Хранение данных,SSD 1 ТБ,1,9108.65,0,cancelled
ORD-100188,2026-06-27,Санкт-Петербург,partner,Ноутбуки,Ноутбук Pro 15,2,70100.4,0,completed
ORD-100189,2026-02-19,Екатеринбург,online,Сетевое оборудование,Wi-Fi роутер,1,6487.26,0.05,completed
ORD-100190,2026-04-11,Казань,partner,Мониторы,Монитор 24,2,17025.56,0.05,completed
ORD-100191,2026-01-17,Новосибирск,retail,Аксессуары,Мышь беспроводная,1,1887.24,0,completed
ORD-100192,2026-06-15,Москва,retail,Ноутбуки,Ноутбук Start 14,1,47845.5,0,completed
ORD-100193,2026-01-04,Новосибирск,online,Аксессуары,Клавиатура,1,3242.53,0.05,completed
ORD-100194,2026-05-23,Санкт-Петербург,online,Хранение данных,SSD 1 ТБ,1,9374.34,0,returned
ORD-100195,2026-01-10,Казань,retail,Ноутбуки,Ноутбук Pro 15,1,78491.16,0.05,completed
ORD-100196,2026-03-26,Краснодар,retail,Аксессуары,Мышь беспроводная,1,1787.42,0.05,completed
ORD-100197,2026-03-21,Екатеринбург,retail,Периферия,Сканер,1,15574.3,0.1,completed
ORD-100198,2026-04-11,Москва,online,Мониторы,Монитор 27,2,24201.1,0.15,completed
ORD-100199,2026-03-29,Новосибирск,retail,Смартфоны,Смартфон Lite,2,20944.04,0.05,completed
ORD-100200,2026-06-03,Краснодар,online,Мониторы,Монитор 24,3,16250.3,0.15,completed
ORD-100201,2026-04-25,Казань,partner,Хранение данных,Внешний диск 2 ТБ,3,11026.48,0,completed
ORD-100202,2026-05-20,Новосибирск,retail,Аксессуары,Гарнитура,1,4714.54,0,completed
ORD-100203,2026-03-27,Краснодар,online,Хранение данных,Внешний диск 2 ТБ,1,10362.02,0,completed
ORD-100204,2026-02-22,Москва,retail,Сетевое оборудование,Коммутатор,-1,9289.44,0,completed
ORD-100205,2026-04-14,Казань,online,Мониторы,Монитор 24,1,16399.44,0.1,cancelled
ORD-100206,2026-04-23,Москва,partner,Аксессуары,Мышь беспроводная,3,1823.84,0,completed
ORD-100207,2026-02-24,Москва,online,Ноутбуки,Ноутбук Start 14,3,46795.14,0,completed
ORD-100208,2026-06-19,Казань,retail,Смартфоны,Смартфон Plus,1,37369.98,0.1,completed
ORD-100209,2026-02-22,Екатеринбург,partner,Хранение данных,SSD 1 ТБ,1,9466.0,0,completed
ORD-100210,2026-06-19,Новосибирск,partner,Аксессуары,Гарнитура,2,4940.49,0,completed
ORD-100211,2026-04-13,Екатеринбург,online,Сетевое оборудование,Коммутатор,2,8795.72,0.1,returned
ORD-100212,2026-05-14,Казань,online,Ноутбуки,Ноутбук Start 14,2,47748.12,0.05,completed
ORD-100213,2026-06-12,Краснодар,partner,Аксессуары,Мышь беспроводная,2,1844.55,0.05,completed
ORD-100214,2026-03-13,Краснодар,online,Аксессуары,Клавиатура,4,3384.75,0,completed
ORD-100215,2026-02-24,Екатеринбург,online,Периферия,Принтер,1,18794.43,0,completed
ORD-100216,2026-01-14,Москва,partner,Аксессуары,Гарнитура,2,4814.5,0,completed
ORD-100217,2026-03-09,Санкт-Петербург,partner,Аксессуары,Мышь беспроводная,3,1870.26,0.05,completed
ORD-100218,2026-03-19,Москва  ,retail,Мониторы,Монитор 24,2,16773.08,0.15,completed
ORD-100219,2026-05-02,Казань,retail,Мониторы,Монитор 27,1,24724.53,0,completed
ORD-100220,2026-04-30,Санкт-Петербург,retail,Аксессуары,Мышь беспроводная,1,1982.65,0.2,completed
ORD-100221,2026-05-16,Санкт-Петербург,online,Периферия,Принтер,3,20610.98,0.05,completed
ORD-100222,2026-04-23,Екатеринбург,online,Ноутбуки,Ноутбук Pro 15,1,71968.97,0,completed
ORD-100223,2026-06-14,Новосибирск,online,Мониторы,Монитор 27,1,26519.42,0,completed
ORD-100224,2026-02-24,Москва,partner,Аксессуары,Гарнитура,1,4887.6,0.05,completed
ORD-100225,2026-04-30,Казань,online,Ноутбуки,Ноутбук Start 14,2,47260.87,0.15,completed
ORD-100226,2026-01-03,Казань,online,Смартфоны,Смартфон Lite,3,22968.34,0.1,completed
ORD-100227,2026-02-20,Санкт-Петербург,partner,Хранение данных,SSD 1 ТБ,2,9010.12,0.05,completed
ORD-100228,2026-06-19,Екатеринбург,retail,Мониторы,Монитор 27,2,24184.44,0.05,completed
ORD-100229,2026-04-03,Москва,partner,Хранение данных,SSD 1 ТБ,1,9482.29,0.05,completed
ORD-100230,2026-03-01,Санкт-Петербург,retail,Смартфоны,Смартфон Plus,1,41026.34,0,returned
ORD-100231,2026-03-05,Санкт-Петербург,online,Аксессуары,Гарнитура,2,4998.35,0.05,cancelled
ORD-100232,2026-05-17,Екатеринбург,online,Аксессуары,Клавиатура,1,3349.6,0.15,cancelled
ORD-100233,2026-01-20,Москва,retail,Ноутбуки,Ноутбук Pro 15,1,71830.74,0.05,completed
ORD-100234,2026-02-01,Санкт-Петербург,retail,Периферия,Сканер,3,15563.09,0,completed
ORD-100235,2026-02-05,Санкт-Петербург,online,Аксессуары,Клавиатура,2,3144.6,0,completed
ORD-100236,2026-04-02,Москва,partner,Смартфоны,Смартфон Lite,3,21470.26,0,cancelled
ORD-100237,2026-03-17,Санкт-Петербург,retail,Периферия,Сканер,1,16382.85,0.05,completed
ORD-100238,2026-06-04,Москва,online,Ноутбуки,Ноутбук Pro 15,1,71812.42,0.05,completed
ORD-100239,2026-04-18,Екатеринбург,retail,Мониторы,Монитор 27,1,23552.25,0.1,completed
ORD-100240,2026-06-04,Новосибирск,partner,Сетевое оборудование,Wi-Fi роутер,2,6570.23,0,completed
ORD-100241,2026-03-17,Санкт-Петербург,retail,Хранение данных,Внешний диск 2 ТБ,1,9808.24,0,completed
ORD-100242,2026-01-19,Казань,retail,Ноутбуки,Ноутбук Pro 15,2,78023.02,0,completed
ORD-100243,2026-01-18,Казань,online,Сетевое оборудование,Коммутатор,3,8224.14,0,completed
ORD-100244,2026-06-03,Санкт-Петербург,retail,Аксессуары,Мышь беспроводная,1,1971.57,0.05,completed
ORD-100245,2026-05-29,,partner,Смартфоны,Смартфон Plus,1,37320.6,0.05,cancelled
ORD-100246,2026-01-31,Москва,retail,Мониторы,Монитор 27,2,23785.6,0,completed
ORD-100247,2026-06-15,Казань,online,Аксессуары,Мышь беспроводная,1,1798.24,0.05,completed
ORD-100248,2026-05-03,Новосибирск,retail,Аксессуары,Гарнитура,3,4812.55,0.05,completed
ORD-100249,2026-06-08,Новосибирск,online,Аксессуары,Мышь беспроводная,1,1871.67,0,completed
ORD-100250,2026-01-27,Москва,online,Мониторы,Монитор 24,2,15834.86,0,completed
ORD-100251,2026-02-08,Москва,partner,Периферия,Принтер,1,19444.18,0,completed
ORD-100252,2026-01-29,Санкт-Петербург,retail,Смартфоны,Смартфон Plus,1,41756.73,0,completed
ORD-100253,2026-01-03,Екатеринбург,online,Мониторы,Монитор 27,2,26796.58,0,completed
ORD-100254,2026-03-16,Краснодар,partner,Ноутбуки,Ноутбук Pro 15,2,73499.24,0.2,completed
ORD-100255,2026-04-27,Санкт-Петербург,retail,Хранение данных,Внешний диск 2 ТБ,4,9809.72,0.05,completed
ORD-100256,2026-05-22,Казань,retail,Аксессуары,Клавиатура,1,3201.08,0,completed
ORD-100257,2026-01-30,Казань,retail,Хранение данных,Внешний диск 2 ТБ,1,10012.45,0,completed
ORD-100258,2026-05-18,Краснодар,retail,Мониторы,Монитор 27,2,24744.28,0,completed
ORD-100259,2026-02-05,Новосибирск,partner,Ноутбуки,Ноутбук Pro 15,1,74190.9,0,completed
ORD-100260,2026-04-07,Екатеринбург,retail,Мониторы,Монитор 24,2,17020.94,0,cancelled
ORD-100261,2026-04-25,Екатеринбург,partner,Смартфоны,Смартфон Plus,1,36607.18,0,completed
ORD-100262,2026-06-19,Краснодар,online,Ноутбуки,Ноутбук Start 14,3,51654.62,0.2,completed
ORD-100263,2026-05-28,Краснодар,online,Сетевое оборудование,Коммутатор,4,8305.77,0,completed
ORD-100264,2026-01-15,Москва,retail,Хранение данных,SSD 1 ТБ,1,9465.27,0.2,completed
ORD-100265,2026-04-27,Казань,retail,Периферия,Принтер,3,19792.79,0,cancelled
