ticket_id,created_at,created_date,week_start,month_start,hour,weekday_number,weekday_name,is_weekend,period_part,customer_id,region_id,region_name_clean,macro_region_clean,support_team,channel,category,priority,first_response_min,first_response_bucket,resolution_hours,resolution_bucket,sla_breached,sla_status,satisfaction_score,satisfaction_band,segment,registration_date,loyalty_level,is_premium,record_count,channel_hypothesis_group,priority_hypothesis_group,sla_hypothesis_group
TCK-000585,2026-06-01 13:25:00,2026-06-01,2026-06-01,2026-06-01,13,1,Понедельник,0,Вторая половина,CUST-0017,R08,Краснодар,Юг,team_f,chat,technical,normal,5.4,5–15 мин,44.6,24–48 ч,1,SLA нарушен,3.2,Средняя,b2c,2025-04-03,,0,1,chat,normal,sla_breached
TCK-000549,2026-04-29 11:28:00,2026-04-29,2026-04-27,2026-04-01,11,3,Среда,0,Вторая половина,CUST-0246,R01,Москва,Центр,team_a,chat,technical,critical,1.0,До 5 мин,81.3,Более 72 ч,1,SLA нарушен,2.6,Низкая,b2b,2025-07-14,silver,0,1,chat,other,sla_breached
TCK-000311,2026-04-17 09:21:00,2026-04-17,2026-04-13,2026-04-01,9,5,Пятница,0,Первая половина,CUST-0264,R05,Новосибирск,Сибирь,team_e,email,account,high,28.3,15–30 мин,4.8,До 8 ч,0,SLA выполнен,5.0,Высокая,b2c,2024-04-24,bronze,0,1,email,high,sla_ok
TCK-000567,2026-04-21 10:41:00,2026-04-21,2026-04-20,2026-04-01,10,2,Вторник,0,Вторая половина,CUST-0189,R07,Нижний Новгород,Поволжье,team_c,phone,technical,normal,12.8,5–15 мин,47.0,24–48 ч,1,SLA нарушен,3.2,Средняя,b2b,2025-10-09,gold,0,1,other,normal,sla_breached
TCK-000562,2026-03-20 09:07:00,2026-03-20,2026-03-16,2026-03-01,9,5,Пятница,0,Первая половина,CUST-0205,,Неизвестный регион,Неизвестно,,email,technical,high,16.4,15–30 мин,92.5,Более 72 ч,1,SLA нарушен,1.0,Низкая,b2c,2025-10-30,bronze,0,1,email,high,sla_breached
TCK-000651,2026-05-08 09:30:00,2026-05-08,2026-05-04,2026-05-01,9,5,Пятница,0,Вторая половина,CUST-0187,R01,Москва,Центр,team_a,web_form,technical,normal,4.2,До 5 мин,65.3,48–72 ч,1,SLA нарушен,2.3,Низкая,b2c,2024-05-03,bronze,0,1,other,normal,sla_breached
TCK-001252,2026-04-01 17:52:00,2026-04-01,2026-03-30,2026-04-01,17,3,Среда,0,Первая половина,CUST-0211,R08,Краснодар,Юг,team_f,email,payment,high,17.6,15–30 мин,41.9,24–48 ч,1,SLA нарушен,3.0,Средняя,b2b,2024-12-26,gold,0,1,email,high,sla_breached
TCK-001091,2026-03-28 15:38:00,2026-03-28,2026-03-23,2026-03-01,15,6,Суббота,1,Первая половина,CUST-0057,R01,Москва,Центр,team_a,email,login,high,13.2,5–15 мин,4.2,До 8 ч,0,SLA выполнен,,,b2c,2025-02-12,bronze,0,1,email,high,sla_ok
TCK-001347,2026-05-21 16:15:00,2026-05-21,2026-05-18,2026-05-01,16,4,Четверг,0,Вторая половина,CUST-0040,R01,Москва,Центр,team_a,phone,technical,normal,4.5,До 5 мин,40.8,24–48 ч,1,SLA нарушен,3.2,Средняя,b2c,2024-03-16,bronze,0,1,other,normal,sla_breached
TCK-000987,2026-06-03 14:49:00,2026-06-03,2026-06-01,2026-06-01,14,3,Среда,0,Вторая половина,CUST-0239,R03,Казань,Поволжье,team_c,phone,payment,normal,11.6,5–15 мин,10.5,8–24 ч,0,SLA выполнен,4.4,Средняя,b2c,2024-02-25,bronze,0,1,other,normal,sla_ok
TCK-001092,2026-03-06 15:08:00,2026-03-06,2026-03-02,2026-03-01,15,5,Пятница,0,Первая половина,CUST-0114,R05,Новосибирск,Сибирь,team_e,email,login,normal,32.0,30–60 мин,9.2,8–24 ч,0,SLA выполнен,4.4,Средняя,b2c,2025-07-21,silver,0,1,email,normal,sla_ok
TCK-000454,2026-04-08 19:06:00,2026-04-08,2026-04-06,2026-04-01,19,3,Среда,0,Первая половина,CUST-0296,R01,Москва,Центр,team_a,chat,technical,low,9.1,5–15 мин,3.9,До 8 ч,0,SLA выполнен,5.0,Высокая,b2b,2025-04-27,silver,0,1,chat,other,sla_ok
TCK-000472,2026-06-03 09:47:00,2026-06-03,2026-06-01,2026-06-01,9,3,Среда,0,Вторая половина,CUST-0065,R01,Москва,Центр,team_a,chat,technical,normal,8.7,5–15 мин,20.4,8–24 ч,0,SLA выполнен,5.0,Высокая,b2c,2025-09-12,bronze,0,1,chat,normal,sla_ok
TCK-000325,2026-04-20 15:33:00,2026-04-20,2026-04-20,2026-04-01,15,1,Понедельник,0,Вторая половина,CUST-0174,R05,Новосибирск,Сибирь,team_e,email,login,normal,37.3,30–60 мин,2.4,До 8 ч,0,SLA выполнен,4.5,Высокая,vip,2024-04-22,gold,1,1,email,normal,sla_ok
TCK-000428,2026-04-16 14:57:00,2026-04-16,2026-04-13,2026-04-01,14,4,Четверг,0,Первая половина,CUST-0300,R03,Казань,Поволжье,team_c,web_form,refund,high,13.5,5–15 мин,38.0,24–48 ч,1,SLA нарушен,2.9,Низкая,b2c,2024-11-21,bronze,0,1,other,high,sla_breached
TCK-001217,2026-06-08 11:36:00,2026-06-08,2026-06-08,2026-06-01,11,1,Понедельник,0,Вторая половина,CUST-0039,R01,Москва,Центр,team_a,chat,technical,normal,3.4,До 5 мин,11.9,8–24 ч,0,SLA выполнен,5.0,Высокая,b2c,2024-02-09,silver,0,1,chat,normal,sla_ok
TCK-000462,2026-04-14 17:26:00,2026-04-14,2026-04-13,2026-04-01,17,2,Вторник,0,Первая половина,CUST-0183,R02,Санкт-Петербург,Северо-Запад,team_b,email,account,critical,34.3,30–60 мин,7.3,До 8 ч,0,SLA выполнен,4.0,Средняя,b2c,2025-12-19,bronze,0,1,email,other,sla_ok
TCK-000307,2026-04-11 18:57:00,2026-04-11,2026-04-06,2026-04-01,18,6,Суббота,1,Первая половина,CUST-0311,R04,Екатеринбург,Урал,team_d,email,delivery,normal,31.2,30–60 мин,14.7,8–24 ч,0,SLA выполнен,5.0,Высокая,b2c,2024-08-23,bronze,0,1,email,normal,sla_ok
TCK-001463,2026-05-17 13:25:00,2026-05-17,2026-05-11,2026-05-01,13,7,Воскресенье,1,Вторая половина,CUST-0065,R04,Екатеринбург,Урал,team_d,web_form,technical,normal,60.2,Более 60 мин,249.5,Более 72 ч,1,SLA нарушен,2.3,Низкая,b2c,2025-09-12,bronze,0,1,other,normal,sla_breached
TCK-001481,2026-04-11 18:01:00,2026-04-11,2026-04-06,2026-04-01,18,6,Суббота,1,Первая половина,CUST-0224,R04,Екатеринбург,Урал,team_d,email,account,normal,28.2,15–30 мин,9.3,8–24 ч,0,SLA выполнен,4.6,Высокая,vip,2024-05-02,platinum,1,1,email,normal,sla_ok
TCK-000310,2026-05-25 16:14:00,2026-05-25,2026-05-25,2026-05-01,16,1,Понедельник,0,Вторая половина,CUST-0097,R01,Москва,Центр,team_a,email,delivery,low,48.4,30–60 мин,13.2,8–24 ч,0,SLA выполнен,3.4,Средняя,b2c,2025-08-05,bronze,0,1,email,other,sla_ok
TCK-000352,2026-05-25 18:11:00,2026-05-25,2026-05-25,2026-05-01,18,1,Понедельник,0,Вторая половина,CUST-0170,R04,Екатеринбург,Урал,team_d,phone,login,normal,12.7,5–15 мин,1.5,До 8 ч,0,SLA выполнен,3.9,Средняя,vip,2024-01-23,gold,1,1,other,normal,sla_ok
TCK-001047,2026-04-27 17:08:00,2026-04-27,2026-04-27,2026-04-01,17,1,Понедельник,0,Вторая половина,CUST-0292,R07,Нижний Новгород,Поволжье,team_c,chat,technical,normal,6.4,5–15 мин,37.0,24–48 ч,1,SLA нарушен,3.9,Средняя,b2c,2024-08-28,silver,0,1,chat,normal,sla_breached
TCK-000142,2026-05-06 13:23:00,2026-05-06,2026-05-04,2026-05-01,13,3,Среда,0,Вторая половина,CUST-0227,R06,Ростов-на-Дону,Юг,team_f,chat,login,low,1.7,До 5 мин,2.5,До 8 ч,0,SLA выполнен,5.0,Высокая,b2c,2024-02-11,bronze,0,1,chat,other,sla_ok
TCK-001323,2026-03-13 15:05:00,2026-03-13,2026-03-09,2026-03-01,15,5,Пятница,0,Первая половина,CUST-0142,R06,Ростов-на-Дону,Юг,team_f,chat,account,high,4.2,До 5 мин,1.1,До 8 ч,0,SLA выполнен,4.8,Высокая,b2c,2024-08-26,silver,0,1,chat,high,sla_ok
TCK-000465,2026-05-16 13:03:00,2026-05-16,2026-05-11,2026-05-01,13,6,Суббота,1,Вторая половина,CUST-0122,R03,Казань,Поволжье,team_c,email,technical,high,36.6,30–60 мин,25.1,24–48 ч,1,SLA нарушен,3.7,Средняя,b2c,2025-05-18,silver,0,1,email,high,sla_breached
TCK-000722,2026-05-20 14:06:00,2026-05-20,2026-05-18,2026-05-01,14,3,Среда,0,Вторая половина,CUST-0035,,Неизвестный регион,Неизвестно,,phone,login,high,2.8,До 5 мин,3.0,До 8 ч,0,SLA выполнен,5.0,Высокая,b2c,2024-03-12,bronze,0,1,other,high,sla_ok
TCK-000721,2026-03-30 21:21:00,2026-03-30,2026-03-30,2026-03-01,21,1,Понедельник,0,Первая половина,CUST-0012,R01,Москва,Центр,team_a,chat,login,normal,3.2,До 5 мин,3.0,До 8 ч,0,SLA выполнен,5.0,Высокая,vip,2025-04-30,gold,1,1,chat,normal,sla_ok
TCK-001294,2026-04-08 10:32:00,2026-04-08,2026-04-06,2026-04-01,10,3,Среда,0,Первая половина,CUST-0258,R02,Санкт-Петербург,Северо-Запад,team_b,chat,account,normal,3.0,До 5 мин,27.7,24–48 ч,1,SLA нарушен,3.1,Средняя,b2c,2025-09-11,bronze,0,1,chat,normal,sla_breached
TCK-001006,2026-05-18 21:59:00,2026-05-18,2026-05-18,2026-05-01,21,1,Понедельник,0,Вторая половина,CUST-0188,R03,Казань,Поволжье,team_c,chat,technical,normal,9.3,5–15 мин,13.1,8–24 ч,0,SLA выполнен,5.0,Высокая,b2c,2024-02-10,bronze,0,1,chat,normal,sla_ok
TCK-001178,2026-04-04 20:44:00,2026-04-04,2026-03-30,2026-04-01,20,6,Суббота,1,Первая половина,CUST-0092,R08,Краснодар,Юг,team_f,email,payment,high,61.3,Более 60 мин,10.4,8–24 ч,0,SLA выполнен,4.8,Высокая,b2b,2024-04-26,silver,0,1,email,high,sla_ok
TCK-000599,2026-03-05 20:55:00,2026-03-05,2026-03-02,2026-03-01,20,4,Четверг,0,Первая половина,CUST-0002,R08,Краснодар,Юг,team_f,web_form,payment,high,13.0,5–15 мин,17.3,8–24 ч,1,SLA нарушен,3.3,Средняя,b2c,2025-08-03,bronze,0,1,other,high,sla_breached
TCK-000807,2026-05-19 10:40:00,2026-05-19,2026-05-18,2026-05-01,10,2,Вторник,0,Вторая половина,CUST-0178,R04,Екатеринбург,Урал,team_d,chat,payment,low,3.8,До 5 мин,5.2,До 8 ч,0,SLA выполнен,5.0,Высокая,vip,2024-06-05,platinum,1,1,chat,other,sla_ok
TCK-000068,2026-04-01 19:45:00,2026-04-01,2026-03-30,2026-04-01,19,3,Среда,0,Первая половина,CUST-0102,R02,Санкт-Петербург,Северо-Запад,team_b,phone,payment,normal,12.4,5–15 мин,8.1,8–24 ч,0,SLA выполнен,5.0,Высокая,b2b,2025-03-12,gold,0,1,other,normal,sla_ok
TCK-000899,2026-05-19 16:28:00,2026-05-19,2026-05-18,2026-05-01,16,2,Вторник,0,Вторая половина,CUST-0317,R08,Краснодар,Юг,team_f,email,technical,normal,26.7,15–30 мин,58.7,48–72 ч,1,SLA нарушен,1.7,Низкая,b2c,2024-03-16,bronze,0,1,email,normal,sla_breached
TCK-000298,2026-04-28 21:07:00,2026-04-28,2026-04-27,2026-04-01,21,2,Вторник,0,Вторая половина,CUST-0190,R03,Казань,Поволжье,team_c,email,payment,normal,9.9,5–15 мин,8.7,8–24 ч,0,SLA выполнен,5.0,Высокая,b2c,2025-04-23,silver,0,1,email,normal,sla_ok
TCK-001278,2026-04-29 11:40:00,2026-04-29,2026-04-27,2026-04-01,11,3,Среда,0,Вторая половина,CUST-0319,R04,Екатеринбург,Урал,team_d,email,payment,normal,91.0,Более 60 мин,10.2,8–24 ч,0,SLA выполнен,3.8,Средняя,b2c,2024-10-04,silver,0,1,email,normal,sla_ok
TCK-000272,2026-05-21 12:04:00,2026-05-21,2026-05-18,2026-05-01,12,4,Четверг,0,Вторая половина,CUST-0250,R02,Санкт-Петербург,Северо-Запад,team_b,chat,account,low,16.7,15–30 мин,4.7,До 8 ч,0,SLA выполнен,5.0,Высокая,b2c,2024-03-13,bronze,0,1,chat,other,sla_ok
TCK-001084,2026-05-16 20:20:00,2026-05-16,2026-05-11,2026-05-01,20,6,Суббота,1,Вторая половина,CUST-0268,R06,Ростов-на-Дону,Юг,team_f,phone,payment,low,12.5,5–15 мин,6.5,До 8 ч,0,SLA выполнен,5.0,Высокая,b2c,2024-08-26,bronze,0,1,other,other,sla_ok
TCK-000052,2026-04-14 13:01:00,2026-04-14,2026-04-13,2026-04-01,13,2,Вторник,0,Первая половина,CUST-0009,R05,Новосибирск,Сибирь,team_e,chat,technical,critical,1.8,До 5 мин,46.0,24–48 ч,1,SLA нарушен,,,b2c,2025-12-26,bronze,0,1,chat,other,sla_breached
TCK-000427,2026-03-06 21:45:00,2026-03-06,2026-03-02,2026-03-01,21,5,Пятница,0,Первая половина,CUST-0247,R04,Екатеринбург,Урал,team_d,web_form,login,high,7.0,5–15 мин,13.3,8–24 ч,1,SLA нарушен,3.8,Средняя,b2c,2024-11-21,bronze,0,1,other,high,sla_breached
TCK-000429,2026-04-08 10:29:00,2026-04-08,2026-04-06,2026-04-01,10,3,Среда,0,Первая половина,CUST-0182,R02,Санкт-Петербург,Северо-Запад,team_b,chat,technical,normal,4.9,До 5 мин,39.3,24–48 ч,1,SLA нарушен,4.0,Средняя,b2b,2025-06-02,platinum,0,1,chat,normal,sla_breached
TCK-000241,2026-05-27 19:38:00,2026-05-27,2026-05-25,2026-05-01,19,3,Среда,0,Вторая половина,CUST-0322,R03,Казань,Поволжье,team_c,chat,delivery,high,2.7,До 5 мин,45.5,24–48 ч,1,SLA нарушен,3.9,Средняя,b2c,2025-07-08,silver,0,1,chat,high,sla_breached
TCK-000528,2026-04-14 13:08:00,2026-04-14,2026-04-13,2026-04-01,13,2,Вторник,0,Первая половина,CUST-0275,R05,Новосибирск,Сибирь,team_e,email,login,high,19.3,15–30 мин,6.0,До 8 ч,0,SLA выполнен,4.5,Высокая,b2b,2024-12-15,gold,0,1,email,high,sla_ok
TCK-000417,2026-03-13 14:43:00,2026-03-13,2026-03-09,2026-03-01,14,5,Пятница,0,Первая половина,CUST-0003,R05,Новосибирск,Сибирь,team_e,email,login,normal,47.0,30–60 мин,6.8,До 8 ч,0,SLA выполнен,4.5,Высокая,b2b,2024-01-28,gold,0,1,email,normal,sla_ok
TCK-000702,2026-04-24 17:44:00,2026-04-24,2026-04-20,2026-04-01,17,5,Пятница,0,Вторая половина,CUST-0149,R04,Екатеринбург,Урал,team_d,chat,technical,critical,2.0,До 5 мин,14.1,8–24 ч,1,SLA нарушен,4.7,Высокая,b2c,2024-11-04,bronze,0,1,chat,other,sla_breached
TCK-000675,2026-03-27 16:51:00,2026-03-27,2026-03-23,2026-03-01,16,5,Пятница,0,Первая половина,CUST-0023,R01,Москва,Центр,team_a,phone,technical,normal,11.3,5–15 мин,20.1,8–24 ч,0,SLA выполнен,4.8,Высокая,vip,2026-01-28,platinum,1,1,other,normal,sla_ok
TCK-000906,2026-05-21 11:36:00,2026-05-21,2026-05-18,2026-05-01,11,4,Четверг,0,Вторая половина,CUST-0078,R02,Санкт-Петербург,Северо-Запад,team_b,phone,account,normal,20.1,15–30 мин,7.7,До 8 ч,0,SLA выполнен,4.9,Высокая,b2c,2024-09-20,bronze,0,1,other,normal,sla_ok
TCK-001231,2026-04-18 21:01:00,2026-04-18,2026-04-13,2026-04-01,21,6,Суббота,1,Первая половина,CUST-0149,R05,Новосибирск,Сибирь,team_e,web_form,delivery,high,25.6,15–30 мин,24.7,24–48 ч,1,SLA нарушен,3.6,Средняя,b2c,2024-11-04,bronze,0,1,other,high,sla_breached
TCK-000863,2026-03-24 09:55:00,2026-03-24,2026-03-23,2026-03-01,9,2,Вторник,0,Первая половина,CUST-0132,R06,Ростов-на-Дону,Юг,team_f,email,technical,normal,32.6,30–60 мин,50.9,48–72 ч,1,SLA нарушен,1.9,Низкая,vip,2024-12-24,platinum,1,1,email,normal,sla_breached
TCK-000050,2026-04-23 20:26:00,2026-04-23,2026-04-20,2026-04-01,20,4,Четверг,0,Вторая половина,CUST-0137,R04,Екатеринбург,Урал,team_d,email,payment,high,41.0,30–60 мин,16.5,8–24 ч,1,SLA нарушен,2.9,Низкая,vip,2026-02-03,platinum,1,1,email,high,sla_breached
TCK-000071,2026-06-05 13:16:00,2026-06-05,2026-06-01,2026-06-01,13,5,Пятница,0,Вторая половина,CUST-0111,R03,Казань,Поволжье,team_c,email,account,normal,40.5,30–60 мин,3.9,До 8 ч,0,SLA выполнен,4.3,Средняя,b2c,2025-05-30,silver,0,1,email,normal,sla_ok
TCK-000498,2026-04-25 12:41:00,2026-04-25,2026-04-20,2026-04-01,12,6,Суббота,1,Вторая половина,CUST-0102,R01,Москва,Центр,team_a,web_form,payment,high,11.2,5–15 мин,24.6,24–48 ч,1,SLA нарушен,4.0,Средняя,b2b,2025-03-12,gold,0,1,other,high,sla_breached
TCK-000414,2026-03-26 12:27:00,2026-03-26,2026-03-23,2026-03-01,12,4,Четверг,0,Первая половина,CUST-0024,R01,Москва,Центр,team_a,chat,refund,normal,1.5,До 5 мин,22.1,8–24 ч,0,SLA выполнен,4.3,Средняя,b2b,2026-01-27,silver,0,1,chat,normal,sla_ok
TCK-000351,2026-03-23 15:33:00,2026-03-23,2026-03-23,2026-03-01,15,1,Понедельник,0,Первая половина,CUST-0313,R06,Ростов-на-Дону,Юг,team_f,web_form,delivery,low,32.9,30–60 мин,7.7,До 8 ч,0,SLA выполнен,4.1,Средняя,b2c,2025-01-12,bronze,0,1,other,other,sla_ok
TCK-001279,2026-03-23 09:51:00,2026-03-23,2026-03-23,2026-03-01,9,1,Понедельник,0,Первая половина,CUST-0274,R01,Москва,Центр,team_a,phone,account,critical,4.6,До 5 мин,15.4,8–24 ч,1,SLA нарушен,4.6,Высокая,b2c,2025-05-27,bronze,0,1,other,other,sla_breached
TCK-001189,2026-03-03 16:34:00,2026-03-03,2026-03-02,2026-03-01,16,2,Вторник,0,Первая половина,CUST-0318,R04,Екатеринбург,Урал,team_d,web_form,login,critical,37.6,30–60 мин,9.3,8–24 ч,1,SLA нарушен,3.5,Средняя,b2b,2025-03-28,platinum,0,1,other,other,sla_breached
TCK-000820,2026-03-18 10:31:00,2026-03-18,2026-03-16,2026-03-01,10,3,Среда,0,Первая половина,CUST-0242,R03,Казань,Поволжье,team_c,chat,payment,low,6.6,5–15 мин,2.2,До 8 ч,0,SLA выполнен,5.0,Высокая,b2b,2024-02-03,silver,0,1,chat,other,sla_ok
TCK-000501,2026-06-05 10:14:00,2026-06-05,2026-06-01,2026-06-01,10,5,Пятница,0,Вторая половина,CUST-0001,R06,Ростов-на-Дону,Юг,team_f,web_form,account,normal,5.7,5–15 мин,9.1,8–24 ч,0,SLA выполнен,4.9,Высокая,b2b,2024-05-19,gold,0,1,other,normal,sla_ok
TCK-000125,2026-04-24 21:38:00,2026-04-24,2026-04-20,2026-04-01,21,5,Пятница,0,Вторая половина,CUST-0179,R01,Москва,Центр,team_a,chat,payment,normal,1.0,До 5 мин,6.1,До 8 ч,0,SLA выполнен,4.8,Высокая,b2b,2024-01-12,gold,0,1,chat,normal,sla_ok
TCK-000782,2026-03-27 13:22:00,2026-03-27,2026-03-23,2026-03-01,13,5,Пятница,0,Первая половина,CUST-0224,R03,Казань,Поволжье,team_c,chat,technical,high,7.5,5–15 мин,54.4,48–72 ч,0,SLA выполнен,4.3,Средняя,vip,2024-05-02,platinum,1,1,chat,high,sla_ok
TCK-000757,2026-03-25 11:47:00,2026-03-25,2026-03-23,2026-03-01,11,3,Среда,0,Первая половина,CUST-0044,R04,Екатеринбург,Урал,team_d,chat,login,normal,9.5,5–15 мин,8.0,8–24 ч,0,SLA выполнен,5.0,Высокая,b2c,2024-05-15,bronze,0,1,chat,normal,sla_ok
TCK-000366,2026-05-18 13:29:00,2026-05-18,2026-05-18,2026-05-01,13,1,Понедельник,0,Вторая половина,CUST-0205,R02,Санкт-Петербург,Северо-Запад,team_b,chat,login,normal,10.2,5–15 мин,0.6,До 8 ч,0,SLA выполнен,5.0,Высокая,b2c,2025-10-30,bronze,0,1,chat,normal,sla_ok
TCK-001390,2026-03-24 08:48:00,2026-03-24,2026-03-23,2026-03-01,8,2,Вторник,0,Первая половина,CUST-0307,R06,Ростов-на-Дону,Юг,team_f,chat,login,high,1.8,До 5 мин,13.2,8–24 ч,1,SLA нарушен,5.0,Высокая,b2c,2025-04-20,bronze,0,1,chat,high,sla_breached
TCK-001069,2026-05-27 15:09:00,2026-05-27,2026-05-25,2026-05-01,15,3,Среда,0,Вторая половина,CUST-0135,R01,Москва,Центр,team_a,chat,login,critical,3.4,До 5 мин,3.5,До 8 ч,0,SLA выполнен,5.0,Высокая,b2c,2024-12-06,silver,0,1,chat,other,sla_ok
TCK-000077,2026-05-20 12:19:00,2026-05-20,2026-05-18,2026-05-01,12,3,Среда,0,Вторая половина,CUST-0182,R02,Санкт-Петербург,Северо-Запад,team_b,email,payment,high,93.5,Более 60 мин,16.3,8–24 ч,1,SLA нарушен,2.9,Низкая,b2b,2025-06-02,platinum,0,1,email,high,sla_breached
TCK-001048,2026-05-08 21:14:00,2026-05-08,2026-05-04,2026-05-01,21,5,Пятница,0,Вторая половина,CUST-0004,R01,Москва,Центр,team_a,email,technical,low,39.3,30–60 мин,27.1,24–48 ч,0,SLA выполнен,3.7,Средняя,b2b,2024-06-08,silver,0,1,email,other,sla_ok
TCK-001382,2026-03-12 10:28:00,2026-03-12,2026-03-09,2026-03-01,10,4,Четверг,0,Первая половина,CUST-0273,R07,Нижний Новгород,Поволжье,team_c,email,technical,low,92.3,Более 60 мин,24.3,24–48 ч,0,SLA выполнен,3.3,Средняя,b2c,2024-07-22,bronze,0,1,email,other,sla_ok
TCK-001177,2026-03-06 08:36:00,2026-03-06,2026-03-02,2026-03-01,8,5,Пятница,0,Первая половина,CUST-0247,R06,Ростов-на-Дону,Юг,team_f,chat,technical,critical,2.9,До 5 мин,39.3,24–48 ч,1,SLA нарушен,,,b2c,2024-11-21,bronze,0,1,chat,other,sla_breached
TCK-000248,2026-06-02 18:14:00,2026-06-02,2026-06-01,2026-06-01,18,2,Вторник,0,Вторая половина,CUST-0099,R01,Москва,Центр,team_a,web_form,delivery,high,3.1,До 5 мин,66.6,48–72 ч,1,SLA нарушен,2.3,Низкая,b2c,2024-04-11,silver,0,1,other,high,sla_breached
TCK-000491,2026-04-09 09:30:00,2026-04-09,2026-04-06,2026-04-01,9,4,Четверг,0,Первая половина,CUST-0206,R01,Москва,Центр,team_a,chat,delivery,high,3.3,До 5 мин,35.0,24–48 ч,1,SLA нарушен,4.0,Средняя,b2c,2025-07-05,bronze,0,1,chat,high,sla_breached
TCK-000276,2026-03-25 19:32:00,2026-03-25,2026-03-23,2026-03-01,19,3,Среда,0,Первая половина,CUST-0076,R01,Москва,Центр,team_a,email,technical,low,112.0,Более 60 мин,16.2,8–24 ч,0,SLA выполнен,3.2,Средняя,b2c,2025-06-14,,0,1,email,other,sla_ok
TCK-000860,2026-05-18 16:14:00,2026-05-18,2026-05-18,2026-05-01,16,1,Понедельник,0,Вторая половина,CUST-0051,R04,Екатеринбург,Урал,team_d,web_form,delivery,normal,72.4,Более 60 мин,24.6,24–48 ч,1,SLA нарушен,3.0,Средняя,b2c,2025-06-20,,0,1,other,normal,sla_breached
