tickets_count,avg_satisfaction,avg_resolution_hours,sla_breach_rate,rolling_mean_7d,day_of_week,is_weekend,actual,last_value,mean_7,seasonal_naive_7,arima_111,dataset_part,abs_error_last_value,abs_error_mean_7,abs_error_seasonal_naive_7,abs_error_arima_111,created_date,week_start,weekday_number,weekday_name
18,4.225,22.20555555555556,0.1111111111111111,15.714285714285714,Thursday,0,,,,,,train,,,,,2026-03-26,2026-03-23,4,Четверг
19,4.235294117647059,18.978947368421053,0.2105263157894736,15.857142857142858,Friday,0,,,,,,train,,,,,2026-03-27,2026-03-23,5,Пятница
7,3.783333333333333,16.9,0.5714285714285714,16.0,Saturday,1,,,,,,train,,,,,2026-03-28,2026-03-23,6,Суббота
5,4.7,15.34,0.2,15.428571428571429,Sunday,1,,,,,,train,,,,,2026-03-29,2026-03-23,7,Воскресенье
11,4.118181818181818,14.490909090909092,0.4545454545454545,14.142857142857142,Monday,0,,,,,,train,,,,,2026-03-30,2026-03-30,1,Понедельник
18,4.16875,19.14444444444445,0.3333333333333333,14.571428571428571,Tuesday,0,,,,,,train,,,,,2026-03-31,2026-03-30,2,Вторник
20,4.220000000000001,15.665,0.3,14.0,Wednesday,0,,,,,,train,,,,,2026-04-01,2026-03-30,3,Среда
21,4.385,12.22857142857143,0.1904761904761904,14.428571428571429,Thursday,0,,,,,,train,,,,,2026-04-02,2026-03-30,4,Четверг
13,4.015384615384615,23.515384615384612,0.4615384615384615,13.571428571428571,Friday,0,,,,,,train,,,,,2026-04-03,2026-03-30,5,Пятница
8,3.675,31.225,0.5,13.714285714285714,Saturday,1,,,,,,train,,,,,2026-04-04,2026-03-30,6,Суббота
5,4.46,16.8,0.2,13.714285714285714,Sunday,1,,,,,,train,,,,,2026-04-05,2026-03-30,7,Воскресенье
13,3.8333333333333335,26.73076923076923,0.3076923076923077,14.0,Monday,0,,,,,,train,,,,,2026-04-06,2026-04-06,1,Понедельник
12,4.425,16.475,0.25,13.142857142857142,Tuesday,0,,,,,,train,,,,,2026-04-07,2026-04-06,2,Вторник
22,4.152380952380953,20.35,0.4545454545454545,13.428571428571429,Wednesday,0,,,,,,train,,,,,2026-04-08,2026-04-06,3,Среда
16,4.113333333333333,19.5125,0.375,12.714285714285714,Thursday,0,,,,,,train,,,,,2026-04-09,2026-04-06,4,Четверг
17,3.975,20.71764705882353,0.2941176470588235,13.285714285714286,Friday,0,,,,,,train,,,,,2026-04-10,2026-04-06,5,Пятница
7,4.428571428571429,13.414285714285716,0.1428571428571428,13.142857142857142,Saturday,1,,,,,,train,,,,,2026-04-11,2026-04-06,6,Суббота
8,3.4875,29.3,0.5,13.571428571428571,Sunday,1,,,,,,train,,,,,2026-04-12,2026-04-06,7,Воскресенье
12,3.9181818181818175,19.075,0.6666666666666666,13.428571428571429,Monday,0,,,,,,train,,,,,2026-04-13,2026-04-13,1,Понедельник
17,4.30625,17.011764705882353,0.4705882352941176,14.142857142857142,Tuesday,0,,,,,,train,,,,,2026-04-14,2026-04-13,2,Вторник
23,4.495238095238095,14.930434782608694,0.217391304347826,14.285714285714286,Wednesday,0,,,,,,train,,,,,2026-04-15,2026-04-13,3,Среда
20,4.075,17.365000000000002,0.35,14.857142857142858,Thursday,0,,,,,,train,,,,,2026-04-16,2026-04-13,4,Четверг
22,4.238095238095238,17.51818181818182,0.3636363636363636,15.571428571428571,Friday,0,,,,,,train,,,,,2026-04-17,2026-04-13,5,Пятница
10,3.99,19.91,0.4,16.0,Saturday,1,,,,,,train,,,,,2026-04-18,2026-04-13,6,Суббота
6,4.816666666666666,8.433333333333334,0.1666666666666666,15.714285714285714,Sunday,1,,,,,,train,,,,,2026-04-19,2026-04-13,7,Воскресенье
21,4.363157894736842,13.27142857142857,0.2857142857142857,17.0,Monday,0,,,,,,train,,,,,2026-04-20,2026-04-20,1,Понедельник
21,4.025,19.29523809523809,0.4285714285714285,17.571428571428573,Tuesday,0,,,,,,train,,,,,2026-04-21,2026-04-20,2,Вторник
19,3.8157894736842106,22.03684210526316,0.4736842105263157,17.0,Wednesday,0,,,,,,train,,,,,2026-04-22,2026-04-20,3,Среда
25,3.92,21.592,0.36,17.714285714285715,Thursday,0,,,,,,train,,,,,2026-04-23,2026-04-20,4,Четверг
16,4.373333333333333,14.65625,0.25,16.857142857142858,Friday,0,,,,,,train,,,,,2026-04-24,2026-04-20,5,Пятница
12,4.316666666666666,16.508333333333333,0.3333333333333333,17.142857142857142,Saturday,1,,,,,,train,,,,,2026-04-25,2026-04-20,6,Суббота
8,3.7625,47.75,0.375,17.428571428571427,Sunday,1,,,,,,train,,,,,2026-04-26,2026-04-20,7,Воскресенье
16,4.05,40.44375,0.5,16.714285714285715,Monday,0,,,,,,train,,,,,2026-04-27,2026-04-27,1,Понедельник
23,4.577272727272727,21.208695652173912,0.2608695652173913,17.0,Tuesday,0,,,,,,train,,,,,2026-04-28,2026-04-27,2,Вторник
23,4.066666666666667,18.87391304347826,0.3043478260869565,17.571428571428573,Wednesday,0,,,,,,train,,,,,2026-04-29,2026-04-27,3,Среда
15,4.133333333333334,15.846666666666668,0.3333333333333333,16.142857142857142,Thursday,0,,,,,,train,,,,,2026-04-30,2026-04-27,4,Четверг
17,4.035294117647059,14.405882352941177,0.2941176470588235,16.285714285714285,Friday,0,,,,,,train,,,,,2026-05-01,2026-04-27,5,Пятница
11,4.163636363636364,18.42727272727273,0.5454545454545454,16.142857142857142,Saturday,1,,,,,,train,,,,,2026-05-02,2026-04-27,6,Суббота
4,3.533333333333333,15.475,0.25,15.571428571428571,Sunday,1,,,,,,train,,,,,2026-05-03,2026-04-27,7,Воскресенье
16,3.953333333333333,26.65625,0.375,15.571428571428571,Monday,0,,,,,,train,,,,,2026-05-04,2026-05-04,1,Понедельник
13,4.138461538461538,21.82307692307692,0.3846153846153846,14.142857142857142,Tuesday,0,,,,,,train,,,,,2026-05-05,2026-05-04,2,Вторник
22,4.404761904761905,20.10909090909091,0.2727272727272727,14.0,Wednesday,0,,,,,,train,,,,,2026-05-06,2026-05-04,3,Среда
16,4.193333333333333,16.05625,0.1875,14.142857142857142,Thursday,0,,,,,,train,,,,,2026-05-07,2026-05-04,4,Четверг
18,3.8833333333333337,29.61111111111111,0.4444444444444444,14.285714285714286,Friday,0,,,,,,train,,,,,2026-05-08,2026-05-04,5,Пятница
6,4.3500000000000005,20.683333333333334,0.5,13.571428571428571,Saturday,1,,,,,,train,,,,,2026-05-09,2026-05-04,6,Суббота
9,3.477777777777778,52.65555555555556,0.5555555555555556,14.285714285714286,Sunday,1,,,,,,train,,,,,2026-05-10,2026-05-04,7,Воскресенье
17,4.135294117647058,20.71176470588236,0.2941176470588235,14.428571428571429,Monday,0,,,,,,train,,,,,2026-05-11,2026-05-11,1,Понедельник
15,4.486666666666666,13.906666666666666,0.1333333333333333,14.714285714285714,Tuesday,0,,,,,,train,,,,,2026-05-12,2026-05-11,2,Вторник
14,3.4857142857142853,23.057142857142857,0.5,13.571428571428571,Wednesday,0,,,,,,train,,,,,2026-05-13,2026-05-11,3,Среда
9,4.333333333333333,7.822222222222223,0.1111111111111111,12.571428571428571,Thursday,0,,,,,,train,,,,,2026-05-14,2026-05-11,4,Четверг
15,3.86,20.813333333333333,0.4666666666666667,12.142857142857142,Friday,0,,,,,,train,,,,,2026-05-15,2026-05-11,5,Пятница
8,3.6714285714285713,26.9875,0.625,12.428571428571429,Saturday,1,,,,,,train,,,,,2026-05-16,2026-05-11,6,Суббота
8,4.257142857142857,42.35,0.125,12.285714285714286,Sunday,1,,,,,,train,,,,,2026-05-17,2026-05-11,7,Воскресенье
21,3.957142857142857,29.13809523809524,0.4761904761904761,12.857142857142858,Monday,0,,,,,,train,,,,,2026-05-18,2026-05-18,1,Понедельник
29,4.217857142857143,17.879310344827587,0.2758620689655172,14.857142857142858,Tuesday,0,,,,,,train,,,,,2026-05-19,2026-05-18,2,Вторник
24,4.091304347826087,19.775,0.4166666666666667,16.285714285714285,Wednesday,0,24.0,29.0,14.857142857142858,14.0,19.131751903965966,test,5.0,9.142857142857142,10.0,4.8682480960340335,2026-05-20,2026-05-18,3,Среда
20,4.48,26.53,0.2,17.857142857142858,Thursday,0,20.0,29.0,14.857142857142858,9.0,16.006588933689795,test,9.0,5.142857142857142,11.0,3.9934110663102054,2026-05-21,2026-05-18,4,Четверг
20,4.025,29.485000000000003,0.4,18.571428571428573,Friday,0,20.0,29.0,14.857142857142858,15.0,15.016885037340602,test,9.0,5.142857142857142,5.0,4.983114962659398,2026-05-22,2026-05-18,5,Пятница
6,4.266666666666667,19.516666666666666,0.0,18.285714285714285,Saturday,1,6.0,29.0,14.857142857142858,8.0,14.703456965983989,test,23.0,8.857142857142858,2.0,8.703456965983989,2026-05-23,2026-05-18,6,Суббота
8,4.7,8.9875,0.125,18.285714285714285,Sunday,1,8.0,29.0,14.857142857142858,8.0,14.60419782769353,test,21.0,6.857142857142858,0.0,6.604197827693531,2026-05-24,2026-05-18,7,Воскресенье
21,4.038095238095238,14.476190476190476,0.4285714285714285,18.285714285714285,Monday,0,21.0,29.0,14.857142857142858,21.0,14.572763577112465,test,8.0,6.142857142857142,0.0,6.427236422887535,2026-05-25,2026-05-25,1,Понедельник
15,4.135714285714285,23.933333333333334,0.4666666666666667,16.285714285714285,Tuesday,0,15.0,29.0,14.857142857142858,29.0,14.562808704174705,test,14.0,0.14285714285714235,14.0,0.43719129582529526,2026-05-26,2026-05-25,2,Вторник
30,4.086666666666667,20.723333333333336,0.4666666666666667,17.142857142857142,Wednesday,0,30.0,29.0,14.857142857142858,14.0,14.559656108093195,test,1.0,15.142857142857142,16.0,15.440343891906805,2026-05-27,2026-05-25,3,Среда
22,3.8666666666666663,23.12272727272727,0.2727272727272727,17.428571428571427,Thursday,0,22.0,29.0,14.857142857142858,9.0,14.558657716439653,test,7.0,7.142857142857142,13.0,7.441342283560347,2026-05-28,2026-05-25,4,Четверг
22,4.219047619047619,12.654545454545454,0.2272727272727272,17.714285714285715,Friday,0,22.0,29.0,14.857142857142858,15.0,14.558341537053492,test,7.0,7.142857142857142,7.0,7.441658462946508,2026-05-29,2026-05-25,5,Пятница
11,4.309090909090909,14.045454545454543,0.3636363636363636,18.428571428571427,Saturday,1,11.0,29.0,14.857142857142858,8.0,14.558241406604807,test,18.0,3.8571428571428577,3.0,3.5582414066048074,2026-05-30,2026-05-25,6,Суббота
11,4.26,14.3,0.1818181818181818,18.857142857142858,Sunday,1,11.0,29.0,14.857142857142858,8.0,14.558209696420043,test,18.0,3.8571428571428577,3.0,3.558209696420043,2026-05-31,2026-05-25,7,Воскресенье
19,4.122222222222223,20.76315789473684,0.4210526315789473,18.571428571428573,Monday,0,19.0,29.0,14.857142857142858,21.0,14.55819965416186,test,10.0,4.142857142857142,2.0,4.441800345838139,2026-06-01,2026-06-01,1,Понедельник
21,4.1450000000000005,20.761904761904763,0.3809523809523809,19.428571428571427,Tuesday,0,21.0,29.0,14.857142857142858,29.0,14.558196473891854,test,8.0,6.142857142857142,8.0,6.441803526108146,2026-06-02,2026-06-01,2,Вторник
29,4.179310344827586,20.79655172413793,0.4482758620689655,19.285714285714285,Wednesday,0,29.0,29.0,14.857142857142858,14.0,14.558195466736182,test,0.0,14.142857142857142,15.0,14.441804533263818,2026-06-03,2026-06-01,3,Среда
26,4.191666666666666,26.67692307692308,0.3461538461538461,19.857142857142858,Thursday,0,26.0,29.0,14.857142857142858,9.0,14.55819514778133,test,3.0,11.142857142857142,17.0,11.44180485221867,2026-06-04,2026-06-01,4,Четверг
20,3.945,27.94,0.35,19.571428571428573,Friday,0,20.0,29.0,14.857142857142858,15.0,14.558195046771925,test,9.0,5.142857142857142,5.0,5.4418049532280754,2026-06-05,2026-06-01,5,Пятница
12,4.245454545454546,14.408333333333331,0.3333333333333333,19.714285714285715,Saturday,1,12.0,29.0,14.857142857142858,8.0,14.55819501478338,test,17.0,2.8571428571428577,4.0,2.5581950147833794,2026-06-06,2026-06-01,6,Суббота
13,3.9416666666666655,22.79230769230769,0.4615384615384615,20.0,Sunday,1,13.0,29.0,14.857142857142858,8.0,14.558195004652973,test,16.0,1.8571428571428577,5.0,1.5581950046529727,2026-06-07,2026-06-01,7,Воскресенье
29,4.113793103448276,16.09655172413793,0.3448275862068966,21.428571428571427,Monday,0,29.0,29.0,14.857142857142858,21.0,14.558195001444783,test,0.0,14.142857142857142,8.0,14.441804998555217,2026-06-08,2026-06-08,1,Понедельник
