order_id,order_date,region,channel,customer_type,category,subcategory,quantity,unit_price,discount_percent,revenue,cost,profit,profit_margin,delivery_days,rating
RM-00063,2026-01-10,Санкт-Петербург,Партнеры,Повторный,Одежда,Повседневная,4,3099.1,25,9297.3,7136.79,2160.51,0.2324,4,4.0
RM-00496,2026-01-10,Казань,Магазин,Новый,Электроника,Смартфоны,3,23026.6,5,65625.81,45834.85,19790.96,0.3016,6,4.2
RM-00656,2026-01-10,Санкт-Петербург,Онлайн,Повторный,Электроника,Смартфоны,4,25524.64,10,91888.7,67341.2,24547.5,0.2671,3,4.9
RM-01101,2026-01-10,Екатеринбург,Онлайн,Новый,Одежда,Спортивная,4,3626.96,5,13782.45,9265.36,4517.09,0.3277,3,4.2
RM-00082,2026-01-11,Санкт-Петербург,Магазин,Новый,Спорт,Туризм,4,6412.11,5,24366.02,16631.04,7734.98,0.3174,6,4.3
RM-00361,2026-01-11,Москва,Партнеры,Повторный,Дом и кухня,Техника для дома,3,2839.39,5,8092.26,5974.1,2118.16,0.2618,5,4.6
RM-00390,2026-01-11,Самара,Онлайн,Повторный,Канцтовары,Письменные принадлежности,4,772.17,0,3088.68,2932.5,156.18,0.0506,6,3.9
RM-00485,2026-01-11,Новосибирск,Онлайн,Повторный,Дом и кухня,Техника для дома,2,6702.39,20,10723.82,7076.33,3647.49,0.3401,7,2.9
RM-00602,2026-01-11,Москва,Онлайн,Повторный,Канцтовары,Письменные принадлежности,3,710.35,15,1811.39,1772.75,38.64,0.0213,3,4.2
RM-01031,2026-01-11,Нижний Новгород,Магазин,Новый,Одежда,Спортивная,3,4343.58,10,11727.67,7457.94,4269.73,0.3641,6,3.3
RM-01079,2026-01-11,Самара,Онлайн,Корпоративный,Канцтовары,Бумага,8,1452.81,5,11041.36,8940.98,2100.37,0.1902,7,3.8
RM-00121,2026-01-12,Санкт-Петербург,Магазин,Новый,Канцтовары,Бумага,2,878.25,15,1493.02,1450.76,42.27,0.0283,5,5.0
RM-00147,2026-01-12,Москва,Онлайн,Новый,Дом и кухня,Техника для дома,2,3680.6,5,6993.14,5023.84,1969.3,0.2816,5,4.6
RM-00221,2026-01-12,Ростов-на-Дону,Магазин,Новый,Дом и кухня,Посуда,2,6490.0,15,11033.0,7933.33,3099.67,0.2809,5,4.4
RM-00617,2026-01-12,Казань,Магазин,Корпоративный,Красота,Парфюмерия,8,3187.43,10,22949.5,14689.24,8260.25,0.3599,4,4.6
RM-00843,2026-01-12,Нижний Новгород,Онлайн,Новый,Красота,Парфюмерия,2,2156.54,5,4097.43,3397.12,700.31,0.1709,4,5.0
RM-00966,2026-01-12,Самара,Онлайн,Повторный,Электроника,Смартфоны,3,21644.18,5,61685.91,38232.4,23453.51,0.3802,3,4.3
RM-01074,2026-01-12,Екатеринбург,Магазин,Повторный,Дом и кухня,Посуда,3,5185.83,20,12445.99,8320.32,4125.67,0.3315,7,3.2
RM-00196,2026-01-13,Екатеринбург,Партнеры,Новый,Канцтовары,Письменные принадлежности,2,966.35,15,1642.8,1735.34,-92.55,-0.0563,5,4.1
RM-00377,2026-01-13,Ростов-на-Дону,Онлайн,Повторный,Одежда,Повседневная,2,4401.42,10,7922.56,5527.53,2395.03,0.3023,6,4.0
RM-00430,2026-01-13,Нижний Новгород,Партнеры,Повторный,Электроника,Аксессуары,5,25562.09,10,115029.4,78602.5,36426.91,0.3167,5,4.6
RM-00472,2026-01-13,Нижний Новгород,Онлайн,Повторный,Одежда,Повседневная,2,4073.18,25,6109.77,4718.94,1390.83,0.2276,6,4.1
RM-00558,2026-01-13,Самара,Онлайн,Новый,Одежда,Повседневная,3,3988.59,5,11367.48,9142.66,2224.82,0.1957,4,3.8
RM-00664,2026-01-13,Москва,Магазин,Повторный,Красота,Парфюмерия,3,2497.01,10,6741.93,5502.57,1239.35,0.1838,3,4.7
RM-01098,2026-01-13,Ростов-на-Дону,Онлайн,Новый,Красота,Уход,6,2279.15,10,12307.41,8379.11,3928.3,0.3192,6,3.6
RM-01117,2026-01-13,Казань,Партнеры,Новый,Красота,Парфюмерия,4,2823.55,10,10164.78,6645.19,3519.59,0.3463,3,5.0
RM-00051,2026-01-14,Самара,Партнеры,Корпоративный,Электроника,Смартфоны,8,22015.86,10,158514.19,101219.19,57295.0,0.3615,3,4.2
RM-00059,2026-01-14,Москва,Онлайн,Повторный,Спорт,Фитнес,5,11261.82,5,53493.64,37512.3,15981.35,0.2988,2,4.9
RM-00662,2026-01-14,Ростов-на-Дону,Онлайн,Новый,Канцтовары,Письменные принадлежности,1,931.3,5,884.73,1175.98,-291.24,-0.3292,5,4.4
RM-01160,2026-01-14,Новосибирск,Магазин,Новый,Одежда,Спортивная,6,4424.43,5,25219.25,19726.22,5493.03,0.2178,5,4.0
RM-00341,2026-01-15,Ростов-на-Дону,Онлайн,Новый,Дом и кухня,Техника для дома,3,3707.73,0,11123.19,8272.5,2850.69,0.2563,6,4.0
RM-00365,2026-01-15,Новосибирск,Онлайн,Повторный,Электроника,Смартфоны,3,20007.43,10,54020.06,41431.71,12588.36,0.233,4,4.6
RM-00612,2026-01-15,Самара,Онлайн,Новый,Одежда,Повседневная,2,3481.43,20,5570.29,4422.01,1148.27,0.2061,4,5.0
RM-00901,2026-01-15,Самара,Магазин,Корпоративный,Электроника,Аксессуары,10,15105.66,0,151056.6,96031.28,55025.32,0.3643,4,4.8
RM-01025,2026-01-15,Санкт-Петербург,Онлайн,Повторный,Красота,Уход,4,3552.94,10,12790.58,9455.21,3335.37,0.2608,4,4.7
RM-01034,2026-01-15,Казань,Партнеры,Новый,Красота,Парфюмерия,3,3130.66,15,7983.18,5782.4,2200.78,0.2757,4,4.1
RM-01177,2026-01-15,Казань,Онлайн,Корпоративный,Красота,Парфюмерия,9,4379.14,25,29559.2,22807.59,6751.61,0.2284,2,5.0
RM-00407,2026-01-16,Нижний Новгород,Онлайн,Повторный,Одежда,Повседневная,3,3638.01,10,9822.63,7460.68,2361.95,0.2405,5,3.9
RM-00802,2026-01-16,Казань,Магазин,Новый,Спорт,Туризм,3,8750.48,15,22313.72,15810.77,6502.95,0.2914,6,3.7
RM-01163,2026-01-16,Москва,Магазин,Новый,Канцтовары,Письменные принадлежности,5,1056.44,0,5282.2,3662.64,1619.56,0.3066,3,5.0
RM-00028,2026-01-17,Москва,Онлайн,Корпоративный,Дом и кухня,Техника для дома,7,5393.74,15,32092.75,21946.2,10146.55,0.3162,3,5.0
RM-00141,2026-01-17,Новосибирск,Онлайн,Новый,Дом и кухня,Посуда,2,6284.93,10,11312.87,7964.92,3347.95,0.2959,7,4.5
RM-00458,2026-01-17,Новосибирск,Онлайн,Новый,Спорт,Фитнес,4,5137.72,5,19523.34,12236.16,7287.18,0.3733,6,4.5
RM-00468,2026-01-17,Екатеринбург,Магазин,Корпоративный,Канцтовары,Бумага,7,749.51,0,5246.57,3929.38,1317.19,0.2511,3,4.8
RM-00579,2026-01-17,Санкт-Петербург,Партнеры,Повторный,Одежда,Спортивная,3,4476.58,15,11415.28,8800.8,2614.48,0.229,6,4.5
RM-00598,2026-01-17,Москва,Онлайн,Повторный,Одежда,Повседневная,4,2702.81,20,8648.99,6411.18,2237.81,0.2587,5,4.2
RM-00740,2026-01-17,Москва,Магазин,Новый,Спорт,Туризм,5,3873.87,10,17432.42,13136.71,4295.71,0.2464,1,5.0
RM-00775,2026-01-17,Санкт-Петербург,Онлайн,Корпоративный,Спорт,Фитнес,4,6276.72,15,21340.85,16371.28,4969.57,0.2329,2,5.0
RM-00417,2026-01-18,Екатеринбург,Магазин,Повторный,Дом и кухня,Посуда,2,3369.15,10,6064.47,4924.64,1139.83,0.188,3,4.9
RM-01169,2026-01-18,Самара,Онлайн,Повторный,Электроника,Смартфоны,5,26360.95,15,112034.04,84272.55,27761.49,0.2478,3,4.8
RM-01171,2026-01-18,Казань,Магазин,Повторный,Одежда,Спортивная,2,5142.99,15,8743.08,6922.55,1820.53,0.2082,2,4.3
RM-01185,2026-01-18,Санкт-Петербург,Онлайн,Повторный,Дом и кухня,Посуда,3,3351.2,10,9048.24,5940.65,3107.59,0.3434,5,4.9
RM-00047,2026-01-19,Екатеринбург,Магазин,Повторный,Красота,Парфюмерия,7,3849.87,5,25601.64,17977.12,7624.51,0.2978,7,4.1
RM-00176,2026-01-19,Санкт-Петербург,Онлайн,Новый,Дом и кухня,Техника для дома,2,5570.12,10,10026.22,6897.99,3128.23,0.312,6,4.2
RM-00315,2026-01-19,Нижний Новгород,Онлайн,Повторный,Красота,Уход,4,3032.05,5,11521.79,8461.08,3060.71,0.2656,5,4.3
RM-00372,2026-01-19,Санкт-Петербург,Онлайн,Корпоративный,Красота,Парфюмерия,8,2319.69,0,18557.52,14406.12,4151.4,0.2237,6,3.4
RM-00436,2026-01-19,Москва,Магазин,Повторный,Одежда,Спортивная,63,3033.68,5,181565.75,131082.02,50483.73,0.278,1,5.0
RM-00442,2026-01-19,Екатеринбург,Онлайн,Новый,Красота,Парфюмерия,4,1920.33,0,7681.32,5135.51,2545.81,0.3314,7,2.9
RM-00538,2026-01-19,Казань,Онлайн,Новый,Дом и кухня,Техника для дома,6,6449.57,20,30957.94,21969.52,8988.41,0.2903,3,4.8
RM-00851,2026-01-19,Санкт-Петербург,Партнеры,Корпоративный,Канцтовары,Письменные принадлежности,8,992.05,15,6745.94,5112.75,1633.19,0.2421,2,4.8
RM-00857,2026-01-19,Нижний Новгород,Партнеры,Повторный,Одежда,Повседневная,2,4710.51,15,8007.87,5828.23,2179.63,0.2722,6,3.9
RM-00882,2026-01-19,Ростов-на-Дону,Партнеры,Новый,Спорт,Фитнес,8,7035.13,25,42210.78,31727.6,10483.18,0.2484,7,3.9
RM-01007,2026-01-19,Москва,Магазин,Повторный,Спорт,Фитнес,5,8445.71,10,38005.7,27329.2,10676.5,0.2809,4,4.0
RM-00309,2026-01-20,Екатеринбург,Магазин,Корпоративный,Спорт,Фитнес,6,9093.91,10,49107.11,32260.29,16846.82,0.3431,6,3.8
RM-00411,2026-01-20,Москва,Магазин,Повторный,Электроника,Аксессуары,3,26019.08,10,70251.52,51646.11,18605.41,0.2648,2,5.0
RM-00445,2026-01-20,Ростов-на-Дону,Онлайн,Новый,Одежда,Повседневная,4,4088.41,0,16353.64,12020.81,4332.83,0.2649,7,2.7
RM-00776,2026-01-20,Москва,Магазин,Корпоративный,Канцтовары,Бумага,6,1032.76,25,4647.42,3584.58,1062.84,0.2287,3,5.0
RM-00782,2026-01-20,Самара,Магазин,Новый,Красота,Парфюмерия,2,3262.89,15,5546.91,4071.61,1475.3,0.266,5,3.7
RM-01082,2026-01-20,Москва,Магазин,Новый,Спорт,Туризм,4,6550.24,10,23580.86,14416.62,9164.25,0.3886,2,4.2
RM-01093,2026-01-20,Самара,Магазин,Повторный,Одежда,Спортивная,5,6125.13,15,26031.8,18068.04,7963.76,0.3059,4,5.0
RM-01182,2026-01-20,Екатеринбург,Онлайн,Повторный,Дом и кухня,Техника для дома,4,8260.38,15,28085.29,21138.16,6947.13,0.2474,4,3.8
RM-00039,2026-01-21,Москва,Магазин,Корпоративный,Дом и кухня,Техника для дома,6,5757.41,0,34544.46,21717.39,12827.07,0.3713,2,5.0
RM-00052,2026-01-21,Новосибирск,Онлайн,Повторный,Спорт,Фитнес,4,5017.48,5,19066.42,13872.73,5193.69,0.2724,6,4.0
RM-00055,2026-01-21,Москва,Магазин,Новый,Красота,Уход,3,1800.64,10,4861.73,3834.32,1027.41,0.2113,1,5.0
RM-00117,2026-01-21,Санкт-Петербург,Магазин,Новый,Канцтовары,Письменные принадлежности,7,1060.38,10,6680.39,4739.61,1940.79,0.2905,2,5.0
RM-00342,2026-01-21,Казань,Партнеры,Новый,Дом и кухня,Техника для дома,24,3092.7,5,70513.56,52694.86,17818.7,0.2527,3,4.3
RM-00395,2026-01-21,Москва,Магазин,Новый,Канцтовары,Письменные принадлежности,2,797.9,10,1436.22,1401.34,34.88,0.0243,4,4.7
RM-00684,2026-01-21,Самара,Партнеры,Повторный,Канцтовары,Письменные принадлежности,4,867.6,10,3123.36,2712.85,410.51,0.1314,3,4.7
RM-00762,2026-01-21,Нижний Новгород,Магазин,Новый,Красота,Уход,3,2785.89,0,8357.67,5708.05,2649.62,0.317,3,5.0
RM-00804,2026-01-21,Санкт-Петербург,Магазин,Повторный,Электроника,Смартфоны,1,40294.08,15,34249.97,20294.87,13955.1,0.4074,3,4.7
RM-00926,2026-01-21,Самара,Магазин,Повторный,Спорт,Фитнес,1,4909.99,0,4909.99,3872.68,1037.31,0.2113,4,4.8
RM-01136,2026-01-21,Санкт-Петербург,Магазин,Повторный,Спорт,Фитнес,5,5313.51,15,22582.42,13761.87,8820.55,0.3906,4,4.2
RM-00193,2026-01-22,Самара,Партнеры,Повторный,Канцтовары,Письменные принадлежности,2,966.91,0,1933.82,2106.86,-173.04,-0.0895,4,4.3
RM-00600,2026-01-22,Ростов-на-Дону,Онлайн,Новый,Канцтовары,Бумага,5,854.88,10,3846.96,3447.32,399.64,0.1039,7,4.1
RM-00778,2026-01-22,Санкт-Петербург,Онлайн,Корпоративный,Электроника,Смартфоны,6,23512.98,25,105808.41,67345.53,38462.88,0.3635,6,4.1
RM-00072,2026-01-23,Ростов-на-Дону,Магазин,Новый,Красота,Парфюмерия,1,4689.08,0,4689.08,3422.3,1266.78,0.2702,7,4.1
RM-00286,2026-01-23,Екатеринбург,Онлайн,Новый,Дом и кухня,Техника для дома,1,5276.19,0,5276.19,4207.92,1068.27,0.2025,4,4.7
RM-01099,2026-01-23,Санкт-Петербург,Онлайн,Повторный,Дом и кухня,Посуда,3,4107.13,10,11089.25,8508.59,2580.66,0.2327,5,4.1
RM-00397,2026-01-24,Екатеринбург,Партнеры,Повторный,Одежда,Повседневная,5,3512.81,10,15807.64,9951.44,5856.2,0.3705,6,4.3
RM-00416,2026-01-24,Новосибирск,Магазин,Повторный,Красота,Уход,3,2137.26,0,6411.78,4600.7,1811.08,0.2825,7,3.1
RM-00849,2026-01-24,Ростов-на-Дону,Онлайн,Повторный,Одежда,Спортивная,5,5263.71,10,23686.7,16221.3,7465.39,0.3152,3,3.6
RM-00954,2026-01-24,Санкт-Петербург,Онлайн,Новый,Канцтовары,Бумага,4,498.1,5,1892.78,1751.29,141.49,0.0748,3,5.0
RM-00041,2026-01-25,Нижний Новгород,Онлайн,Новый,Красота,Уход,5,3521.68,5,16727.98,11835.49,4892.49,0.2925,2,4.6
RM-00550,2026-01-25,Новосибирск,Партнеры,Новый,Дом и кухня,Техника для дома,2,7499.6,25,11249.4,8083.59,3165.81,0.2814,6,3.7
RM-00708,2026-01-25,Москва,Магазин,Новый,Электроника,Смартфоны,4,12853.5,0,51414.0,31185.21,20228.79,0.3934,2,5.0
RM-01023,2026-01-25,Москва,Онлайн,Повторный,Дом и кухня,Техника для дома,1,6444.88,30,4511.42,3586.16,925.26,0.2051,2,5.0
RM-00064,2026-01-26,Нижний Новгород,Онлайн,Новый,Канцтовары,Письменные принадлежности,3,673.36,10,1818.07,1780.02,38.05,0.0209,5,3.9
RM-00172,2026-01-26,Санкт-Петербург,Онлайн,Повторный,Одежда,Повседневная,6,3140.89,0,18845.34,12436.34,6409.0,0.3401,5,4.1
RM-00450,2026-01-26,Москва,Партнеры,Новый,Канцтовары,Письменные принадлежности,5,1267.36,10,5703.12,4658.89,1044.23,0.1831,5,3.5
RM-00562,2026-01-26,Москва,Онлайн,Повторный,Дом и кухня,Техника для дома,2,5341.17,0,10682.34,7000.44,3681.9,0.3447,2,4.7
RM-00583,2026-01-26,Казань,Магазин,Новый,Канцтовары,Бумага,2,516.29,0,1032.58,1277.87,-245.29,-0.2376,3,4.7
RM-00846,2026-01-26,Москва,Магазин,Повторный,Красота,Уход,2,2602.29,10,4684.12,3175.51,1508.61,0.3221,3,4.7
RM-01046,2026-01-26,Санкт-Петербург,Онлайн,Новый,Электроника,Смартфоны,5,22150.87,15,94141.2,70350.49,23790.71,0.2527,6,4.0
RM-01153,2026-01-26,Казань,Онлайн,Повторный,Красота,Уход,4,4836.42,10,17411.11,11159.24,6251.87,0.3591,5,4.1
RM-00045,2026-01-27,Ростов-на-Дону,Онлайн,Повторный,Спорт,Туризм,4,4528.0,15,15395.2,9754.97,5640.23,0.3664,5,4.3
RM-00163,2026-01-27,Нижний Новгород,Партнеры,Повторный,Электроника,Аксессуары,5,22055.66,10,99250.47,61478.18,37772.29,0.3806,4,4.2
RM-00208,2026-01-27,Самара,Магазин,Повторный,Дом и кухня,Посуда,2,5356.56,10,9641.81,6395.55,3246.26,0.3367,4,4.4
RM-00255,2026-01-27,Москва,Магазин,Повторный,Дом и кухня,Посуда,1,5991.35,0,5991.35,4362.21,1629.14,0.2719,3,4.1
RM-00316,2026-01-27,Новосибирск,Магазин,Повторный,Электроника,Смартфоны,2,29767.23,0,59534.46,42943.08,16591.38,0.2787,6,3.2
RM-00368,2026-01-27,Екатеринбург,Магазин,Новый,Электроника,Смартфоны,3,22699.39,20,54478.54,33955.18,20523.36,0.3767,3,5.0
RM-00428,2026-01-27,Екатеринбург,Магазин,Корпоративный,Электроника,Аксессуары,10,14289.35,20,114314.8,77756.33,36558.47,0.3198,7,3.9
RM-00711,2026-01-27,Казань,Онлайн,Повторный,Одежда,Спортивная,1,3907.64,0,3907.64,3178.74,728.9,0.1865,3,5.0
RM-00743,2026-01-27,Новосибирск,Онлайн,Повторный,Одежда,Спортивная,4,3946.33,5,14996.05,11536.09,3459.96,0.2307,7,4.8
RM-00798,2026-01-27,Санкт-Петербург,Онлайн,Новый,Дом и кухня,Техника для дома,6,4507.91,15,22990.34,13971.91,9018.43,0.3923,4,4.9
RM-00906,2026-01-27,Казань,Онлайн,Корпоративный,Одежда,Спортивная,9,5105.67,5,43653.48,26119.9,17533.58,0.4017,2,4.8
RM-01158,2026-01-27,Казань,Онлайн,Новый,Дом и кухня,Техника для дома,1,4855.22,15,4126.94,3143.38,983.55,0.2383,2,5.0
RM-00107,2026-01-28,Новосибирск,Онлайн,Повторный,Спорт,Туризм,1,5052.74,20,4042.19,3065.61,976.58,0.2416,4,4.7
RM-00275,2026-01-28,Москва,Онлайн,Новый,Спорт,Туризм,5,4785.57,15,20338.67,12974.62,7364.06,0.3621,4,4.4
RM-00394,2026-01-28,Екатеринбург,Магазин,Повторный,Дом и кухня,Посуда,2,8089.95,25,12134.92,8836.19,3298.74,0.2718,4,4.9
RM-00476,2026-01-28,Ростов-на-Дону,Магазин,Корпоративный,Спорт,Фитнес,10,8716.92,15,74093.82,45718.2,28375.62,0.383,7,4.1
RM-00502,2026-01-28,Москва,Онлайн,Повторный,Одежда,Повседневная,3,5027.46,10,13574.14,10411.56,3162.58,0.233,1,5.0
