customer_id,segment,registration_date,loyalty_level,is_premium
CUST-0068,b2c,2024-03-10,silver,0
CUST-0069,b2c,2025-01-20,silver,0
CUST-0070,b2c,2025-06-03,silver,0
CUST-0071,b2c,2025-07-29,silver,0
CUST-0072,b2c,2024-11-26,silver,0
CUST-0073,b2b,2025-12-29,silver,0
CUST-0074,b2c,2025-09-03,bronze,0
CUST-0075,b2c,2024-06-13,silver,0
CUST-0076,b2c,2025-06-14,,0
CUST-0077,b2c,2025-07-31,silver,0
CUST-0078,b2c,2024-09-20,bronze,0
CUST-0079,b2c,2025-08-06,silver,0
CUST-0080,b2b,2025-12-10,gold,0
CUST-0081,b2c,2025-10-07,bronze,0
CUST-0082,b2c,2025-08-25,gold,0
CUST-0083,b2b,2025-05-16,gold,0
CUST-0084,b2c,2024-08-01,silver,0
CUST-0085,b2c,2025-09-20,bronze,0
CUST-0086,b2c,2024-10-14,bronze,0
CUST-0087,b2b,2025-02-24,gold,0
CUST-0088,b2c,2024-09-05,bronze,0
CUST-0089,b2c,2024-09-04,bronze,0
CUST-0090,b2c,2024-05-04,gold,0
CUST-0091,b2c,2026-01-29,silver,0
CUST-0092,b2b,2024-04-26,silver,0
CUST-0093,b2c,2024-03-09,bronze,0
CUST-0094,b2c,2026-01-09,bronze,0
CUST-0095,b2c,2025-03-14,bronze,0
CUST-0096,b2c,2024-12-11,gold,0
CUST-0097,b2c,2025-08-05,bronze,0
CUST-0098,b2c,2024-10-29,bronze,0
CUST-0099,b2c,2024-04-11,silver,0
CUST-0100,vip,2025-07-30,gold,1
CUST-0101,b2b,2024-05-19,silver,0
CUST-0102,b2b,2025-03-12,gold,0
CUST-0103,b2c,2026-01-19,silver,0
CUST-0104,vip,2026-01-09,platinum,1
CUST-0105,b2b,2024-10-12,gold,0
CUST-0106,b2b,2025-09-08,gold,0
CUST-0107,b2c,2025-04-29,silver,0
CUST-0108,b2c,2025-01-13,gold,0
CUST-0109,b2c,2024-04-20,silver,0
CUST-0110,b2b,2024-10-24,platinum,0
CUST-0111,b2c,2025-05-30,silver,0
CUST-0112,b2c,2026-02-18,silver,0
CUST-0113,b2c,2024-01-04,bronze,0
CUST-0114,b2c,2025-07-21,silver,0
CUST-0115,b2c,2025-10-30,bronze,0
CUST-0116,b2b,2026-01-21,gold,0
CUST-0117,b2b,2024-11-30,gold,0
CUST-0118,b2b,2024-04-03,platinum,0
CUST-0119,b2c,2024-08-02,gold,0
CUST-0120,b2c,2025-11-02,bronze,0
CUST-0121,b2c,2025-11-24,silver,0
CUST-0122,b2c,2025-05-18,silver,0
CUST-0123,b2c,2024-04-06,bronze,0
CUST-0124,b2c,2024-04-06,bronze,0
CUST-0125,b2c,2025-01-12,bronze,0
CUST-0126,b2c,2025-04-09,silver,0
CUST-0127,b2c,2024-01-26,bronze,0
CUST-0128,b2c,2025-06-26,gold,0
CUST-0129,b2c,2025-03-06,bronze,0
CUST-0130,b2c,2024-01-10,gold,0
CUST-0131,b2c,2024-03-16,bronze,0
CUST-0132,vip,2024-12-24,platinum,1
CUST-0133,b2c,2025-07-24,bronze,0
CUST-0134,b2c,2025-10-14,silver,0
CUST-0135,b2c,2024-12-06,silver,0
CUST-0136,b2c,2024-08-21,gold,0
CUST-0137,vip,2026-02-03,platinum,1
CUST-0138,b2c,2024-12-28,bronze,0
CUST-0139,b2b,2024-09-06,silver,0
CUST-0140,b2c,2024-12-15,bronze,0
CUST-0141,b2c,2024-01-10,bronze,0
CUST-0142,b2c,2024-08-26,silver,0
CUST-0143,vip,2025-02-11,platinum,1
CUST-0144,b2c,2025-12-26,silver,0
CUST-0145,b2c,2025-08-06,silver,0
CUST-0146,b2c,2025-09-09,silver,0
CUST-0147,b2c,2025-03-06,silver,0
CUST-0148,b2c,2024-03-28,bronze,0
CUST-0149,b2c,2024-11-04,bronze,0
CUST-0150,b2c,2026-02-26,silver,0
CUST-0151,b2b,2024-02-04,gold,0
CUST-0152,b2b,2025-11-25,silver,0
CUST-0153,b2c,2025-06-24,bronze,0
CUST-0154,b2c,2024-08-12,silver,0
CUST-0155,b2c,2025-09-06,bronze,0
CUST-0156,b2c,2025-10-23,bronze,0
CUST-0157,b2c,2024-02-04,silver,0
CUST-0158,b2c,2024-03-25,silver,0
CUST-0159,b2b,2025-06-09,silver,0
CUST-0160,b2b,2026-02-28,gold,0
CUST-0161,b2c,2024-01-19,bronze,0
CUST-0162,b2b,2025-06-09,gold,0
CUST-0163,b2c,2024-04-17,bronze,0
CUST-0164,b2c,2025-05-28,silver,0
CUST-0165,b2c,2025-05-07,bronze,0
CUST-0166,b2c,2024-03-12,bronze,0
CUST-0167,b2b,2025-06-21,gold,0
CUST-0168,b2b,2025-12-09,silver,0
CUST-0169,b2c,2025-11-13,bronze,0
CUST-0170,vip,2024-01-23,gold,1
CUST-0171,b2c,2024-07-13,silver,0
CUST-0172,b2c,2024-07-09,silver,0
CUST-0173,b2c,2024-12-24,gold,0
CUST-0174,vip,2024-04-22,gold,1
CUST-0175,b2c,2025-11-05,bronze,0
CUST-0176,b2c,2025-09-05,bronze,0
CUST-0177,b2c,2025-09-30,silver,0
CUST-0178,vip,2024-06-05,platinum,1
CUST-0179,b2b,2024-01-12,gold,0
CUST-0180,b2b,2025-12-20,gold,0
CUST-0181,b2b,2024-08-16,silver,0
CUST-0182,b2b,2025-06-02,platinum,0
CUST-0183,b2c,2025-12-19,bronze,0
CUST-0184,b2c,2024-01-29,bronze,0
CUST-0185,b2b,2024-01-05,silver,0
CUST-0186,b2c,2024-01-05,bronze,0
CUST-0187,b2c,2024-05-03,bronze,0
CUST-0188,b2c,2024-02-10,bronze,0
CUST-0189,b2b,2025-10-09,gold,0
CUST-0190,b2c,2025-04-23,silver,0
CUST-0191,vip,2026-02-13,gold,1
CUST-0192,b2c,2025-09-25,bronze,0
CUST-0193,b2c,2026-01-30,gold,0
CUST-0194,b2b,2024-07-07,,0
CUST-0195,b2c,2024-08-15,silver,0
CUST-0196,b2c,2025-11-02,bronze,0
CUST-0197,b2c,2024-07-12,silver,0
CUST-0198,b2b,2024-02-15,silver,0
CUST-0199,b2c,2025-06-12,bronze,0
CUST-0200,b2c,2025-09-24,gold,0
CUST-0201,b2b,2026-02-03,gold,0
CUST-0202,vip,2026-01-02,platinum,1
CUST-0203,b2c,2024-04-04,silver,0
CUST-0204,b2c,2025-09-01,silver,0
CUST-0205,b2c,2025-10-30,bronze,0
CUST-0206,b2c,2025-07-05,bronze,0
CUST-0207,b2c,2025-10-09,bronze,0
CUST-0208,b2c,2025-10-24,bronze,0
CUST-0209,b2c,2024-12-18,silver,0
CUST-0210,b2c,2024-02-01,bronze,0
CUST-0211,b2b,2024-12-26,gold,0
CUST-0212,b2c,2024-06-08,silver,0
CUST-0213,b2c,2024-03-30,silver,0
CUST-0214,b2b,2024-04-08,silver,0
CUST-0215,b2b,2025-07-04,gold,0
CUST-0216,b2b,2025-02-02,platinum,0
CUST-0217,b2c,2025-03-02,silver,0
CUST-0218,b2c,2025-08-11,silver,0
CUST-0219,vip,2025-03-09,platinum,1
CUST-0220,b2c,2025-05-12,silver,0
CUST-0221,b2c,2024-03-08,bronze,0
CUST-0222,b2c,2025-11-03,silver,0
CUST-0223,b2c,2024-12-20,bronze,0
CUST-0224,vip,2024-05-02,platinum,1
CUST-0225,b2c,2025-10-04,gold,0
CUST-0226,vip,2025-08-03,platinum,1
CUST-0227,b2c,2024-02-11,bronze,0
CUST-0228,b2c,2024-06-01,bronze,0
CUST-0229,b2c,2024-01-13,gold,0
CUST-0230,b2c,2024-08-01,bronze,0
CUST-0231,b2c,2024-03-19,bronze,0
CUST-0232,b2c,2025-07-14,bronze,0
CUST-0233,vip,2025-02-16,gold,1
CUST-0234,b2c,2026-02-13,bronze,0
CUST-0235,vip,2025-08-15,platinum,1
CUST-0236,b2b,2025-04-28,silver,0
CUST-0237,b2c,2025-02-06,bronze,0
CUST-0238,b2b,2024-02-13,silver,0
CUST-0239,b2c,2024-02-25,bronze,0
CUST-0240,b2c,2025-05-01,bronze,0
CUST-0241,b2b,2024-01-04,gold,0
CUST-0242,b2b,2024-02-03,silver,0
CUST-0243,b2c,2024-06-22,bronze,0
CUST-0244,b2c,2025-11-29,bronze,0
CUST-0245,b2c,2024-12-28,bronze,0
CUST-0246,b2b,2025-07-14,silver,0
CUST-0247,b2c,2024-11-21,bronze,0
CUST-0248,b2c,2024-05-16,silver,0
CUST-0249,b2c,2024-10-20,bronze,0
CUST-0250,b2c,2024-03-13,bronze,0
CUST-0251,b2c,2025-08-31,bronze,0
CUST-0252,b2b,2024-05-24,silver,0
CUST-0253,b2c,2024-10-24,bronze,0
CUST-0254,b2c,2026-02-13,silver,0
CUST-0255,b2c,2025-04-12,silver,0
CUST-0256,b2b,2024-12-28,silver,0
CUST-0257,b2b,2025-03-04,silver,0
CUST-0258,b2c,2025-09-11,bronze,0
CUST-0259,b2c,2024-07-20,bronze,0
CUST-0260,b2c,2025-05-17,silver,0
CUST-0261,b2c,2025-11-20,bronze,0
CUST-0262,b2b,2025-03-28,silver,0
CUST-0263,b2c,2024-12-18,gold,0
CUST-0264,b2c,2024-04-24,bronze,0
CUST-0265,vip,2024-07-15,platinum,1
CUST-0266,b2c,2026-01-17,silver,0
CUST-0267,b2c,2025-03-03,bronze,0
CUST-0268,b2c,2024-08-26,bronze,0
CUST-0269,b2c,2024-11-26,bronze,0
CUST-0270,b2c,2025-04-01,gold,0
CUST-0271,b2c,2025-02-28,bronze,0
CUST-0272,b2c,2025-07-06,bronze,0
CUST-0273,b2c,2024-07-22,bronze,0
CUST-0274,b2c,2025-05-27,bronze,0
CUST-0275,b2b,2024-12-15,gold,0
CUST-0276,b2c,2026-01-13,bronze,0
CUST-0277,b2c,2024-05-04,,0
CUST-0278,b2c,2024-04-27,,0
CUST-0279,b2b,2024-12-30,gold,0
CUST-0280,b2b,2025-02-05,silver,0
CUST-0281,b2c,2025-06-29,silver,0
CUST-0282,b2c,2024-11-15,silver,0
CUST-0283,b2c,2025-12-22,bronze,0
CUST-0284,b2c,2025-01-09,silver,0
CUST-0285,b2c,2024-04-12,silver,0
CUST-0286,b2c,2024-04-04,bronze,0
CUST-0287,b2c,2026-02-07,gold,0
CUST-0288,b2c,2024-04-15,,0
CUST-0289,b2c,2026-01-18,silver,0
CUST-0290,b2c,2024-08-07,gold,0
CUST-0291,b2b,2024-03-14,silver,0
CUST-0292,b2c,2024-08-28,silver,0
CUST-0293,vip,2025-04-30,gold,1
CUST-0294,b2c,2024-12-04,silver,0
CUST-0295,b2b,2025-09-12,gold,0
CUST-0296,b2b,2025-04-27,silver,0
CUST-0297,vip,2024-11-12,platinum,1
CUST-0298,b2b,2025-05-16,silver,0
CUST-0299,b2b,2026-02-06,silver,0
CUST-0300,b2c,2024-11-21,bronze,0
CUST-0301,b2b,2024-05-01,silver,0
CUST-0302,b2c,2024-11-18,bronze,0
CUST-0303,b2c,2025-10-25,bronze,0
CUST-0304,b2c,2024-06-20,silver,0
CUST-0305,b2b,2026-01-19,gold,0
CUST-0306,b2c,2025-04-09,silver,0
CUST-0307,b2c,2025-04-20,bronze,0
CUST-0308,b2c,2024-09-07,silver,0
CUST-0309,b2c,2025-12-28,silver,0
CUST-0310,b2c,2024-01-29,bronze,0
CUST-0311,b2c,2024-08-23,bronze,0
CUST-0312,b2c,2024-11-26,silver,0
CUST-0313,b2c,2025-01-12,bronze,0
CUST-0314,b2c,2025-01-09,bronze,0
CUST-0315,b2c,2024-04-26,gold,0
CUST-0316,b2c,2024-06-27,bronze,0
CUST-0317,b2c,2024-03-16,bronze,0
CUST-0318,b2b,2025-03-28,platinum,0
CUST-0319,b2c,2024-10-04,silver,0
CUST-0320,vip,2025-03-22,gold,1
CUST-0321,b2b,2025-04-10,gold,0
CUST-0322,b2c,2025-07-08,silver,0
CUST-0323,b2c,2025-03-08,silver,0
CUST-0324,b2c,2025-05-26,silver,0
CUST-0325,b2b,2025-04-08,silver,0
CUST-0326,b2c,2025-05-30,bronze,0
CUST-0327,b2b,2025-05-02,gold,0
CUST-0328,b2c,2024-09-06,bronze,0
CUST-0329,b2c,2024-07-13,silver,0
CUST-0330,b2c,2025-09-14,silver,0
