order_date;order_id;client_id;product_id;quantity;price;discount_pct;order_amount;sales_channel;delivery_city;order_status
2026-05-30;O00047;C022;P011;2;990;0;1980.0;Yandex Ads;Нижний Новгород;paid
2026-05-06;O00048;C002;P016;3;990;10;2673.0;site;Казань;paid
2026-05-15;O00049;C050;P003;3;39900;0;119700.0;site;Воронеж;paid
2026-05-13;O00050;C040;P001;1;58900;0;58900.0;ads_yandex;Екатеринбург;paid
2026-05-08;O00051;C014;P019;2;2290;15;3893.0;email;Новосибирск;paid
2026-05-11;O00052;C050;P004;1;21900;0;21900.0;marketplace;Воронеж;returned
2026-05-02;O00053;C037;P010;3;12900;5;36765.0;Yandex Ads;Новосибирск;cancelled
2026-05-13;O00054;C038;P003;3;39900;15;101745.0;ads_vk;Москва;paid
2026-05-20;O00055;C051;P004;0;21900;0;0;referral;Казань;returned
2026-05-28;O00056;C005;P012;2;890;15;1513.0;referral;Самара;paid
2026-05-27;O00057;C007;P016;2;990;0;1980.0;vk_ads;Казань;cancelled
2026-05-10;O00058;C012;P014;3;13900;10;37530.0;email;Екатеринбург;returned
2026-06-04;O00059;C030;P016;2;990;15;1683.0;email;Пермь;paid
2026-05-16;O00060;C018;P003;2;39900;0;79800.0;vk_ads;Краснодар;returned
2026-06-09;O00061;C022;P013;1;7990;5;7590.5;referral;Нижний Новгород;paid
2026-06-01;O00062;C023;P007;1;1290;0;1290.0;email;Санкт-Петербург;returned
2026-05-18;O00063;C001;P018;2;2490;0;4980.0;marketplace;Санкт-Петербург;paid
2026-05-27;O00064;C036;P016;1;990;15;841.5;vk_ads;Воронеж;cancelled
2026-06-01;O00065;C051;P015;1;21900;0;21900.0;email;Казань;paid
2026-05-26;O00066;C020;P008;3;4590;10;12393.0;referral;Казань;paid
2026-06-05;O00067;C023;P017;2;2990;15;5083.0;referral;Санкт-Петербург;paid
2026-05-30;O00068;C020;P009;1;15900;0;15900.0;marketplace;Казань;cancelled
2026-05-13;O00069;C008;P011;3;990;10;2673.0;ads_yandex;Санкт-Петербург;paid
2026-05-14;O00070;C018;P016;3;990;10;2673.0;email;Краснодар;paid
2026-05-13;O00071;C015;P010;1;12900;0;12900.0;email;Пермь;paid
2026-06-04;O00072;C018;P005;1;3490;0;3689.0;email;Краснодар;cancelled
2026-05-09;O00073;C007;P016;1;990;10;891.0;email;Казань;paid
2026-05-31;O00074;C022;P015;1;21900;0;21900.0;email;Нижний Новгород;paid
2026-05-08;O00075;C026;P003;2;39900;0;79800.0;site;Самара;paid
2026-05-10;O00076;C020;P019;1;2290;0;2290.0;marketplace;Казань;returned
2026-05-27;O00077;C050;P008;2;4590;5;8721.0;vk_ads;Воронеж;paid
2026-05-20;O00078;C028;P019;1;2290;10;2061.0;site;Самара;returned
2026-05-07;O00079;C041;P007;1;1290;0;1290.0;marketplace;Нижний Новгород;paid
2026-05-16;O00080;C036;P006;1;2190;0;2190.0;site;Воронеж;paid
2026-05-29;O00081;C019;P016;1;990;0;990.0;email;Нижний Новгород;cancelled
2026-05-19;O00082;C005;P015;3;21900;0;65700.0;email;Самара;cancelled
2026-06-07;O00083;C028;P007;1;1290;10;1161.0;ads_vk;Самара;cancelled
2026-05-10;O00084;C053;P009;1;15900;0;15900.0;site;Москва;paid
2026-05-20;O00085;C059;P019;1;2290;5;2175.5;marketplace;Воронеж;paid
2026-05-20;O00086;C018;P013;2;7990;10;14382.0;vk_ads;Краснодар;paid
2026-05-06;O00087;C057;P002;2;105000;15;178500.0;referral;Нижний Новгород;returned
2026-05-17;O00088;C006;P001;1;58900;15;50065.0;site;Москва;cancelled
2026-05-18;O00089;C003;P019;1;2290;5;2175.5;vk_ads;Пермь;paid
2026-05-12;O00090;C028;P019;3;2290;5;6526.5;marketplace;Самара;paid
2026-05-23;O00091;C022;P014;1;13900;15;11815.0;marketplace;Нижний Новгород;paid
2026-05-22;O00092;C045;P014;2;13900;0;27800.0;Yandex Ads;Казань;returned
2026-05-03;O00093;C006;P015;1;21900;0;21900.0;referral;Москва;paid
2026-05-26;O00094;C053;P017;1;2990;15;2541.5;vk_ads;Москва;paid
2026-05-04;O00095;C034;P007;1;1290;10;1161.0;vk_ads;Самара;cancelled
2026-05-29;O00096;C014;P002;1;105000;10;94500.0;ads_yandex;Новосибирск;paid
2026-05-29;O00097;C008;P016;1;990;15;841.5;ads_vk;Санкт-Петербург;cancelled
2026-05-11;O00098;C036;P010;1;12900;10;11610.0;Yandex Ads;Воронеж;paid
2026-05-15;O00099;C030;P004;1;21900;15;18615.0;ads_yandex;Пермь;paid
2026-05-19;O00100;C046;P017;1;2990;5;2840.5;vk_ads;Санкт-Петербург;paid
2026-05-16;O00101;C036;P015;1;21900;5;20805.0;ads_vk;Воронеж;returned
2026-06-02;O00102;C056;P005;1;3490;0;3490.0;Yandex Ads;Краснодар;paid
2026-06-02;O00103;C053;P009;1;15900;0;15900.0;email;Москва;returned
2026-06-07;O00104;C056;P016;1;990;5;940.5;vk_ads;Краснодар;paid
2026-05-22;O00105;C049;P018;2;2490;5;4731.0;vk_ads;Казань;paid
2026-05-13;O00106;C037;P008;2;4590;0;9180.0;Yandex Ads;Новосибирск;paid
2026-05-21;O00107;C046;P016;2;990;5;1881.0;ads_yandex;Санкт-Петербург;paid
2026-05-03;O00108;C033;P005;2;3490;0;6980.0;marketplace;Казань;paid
2026-05-07;O00109;C059;P017;2;2990;0;5980.0;ads_yandex;Воронеж;paid
2026-06-11;O00110;C005;P005;2;3490;0;6980.0;referral;Самара;returned
2026-05-26;O00111;C055;P003;1;39900;15;33915.0;Yandex Ads;Санкт-Петербург;paid
2026-06-10;O00112;C056;P016;2;990;0;1980.0;marketplace;Краснодар;paid
2026-06-10;O00113;C015;P010;3;12900;0;38700.0;Yandex Ads;Пермь;paid
2026-06-10;O00114;C029;P004;1;21900;15;18615.0;email;СПб;paid
2026-05-03;O00115;C051;P011;1;990;0;990.0;referral;Казань;paid
2026-05-28;O00116;C016;P005;2;3490;5;6631.0;ads_yandex;Воронеж;paid
2026-05-12;O00117;C040;P003;2;39900;10;71820.0;ads_vk;Екатеринбург;paid
2026-06-07;O00118;C015;P005;2;3490;15;5933.0;email;Пермь;paid
2026-05-17;O00119;C058;P001;2;58900;0;117800.0;ads_yandex;Воронеж;paid
2026-05-29;O00120;C038;P012;1;890;15;756.5;Yandex Ads;Москва;cancelled
2026-05-16;O00010;C023;P004;2;21900;5;41610.0;ads_yandex;Санкт-Петербург;paid
2026-06-11;O00121;C999;P003;1;39900;0;39900;site;Москва;paid
2026-06-12;O00122;C012;P999;1;1990;0;1990;email;Казань;paid
