event_datetime;user_id;client_id;session_id;event_name;page;device;source_channel
2026-05-16 12:07:00;U075;C006;S6731;page_view;/payment;tablet;Yandex Ads
2026-05-07 04:50:00;U011;C039;S7171;add_to_cart;/product;desktop;marketplace
2026-05-30 17:37:00;U055;C043;S1298;product_view;/catalog;desktop;referral
2026-06-05 04:50:00;U025;C032;S3253;page_view;/product;desktop;site
2026-05-31 11:00:00;U080;;S7172;page_view;/catalog;tablet;ads_yandex
2026-06-03 03:43:00;U006;C029;S4891;support_open;/checkout;mobile;vk_ads
2026-05-11 23:35:00;U031;C035;S8684;search;/catalog;mobile;vk_ads
2026-05-22 08:16:00;U037;C050;S9239;product_view;/catalog;desktop;ads_yandex
2026-06-10 01:33:00;U007;C017;S7081;product_view;/;tablet;marketplace
2026-05-14 07:21:00;U021;C006;S9410;page_view;/cart;desktop;ads_vk
2026-06-07 12:03:00;U045;C029;S7797;page_view;/checkout;mobile;ads_vk
2026-05-18 21:47:00;U048;C006;S6221;search;/support;tablet;referral
2026-06-06 08:23:00;U018;;S8740;add_to_cart;/catalog;tablet;vk_ads
2026-05-21 17:59:00;U001;C040;S1311;page_view;/support;desktop;Yandex Ads
2026-05-06 09:26:00;U037;C050;S2996;page_view;/cart;tablet;vk_ads
2026-05-04 04:36:00;U064;C008;S1269;add_to_cart;/checkout;desktop;ads_yandex
2026-05-14 14:08:00;U001;C028;S4941;product_view;/catalog;tablet;marketplace
2026-05-25 03:47:00;U009;C024;S9914;product_view;/checkout;tablet;site
2026-05-19 02:28:00;U061;;S7338;support_open;/product;tablet;site
2026-05-17 14:02:00;U009;C051;S2698;checkout_start;/payment;mobile;ads_yandex
2026-05-03 08:25:00;U070;C023;S3868;purchase_success;/payment;mobile;vk_ads
2026-05-30 02:01:00;U018;;S8498;page_view;/catalog;desktop;ads_vk
2026-06-10 15:31:00;U041;C003;S9444;product_view;/support;tablet;vk_ads
2026-05-12 20:41:00;U083;C003;S6848;search;/;tablet;referral
2026-05-13 18:25:00;U048;C008;S7553;checkout_start;/cart;mobile;ads_yandex
2026-05-23 21:59:00;U064;C045;S9507;page_view;/;tablet;Yandex Ads
2026-05-04 22:12:00;U078;C028;S3956;product_view;/product;desktop;marketplace
2026-05-16 06:10:00;U038;C043;S7981;page_view;/cart;mobile;vk_ads
2026-05-03 06:15:00;U046;C047;S8126;page_view;/support;desktop;marketplace
2026-05-31 21:06:00;U052;C041;S3621;search;/catalog;tablet;vk_ads
2026-05-02 22:00:00;U009;C009;S7001;product_view;/checkout;desktop;ads_yandex
2026-06-01 05:43:00;U048;C029;S2259;product_view;/checkout;mobile;Yandex Ads
2026-05-15 15:23:00;U036;C042;S2858;page_view;/catalog;mobile;Yandex Ads
2026-05-26 21:29:00;U034;C008;S8311;page_view;/checkout;mobile;vk_ads
2026-05-10 10:38:00;U018;C008;S8406;page_view;/payment;mobile;marketplace
2026-06-07 05:17:00;U041;C044;S2063;product_view;/product;mobile;ads_yandex
2026-06-02 17:29:00;U090;C046;S6922;product_view;/;desktop;ads_yandex
2026-05-12 02:34:00;U064;;S7044;product_view;/checkout;desktop;marketplace
2026-05-04 07:48:00;U051;C020;S8842;product_view;/support;mobile;marketplace
2026-05-07 00:53:00;U083;;S8632;add_to_cart;/product;desktop;ads_yandex
2026-06-05 06:37:00;U056;C009;S1907;purchase_success;/checkout;desktop;email
2026-05-08 19:50:00;U042;C011;S4694;page_view;/checkout;mobile;marketplace
2026-05-12 17:43:00;U082;C013;S5496;page_view;/product;tablet;marketplace
2026-05-24 04:56:00;U022;C042;S3526;page_view;/checkout;tablet;referral
2026-06-08 16:16:00;U073;;S1464;page_view;/payment;tablet;email
2026-05-30 23:12:00;U074;C014;S1496;product_view;/payment;tablet;email
2026-05-30 13:08:00;U062;C020;S7653;page_view;/;tablet;site
2026-05-08 12:39:00;U054;C029;S4342;page_view;/catalog;mobile;referral
2026-06-03 17:56:00;U045;C056;S3142;checkout_start;/checkout;tablet;marketplace
2026-05-15 20:33:00;U060;;S8366;page_view;/;desktop;email
2026-05-18 19:35:00;U079;C056;S3616;purchase_success;/checkout;tablet;referral
2026-05-09 23:20:00;U021;C049;S9433;product_view;/product;mobile;site
2026-05-05 10:21:00;U065;C026;S4944;page_view;/product;desktop;site
2026-05-14 03:18:00;U077;C032;S8710;page_view;/;desktop;Yandex Ads
2026-05-07 10:17:00;U034;C057;S7606;product_view;/cart;desktop;ads_vk
2026-05-17 19:58:00;U037;;S9261;product_view;/checkout;mobile;marketplace
2026-05-07 04:32:00;U051;C007;S6555;product_view;/product;desktop;ads_vk
2026-05-28 18:03:00;U052;C033;S1742;page_view;/payment;mobile;vk_ads
2026-05-24 23:14:00;U020;C030;S9446;page_view;/checkout;mobile;ads_yandex
2026-05-19 05:12:00;U039;C040;S9311;purchase_success;/checkout;mobile;email
2026-05-22 22:42:00;U003;C053;S2795;support_open;/checkout;mobile;site
2026-05-28 11:59:00;U034;C031;S4728;checkout_start;/checkout;mobile;ads_yandex
2026-05-25 04:36:00;U080;C041;S7229;page_view;/payment;desktop;site
2026-05-27 09:23:00;U015;C045;S8225;page_view;/catalog;mobile;ads_vk
2026-05-20 00:14:00;U079;C033;S2020;add_to_cart;/checkout;desktop;referral
2026-05-31 11:19:00;U068;C031;S3837;product_view;/checkout;mobile;referral
2026-06-01 02:13:00;U088;C050;S5331;add_to_cart;/catalog;desktop;email
2026-05-26 17:34:00;U029;C020;S5876;checkout_start;/payment;desktop;vk_ads
2026-05-15 18:17:00;U045;C031;S5480;page_view;/checkout;tablet;Yandex Ads
2026-06-11 02:24:00;U045;C026;S3399;page_view;/product;tablet;marketplace
2026-05-17 02:19:00;U057;C060;S8849;page_view;/support;tablet;email
2026-05-26 21:52:00;U035;;S4920;page_view;/payment;tablet;ads_vk
2026-05-30 08:48:00;U007;;S6411;add_to_cart;/;tablet;ads_yandex
2026-05-01 13:39:00;U021;C036;S8793;product_view;/catalog;mobile;referral
2026-05-14 07:44:00;U008;C042;S2465;add_to_cart;/catalog;tablet;site
2026-05-09 07:13:00;U023;C027;S1595;support_open;/cart;mobile;ads_yandex
2026-06-04 10:06:00;U038;C056;S1151;page_view;/checkout;desktop;referral
2026-05-14 06:49:00;U083;C030;S9092;search;/catalog;tablet;vk_ads
2026-05-13 18:00:00;U015;C013;S8518;add_to_cart;/payment;desktop;site
2026-06-03 20:34:00;U038;C022;S4164;page_view;/support;tablet;Yandex Ads
2026-06-07 23:17:00;U066;C028;S7567;add_to_cart;/catalog;desktop;vk_ads
2026-05-16 01:27:00;U032;;S7284;page_view;/support;mobile;referral
2026-05-15 01:48:00;U074;;S6890;add_to_cart;/;tablet;marketplace
2026-05-22 12:20:00;U021;C020;S9233;search;/payment;mobile;marketplace
2026-05-30 09:38:00;U038;C059;S4618;page_view;/catalog;mobile;ads_yandex
2026-05-22 00:57:00;U078;C048;S9998;search;/support;tablet;ads_vk
2026-06-05 00:09:00;U088;C016;S2341;product_view;/checkout;tablet;referral
2026-05-04 21:18:00;U073;;S9972;search;/catalog;tablet;ads_yandex
2026-05-08 19:43:00;U067;C021;S4365;add_to_cart;/cart;desktop;vk_ads
2026-06-07 03:18:00;U059;;S7806;product_view;/;tablet;vk_ads
2026-05-31 22:50:00;U040;C052;S7487;page_view;/;tablet;ads_vk
2026-05-27 15:40:00;U006;C005;S2044;product_view;/;desktop;vk_ads
2026-05-02 18:39:00;U053;;S3218;checkout_start;/payment;tablet;Yandex Ads
2026-05-18 09:00:00;U049;C058;S7184;product_view;/payment;tablet;ads_yandex
2026-05-31 01:50:00;U045;;S9802;product_view;/catalog;tablet;ads_vk
2026-06-08 07:50:00;U003;C001;S8585;add_to_cart;/checkout;mobile;Yandex Ads
2026-06-07 19:19:00;U032;C015;S3541;page_view;/payment;desktop;site
2026-06-07 04:09:00;U054;C043;S1256;page_view;/;desktop;site
2026-05-21 15:37:00;U087;C039;S1797;page_view;/;mobile;vk_ads
2026-05-11 23:57:00;U028;C035;S1924;page_view;/product;desktop;referral
2026-05-27 14:45:00;U087;C039;S4881;page_view;/catalog;tablet;ads_vk
2026-05-20 03:43:00;U036;;S3869;add_to_cart;/cart;tablet;vk_ads
2026-05-03 11:12:00;U083;C023;S9592;page_view;/cart;mobile;ads_yandex
2026-05-14 23:33:00;U024;C025;S8758;page_view;/catalog;mobile;ads_yandex
2026-06-07 00:07:00;U008;C030;S7824;product_view;/catalog;mobile;ads_vk
2026-05-12 22:31:00;U043;C014;S8369;purchase_success;/;tablet;ads_vk
2026-05-03 16:17:00;U049;C018;S1647;search;/catalog;tablet;ads_vk
2026-05-23 03:37:00;U043;C014;S1251;page_view;/catalog;tablet;marketplace
2026-06-04 07:47:00;U062;C049;S4350;product_view;/catalog;tablet;referral
2026-06-05 15:04:00;U049;C019;S6886;page_view;/product;tablet;vk_ads
2026-05-22 13:00:00;U061;C007;S6246;search;/product;mobile;Yandex Ads
2026-05-03 09:56:00;U029;C037;S1265;page_view;/checkout;tablet;Yandex Ads
2026-05-14 18:25:00;U026;C010;S7223;product_view;/catalog;mobile;referral
2026-05-13 01:04:00;U063;C049;S9037;product_view;/payment;mobile;ads_yandex
2026-05-07 16:52:00;U070;C047;S9882;support_open;/;tablet;site
2026-06-08 12:29:00;U010;C055;S1794;checkout_start;/cart;desktop;ads_vk
2026-05-04 10:14:00;U020;;S9285;product_view;/;tablet;vk_ads
2026-05-31 08:06:00;U003;;S7739;page_view;/checkout;tablet;email
2026-05-25 17:10:00;U003;C019;S8054;purchase_success;/catalog;desktop;marketplace
2026-05-25 04:46:00;U031;C010;S9625;page_view;/product;mobile;Yandex Ads
2026-05-04 22:18:00;U052;C024;S4984;support_open;/catalog;mobile;marketplace
2026-05-31 02:03:00;U084;C055;S2531;product_view;/cart;tablet;vk_ads
2026-05-03 21:17:00;U002;C041;S2354;product_view;/cart;tablet;referral
2026-05-27 02:03:00;U013;C055;S1697;page_view;/support;tablet;vk_ads
2026-05-13 16:06:00;U010;C003;S5593;search;/checkout;tablet;site
2026-05-09 11:54:00;U041;;S4394;product_view;/support;tablet;Yandex Ads
2026-05-04 20:02:00;U021;C020;S7375;add_to_cart;/checkout;mobile;Yandex Ads
2026-06-04 17:19:00;U018;C048;S2284;product_view;/product;desktop;marketplace
2026-05-21 05:25:00;U010;C015;S7499;support_open;/product;desktop;email
2026-06-05 23:50:00;U063;C029;S7150;product_view;/payment;tablet;Yandex Ads
2026-05-05 05:36:00;U080;C050;S5037;add_to_cart;/;mobile;ads_yandex
2026-05-18 15:03:00;U082;;S7383;page_view;/;desktop;site
2026-05-15 08:42:00;U047;C029;S2674;page_view;/catalog;mobile;vk_ads
2026-05-26 16:22:00;U066;C036;S1430;page_view;/checkout;desktop;referral
2026-06-09 15:24:00;U002;C025;S7353;checkout_start;/payment;tablet;ads_vk
2026-05-27 08:43:00;U022;C034;S3777;page_view;/product;mobile;vk_ads
2026-05-07 23:23:00;U022;C005;S7899;page_view;/support;desktop;referral
2026-05-12 18:55:00;U081;C016;S4203;product_view;/catalog;mobile;site
2026-05-19 08:12:00;U080;C022;S6399;product_view;/cart;tablet;ads_yandex
2026-05-15 00:09:00;U078;C021;S4290;product_view;/catalog;mobile;referral
2026-05-14 14:20:00;U089;C048;S4971;page_view;/product;mobile;referral
2026-05-06 12:23:00;U073;C060;S9939;page_view;/support;tablet;site
2026-06-03 10:18:00;U027;C030;S5773;purchase_success;/;mobile;vk_ads
2026-05-07 16:01:00;U039;C041;S3525;add_to_cart;/support;mobile;marketplace
2026-05-21 18:30:00;U062;C039;S9755;product_view;/support;tablet;Yandex Ads
2026-05-26 01:48:00;U047;C003;S9796;product_view;/;desktop;ads_vk
2026-05-31 06:16:00;U046;;S1725;product_view;/payment;tablet;Yandex Ads
2026-06-04 14:07:00;U056;;S2615;page_view;/checkout;tablet;ads_vk
2026-05-21 14:54:00;U051;C024;S9199;page_view;/;mobile;marketplace
2026-05-14 18:41:00;U011;;S3321;page_view;/product;mobile;ads_vk
2026-05-25 01:11:00;U045;C031;S8178;checkout_start;/cart;mobile;marketplace
2026-05-14 23:58:00;U015;;S6620;add_to_cart;/payment;desktop;ads_vk
2026-05-24 19:36:00;U071;;S7985;search;/catalog;mobile;ads_yandex
2026-05-09 19:35:00;U085;C041;S1478;checkout_start;/catalog;mobile;Yandex Ads
2026-05-19 00:42:00;U028;C001;S2025;product_view;/support;tablet;ads_yandex
2026-05-17 23:32:00;U026;C021;S5298;add_to_cart;/cart;tablet;referral
2026-05-28 12:03:00;U079;C025;S2871;page_view;/support;mobile;ads_yandex
2026-06-07 08:49:00;U039;C044;S2388;add_to_cart;/product;desktop;ads_vk
2026-05-15 05:33:00;U024;C008;S3316;product_view;/cart;tablet;ads_yandex
2026-05-27 11:50:00;U055;C025;S9804;add_to_cart;/payment;desktop;ads_yandex
2026-05-23 14:49:00;U018;C019;S8389;add_to_cart;/support;mobile;site
2026-05-23 09:19:00;U025;C009;S9281;add_to_cart;/cart;tablet;vk_ads
2026-05-20 05:58:00;U057;C046;S2354;product_view;/support;desktop;email
2026-05-02 19:42:00;U029;C018;S3755;checkout_start;/checkout;tablet;vk_ads
2026-05-26 08:26:00;U015;C033;S5389;checkout_start;/support;mobile;site
2026-06-04 22:07:00;U057;C047;S7965;page_view;/support;tablet;ads_vk
2026-05-14 21:10:00;U005;C056;S6711;search;/;mobile;marketplace
2026-06-05 15:11:00;U031;C052;S6744;search;/checkout;tablet;Yandex Ads
2026-05-08 21:17:00;U018;C040;S4390;purchase_success;/checkout;mobile;email
2026-05-28 11:55:00;U022;C035;S5794;page_view;/product;tablet;marketplace
2026-05-07 12:05:00;U053;C049;S5543;search;/catalog;tablet;ads_yandex
2026-05-12 16:42:00;U042;C010;S7434;product_view;/checkout;tablet;email
2026-05-29 21:44:00;U049;C027;S2525;product_view;/payment;mobile;referral
2026-05-22 00:38:00;U042;C032;S2526;checkout_start;/cart;tablet;referral
2026-06-09 00:32:00;U069;C005;S8039;purchase_success;/cart;mobile;referral
2026-06-08 00:46:00;U044;C019;S3139;product_view;/cart;mobile;site
2026-05-03 10:10:00;U081;C007;S8529;page_view;/support;desktop;vk_ads
2026-05-22 02:38:00;U055;C001;S3161;search;/product;desktop;email
2026-05-05 13:57:00;U047;C042;S7092;add_to_cart;/payment;desktop;site
2026-05-19 08:54:00;U040;C041;S4836;product_view;/;tablet;marketplace
2026-05-01 09:11:00;U062;;S4705;product_view;/cart;desktop;site
2026-06-01 23:46:00;U016;C022;S7919;add_to_cart;/cart;desktop;ads_vk
2026-05-18 18:24:00;U014;;S7022;search;/catalog;mobile;ads_yandex
2026-05-30 12:46:00;U019;;S1138;add_to_cart;/catalog;mobile;referral
2026-06-03 05:05:00;U081;C014;S7745;add_to_cart;/cart;desktop;marketplace
2026-06-11 03:19:00;U018;C007;S7291;product_view;/cart;mobile;ads_yandex
2026-05-12 14:38:00;U083;;S5668;checkout_start;/payment;desktop;email
2026-05-10 16:24:00;U078;C034;S7418;page_view;/;desktop;vk_ads
2026-05-18 21:29:00;U031;C008;S2163;product_view;/;mobile;referral
2026-05-07 08:09:00;U073;C025;S9951;add_to_cart;/support;mobile;marketplace
