ticket_id,created_at,customer_id,region_id,channel,category,priority,first_response_min,resolution_hours,sla_breached,satisfaction_score
TCK-000307,2026-04-11 18:57:00,CUST-0311,R04,email,delivery,normal,31.2,14.7,0,5.0
TCK-001463,2026-05-17 13:25:00,CUST-0065,R04,web_form,technical,normal,60.2,249.5,1,2.3
TCK-001481,2026-04-11 18:01:00,CUST-0224,R04,email,account,normal,28.2,9.3,0,4.6
TCK-000310,2026-05-25 16:14:00,CUST-0097,R01,email,delivery,low,48.4,13.2,0,3.4
TCK-000352,2026-05-25 18:11:00,CUST-0170,R04,phone,login,normal,12.7,1.5,0,3.9
TCK-001047,2026-04-27 17:08:00,CUST-0292,R07,chat,technical,normal,6.4,37.0,1,3.9
TCK-000142,2026-05-06 13:23:00,CUST-0227,R06,chat,login,low,1.7,2.5,0,5.0
TCK-001323,2026-03-13 15:05:00,CUST-0142,R06,chat,account,high,4.2,1.1,0,4.8
TCK-000465,2026-05-16 13:03:00,CUST-0122,R03,email,technical,high,36.6,25.1,1,3.7
TCK-000722,2026-05-20 14:06:00,CUST-0035,,phone,login,high,2.8,3.0,0,5.0
TCK-000721,2026-03-30 21:21:00,CUST-0012,R01,chat,login,normal,3.2,3.0,0,5.0
TCK-001294,2026-04-08 10:32:00,CUST-0258,R02,chat,account,normal,3.0,27.7,1,3.1
TCK-001006,2026-05-18 21:59:00,CUST-0188,R03,chat,technical,normal,9.3,13.1,0,5.0
TCK-001178,2026-04-04 20:44:00,CUST-0092,R08,email,payment,high,61.3,10.4,0,4.8
TCK-000599,2026-03-05 20:55:00,CUST-0002,R08,web_form,payment,high,13.0,17.3,1,3.3
TCK-000807,2026-05-19 10:40:00,CUST-0178,R04,chat,payment,low,3.8,5.2,0,5.0
TCK-000068,2026-04-01 19:45:00,CUST-0102,R02,phone,payment,normal,12.4,8.1,0,5.0
TCK-000899,2026-05-19 16:28:00,CUST-0317,R08,email,technical,normal,26.7,58.7,1,1.7
TCK-000298,2026-04-28 21:07:00,CUST-0190,R03,email,payment,normal,9.9,8.7,0,5.0
TCK-001278,2026-04-29 11:40:00,CUST-0319,R04,email,payment,normal,91.0,10.2,0,3.8
TCK-000272,2026-05-21 12:04:00,CUST-0250,R02,chat,account,low,16.7,4.7,0,5.0
TCK-001084,2026-05-16 20:20:00,CUST-0268,R06,phone,payment,low,12.5,6.5,0,5.0
TCK-000052,2026-04-14 13:01:00,CUST-0009,R05,chat,technical,critical,1.8,46.0,1,
TCK-000427,2026-03-06 21:45:00,CUST-0247,R04,web_form,login,high,7.0,13.3,1,3.8
TCK-000429,2026-04-08 10:29:00,CUST-0182,R02,chat,technical,normal,4.9,39.3,1,4.0
TCK-000241,2026-05-27 19:38:00,CUST-0322,R03,chat,delivery,high,2.7,45.5,1,3.9
TCK-000528,2026-04-14 13:08:00,CUST-0275,R05,email,login,high,19.3,6.0,0,4.5
TCK-000417,2026-03-13 14:43:00,CUST-0003,R05,email,login,normal,47.0,6.8,0,4.5
TCK-000702,2026-04-24 17:44:00,CUST-0149,R04,chat,technical,critical,2.0,14.1,1,4.7
TCK-000675,2026-03-27 16:51:00,CUST-0023,R01,phone,technical,normal,11.3,20.1,0,4.8
TCK-000906,2026-05-21 11:36:00,CUST-0078,R02,phone,account,normal,20.1,7.7,0,4.9
TCK-001231,2026-04-18 21:01:00,CUST-0149,R05,web_form,delivery,high,25.6,24.7,1,3.6
TCK-000863,2026-03-24 09:55:00,CUST-0132,R06,email,technical,normal,32.6,50.9,1,1.9
TCK-000050,2026-04-23 20:26:00,CUST-0137,R04,email,payment,high,41.0,16.5,1,2.9
TCK-000071,2026-06-05 13:16:00,CUST-0111,R03,email,account,normal,40.5,3.9,0,4.3
TCK-000498,2026-04-25 12:41:00,CUST-0102,R01,web_form,payment,high,11.2,24.6,1,4.0
TCK-000414,2026-03-26 12:27:00,CUST-0024,R01,chat,refund,normal,1.5,22.1,0,4.3
TCK-000351,2026-03-23 15:33:00,CUST-0313,R06,web_form,delivery,low,32.9,7.7,0,4.1
TCK-001279,2026-03-23 09:51:00,CUST-0274,R01,phone,account,critical,4.6,15.4,1,4.6
TCK-001189,2026-03-03 16:34:00,CUST-0318,R04,web_form,login,critical,37.6,9.3,1,3.5
TCK-000820,2026-03-18 10:31:00,CUST-0242,R03,chat,payment,low,6.6,2.2,0,5.0
TCK-000501,2026-06-05 10:14:00,CUST-0001,R06,web_form,account,normal,5.7,9.1,0,4.9
TCK-000125,2026-04-24 21:38:00,CUST-0179,R01,chat,payment,normal,1.0,6.1,0,4.8
TCK-000782,2026-03-27 13:22:00,CUST-0224,R03,chat,technical,high,7.5,54.4,0,4.3
TCK-000757,2026-03-25 11:47:00,CUST-0044,R04,chat,login,normal,9.5,8.0,0,5.0
TCK-000366,2026-05-18 13:29:00,CUST-0205,R02,chat,login,normal,10.2,0.6,0,5.0
TCK-001390,2026-03-24 08:48:00,CUST-0307,R06,chat,login,high,1.8,13.2,1,5.0
TCK-001069,2026-05-27 15:09:00,CUST-0135,R01,chat,login,critical,3.4,3.5,0,5.0
TCK-000077,2026-05-20 12:19:00,CUST-0182,R02,email,payment,high,93.5,16.3,1,2.9
TCK-001048,2026-05-08 21:14:00,CUST-0004,R01,email,technical,low,39.3,27.1,0,3.7
TCK-001382,2026-03-12 10:28:00,CUST-0273,R07,email,technical,low,92.3,24.3,0,3.3
TCK-001177,2026-03-06 08:36:00,CUST-0247,R06,chat,technical,critical,2.9,39.3,1,
TCK-000248,2026-06-02 18:14:00,CUST-0099,R01, WEB_FORM,delivery,high,3.1,66.6,1,2.3
TCK-000491,2026-04-09 09:30:00,CUST-0206,R01,chat,delivery,high,3.3,35.0,1,4.0
TCK-000276,2026-03-25 19:32:00,CUST-0076,R01,email,technical,low,112.0,16.2,0,3.2
TCK-000860,2026-05-18 16:14:00,CUST-0051,R04,web_form,delivery,normal,72.4,24.6,1,3.0
TCK-000124,2026-04-28 10:24:00,CUST-0002,R03,web_form,technical,normal,20.5,4.2,0,5.0
TCK-000030,2026-05-02 09:37:00,CUST-0062,R03,email,refund,normal,8.8,25.6,1,4.2
TCK-000245,2026-05-08 15:25:00,CUST-0027,R01,chat,technical,low,4.0,9.0,0,4.9
TCK-001079,2026-06-01 08:27:00,CUST-0006,R02,email,delivery,normal,35.5,24.5,1,
TCK-000169,2026-03-17 15:11:00,CUST-0283,R05,web_form, technical ,normal,28.3,3.5,0,4.8
TCK-000066,2026-04-28 18:09:00,CUST-0286,R01,chat,login,critical,1.5,6.5,1,
TCK-000421,2026-03-16 11:29:00,CUST-0322,R04,web_form,login,normal,20.7,6.8,0,4.2
TCK-000572,2026-04-03 20:22:00,CUST-0288,R06,email,refund,low,66.3,59.4,1,1.9
TCK-001226,2026-03-07 09:17:00,CUST-0312,R01,chat,payment,high,1.0,7.4,0,5.0
TCK-000853,2026-04-27 15:16:00,CUST-0064,R02,chat,technical,normal,6.1,23.8,0,5.0
TCK-001373,2026-05-15 11:37:00,CUST-0270,R03,chat,payment,normal,12.3,9.4,0,5.0
TCK-001235,2026-04-01 10:53:00,CUST-0098,,chat,account,low,3.7,4.5,0,4.7
TCK-000850,2026-04-04 15:36:00,CUST-0053,R01,phone,technical,high,11.6,120.0,1,1.0
TCK-001492,2026-06-08 18:38:00,CUST-0308,R05,chat,account,normal,5.8,18.2,0,4.6
TCK-000701,2026-03-10 16:14:00,CUST-0286,R03,email,refund,normal,31.2,12.2,0,4.7
TCK-000487,2026-04-25 17:24:00,CUST-0008,R01,phone,technical,low,8.2,42.8,0,3.9
TCK-000812,2026-04-22 09:37:00,CUST-0260,R06,web_form,technical,normal,128.8,13.0,0,3.2
TCK-000495,2026-04-02 08:56:00,CUST-0193,R01,web_form,account,normal,77.2,11.4,0,3.7
TCK-000494,2026-05-02 13:04:00,CUST-0151,R05,phone,payment,normal,3.4,5.6,0,5.0
TCK-000979,2026-05-18 08:18:00,CUST-0212,R06,email,refund,normal,63.4,3.7,0,3.8
TCK-001496,2026-04-26 11:25:00,CUST-0191,R01,email,technical,normal,43.7,8.3,0,4.3
TCK-000842,2026-06-03 15:58:00,CUST-0108,R08,chat,refund,normal,1.0,26.4,1,4.4
TCK-000619,2026-05-28 16:58:00,CUST-0019,R08,phone,delivery,normal,11.0,18.8,0,4.3
TCK-000661,2026-04-19 11:03:00,CUST-0305,R06,chat, technical ,high,5.2,4.3,0,5.0
TCK-001345,2026-04-01 18:20:00,CUST-0233,R03,email,login,normal,34.4,15.3,0,4.7
TCK-000045,2026-05-06 19:40:00,CUST-0263,R02, Chat ,payment,normal,10.1,20.3,0,4.4
TCK-000060,2026-03-13 09:35:00,CUST-0142,R05,email,delivery,normal,73.6,10.9,0,4.0
TCK-001179,2026-03-18 10:17:00,CUST-0003,R01,chat,payment,normal,8.4,10.8,0,
TCK-001230,2026-03-12 08:29:00,CUST-0128,R08,chat,refund,high,5.1,23.5,1,4.4
TCK-000024,2026-05-29 08:54:00,CUST-0070,R03,email,delivery,normal,41.9,9.7,0,4.4
TCK-000611,2026-03-25 19:26:00,CUST-0178,R04,chat,login,low,5.0,5.9,0,5.0
TCK-001248,2026-03-25 15:14:00,CUST-0255,R07,email,account,normal,102.8,8.1,0,3.9
TCK-000333,2026-05-25 14:28:00,CUST-0003,R02,chat,payment,high,5.8,14.0,1,4.5
TCK-001170,2026-05-10 20:58:00,CUST-0065,R02,chat,technical,low,3.3,24.6,0,5.0
TCK-001349,2026-05-26 09:16:00,CUST-0181,R02,chat,account,normal,9.0,9.9,0,5.0
TCK-000835,2026-03-07 11:24:00,CUST-0239,R01,web_form,delivery,normal,30.0,21.4,1,3.1
TCK-001458,2026-05-15 09:52:00,CUST-0163,R03,email,delivery,critical,14.2,51.7,1,2.0
TCK-001489,2026-04-16 16:19:00,CUST-0228,R03,web_form,delivery,low,57.4,18.0,0,3.5
TCK-001099,2026-05-21 15:35:00,CUST-0210,R01,phone,login,low,15.3,6.6,0,5.0
TCK-000116,2026-04-09 12:35:00,CUST-0038,R03,chat,delivery,high,2.8,22.3,1,4.1
TCK-001094,2026-05-15 09:12:00,CUST-0049,R05,email,delivery,normal,32.6,13.9,0,4.1
TCK-001377,2026-06-08 18:57:00,CUST-0328,R08,email,payment,normal,9.4,18.4,0,4.2
TCK-000440,2026-05-04 18:52:00,CUST-0189,R03,web_form,account,normal,76.6,12.6,0,4.5
TCK-000711,2026-04-23 11:00:00,CUST-0011,R01,email,account,normal,17.7,2.1,0,4.4
TCK-000238,2026-05-06 10:48:00,CUST-0320,R02,phone,login,normal,36.2,9.7,0,5.0
TCK-000221,2026-04-03 15:41:00,CUST-0137,R01,phone,technical,low,10.9,22.7,0,4.1
TCK-000775,2026-04-19 15:26:00,CUST-0265,R03,chat,delivery,normal,10.7,9.9,0,5.0
TCK-001286,2026-03-30 10:51:00,CUST-0028,R08,email,payment,high,71.3,12.3,1,3.6
TCK-001074,2026-03-10 18:30:00,CUST-0253,R06,chat,payment,high,2.5,8.2,0,4.9
TCK-001264,2026-04-25 20:53:00,CUST-0051,R04,phone, Refund ,normal,5.5,6.7,0,4.9
TCK-000079,2026-06-01 12:19:00,CUST-0068,R05,web_form,delivery,normal,15.8,12.3,0,4.2
TCK-001304,2026-05-21 18:43:00,CUST-0323,R04,chat,technical,low,6.6,18.0,0,4.8
TCK-001393,2026-05-14 13:57:00,CUST-0027,R03,chat,login,normal,9.9,1.5,0,5.0
TCK-000262,2026-04-17 10:40:00,CUST-0075,R04,chat,account,normal,5.6,6.4,0,5.0
TCK-000937,2026-05-04 14:33:00,CUST-0093,R99,phone,delivery,low,11.2,8.3,0,4.5
TCK-000016,2026-06-05 17:10:00,CUST-0071,R08,chat,payment,critical,1.0,16.4,1,4.7
TCK-000845,2026-05-29 19:34:00,CUST-0079,R06,chat,delivery,high,7.3,8.5,0,5.0
TCK-001141,2026-03-23 21:12:00,CUST-0114,R05,email, technical ,high,25.2,2.3,0,4.5
TCK-000614,2026-04-29 17:52:00,CUST-0043,R03,email,technical,normal,27.3,31.0,1,
TCK-001443,2026-05-01 16:01:00,CUST-0276,R08,email,delivery,normal,74.5,14.1,0,3.8
TCK-001119,2026-05-20 16:48:00,CUST-0249,R03,chat,delivery,high,3.0,32.9,1,4.7
TCK-000275,2026-06-08 14:16:00,CUST-0148,R04,web_form,delivery,normal,5.2,26.9,1,3.0
TCK-000530,2026-03-06 21:52:00,CUST-0218,R01,web_form,technical,high,9.2,27.2,1,3.4
TCK-000483,2026-05-01 15:36:00,CUST-0314,R01,web_form,payment,high,39.4,12.7,1,3.8
TCK-000644,2026-06-08 20:48:00,CUST-0100,R02,chat,delivery,normal,6.3,21.2,0,4.6
TCK-000965,2026-05-01 15:48:00,CUST-0104,R08,web_form,payment,normal,23.2,22.3,0,4.3
TCK-000627,2026-05-20 18:04:00,CUST-0226,R06,email,login,normal,108.6,6.9,0,3.9
TCK-000185,2026-03-06 18:02:00,CUST-0182,R07,chat,payment,low,1.0,15.1,0,5.0
TCK-000204,2026-04-16 10:59:00,CUST-0215,R04,web_form,account,high,19.4,4.5,0,4.5
TCK-001473,2026-04-28 14:50:00,CUST-0115,R02,web_form,account,normal,17.5,9.7,0,4.3
TCK-001115,2026-03-03 10:16:00,CUST-0259,R04,phone,technical,normal,18.0,20.8,0,4.3
TCK-000998,2026-06-05 15:37:00,CUST-0182,R01,chat,refund,normal,9.2,4.5,0,5.0
TCK-001028,2026-06-08 16:44:00,CUST-0074,R02,web_form,account,low,18.7,5.0,0,4.9
TCK-000931,2026-03-16 17:06:00,CUST-0045,R08,email,delivery,normal,31.7,3.9,0,4.7
TCK-000482,2026-05-13 13:33:00,CUST-0146,R04,email,technical,low,-9.0,33.7,0,2.8
TCK-000345,2026-03-27 08:48:00,CUST-0093,R05,phone,technical,high,4.8,49.3,1,3.6
TCK-000232,2026-06-06 18:34:00,CUST-0109,R08,phone,payment,high,4.7,17.2,1,4.1
TCK-001158,2026-05-12 15:28:00,CUST-0089,R01,web_form,technical,critical,11.6,29.3,1,3.4
TCK-000985,2026-04-26 18:23:00,CUST-0290,R01,email,delivery,critical,42.3,256.1,1,2.3
TCK-000589,2026-04-22 12:54:00,CUST-0299,R08,email,technical,normal,23.3,24.9,1,2.7
TCK-000044,2026-04-08 11:03:00,CUST-0212,R04,web_form,technical,normal,40.2,23.5,0,3.9
TCK-000423,2026-05-19 15:29:00,CUST-0113,R04,chat,payment,normal,4.1,11.9,0,5.0
TCK-000608,2026-03-07 16:56:00,CUST-0246,,chat,account,high,5.3,5.1,0,4.6
TCK-000868,2026-06-07 09:50:00,CUST-0304,R08,email,delivery,normal,24.1,17.3,0,4.5
TCK-001205,2026-05-05 14:05:00,CUST-0317,R03,web_form,account,low,7.8,9.6,0,4.8
TCK-000102,2026-03-26 09:16:00,CUST-0197,R08,chat,login,normal,10.0,1.9,0,
TCK-000108,2026-05-27 11:33:00,CUST-0103,R02,chat,technical,normal,9.3,16.6,0,5.0
TCK-001209,2026-05-08 09:57:00,CUST-0006,R07,chat,refund,high,2.8,79.8,1,2.8
TCK-001058,2026-05-19 11:31:00,CUST-0320,R06,chat,account,high,4.1,5.8,0,5.0
TCK-000584,2026-04-30 10:43:00,CUST-0271,R08,chat,technical,high,9.8,19.2,1,3.7
TCK-000910,2026-06-05 16:48:00,CUST-0141,R01,Phone ,technical,high,2.5,35.4,1,2.6
TCK-001014,2026-05-09 10:26:00,CUST-0007,R08,phone,technical,normal,12.0,11.8,0,4.8
TCK-000746,2026-05-29 15:17:00,CUST-0193,R03,chat,technical,normal,11.9,8.2,0,5.0
TCK-000934,2026-03-10 12:27:00,CUST-0054,R06,email,technical,normal,38.5,8.1,0,3.6
TCK-000800,2026-05-13 08:54:00,CUST-0246,R02,chat,payment,normal,2.2,2.4,0,5.0
TCK-000129,2026-03-17 10:42:00,CUST-0250,R01,phone,login,normal,13.9,4.0,0,4.8
TCK-000706,2026-04-21 13:59:00,CUST-0134,R07,email,delivery,normal,47.7,10.0,0,4.5
TCK-000278,2026-04-18 08:02:00,CUST-0268,R03,phone,technical,normal,37.3,50.7,1,2.7
TCK-001064,2026-04-02 19:34:00,CUST-0167,R01,email,payment,low,22.3,6.7,0,4.1
TCK-001075,2026-05-23 16:37:00,CUST-0182,R02,phone,technical,normal,4.1,18.0,0,5.0
TCK-001388,2026-04-21 19:37:00,CUST-0010,R04,email,delivery,high,39.2,2.0,0,4.6
TCK-001032,2026-05-28 18:14:00,CUST-0058,R03,chat,delivery,normal,3.6,8.5,0,4.6
TCK-001133,2026-05-17 13:51:00,CUST-0058,R05,email,payment,normal,19.2,2.9,0,4.1
TCK-001259,2026-05-03 09:59:00,CUST-0234,R01,email,delivery,normal,29.9,32.3,1,3.4
TCK-000033,2026-05-28 08:10:00,CUST-0017,R01,email,delivery,normal,85.8,2.4,0,3.8
TCK-001336,2026-04-27 16:44:00,CUST-0048,R05,chat,technical,normal,8.1,41.1,1,3.5
TCK-000597,2026-06-03 14:51:00,CUST-0171,R04,chat,refund,high,7.4,26.1,1,3.9
TCK-000847,2026-05-18 20:29:00,CUST-0090,R01,web_form,login,critical,53.2,4.4,0,4.9
TCK-001459,2026-05-06 11:33:00,CUST-0158,R01,web_form,technical,normal,48.0,28.1,1,3.1
TCK-001408,2026-03-09 20:31:00,CUST-0109,R03,chat,delivery,critical,1.0,25.4,1,3.9
TCK-001500,2026-03-18 12:33:00,CUST-0296,R03,chat,refund,normal,5.4,8.9,0,5.0
TCK-001436,2026-05-28 14:16:00,CUST-0128,R08,email,delivery,normal,27.8,14.9,0,4.6
TCK-000340,2026-05-19 14:56:00,CUST-0291,R01,chat,account,normal,4.5,6.4,0,5.0
TCK-001318,2026-03-05 09:01:00,CUST-0274,R01,chat,refund,normal,6.8,22.8,0,4.9
TCK-001293,2026-04-09 20:45:00,CUST-0207,R04,email,technical,normal,32.9,17.3,0,3.7
TCK-001010,2026-06-03 15:44:00,CUST-0310,R04,email,delivery,normal,46.4,14.4,0,3.8
TCK-000164,2026-03-01 12:03:00,CUST-0097,R02,email,payment,normal,19.6,7.3,0,4.1
TCK-000888,2026-03-27 15:55:00,CUST-0051,R01,email,payment,high,92.0,16.1,1,2.3
TCK-001451,2026-03-26 11:56:00,CUST-0011,R01,chat,technical,low,9.3,7.4,0,4.5
TCK-000290,2026-03-23 10:17:00,CUST-0020,R08,email,account,high,58.8,15.4,1,2.6
TCK-000412,2026-04-02 19:07:00,CUST-0048,R01,chat,login,critical,1.0,13.2,1,
TCK-001147,2026-05-28 21:09:00,CUST-0135,R03,web_form,technical,normal,28.1,69.1,1,1.6
TCK-000974,2026-04-21 18:10:00,CUST-0020,R02,email,technical,normal,47.3,5.2,0,3.8
TCK-000989,2026-04-29 11:15:00,CUST-0316,R02,phone,technical,normal,13.3,7.3,0,
TCK-000430,2026-06-04 16:51:00,CUST-0304,R06,phone, technical ,low,9.3,30.5,0,4.1
TCK-001197,2026-03-04 10:10:00,CUST-0093,R05,chat,payment,normal,14.6,16.6,0,5.0
TCK-000317,2026-03-19 13:33:00,CUST-0308,R05,chat,refund,normal,1.0,73.3,1,2.5
TCK-000193,2026-06-04 18:30:00,CUST-0196,R07,phone,payment,normal,13.6,9.4,0,4.5
TCK-000683,2026-03-15 16:09:00,CUST-0043,R02,email,payment,high,82.5,14.8,1,2.0
TCK-000527,2026-05-12 09:47:00,CUST-0218,R08,chat,account,normal,2.6,7.8,0,5.0
TCK-001447,2026-04-17 16:39:00,CUST-0211,R05,web_form,delivery,normal,4.4,17.9,0,4.4
TCK-000064,2026-03-25 20:28:00,CUST-0296,R03,email,delivery,low,57.5,12.8,0,3.7
TCK-000694,2026-04-23 17:43:00,CUST-0062,R05,phone,login,high,4.8,14.3,1,3.6
TCK-000240,2026-06-03 11:44:00,CUST-0089,R05,chat,technical,normal,2.1,30.4,1,3.7
TCK-000908,2026-03-29 17:42:00,CUST-0028,R02,chat,payment,normal,3.7,5.0,0,5.0
TCK-000507,2026-03-13 12:31:00,CUST-0047,R05,chat,delivery,normal,3.9,31.5,1,3.8
TCK-000260,2026-04-01 13:58:00,CUST-0118,R01,chat,login,high,4.4,9.2,0,5.0
TCK-000529,2026-05-07 13:35:00,CUST-0215,,phone,technical,high,2.1,39.3,1,3.6
TCK-000479,2026-05-04 18:42:00,CUST-0265,R01,chat,technical,normal,1.2,70.9,0,3.6
TCK-001011,2026-03-22 13:46:00,CUST-0058,R07,email,payment,low,53.3,4.7,0,
TCK-000199,2026-04-27 16:29:00,CUST-0292,R03,phone,account,normal,4.5,13.4,0,5.0
TCK-000715,2026-04-07 21:15:00,CUST-0167,R01,phone,payment,low,6.7,10.8,0,4.9
TCK-001030,2026-04-28 09:18:00,CUST-0254,R07,phone,login,normal,8.3,2.2,0,5.0
TCK-001454,2026-05-20 11:56:00,CUST-0304,R06,email,technical,high,20.6,75.0,1,1.7
TCK-000811,2026-03-24 17:12:00,CUST-0260,R04,chat,account,normal,5.7,6.6,0,4.3
TCK-000219,2026-04-02 10:33:00,CUST-0107,R01,email,delivery,normal,69.0,2.6,0,3.7
TCK-000809,2026-04-23 15:44:00,CUST-0111,R01,email,login,normal,49.8,2.2,0,4.4
TCK-000031,2026-03-14 09:15:00,CUST-0008,R03,web_form,refund,normal,21.4,22.0,0,
TCK-000057,2026-04-09 08:15:00,CUST-0298,R03,chat,account,normal,9.4,23.4,0,4.6
TCK-001220,2026-05-27 21:47:00,CUST-0088,R04,chat,login,normal,10.8,11.0,0,5.0
TCK-000889,2026-05-15 15:09:00,CUST-0264,R08,chat,account,low,2.3,9.0,0,5.0
TCK-001402,2026-05-29 10:21:00,CUST-0104,R04,email,refund,low,12.7,10.1,0,4.1
TCK-000615,2026-05-07 18:08:00,CUST-0094,R01,email,delivery,normal,23.0,30.0,0,3.7
TCK-000426,2026-06-08 08:22:00,CUST-0284,R01,chat,login,low,1.0,3.3,0,5.0
TCK-000480,2026-03-02 14:08:00,CUST-0167,R04,phone,technical,normal,6.2,4.7,0,
TCK-001324,2026-04-03 08:06:00,CUST-0272,R05,email,refund,normal,97.5,15.8,0,3.5
TCK-001188,2026-03-14 13:55:00,CUST-0239,R07,web_form,delivery,normal,13.4,26.2,1,3.3
TCK-000967,2026-05-06 11:51:00,CUST-0285,R01,email,payment,normal,17.7,28.2,1,
TCK-001246,2026-03-05 17:39:00,CUST-0072,R07,phone,refund,critical,5.2,14.8,1,4.0
TCK-001427,2026-05-14 14:38:00,CUST-0088,R04,phone,login,normal,10.1,7.0,0,4.0
TCK-000919,2026-05-30 18:53:00,CUST-0110,R01,email,delivery,high,5.6,13.1,1,2.7
TCK-000629,2026-03-24 19:06:00,CUST-0082,R07,chat,delivery,low,3.3,24.1,0,4.8
TCK-001086,2026-06-04 09:46:00,CUST-0323,R01,email,technical,normal,68.0,48.9,1,
TCK-000848,2026-05-25 15:25:00,CUST-0163,R05,chat,account,normal,3.4,4.4,0,5.0
TCK-000100,2026-05-20 15:41:00,CUST-0278,R08,chat,delivery,normal,4.7,25.3,1,3.8
TCK-001171,2026-03-16 08:22:00,CUST-0287,R05,chat,technical,high,4.6,11.1,0,5.0
TCK-000630,2026-04-08 08:04:00,CUST-0138,R06,web_form,payment,high,154.4,21.2,1,2.0
TCK-001335,2026-04-08 19:05:00,CUST-0289,R01,chat,payment,normal,9.2,12.4,1,4.6
TCK-000708,2026-03-30 18:26:00,CUST-0255,R01,chat,login,normal,1.1,1.7,0,5.0
TCK-000938,2026-05-21 16:16:00,CUST-0244,R02,email,payment,low,21.5,6.7,0,4.3
TCK-001160,2026-03-10 10:14:00,CUST-0247,R02,email,payment,high,10.1,21.8,1,3.2
TCK-001033,2026-06-03 13:26:00,CUST-0323,R08,chat,delivery,low,6.8,14.6,0,4.3
TCK-000945,2026-04-10 11:47:00,CUST-0182,R07,chat,technical,normal,3.1,6.8,0,5.0
TCK-001359,2026-05-16 18:05:00,CUST-0294,R08,chat,refund,low,1.3,40.2,0,4.9
TCK-000635,2026-05-16 21:04:00,CUST-0107,R07,web_form,account,high,18.2,13.4,1,
TCK-000431,2026-05-04 12:28:00,CUST-0246,R01,phone,delivery,normal,7.3,21.4,0,3.6
TCK-000434,2026-06-07 15:08:00,CUST-0111,R02,phone,account,normal,10.6,10.7,0,5.0
TCK-001411,2026-04-15 10:20:00,CUST-0119,R07,email,login,critical,8.7,2.8,0,5.0
TCK-001037,2026-04-06 14:07:00,CUST-0050,R01,email,refund,low,54.0,33.6,0,2.5
TCK-001174,2026-03-18 18:52:00,CUST-0157,R03,phone,login,high,14.3,0.9,0,5.0
TCK-000977,2026-03-27 17:08:00,CUST-0133,R07,email,payment,low,3.6,5.3,0,4.4
TCK-000237,2026-05-29 18:55:00,CUST-0031,R05,email,payment,normal,24.1,13.9,0,4.1
TCK-000603,2026-03-27 15:12:00,CUST-0036,R07,phone,payment,low,13.7,6.0,0,
