order_id,order_date,client_id,product_id,region_id,channel,quantity,unit_price,discount,comment
ORD-1054,2026-01-04,C025,P016,R03,marketplace,4,10061.86,0.07,repeat client
ORD-1055,2026-03-10,C002,P006,R04,Retail ,2,35910.44,0.1,
ORD-1056,2026-01-24,C004,P003,R03,retail,2,1021.39,0.07,promo
ORD-1057,2026-02-05,C027,P007,R03,MarketPlace,3,14478.03,0.07,
ORD-1058,2026-02-14,C015,P016,R06,online,5,9321.72,0,
ORD-1059,2026-03-21,C010,P001,R02,Online,2,72441.85,0,repeat client
ORD-1060,2026-03-31,C017,P004,R03,Online,2,2757.57,0.07,
ORD-1061,2026-01-04,C020,P006,R05,marketplace,1,37245.75,0.1,repeat client
ORD-1062,2026-03-17,C016,P013,R01,marketplace,2,378.56,0,promo
ORD-1063,2026-02-14,C035,P004,R04,marketplace,5,2966.6,0,promo
ORD-1064,2026-02-23,C032,P003,R01,retail,3,976.94,0,promo
ORD-1065,2026-03-08,C018,P015,R05,MarketPlace,4,14272.52,0.03,repeat client
ORD-1066,2026-02-04,C021,P015,R02,MarketPlace,6,13063.31,0.1,
ORD-1067,2026-03-14,C040,P009,R06,retail,2,2028.98,0.07,promo
ORD-1068,2026-03-04,C014,P001,R03,MarketPlace,3,62880.44,0.03,promo
ORD-1069,2026-02-05,C036,P011,R01,Retail ,5,3613.56,0.15,regular order
ORD-1070,2026-03-13,C016,P003,R06,retail,4,890.94,0.07,repeat client
ORD-1071,2026-01-29,C026,P015,R06,Online,1,14653.55,0.05,promo
ORD-1072,2026-02-24,C036,P012,R03, ONLINE ,5,267.59,0.05,repeat client
ORD-1073,2026-01-25,C021,P009,R01,marketplace,2,1683.97,0,regular order
ORD-1074,2026-03-17,C034,P007,R05, ONLINE ,4,13310.28,0.05,
ORD-1075,2026-02-08,C001,P007,R06,Retail ,3,13701.61,0.03,regular order
ORD-1076,2026-02-07,C009,P009,R06,MarketPlace,1,1527.31,0.1,repeat client
ORD-1077,2026-03-02,C031,P004,R04, ONLINE ,5,3035.45,0.05,regular order
ORD-1078,2026-01-09,C026,P002,R04,online,4,94960.5,0,
ORD-1079,2026-01-11,C016,P005,R01,Retail ,5,9669.57,0.05,repeat client
ORD-1080,2026-02-26,C020,P008,R05,retail,4,23748.78,0.07,promo
ORD-1081,2026-01-27,C014,P002,R03,marketplace,6,107282.27,0,
ORD-1082,2026-01-21,C001,P006,R04,retail,5,29453.55,0,repeat client
ORD-1083,2026-02-06,C030,P010,R01,marketplace,3,3925.59,0.15,regular order
ORD-1084,2026-03-26,C013,P009,R04,online,6,1972.7,0.1,regular order
ORD-1085,2026-01-08,C011,P005,R03,Retail ,2,12440.7,0,promo
ORD-1086,2026-03-31,C026,P015,R03,Retail ,6,11678.37,0.05,repeat client
ORD-1087,2026-02-11,C039,P015,R03,online,1,11482.97,0.07,
ORD-1088,2026-01-03,C018,P008,R05,online,5,25098.86,0.1,regular order
ORD-1089,2026-01-24,C038,P016,R04,marketplace,4,11170.17,0.05,repeat client
ORD-1090,2026-02-11,C007,P003,R02, ONLINE ,4,965.25,0.05,repeat client
ORD-1091,2026-01-05,C030,P016,R01, ONLINE ,4,10316.41,0.1,promo
ORD-1092,2026-01-01,C035,P011,R04,retail,4,3400.7,0.1,
ORD-1093,2026-03-22,C029,P007,R01,Online,5,14790.35,0.07,promo
ORD-1094,2026-03-04,C008,P005,R01,marketplace,4,12511.01,0.15,regular order
ORD-1095,2026-02-22,C006,P006,R02,MarketPlace,1,30215.56,0.1,
ORD-1096,2026-03-05,C019,P015,R05,marketplace,6,15339.42,0.03,promo
ORD-1097,2026-02-28,C036,P014,R02,retail,4,19341.4,0.03,regular order
ORD-1098,2026-02-13,C033,P005,R03,MarketPlace,3,12278.7,0.07,
ORD-1099,2026-03-26,C032,P010,R02,retail,5,5000.38,0.1,repeat client
ORD-1100,2026-02-28,C021,P012,R02,marketplace,5,254.92,0.07,regular order
ORD-1101,2026-02-10,C031,P013,R06,MarketPlace,4,300.69,0,repeat client
ORD-1102,2026-03-05,C003,P013,R02,Retail ,6,383.73,0.03,promo
ORD-1103,2026-03-09,C030,P004,R01,marketplace,4,3036.77,0,regular order
ORD-1104,2026-03-02,C017,P014,R03,Retail ,2,19551.41,0,repeat client
ORD-1105,2026-02-18,C021,P003,R06,marketplace,6,1089.32,0.1,repeat client
ORD-1106,2026-03-29,C019,P002,R02,marketplace,2,107552.35,0.15,
ORD-1107,2026-01-13,C029,P014,R02,marketplace,6,20174.36,0.15,promo
ORD-1108,2026-02-15,C024,P001,R04,Online,1,53465.81,0.05,regular order
ORD-1109,2026-01-23,C006,P014,R05,MarketPlace,2,17782.38,0.03,repeat client
ORD-1110,2026-01-30,C030,P008,R06, ONLINE ,5,21733.09,0.03,repeat client
ORD-1111,2026-03-28,C035,P009,R02,online,4,1900.1,0.05,repeat client
ORD-1112,2026-02-24,C017,P012,R04,MarketPlace,3,313.89,0.15,promo
ORD-1113,2026-01-31,C025,P007,R05, ONLINE ,4,17146.93,0,promo
ORD-1114,2026-02-05,C001,P010,R05,MarketPlace,6,3909.01,0.07,
ORD-1115,2026-03-19,C023,P016,R02,marketplace,3,12331.5,0.03,regular order
ORD-1116,2026-03-29,C009,P009,R06,online,6,1906.66,0.15,
ORD-1117,2026-02-16,C009,P010,R01, ONLINE ,1,5097.35,0.1,promo
ORD-1118,2026-02-16,C034,P014,R05, ONLINE ,2,15518.71,0.1,regular order
ORD-1119,2026-02-13,C008,P009,R04,online,4,2048.43,0.05,regular order
ORD-1120,2026-02-20,C036,P008,R03,online,6,24361.02,0.15,repeat client
ORD-1121,2026-02-17,C017,P001,R05,retail,1,58053.63,0.07,promo
ORD-1122,2026-03-21,C036,P004,R03,Retail ,4,2857.35,0,regular order
ORD-1123,2026-02-08,C027,P003,R01,Online,4,1019.01,0.15,
ORD-1124,2026-01-13,C016,P002,R05,Online,4,96750.58,0,repeat client
ORD-1125,2026-03-11,C027,P015,R05,marketplace,6,12776.0,0.15,regular order
ORD-1126,2026-02-22,C018,P014,R01,marketplace,4,18298.55,0.1,promo
ORD-1127,2026-01-13,C024,P007,R05,marketplace,2,14422.58,0.05,promo
ORD-1128,2026-02-28,C006,P002,R06,Online,2,99985.82,0,
ORD-1129,2026-03-14,C014,P002,R01,MarketPlace,2,113394.41,0.03,regular order
ORD-1130,2026-01-19,C039,P007,R01, ONLINE ,2,16233.96,0.05,regular order
ORD-1131,2026-03-26,C002,P005,R02,online,2,11096.79,0,promo
ORD-1132,2026-02-03,C004,P008,R02,marketplace,1,22394.18,0.03,repeat client
ORD-1133,2026-02-16,C033,P004,R05,online,4,2921.1,0.07,repeat client
ORD-1134,2026-03-26,C034,P008,R03,retail,1,24979.26,0.15,
ORD-1135,2026-03-29,C007,P002,R04,marketplace,4,120701.24,0.07,repeat client
ORD-1136,2026-01-19,C005,P003,R02, ONLINE ,3,1104.76,0.1,promo
ORD-1137,2026-02-28,C033,P013,R05,retail,5,384.41,0.05,
ORD-1138,2026-01-28,C028,P004,R04,Online,6,3017.51,0.1,repeat client
ORD-1139,2026-01-13,C021,P011,R04, ONLINE ,4,4325.64,0.07,promo
ORD-1140,2026-01-09,C006,P012,R01,online,6,310.82,0.07,repeat client
ORD-1141,2026-03-13,C004,P004,R05,Retail ,3,2920.13,0.03,promo
ORD-1142,2026-01-07,C019,P004,R05, ONLINE ,6,2619.73,0.07,promo
ORD-1143,2026-03-26,C031,P004,R02,MarketPlace,2,2770.13,0.03,
ORD-1144,2026-02-05,C037,P012,R02,MarketPlace,3,301.08,0,repeat client
ORD-1145,2026-02-04,C002,P001,R02, ONLINE ,6,65288.89,0.15,promo
ORD-1146,2026-03-14,C026,P011,R01,Online,2,3706.33,0.03,
ORD-1147,2026-02-23,C030,P003,R03,Online,2,1054.99,0.07,promo
ORD-1148,2026-01-11,C004,P010,R02,Online,5,4993.47,0.1,
ORD-1149,2026-03-04,C039,P003,R04,retail,6,900.93,0.07,promo
ORD-1150,2026-02-25,C008,P007,R03,marketplace,1,15949.22,0.05,repeat client
ORD-1004,2026-03-04,C005,P008,R05,MarketPlace,1,24490.57,0,regular order
ORD-1018,2026-01-31,C026,P006,R01,Retail ,1,27611.6,0.15,regular order
ORD-1043,2026-02-09,C015,P011,R02,Online,2,3371.4,0.15,
ORD-2001,2026-02-31,C034,P010,R01,Online,4,8874.01,0.05,invalid date test
ORD-2002,not_a_date,C004,P001,R02, ONLINE ,2,7115.53,0.05,invalid date test
ORD-2003,,C017,P010,R03,online,1,4928.82,0.05,invalid date test
ORD-2004,31/04/2026,C028,P006,R02,retail,2,4952.13,0.05,invalid date test
ORD-2005,2026/13/05,C023,P003,R04,MarketPlace,1,4433.38,0.05,invalid date test
ORD-2101,2026-01-17,C030,P003,R03,Retail ,0,5722.13,0.05,quantity rule test
ORD-2102,2026-01-18,C026,P014,R03,online,-1,5455.36,0.05,quantity rule test
ORD-2103,2026-01-19,C021,P006,R05,retail,-3,10152.29,0.05,quantity rule test
ORD-2104,2026-01-20,C024,P003,R04,MarketPlace,0,2164.49,0.05,quantity rule test
ORD-2201,2026-01-27,C028,P013,R05,online,2,0,0.05,price rule test
ORD-2202,2026-01-28,C020,P011,R02, ONLINE ,1,-500,0.05,price rule test
ORD-2203,2026-01-29,C005,P004,R05,Retail ,1,0,0.05,price rule test
ORD-2301,2026-02-06,C023,P012,R06,MarketPlace,2,3598.96,1.2,discount rule test
ORD-2302,2026-02-07,C010,P009,R02,Online,2,9362.37,-0.1,discount rule test
ORD-2303,2026-02-08,C005,P006,R06,retail,4,9298.9,1.5,discount rule test
ORD-2304,2026-02-09,C038,P015,R06,Retail ,3,10506.72,2.0,discount rule test
ORD-2305,2026-02-10,C021,P005,R04,online,4,5864.29,-0.05,discount rule test
ORD-2401,2026-02-16,C020,P999,R03,Retail ,1,4871.36,0.05,missing product reference test
ORD-2402,2026-02-17,C005,P999,R03,retail,4,1413.68,0.05,missing product reference test
ORD-2403,2026-02-18,C024,P018,R03,online,1,7765.09,0.05,missing product reference test
ORD-2404,2026-02-19,C033,P018,R04,retail,1,5947.07,0.05,missing product reference test
ORD-2405,2026-02-20,C037,P999,R06,Online,3,7655.06,0.05,missing product reference test
ORD-2406,2026-02-21,C033,P018,R02,online,4,2138.52,0.05,missing product reference test
ORD-2501,2026-02-26,C999,P011,R06,online,2,1430.56,0.05,missing client reference test
ORD-2502,2026-02-27,C888,P015,R04,Retail ,2,5002.88,0.05,missing client reference test
ORD-2503,2026-02-28,C999,P010,R04,retail,3,8467.87,0.05,missing client reference test
ORD-2601,2026-03-08,C004,P011,R99,online,3,2039.57,0.05,missing region reference test
ORD-2602,2026-03-09,C025,P010,R98, ONLINE ,2,4666.98,0.05,missing region reference test
ORD-2603,2026-03-10,C038,P005,R99, ONLINE ,3,11644.66,0.05,missing region reference test
ORD-2604,2026-03-11,C026,P005,R98,Retail ,1,4405.4,0.05,missing region reference test
ORD-2701,2026-03-18,C025,P011,,MarketPlace,2,8371.28,0.05,missing region id test
ORD-2702,2026-03-19,C034,P003,,marketplace,4,6593.37,0.05,missing region id test
ORD-2703,2026-03-20,C002,P012,, ONLINE ,2,11462.86,0.05,missing region id test
ORD-2704,2026-03-21,C022,P016,,Online,2,11999.74,0.05,missing region id test
ORD-2705,2026-03-22,C010,P003,, ONLINE ,1,6584.59,0.05,missing region id test
ORD-1009,2026-03-04,C014,P003,R05,Online,5,979.6,0.15,"same order id, changed quantity"
ORD-1026,2026-03-23,C028,P016,R03,online,3,10179.15,0,"same order id, changed quantity"
