order_id,order_date,customer_id,product_id,region_id,channel,delivery_type,quantity,unit_price,discount_pct,delivery_fee,promised_days,actual_delivery_days,order_status,payment_method,campaign,review_score
O0000048,2025-06-04,C02141,P0007,R01,app,express,1,27215.01,0.1028,299.0,1,1,delivered,sbp,welcome,5.0
O0000049,2024-12-12,C00265,P0098,R12,web,standard,1,409.58,0.1695,149.0,4,7,delivered,card,promo_code,4.0
O0000050,2025-02-24,C04517,P0101,R02,web,pickup,1,8199.85,0.1624,0.0,0,0,delivered,sbp,promo_code,5.0
O0000051,2025-06-17,C04259,P0086,R04,app,express,2,4171.72,0.0363,249.0,2,3,delivered,sbp,none,3.0
O0000052,2025-08-08,C00871,P0098,R02,web,pickup,1,415.23,0.1777,0.0,0,0,delivered,sbp,promo_code,4.0
O0000053,2025-12-14,C01166,P0003,R02,web,pickup,1,19166.22,0.1754,0.0,0,0,delivered,card,promo_code,5.0
O0000054,2025-10-18,C05192,P0112,R01,app,pickup,2,10985.57,0.1217,0.0,0,0,delivered,card,seasonal,5.0
O0000055,2024-09-20,C01023,P0088,R05,marketplace,express,2,4745.42,0.2717,199.0,1,1,delivered,card,seasonal,3.0
O0000056,2025-07-10,C00067,P0112,R02,app,standard,2,11238.35,0.0439,0.0,5,5,delivered,card,none,4.0
O0000057,2024-03-09,C06999,P0069,R02,app,standard,1,294.29,0.1114,0.0,4,4,delivered,card,loyalty,5.0
O0000058,2024-04-27,C02009,P0098,R03,app,standard,1,447.62,0.1889,99.0,4,4,delivered,card,seasonal,5.0
O0000059,2024-12-10,C06250,P0112,R01,app,express,3,10048.79,0.0673,249.0,1,1,delivered,sbp,loyalty,5.0
O0000060,2024-12-10,C02873,P0019,R05,web,express,2,20612.16,0.0124,199.0,1,2,delivered,card,none,4.0
O0000061,2025-01-05,C06733,P0001,R09,app,express,2,25232.55,0.0107,299.0,2,2,delivered,card,none,5.0
O0000062,2024-12-18,C02986,P0050,R07,web,standard,2,2469.88,0.1292,99.0,4,4,delivered,card,seasonal,3.0
O0000063,2025-05-01,C05222,P0041,R03,app,standard,2,2895.2,0.1558,0.0,5,7,cancelled,sbp,promo_code,
O0000064,2025-12-08,C06735,P0003,R07,web,pickup,1,22214.85,0.0321,0.0,0,0,delivered,sbp,none,4.0
O0000065,2024-05-27,C01956,P0115,R02,marketplace,standard,1,9797.41,0.0355,99.0,5,5,delivered,card,none,4.0
O0000066,2024-10-13,C00252,P0098,R07,web,express,3,389.86,0.0052,249.0,1,1,delivered,card,none,5.0
O0000067,2024-03-08,C03135,P0015,R01,app,pickup,2,17525.52,0.0179,0.0,0,0,delivered,card,none,5.0
O0000068,2024-06-18,C05303,P0118,R05,web,pickup,2,1165.3,0.0096,0.0,0,0,delivered,card,none,4.0
O0000069,2025-12-25,C03939,P0032,R05,web,express,3,1358.35,0.0214,249.0,1,1,delivered,sbp,none,4.0
O0000070,2024-02-07,C05855,P0098,R02,web,standard,4,406.09,0.0228,0.0,5,6,delivered,cash_on_delivery,none,4.0
O0000071,2024-06-29,C01862,P0045,R04,app,standard,2,2949.58,0.0367,0.0,3,4,delivered,card,none,4.0
O0000072,2024-11-23,C00486,P0064,R10,web,express,1,737.91,0.1642,199.0,2,5,delivered,card,promo_code,4.0
O0000073,2024-08-29,C01469,P0063,R11,web,pickup,2,935.4,0.0852,0.0,0,0,delivered,card,welcome,5.0
O0000074,2025-02-11,C01512,P0067,R04,web,pickup,3,524.81,0.1496,0.0,0,0,cancelled,card,promo_code,
O0000075,2025-12-27,C02325,P0076,R02,web,express,3,5234.18,0.0504,249.0,1,0,delivered,card,promo_code,4.0
O0000076,2025-06-21,C02178,P0003,R03,app,standard,2,22223.0,0.0505,99.0,4,5,delivered,card,loyalty,4.0
O0000077,2024-11-12,C01570,P0115,R04,app,standard,4,8647.26,0.0089,0.0,5,4,delivered,cash_on_delivery,none,4.0
O0000078,2025-06-05,C00861,P0077,R01,web,express,2,2131.36,0.0092,199.0,2,2,delivered,card,none,4.0
O0000079,2025-10-23,C03664,P0070,R11,app,standard,3,2403.04,0.0436,149.0,4,4,delivered,sbp,none,4.0
O0000080,2024-07-11,C04986,P0030,R01,app,standard,1,1730.53,0.0201,0.0,4,3,delivered,card,none,4.0
O0000081,2025-07-02,C06364,P0041,R01,app,standard,1,3213.58,0.1151,99.0,3,3,delivered,card,loyalty,4.0
O0000082,2025-04-09,C01923,P0114,R03,app,standard,1,14707.97,0.0414,0.0,3,3,delivered,card,none,4.0
O0000083,2025-07-15,C04598,P0007,R02,web,pickup,3,27061.0,0.0497,0.0,0,0,delivered,card,none,5.0
O0000084,2024-03-16,C03704,P0098,R06,web,standard,3,393.95,0.033,149.0,4,5,returned,cash_on_delivery,none,4.0
O0000085,2025-07-14,C06190,P0118,R02,web,express,2,1076.5,0.035,249.0,2,3,delivered,sbp,none,4.0
O0000086,2025-08-25,C04861,P0078,R01,app,standard,2,1030.27,0.1749,99.0,5,5,delivered,sbp,seasonal,4.0
O0000087,2025-06-08,C01179,P0078,R09,app,express,2,1023.62,0.0182,249.0,1,1,delivered,sbp,none,5.0
O0000088,2024-06-16,C01862,P0077,R04,app,standard,1,2202.47,0.0052,99.0,4,4,delivered,sbp,none,5.0
O0000089,2024-05-17,C04366,P0065,R03,marketplace,standard,2,437.91,0.0351,149.0,5,5,delivered,sbp,none,4.0
O0000090,2025-07-19,C05231,P0059,R04,marketplace,standard,3,1093.55,0.1341,99.0,3,4,delivered,card,promo_code,4.0
O0000091,2025-05-06,C00551,P0050,R08,app,standard,2,2535.71,0.1726,0.0,3,4,delivered,card,promo_code,3.0
O0000092,2025-12-23,C04507,P0001,R02,app,pickup,4,21102.93,0.1486,0.0,0,0,delivered,card,promo_code,5.0
O0000093,2024-12-08,C01147,P0012,R08,app,standard,1,8055.45,0.0698,99.0,4,4,delivered,card,promo_code,5.0
O0000094,2024-07-11,C06598,P0098,R05,app,standard,2,389.46,0.0921,149.0,4,4,delivered,card,promo_code,5.0
O0000095,2025-08-12,C06733,P0098,R09,app,standard,3,402.39,0.0012,0.0,4,5,delivered,cash_on_delivery,none,3.0
O0000096,2025-07-27,C06024,P0032,R08,app,standard,1,1476.15,0.0235,0.0,4,3,delivered,card,none,5.0
O0000097,2025-01-21,C06031,P0090,R01,marketplace,express,3,573.33,0.1275,299.0,2,2,delivered,card,promo_code,4.0
O0000098,2025-07-25,C06730,P0098,R03,app,express,1,403.3,0.0461,199.0,2,2,cancelled,card,none,
O0000099,2024-09-10,C01991,P0044,R01,app,express,1,2989.31,0.0282,249.0,1,0,delivered,card,none,5.0
O0000100,2024-07-01,C03677,P0102,R03,marketplace,pickup,6,3117.79,0.0169,0.0,0,0,delivered,card,none,3.0
O0000101,2024-04-18,C00898,P0028,R09,web,standard,2,1356.52,0.0154,0.0,3,3,delivered,card,none,5.0
O0000102,2024-08-27,C03186,P0075,R04,app,standard,2,2398.19,0.0174,0.0,3,3,delivered,sbp,none,5.0
O0000103,2025-05-12,C00742,P0024,R03,web,pickup,3,1503.25,0.1964,0.0,0,0,delivered,sbp,seasonal,5.0
O0000104,2024-08-03,C04838,P0007,R03,web,standard,1,22958.52,0.1163,0.0,3,3,cancelled,card,welcome,
O0000105,2025-10-31,C00523,P0003,R11,web,standard,1,19824.49,0.0396,0.0,3,4,delivered,sbp,none,4.0
O0000106,2024-07-27,C06029,P0037,R12,marketplace,standard,2,555.27,0.0266,149.0,3,3,delivered,sbp,none,5.0
O0000107,2025-06-06,C05964,P0070,R01,web,express,3,2388.47,0.1259,199.0,2,2,delivered,card,promo_code,5.0
O0000108,2025-01-26,C06735,P0098,R07,app,pickup,3,462.11,0.0479,0.0,0,0,delivered,card,none,5.0
O0000109,2024-06-27,C00238,P0016,R06,marketplace,standard,2,22387.56,0.0409,99.0,5,6,delivered,sbp,none,3.0
O0000110,2025-02-21,C05743,P0098,R10,marketplace,standard,3,410.1,0.0238,0.0,4,4,returned,sbp,none,3.0
O0000111,2025-12-08,C02035,P0012,R06,web,express,1,6894.26,0.0268,249.0,1,2,delivered,cash_on_delivery,none,3.0
O0000112,2025-12-03,C01292,P0047,R02,marketplace,express,1,4874.75,0.0442,249.0,1,1,delivered,card,none,5.0
O0000113,2024-08-28,C05228,P0078,R02,marketplace,express,2,1001.12,0.1771,199.0,1,1,delivered,sbp,promo_code,5.0
O0000114,2025-02-03,C00851,P0050,R08,web,pickup,2,2447.06,0.1047,0.0,0,0,delivered,sbp,promo_code,4.0
O0000115,2024-05-09,C06131,P0050,R02,app,pickup,3,2734.76,0.2405,0.0,0,0,delivered,sbp,seasonal,5.0
O0000116,2024-12-15,C06127,P0114,R02,web,standard,1,14271.9,0.2048,149.0,5,4,delivered,card,promo_code,4.0
O0000117,2024-09-18,C03875,P0064,R01,web,standard,2,713.02,0.0273,149.0,3,3,delivered,sbp,none,5.0
O0000118,2025-11-25,C02932,P0076,R08,app,standard,3,5055.21,0.0042,0.0,4,4,delivered,card,none,5.0
O0000119,2025-04-24,C06241,P0098,R01,app,standard,2,420.56,0.2052,99.0,5,4,delivered,sbp,seasonal,5.0
O0000120,2024-06-06,C04996,P0039,R11,web,standard,1,670.76,0.026,99.0,4,4,delivered,sbp,none,5.0
O0000121,2025-12-27,C00271,P0120,R11,web,pickup,1,8979.56,0.0866,0.0,0,0,returned,card,welcome,4.0
O0000122,2025-06-14,C02858,P0003,R01,web,standard,4,20266.87,0.0183,99.0,3,5,delivered,card,none,4.0
O0000123,2024-04-25,C02985,P0001,R05,app,standard,1,22328.27,0.1995,149.0,4,4,delivered,card,promo_code,5.0
O0000124,2025-09-03,C05987,P0037,R12,web,express,1,594.89,0.2114,299.0,2,2,delivered,sbp,promo_code,4.0
O0000125,2025-02-22,C06187,P0098,R01,app,express,1,413.54,0.0328,249.0,1,1,returned,sbp,none,4.0
O0000126,2024-11-09,C03791,P0097,R02,app,pickup,3,2096.18,0.0255,0.0,0,0,delivered,card,none,5.0
O0000127,2024-06-15,C00812,P0029,R08,marketplace,standard,3,445.45,0.2257,0.0,4,6,delivered,sbp,seasonal,4.0
O0000128,2024-08-18,C04287,P0070,R11,app,express,2,2425.2,0.1224,249.0,2,2,delivered,sbp,loyalty,5.0
O0000129,2024-05-22,C03204,P0048,R02,app,pickup,2,2243.39,0.0979,0.0,0,0,delivered,card,loyalty,4.0
O0000130,2025-09-06,C02932,P0058,R08,web,express,2,2464.25,0.0361,299.0,1,1,delivered,card,none,5.0
O0000131,2024-08-14,C06889,P0077,R09,web,standard,1,2213.48,0.2018,0.0,4,4,delivered,sbp,seasonal,5.0
O0000132,2024-12-16,C06961,P0086,R01,app,standard,2,3672.83,0.1272,99.0,5,4,delivered,sbp,welcome,5.0
O0000133,2025-12-15,C02838,P0058,R01,marketplace,standard,3,2485.58,0.1754,0.0,3,3,delivered,card,promo_code,4.0
O0000134,2025-12-29,C06557,P0098,R03,app,standard,2,425.44,0.0488,99.0,5,8,delivered,sbp,none,3.0
O0000135,2025-08-28,C01666,P0007,R03,app,standard,1,26104.29,0.0484,0.0,5,5,delivered,card,loyalty,5.0
O0000136,2025-09-02,C01275,P0098,R12,app,express,3,481.04,0.1328,299.0,1,1,delivered,sbp,seasonal,4.0
O0000137,2025-12-03,C04575,P0078,R06,app,standard,3,1125.95,0.1348,99.0,4,6,delivered,card,seasonal,4.0
O0000138,2025-09-01,C03492,P0098,R02,app,express,2,410.44,0.0892,199.0,1,1,delivered,sbp,promo_code,4.0
O0000139,2024-12-06,C05195,P0107,R07,web,standard,2,1601.66,0.0013,0.0,4,5,returned,card,none,2.0
O0000140,2024-02-25,C00794,P0086,R01,app,standard,2,3831.74,0.0174,99.0,5,5,delivered,sbp,none,4.0
O0000141,2024-06-25,C03372,P0046,R11,app,pickup,1,721.48,0.0221,0.0,0,0,delivered,card,none,5.0
O0000142,2024-12-02,C04767,P0039,R04,app,standard,1,704.5,0.001,0.0,4,4,delivered,card,none,5.0
O0000143,2024-08-08,C03498,P0050,R04,marketplace,standard,1,2993.42,0.1192,0.0,4,5,delivered,card,loyalty,4.0
O0000144,2024-09-23,C01994,P0012,R05,web,standard,2,7028.53,0.0439,99.0,4,4,delivered,card,none,5.0
O0000145,2024-02-24,C03495,P0098,R06,web,standard,1,411.11,0.0494,0.0,5,8,delivered,sbp,none,3.0
O0000146,2025-02-17,C04115,P0018,R05,web,standard,3,2513.76,0.137,99.0,4,5,delivered,sbp,seasonal,4.0
O0000147,2024-10-09,C03837,P0014,R01,app,pickup,2,16238.19,0.0788,0.0,0,0,delivered,card,loyalty,5.0
O0000148,2024-08-03,C03955,P0012,R01,web,express,2,6523.81,0.0857,249.0,2,2,delivered,card,welcome,4.0
O0000149,2025-04-06,C03109,P0065,R03,web,standard,2,422.28,0.0266,0.0,4,5,delivered,card,none,3.0
O0000150,2024-08-17,C02307,P0112,R11,marketplace,pickup,1,10855.52,0.2393,0.0,0,0,delivered,sbp,seasonal,4.0
O0000151,2024-12-19,C00486,P0006,R10,marketplace,pickup,3,5184.63,0.2262,0.0,0,0,delivered,card,seasonal,5.0
O0000152,2024-07-25,C00369,P0119,R04,web,pickup,3,2730.02,0.0096,0.0,0,0,delivered,card,none,5.0
O0000153,2025-06-03,C03739,P0108,R07,marketplace,standard,2,3092.82,0.043,0.0,3,4,delivered,card,none,3.0
O0000154,2025-10-11,C06018,P0074,R10,marketplace,pickup,1,1057.89,0.0384,0.0,0,0,delivered,sbp,none,5.0
O0000155,2024-03-14,C05520,P0098,R02,web,standard,1,414.62,0.1171,0.0,4,4,delivered,card,welcome,5.0
O0000156,2025-09-17,C03750,P0012,R05,app,standard,3,6690.16,0.0981,0.0,3,2,delivered,sbp,loyalty,5.0
O0000157,2025-10-09,C04471,P0098,R06,web,standard,3,407.05,0.1811,0.0,5,5,delivered,sbp,seasonal,4.0
O0000158,2025-12-13,C06832,P0101,R02,web,express,4,7299.56,0.1597,299.0,1,1,delivered,sbp,seasonal,5.0
O0000159,2025-09-23,C06753,P0003,R07,marketplace,pickup,2,22658.38,0.2377,0.0,0,0,delivered,sbp,seasonal,5.0
O0000160,2025-02-17,C06951,P0086,R03,app,standard,2,4046.72,0.0543,0.0,3,3,delivered,card,promo_code,4.0
O0000161,2024-03-04,C00174,P0004,R07,marketplace,standard,1,8382.5,0.0185,99.0,3,6,delivered,card,none,5.0
O0000162,2024-03-08,C04445,P0007,R09,app,express,2,27346.23,0.0261,199.0,2,3,delivered,card,none,3.0
O0000163,2024-06-15,C05192,P0026,R01,web,standard,1,948.43,0.0392,149.0,5,5,delivered,card,none,5.0
O0000164,2024-12-04,C00732,P0015,R07,marketplace,standard,2,18363.84,0.0735,0.0,5,6,cancelled,cash_on_delivery,loyalty,
O0000165,2025-12-08,C02507,P0098,R04,marketplace,express,1,410.5,0.1692,199.0,1,3,delivered,sbp,seasonal,3.0
O0000166,2024-05-29,C01121,P0003,R04,web,standard,1,20931.29,0.149,99.0,3,5,delivered,card,seasonal,5.0
O0000167,2025-02-05,C02666,P0003,R01,app,standard,3,20607.33,0.0119,0.0,4,4,delivered,card,none,4.0
O0000168,2025-12-30,C03094,P0098,R01,web,standard,2,439.33,0.1529,0.0,5,5,delivered,card,promo_code,5.0
O0000169,2024-01-14,C01154,P0026,R08,app,standard,3,953.29,0.0332,0.0,3,6,delivered,sbp,none,4.0
O0000170,2024-02-13,C03457,P0114,R04,marketplace,standard,2,13998.6,0.0195,99.0,3,3,delivered,sbp,none,4.0
O0000171,2024-08-11,C01216,P0050,R02,web,pickup,2,2528.31,0.0415,0.0,0,0,delivered,card,none,5.0
O0000172,2024-07-08,C06470,P0110,R08,app,pickup,2,3734.88,0.0098,0.0,0,0,delivered,card,none,5.0
O0000173,2024-12-30,C01140,P0058,R07,app,standard,2,2554.38,0.073,99.0,4,6,delivered,card,loyalty,3.0
O0000174,2024-11-20,C03592,P0001,R12,app,standard,1,23332.69,0.1623,0.0,4,5,delivered,card,seasonal,4.0
O0000175,2025-03-16,C02393,P0118,R09,web,standard,1,1094.39,0.0147,0.0,4,6,delivered,card,none,4.0
O0000176,2024-05-05,C02932,P0112,R08,app,standard,5,11316.2,0.0129,0.0,5,5,delivered,card,none,5.0
O0000177,2025-06-07,C02706,P0055,R04,app,pickup,2,1267.15,0.2426,0.0,0,0,delivered,card,seasonal,4.0
O0000178,2024-06-30,C06837,P0024,R01,web,pickup,1,1618.59,0.2498,0.0,0,0,delivered,card,seasonal,5.0
O0000179,2024-12-06,C04628,P0077,R02,marketplace,standard,2,1948.71,0.0197,0.0,3,2,cancelled,card,none,
O0000180,2024-02-01,C00391,P0098,R02,app,standard,3,401.88,0.046,99.0,5,5,delivered,card,loyalty,3.0
O0000181,2025-09-02,C05852,P0050,R08,app,pickup,4,2382.87,0.1304,0.0,0,0,delivered,card,welcome,4.0
O0000182,2025-04-19,C03802,P0073,R02,web,standard,2,430.43,0.0033,0.0,5,5,delivered,card,none,5.0
O0000183,2024-06-25,C00845,P0055,R01,web,standard,1,1227.51,0.0203,0.0,3,3,returned,card,none,3.0
O0000184,2025-03-30,C03292,P0068,R02,web,pickup,2,5885.07,0.0172,0.0,0,0,delivered,card,none,5.0
O0000185,2024-11-29,C00895,P0112,R01,marketplace,standard,2,10950.0,0.145,0.0,4,4,delivered,sbp,promo_code,4.0
O0000186,2025-09-22,C03883,P0003,R05,web,standard,3,20863.54,0.0007,0.0,4,5,delivered,card,none,3.0
O0000187,2025-12-23,C02553,P0003,R05,web,standard,1,19994.29,0.236,99.0,3,3,returned,card,seasonal,3.0
O0000188,2024-04-17,C00475,P0091,R08,marketplace,standard,1,399.02,0.0854,99.0,3,3,delivered,card,promo_code,5.0
O0000189,2024-12-26,C04550,P0096,R02,marketplace,standard,2,1208.93,0.1806,0.0,5,5,delivered,card,seasonal,4.0
O0000190,2024-08-03,C01561,P0048,R05,marketplace,standard,3,2293.34,0.0923,0.0,4,4,delivered,sbp,loyalty,5.0
O0000191,2025-07-27,C05348,P0075,R09,marketplace,pickup,1,2269.97,0.2739,0.0,0,0,delivered,card,seasonal,5.0
O0000192,2024-02-02,C06334,P0050,R09,web,standard,2,2536.89,0.0349,0.0,5,4,delivered,card,none,5.0
O0000193,2025-02-10,C01655,P0003,R04,web,standard,1,22335.56,0.0369,149.0,4,5,delivered,card,none,4.0
O0000194,2025-10-13,C02127,P0112,R08,app,standard,3,11781.26,0.0364,99.0,3,4,delivered,card,none,4.0
O0000195,2024-11-03,C00369,P0029,R04,app,express,3,421.61,0.0348,249.0,2,3,delivered,sbp,none,3.0
O0000196,2025-09-30,C03366,P0083,R09,app,pickup,1,2417.19,0.0087,0.0,0,0,delivered,card,none,4.0
O0000197,2024-05-05,C05889,P0029,R06,web,express,2,468.36,0.0939,199.0,2,1,delivered,card,loyalty,5.0
O0000198,2025-11-19,C00794,P0001,R01,marketplace,express,2,22091.26,0.0031,249.0,1,0,delivered,card,none,5.0
O0000199,2025-08-28,C01131,P0102,R01,app,standard,1,3373.53,0.0222,0.0,4,4,delivered,card,none,4.0
O0000200,2024-11-03,C05192,P0035,R01,app,express,1,931.25,0.023,199.0,1,1,delivered,cash_on_delivery,none,5.0
O0000201,2024-04-22,C04460,P0109,R05,app,standard,2,11329.6,0.1214,0.0,4,4,delivered,sbp,welcome,4.0
O0000202,2025-01-19,C01314,P0050,R01,marketplace,pickup,2,2652.48,0.0683,0.0,0,0,delivered,card,promo_code,5.0
O0000203,2025-05-25,C01152,P0003,R02,app,standard,1,21897.34,0.0064,0.0,4,4,delivered,card,none,4.0
O0000204,2024-04-21,C00486,P0106,R10,app,standard,1,1821.41,0.0287,0.0,5,6,delivered,card,none,3.0
O0000205,2025-11-27,C00183,P0075,R09,app,standard,3,2246.94,0.2198,0.0,5,6,delivered,sbp,promo_code,4.0
O0000206,2025-08-07,C02930,P0086,R04,app,express,1,4515.09,0.0358,249.0,2,3,delivered,card,none,2.0
O0000207,2025-12-06,C00778,P0098,R04,marketplace,pickup,3,360.27,0.1312,0.0,0,0,delivered,sbp,seasonal,4.0
O0000208,2024-09-02,C02026,P0070,R08,web,standard,1,2360.97,0.148,99.0,3,3,delivered,sbp,welcome,4.0
O0000209,2024-11-27,C06119,P0039,R02,app,standard,1,695.54,0.1063,0.0,5,5,delivered,card,welcome,4.0
O0000210,2024-07-20,C00395,P0098,R07,app,standard,2,398.69,0.0395,99.0,3,2,delivered,sbp,none,5.0
O0000211,2024-08-14,C05590,P0078,R07,app,express,2,1030.94,0.084,199.0,2,3,delivered,card,loyalty,4.0
O0000212,2024-05-04,C02643,P0096,R02,marketplace,express,2,1296.9,0.0273,199.0,1,0,delivered,sbp,none,4.0
O0000213,2024-04-18,C02857,P0041,R03,web,standard,2,2908.05,0.1137,99.0,4,5,delivered,card,welcome,4.0
O0000214,2025-05-25,C06794,P0103,R06,marketplace,express,1,2306.54,0.2447,199.0,1,1,delivered,card,seasonal,5.0
O0000215,2024-05-14,C03979,P0074,R05, MARKETPLACE ,pickup,2,1012.72,0.085,0.0,0,0,delivered,card,welcome,3.0
O0000216,2024-04-24,C00298,P0094,R03,app,standard,1,5426.78,0.0264,99.0,5,5,delivered,card,none,4.0
O0000217,2025-02-01,C05561,P0077,R04,app,standard,2,2145.37,0.0611,149.0,4,6,delivered,card,loyalty,4.0
O0000218,2025-06-22,C03867,P0007,R06,web,standard,1,23429.33,0.0013,99.0,5,6,delivered,card,none,4.0
O0000219,2025-08-18,C05443,P0064,R08,web,standard,1,652.17,0.017,99.0,3,4,delivered,card,none,3.0
O0000220,2025-03-13,C01025,P0101,R12,marketplace,standard,1,8087.81,0.0007,0.0,4,3,delivered,card,none,5.0
O0000221,2024-06-19,C01830,P0107,R11,app,standard,1,1616.62,0.0982,0.0,4,5,delivered,card,welcome,3.0
