customer_id,registration_date,home_region_id,customer_type,acquisition_channel,loyalty_level
C00048,2022-03-27,R09,B2C,partner,Silver
C00049,2023-12-22,R01,B2C,organic,Gold
C00050,2022-06-12,R12,B2C,paid_search,Bronze
C00051,2022-11-13,R07,B2C,organic,Silver
C00052,2024-12-17,R07,B2C,social,Silver
C00053,2023-07-27,R01,B2C,paid_search,Silver
C00054,2024-01-23,R11,B2C,referral,Bronze
C00055,2024-11-28,R01,B2C,paid_search,Silver
C00056,2022-06-25,R02,B2C,organic,Bronze
C00057,2023-10-18,R01,B2C,organic,Bronze
C00058,2022-02-17,R08,B2C,organic,New
C00059,2023-11-15,R02,B2B,social,Bronze
C00060,2022-11-03,R11,B2B,referral,New
C00061,2025-06-01,R07,B2B,paid_search,New
C00062,2022-12-24,R01,B2C,paid_search,Bronze
C00063,2022-10-02,R01,B2C,organic,Gold
C00064,2022-01-20,R01,B2C,referral,New
C00065,2022-07-02,R06,B2C,partner,Bronze
C00066,2022-10-23,R09,B2B,social,Silver
C00067,2022-11-09,R02,B2C,organic,Bronze
C00068,2024-10-07,R10,B2C,paid_search,Silver
C00069,2025-04-30,R01,B2C,partner,Bronze
C00070,2025-03-17,R09,B2B,organic,Silver
C00071,2025-08-02,R11,B2B,social,New
C00072,2025-05-14,R08,B2C,partner,Bronze
C00073,2023-09-16,R07,B2C,referral,Silver
C00074,2023-06-18,R09,B2B,social,New
C00075,2024-06-07,R01,B2C,paid_search,New
C00076,2023-03-14,R02,B2C,partner,Bronze
C00077,2024-04-06,R01,B2B,paid_search,Silver
C00078,2025-09-30,R05,B2C,referral,Bronze
C00079,2022-09-29,R08,B2C,paid_search,Silver
C00080,2024-11-19,R06,B2C,social,Silver
C00081,2025-07-04,R10,B2C,partner,New
C00082,2024-01-06,R01,B2B,paid_search,Gold
C00083,2023-05-03,R08,B2C,organic,Silver
C00084,2022-12-15,R02,B2C,organic,Bronze
C00085,2022-08-18,R02,B2C,referral,Bronze
C00086,2023-03-16,R08,B2C,social,Bronze
C00087,2024-10-19,R12,B2C,organic,Gold
C00088,2023-12-07,R06,B2C,referral,Bronze
C00089,2022-10-31,R01,B2C,partner,Bronze
C00090,2024-01-13,R06,B2C,referral,Gold
C00091,2025-01-12,R01,B2C,social,Silver
C00092,2022-01-19,R10,B2C,partner,New
C00093,2022-01-29,R08,B2C,referral,Silver
C00094,2025-08-06,R02,B2C,organic,Silver
C00095,2024-10-21,R01,B2C,partner,Bronze
C00096,2024-02-28,R02,B2C,paid_search,Bronze
C00097,2025-05-25,R12,B2C,partner,Silver
C00098,2024-03-17,R04,B2C,referral,Bronze
C00099,2023-12-14,R09,B2C,social,Gold
C00100,2022-10-17,R06,B2C,paid_search,Bronze
C00101,2025-01-14,R06,B2C,organic,Silver
C00102,2024-11-13,R01,B2B,organic,Silver
C00103,2023-02-09,R11,B2C,social,New
C00104,2024-10-06,R03,B2C,referral,New
C00105,2024-09-22,R06,B2C,organic,Gold
C00106,2022-05-11,R07,B2C,organic,Silver
C00107,2022-08-08,R07,B2C,social,Bronze
C00108,2024-03-25,R11,B2C,organic,New
C00109,2024-05-03,R01,B2C,organic,New
C00110,2024-06-20,R05,B2C,organic,New
C00111,2023-05-26,R03,B2C,social,Bronze
C00112,2025-02-17,R04,B2C,social,Bronze
C00113,2023-09-03,R01,B2C,referral,New
C00114,2022-10-10,R01,B2C,paid_search,Silver
C00115,2022-06-07,R02,B2C,organic,Gold
C00116,2025-04-16,R03,B2C,referral,Gold
C00117,2024-08-26,R04,B2C,partner,Silver
C00118,2023-09-24,R06,B2B,paid_search,Bronze
C00119,2022-10-14,R06,B2C,referral,Bronze
C00120,2022-05-13,R04,B2C,referral,Bronze
C00121,2022-07-29,R03,B2C,partner,New
C00122,2022-05-25,R02,B2C,paid_search,Silver
C00123,2023-12-26,R06,B2C,organic,Silver
C00124,2022-09-28,R03,B2C,organic,Silver
C00125,2022-06-24,R01,B2C,referral,New
C00126,2023-01-23,R04,B2C,referral,New
C00127,2024-08-15,R04,B2C,paid_search,Gold
C00128,2023-11-11,R02,B2C,organic,New
C00129,2022-07-30,R06,B2B,organic,New
C00130,2024-10-22,R06,B2C,social,Silver
C00131,2023-11-02,R07,B2C,partner,Silver
C00132,2022-09-13,R07,B2C,paid_search,New
C00133,2024-08-04,R07,B2C,social,New
C00134,2025-09-20,R03,B2C,paid_search,Silver
C00135,2024-01-10,R09,B2C,referral,Gold
C00136,2022-08-10,R05,B2B,referral,Bronze
C00137,2023-02-28,R04,B2B,organic,Silver
C00138,2024-03-31,R06,B2C,social,Bronze
C00139,2025-09-30,R03,B2C,referral,Silver
C00140,2025-06-25,R05,B2C,partner,Bronze
C00141,2025-07-01,R08,B2C,social,Silver
C00142,2025-02-13,R10,B2C,organic,Silver
C00143,2024-02-26,R11,B2C,paid_search,Bronze
C00144,2024-06-05,R05,B2B,social,New
C00145,2024-10-01,R05,B2C,organic,Silver
C00146,2024-09-06,R09,B2C,partner,New
C00147,2024-05-24,R03,B2B,organic,Silver
C00148,2022-07-03,R09,B2C,partner,Bronze
C00149,2025-04-19,R05,B2C,paid_search,New
C00150,2022-01-14,R01,B2C,organic,Silver
C00151,2023-08-07,R01,B2C,paid_search,Bronze
C00152,2023-08-18,R10,B2C,social,Gold
C00153,2025-09-25,R01,B2C,referral,New
C00154,2022-05-03,R02,B2C,paid_search,New
C00155,2023-10-14,R03,B2B,organic,New
C00156,2023-05-05,R02,B2C,partner,Bronze
C00157,2022-05-14,R03,B2C,paid_search,Silver
C00158,2022-11-03,R08,B2C,organic,Bronze
C00159,2023-08-01,R01,B2C,referral,New
C00160,2025-06-08,R09,B2C,organic,Gold
C00161,2023-06-16,R10,B2C,organic,New
C00162,2025-04-19,R03,B2C,paid_search,Bronze
C00163,2024-10-01,R01,B2C,social,Gold
C00164,2025-01-26,R06,B2C,paid_search,Silver
C00165,2025-03-14,R01,B2C,partner,Bronze
C00166,2024-09-04,R03,B2C,organic,Gold
C00167,2024-10-01,R12,B2C,partner,Bronze
C00168,2022-07-30,R12,B2C,organic,New
C00169,2024-09-08,R08,B2C,organic,New
C00170,2022-03-08,R03,B2C,organic,Gold
C00171,2024-10-06,R07,B2C,organic,Bronze
C00172,2024-06-14,R07,B2C,paid_search,Silver
C00173,2024-11-02,R03,B2B,referral,New
C00174,2024-05-29,R07,B2C,referral,New
C00175,2023-05-20,R01,B2C,social,Silver
C00176,2023-05-21,R02,B2C,organic,Gold
C00177,2024-03-27,R05,B2C,referral,New
C00178,2023-10-10,R02,B2C,paid_search,New
C00179,2023-04-12,R02,B2C,social,Silver
C00180,2023-11-01,R09,B2C,social,Bronze
C00181,2024-01-05,R12,B2C,organic,Bronze
C00182,2022-11-25,R05,B2C,paid_search,New
C00183,2024-05-23,R09,B2C,partner,Gold
C00184,2023-03-07,R12,B2C,organic,New
C00185,2023-01-02,R01,B2B,social,Bronze
C00186,2023-07-27,R04,B2C,partner,Bronze
C00187,2022-05-22,R03,B2C,paid_search,New
C00188,2024-04-05,R01,B2C,paid_search,Bronze
C00189,2024-10-01,R08,B2B,paid_search,Bronze
C00190,2025-08-01,R04,B2C,referral,Silver
C00191,2023-01-24,R04,B2C,paid_search,Bronze
C00192,2024-01-08,R01,B2C,paid_search,New
C00193,2023-11-21,R02,B2C,organic,Gold
C00194,2024-09-27,R11,B2C,partner,Bronze
C00195,2024-05-05,R01,B2C,referral,Bronze
C00196,2025-01-09,R02,B2C,social,New
C00197,2025-03-10,R02,B2C,partner,Silver
C00198,2022-06-05,R05,B2C,social,Silver
C00199,2023-05-02,R06,B2C,partner,Silver
C00200,2024-06-13,R05,B2B,organic,Silver
C00201,2024-01-15,R01,B2C,organic,New
C00202,2023-10-23,R02,B2C,referral,Gold
C00203,2022-08-26,R10,B2C,paid_search,New
C00204,2024-02-23,R06,B2C,paid_search,Bronze
C00205,2024-10-10,R07,B2C,social,Bronze
C00206,2022-02-22,R07,B2C,social,New
C00207,2024-03-20,R08,B2C,paid_search,Bronze
C00208,2025-05-25,R01,B2C,paid_search,New
C00209,2024-02-25,R03,B2C,paid_search,Silver
C00210,2025-07-28,R05,B2C,organic,Silver
C00211,2023-04-28,R03,B2C,organic,Silver
C00212,2022-01-05,R10,B2C,paid_search,Bronze
C00213,2024-07-22,R05,B2C,referral,Bronze
C00214,2022-10-19,R08,B2C,paid_search,Silver
C00215,2022-01-14,R10,B2C,paid_search,Bronze
C00216,2022-09-04,R05,B2C,social,Bronze
C00217,2025-07-02,R11,B2C,organic,New
C00218,2024-12-05,R06,B2C,paid_search,New
C00219,2023-01-12,R10,B2C,organic,Bronze
C00220,2024-03-29,R03,B2C,social,Silver
C00221,2023-04-10,R05,B2C,organic,Silver
C00222,2022-08-31,R05,B2C,paid_search,Gold
C00223,2025-09-15,R01,B2C,social,Bronze
C00224,2025-01-19,R03,B2C,referral,Bronze
C00225,2023-05-13,R11,B2C,social,Silver
C00226,2023-04-29,R06,B2C,partner,Bronze
C00227,2025-01-21,R02,B2C,social,Bronze
C00228,2023-09-23,R03,B2C,paid_search,Silver
C00229,2023-06-01,R02,B2C,organic,New
C00230,2023-06-15,R01,B2C,organic,Bronze
C00231,2023-09-04,R11,B2C,organic,Bronze
C00232,2023-12-15,R04,B2C,organic,Bronze
C00233,2022-02-24,R03,B2C,paid_search,Bronze
C00234,2023-10-20,R06,B2C,social,New
C00235,2023-08-26,R01,B2C,social,New
C00236,2023-01-11,R02,B2C,paid_search,Silver
C00237,2023-05-02,R07,B2C,paid_search,Gold
C00238,2023-08-05,R06,B2C,organic,Gold
C00239,2023-05-17,R12,B2B,paid_search,Silver
C00240,2025-05-28,R06,B2C,paid_search,New
C00241,2023-12-25,R05,B2C,organic,New
C00242,2023-11-20,R08,B2C,organic,Bronze
C00243,2022-12-26,R11,B2C,partner,Bronze
C00244,2025-06-08,R08,B2C,paid_search,Silver
C00245,2022-02-01,R12,B2C,paid_search,New
C00246,2024-01-24,R08,B2C,organic,Gold
C00247,2022-08-20,R10,B2C,organic,Bronze
C00248,2024-11-18,R01,B2B,paid_search,Bronze
C00249,2023-06-02,R08,B2C,partner,Gold
C00250,2023-02-06,R04,B2C,organic,Bronze
C00251,2022-03-21,R05,B2C,organic,Silver
C00252,2024-12-18,R07,B2C,partner,Silver
C00253,2023-06-27,R12,B2C,paid_search,Silver
C00254,2022-12-28,R12,B2C,paid_search,Silver
C00255,2025-03-01,R02,B2C,social,Bronze
C00256,2022-01-27,R08,B2C,paid_search,Bronze
C00257,2023-10-04,R08,B2C,partner,Silver
C00258,2022-08-09,R03,B2C,organic,Bronze
C00259,2022-06-23,R01,B2C,referral,Silver
C00260,2022-01-30,R01,B2C,organic,Bronze
C00261,2022-09-14,R08,B2C,referral,New
C00262,2025-07-20,R05,B2C,referral,Bronze
C00263,2023-09-02,R12,B2C,referral,Gold
C00264,2025-09-30,R04,B2C,referral,Bronze
C00265,2023-01-01,R12,B2C,social,Bronze
C00266,2024-11-09,R04,B2C,organic,New
C00267,2022-05-03,R09,B2C,organic,Bronze
C00268,2022-05-29,R01,B2C,paid_search,Bronze
C00269,2022-01-23,R05,B2C,paid_search,Silver
C00270,2025-05-15,R09,B2C,organic,New
C00271,2024-07-08,R11,B2C,social,New
C00272,2024-10-15,R09,B2C,social,New
C00273,2025-06-23,R01,B2C,partner,New
C00274,2023-03-31,R03,B2C,paid_search,Silver
C00275,2024-09-16,R01,B2C,referral,Gold
C00276,2023-11-19,R01,B2C,social,Silver
C00277,2024-01-13,R07,B2C,partner,Gold
C00278,2024-06-24,R08,B2B,referral,New
C00279,2023-10-06,R08,B2C,organic,Gold
C00280,2022-02-02,R10,B2C,organic,Bronze
C00281,2022-04-13,R08,B2C,partner,Silver
C00282,2023-11-18,R09,B2C,social,Silver
C00283,2024-02-20,R01,B2C,referral,Bronze
C00284,2024-09-29,R02,B2C,referral,Bronze
C00285,2024-02-23,R06,B2C,social,New
C00286,2022-09-15,R10,B2C,social,Bronze
C00287,2023-05-18,R01,B2C,partner,Bronze
C00288,2023-08-31,R05,B2B,partner,Gold
C00289,2025-09-09,R07,B2C,paid_search,New
C00290,2023-12-31,R01,B2C,organic,Silver
C00291,2024-05-19,R03,B2C,organic,Bronze
C00292,2024-10-03,R11,B2C,paid_search,New
C00293,2023-05-11,R07,B2C,referral,Bronze
C00294,2025-08-13,R02,B2C,referral,Bronze
C00295,2024-07-12,R10,B2C,paid_search,Bronze
C00296,2025-03-07,R03,B2C,organic,New
C00297,2024-10-22,R10,B2C,paid_search,New
C00298,2024-04-30,R03,B2C,referral,Bronze
C00299,2022-02-12,R06,B2C,social,Silver
C00300,2024-03-10,R03,B2C,organic,Silver
C00301,2022-06-27,R02,B2B,paid_search,New
C00302,2024-04-05,R10,B2C,paid_search,Silver
C00303,2024-08-18,R02,B2C,paid_search,Gold
C00304,2024-01-17,R01,B2C,referral,New
C00305,2023-02-27,R03,B2C,partner,New
C00306,2022-03-23,R08,B2C,organic,New
C00307,2024-07-07,R09,B2C,organic,New
C00308,2024-08-13,R12,B2C,paid_search,Silver
C00309,2023-10-17,R02,B2C,organic,Silver
C00310,2024-09-07,R03,B2C,paid_search,Bronze
C00311,2024-12-02,R01,B2C,organic,Bronze
C00312,2023-12-03,R06,B2C,organic,Silver
C00313,2022-03-07,R12,B2C,referral,New
C00314,2025-04-06,R07,B2C,organic,New
C00315,2023-10-01,R06,B2C,referral,New
C00316,2024-07-09,R03,B2C,organic,Silver
C00317,2025-06-01,R11,B2C,organic,Silver
C00318,2023-05-12,R05,B2C,organic,Silver
C00319,2024-05-01,R01,B2C,organic,Silver
C00320,2022-01-27,R03,B2C,paid_search,New
C00321,2025-04-26,R01,B2C,referral,Bronze
C00322,2022-03-22,R02,B2C,partner,Silver
C00323,2024-01-11,R01,B2C,organic,Gold
C00324,2023-04-27,R04,B2C,organic,Bronze
C00325,2022-02-18,R06,B2C,organic,New
C00326,2023-09-25,R03,B2C,referral,Gold
C00327,2025-07-04,R04,B2C,organic,Bronze
C00328,2022-08-17,R12,B2C,organic,Bronze
C00329,2023-02-05,R08,B2C,referral,New
C00330,2022-06-21,R05,B2C,referral,New
C00331,2022-11-12,R02,B2C,social,Silver
C00332,2024-02-22,R11,B2C,organic,Silver
C00333,2024-12-04,R02,B2C,paid_search,New
C00334,2024-08-03,R03,B2C,organic,New
C00335,2024-11-21,R11,B2C,social,Bronze
C00336,2024-09-06,R05,B2C,referral,Bronze
C00337,2023-06-09,R08,B2C,organic,Bronze
C00338,2025-05-17,R06,B2C,referral,New
C00339,2022-08-24,R07,B2C,paid_search,Silver
C00340,2024-08-15,R03,B2C,referral,Gold
C00341,2022-06-01,R02,B2C,organic,Bronze
C00342,2024-11-14,R03,B2C,paid_search,Silver
C00343,2022-04-30,R01,B2C,organic,Gold
C00344,2022-10-23,R10,B2C,social,New
C00345,2023-06-20,R02,B2C,organic,Gold
C00346,2024-08-08,R06,B2B,paid_search,Bronze
C00347,2022-03-04,R09,B2C,referral,Bronze
C00348,2022-12-19,R09,B2C,social,Bronze
C00349,2024-09-27,R04,B2C,social,New
C00350,2025-08-09,R05,B2C,social,Silver
C00351,2024-04-20,R12,B2C,social,Silver
C00352,2023-11-26,R07,B2C,social,New
C00353,2023-04-06,R09,B2C,paid_search,Bronze
C00354,2025-01-31,R11,B2C,organic,Gold
C00355,2022-05-27,R09,B2C,paid_search,Gold
C00356,2022-06-26,R02,B2C,organic,Silver
C00357,2022-10-03,R06,B2C,paid_search,New
C00358,2023-01-02,R01,B2C,paid_search,Bronze
C00359,2023-09-24,R07,B2C,organic,New
C00360,2025-07-19,R12,B2C,referral,Silver
C00361,2024-06-09,R05,B2C,social,Silver
C00362,2023-06-10,R04,B2C,paid_search,Gold
C00363,2022-10-17,R01,B2C,partner,New
C00364,2024-06-06,R12,B2C,organic,Gold
C00365,2022-12-13,R01,B2C,organic,Gold
C00366,2025-08-29,R01,B2C,organic,Silver
C00367,2023-10-17,R02,B2C,paid_search,Gold
C00368,2024-01-25,R01,B2C,organic,Bronze
C00369,2025-05-21,R04,B2C,referral,Bronze
C00370,2023-02-23,R05,B2C,organic,New
C00371,2023-10-08,R03,B2C,paid_search,New
C00372,2023-12-30,R01,B2C,paid_search,New
C00373,2023-01-07,R01,B2C,organic,Silver
C00374,2022-03-16,R03,B2C,social,Bronze
C00375,2023-01-24,R01,B2C,social,New
C00376,2022-06-03,R07,B2C,referral,New
C00377,2024-07-14,R02,B2C,social,Silver
C00378,2022-01-10,R03,B2C,paid_search,Gold
C00379,2023-03-10,R03,B2C,paid_search,Bronze
C00380,2025-04-25,R04,B2C,social,Silver
C00381,2024-02-18,R01,B2C,paid_search,Gold
C00382,2024-07-07,R01,B2C,paid_search,Silver
C00383,2024-07-04,R10,B2C,organic,Silver
C00384,2023-02-13,R01,B2C,social,Silver
C00385,2024-05-15,R05,B2C,organic,Gold
C00386,2022-10-30,R05,B2C,partner,Bronze
C00387,2024-05-20,R03,B2B,organic,Silver
C00388,2024-07-24,R04,B2C,paid_search,Bronze
C00389,2025-04-14,R08,B2C,organic,New
C00390,2025-06-12,R10,B2C,organic,Silver
C00391,2022-02-02,R02,B2C,paid_search,Silver
C00392,2023-02-14,R03,B2C,social,Gold
C00393,2024-01-19,R02,B2C,organic,Gold
C00394,2023-03-17,R05,B2C,organic,Silver
C00395,2024-04-26,R07,B2C,organic,Bronze
C00396,2025-03-15,R02,B2C,paid_search,Gold
C00397,2022-12-20,R03,B2C,partner,New
C00398,2025-05-08,R11,B2C,paid_search,New
C00399,2025-04-22,R01,B2C,referral,Bronze
C00400,2025-06-05,R04,B2C,paid_search,Silver
C00401,2022-04-11,R08,B2B,paid_search,Silver
C00402,2023-02-06,R01,B2B,referral,Silver
C00403,2022-06-19,R01,B2C,organic,New
C00404,2022-06-14,R01,B2C,referral,Silver
C00405,2022-03-14,R11,B2C,paid_search,Silver
C00406,2023-08-26,R01,B2C,paid_search,Gold
C00407,2022-04-30,R02,B2C,referral,Bronze
C00408,2023-02-09,R01,B2C,paid_search,Silver
C00409,2025-09-05,R01,B2C,partner,Silver
C00410,2025-04-25,R06,B2C,partner,Bronze
C00411,2025-07-06,R02,B2C,organic,New
C00412,2022-02-20,R06,B2C,paid_search,New
C00413,2024-06-23,R06,B2C,referral,New
C00414,2024-05-17,R10,B2C,organic,Bronze
C00415,2022-07-01,R01,B2C,social,Silver
C00416,2025-05-25,R10,B2B,organic,Bronze
C00417,2023-07-08,R06,B2B,organic,Silver
C00418,2025-08-30,R02,B2C,paid_search,New
C00419,2022-06-06,R08,B2C,social,New
C00420,2024-06-09,R10,B2C,social,Silver
C00421,2022-06-28,R02,B2C,social,Silver
C00422,2025-07-24,R11,B2C,organic,Silver
C00423,2024-04-11,R04,B2C,paid_search,Silver
C00424,2022-04-14,R06,B2C,organic,Gold
C00425,2022-10-22,R12,B2C,organic,Gold
C00426,2023-05-07,R03,B2C,paid_search,Silver
C00427,2022-01-18,R09,B2C,social,Bronze
C00428,2022-01-12,R03,B2C,organic,New
C00429,2025-06-20,R09,B2C,organic,Silver
C00430,2025-09-05,R06,B2C,social,Bronze
C00431,2024-01-05,R02,B2C,organic,New
C00432,2025-05-20,R04,B2C,partner,New
C00433,2024-06-16,R03,B2C,paid_search,Gold
C00434,2022-02-08,R01,B2C,organic,New
C00435,2024-09-05,R01,B2C,referral,Silver
C00436,2022-01-25,R03,B2C,social,Gold
C00437,2025-01-22,R01,B2C,referral,Silver
C00438,2023-05-18,R02,B2C,paid_search,New
C00439,2022-07-13,R08,B2C,paid_search,Silver
C00440,2022-12-20,R07,B2C,social,Silver
C00441,2024-07-24,R08,B2C,paid_search,Bronze
C00442,2025-03-05,R03,B2C,paid_search,Silver
C00443,2024-02-21,R10,B2C,organic,New
C00444,2022-08-08,R06,B2B,paid_search,Silver
C00445,2025-05-17,R01,B2C,organic,Gold
C00446,2024-12-18,R01,B2B,referral,Bronze
C00447,2023-07-16,R07,B2C,paid_search,Gold
C00448,2024-01-30,R02,B2C,partner,Bronze
C00449,2025-08-12,R05,B2C,organic,Silver
C00450,2023-06-01,R12,B2C,paid_search,Silver
C00451,2022-02-05,R01,B2C,organic,New
C00452,2022-07-19,R01,B2C,social,Gold
C00453,2024-04-01,R12,B2C,referral,Gold
C00454,2025-09-27,R06,B2C,paid_search,Bronze
C00455,2024-10-09,R01,B2C,paid_search,Silver
C00456,2024-04-26,R11,B2C,social,New
C00457,2023-03-19,R10,B2C,organic,New
C00458,2023-08-25,R05,B2C,social,New
C00459,2022-02-22,R06,B2C,social,Bronze
C00460,2023-05-24,R02,B2C,organic,New
C00461,2024-05-03,R01,B2C,social,New
C00462,2025-05-24,R06,B2C,social,Gold
C00463,2025-06-16,R02,B2C,organic,Bronze
C00464,2025-01-29,R07,B2B,paid_search,Silver
C00465,2022-01-30,R09,B2C,paid_search,New
C00466,2025-01-15,R01,B2C,referral,New
C00467,2022-10-27,R06,B2C,paid_search,Silver
C00468,2024-04-23,R02,B2C,paid_search,Bronze
C00469,2025-07-19,R10,B2C,paid_search,Bronze
C00470,2025-04-30,R02,B2C,organic,Gold
C00471,2024-06-28,R06,B2C,organic,Bronze
C00472,2023-02-14,R05,B2C,organic,Bronze
C00473,2023-12-15,R03,B2C,organic,Silver
C00474,2024-08-21,R07,B2C,organic,New
C00475,2023-12-05,R08,B2C,social,Silver
C00476,2023-07-08,R06,B2C,social,Bronze
C00477,2023-07-06,R08,B2C,organic,New
C00478,2024-04-01,R12,B2C,social,Bronze
C00479,2022-02-18,R04,B2C,organic,Bronze
C00480,2025-09-28,R05,B2C,paid_search,Silver
C00481,2022-05-20,R01,B2C,partner,Gold
C00482,2025-09-09,R09,B2C,paid_search,Silver
C00483,2022-02-18,R05,B2C,organic,Bronze
C00484,2023-12-03,R03,B2C,paid_search,Gold
C00485,2023-07-26,R01,B2C,social,Silver
C00486,2024-02-25,R10,B2C,organic,New
C00487,2023-08-17,R03,B2C,partner,New
C00488,2025-05-13,R07,B2B,paid_search,New
C00489,2022-01-23,R01,B2C,organic,New
C00490,2025-09-11,R12,B2C,paid_search,Bronze
C00491,2024-08-01,R02,B2C,social,Bronze
C00492,2024-12-01,R02,B2C,paid_search,Gold
C00493,2022-07-11,R10,B2C,partner,Bronze
C00494,2022-03-31,R11,B2C,referral,New
C00495,2023-06-28,R02,B2C,organic,Gold
C00496,2023-03-18,R04,B2C,organic,Bronze
C00497,2024-12-07,R08,B2C,paid_search,New
C00498,2025-05-12,R10,B2C,social,New
C00499,2023-08-09,R03,B2C,social,Silver
C00500,2024-11-17,R05,B2C,organic,Bronze
C00501,2022-03-23,R08,B2C,partner,Silver
C00502,2024-10-13,R08,B2C,organic,Silver
C00503,2022-05-16,R09,B2C,referral,Silver
C00504,2024-07-03,R06,B2C,referral,Gold
C00505,2023-06-08,R01,B2C,organic,Silver
C00506,2023-07-23,R11,B2C,organic,Silver
C00507,2023-01-14,R10,B2C,organic,New
C00508,2023-07-07,R09,B2C,partner,Bronze
C00509,2025-04-12,R01,B2C,paid_search,Bronze
C00510,2025-01-12,R02,B2C,referral,Bronze
C00511,2023-04-11,R08,B2C,paid_search,Bronze
C00512,2023-02-07,R01,B2C,paid_search,Silver
C00513,2023-11-28,R12,B2C,referral,Bronze
C00514,2024-07-26,R03,B2B,paid_search,Bronze
C00515,2022-09-07,R08,B2C,social,Bronze
C00516,2024-09-21,R10,B2C,paid_search,Gold
C00517,2025-07-22,R03,B2C,organic,Bronze
C00518,2025-03-02,R03,B2C,organic,Silver
C00519,2024-01-21,R06,B2C,organic,Silver
C00520,2023-03-14,R06,B2C,social,Bronze
C00521,2023-03-19,R04,B2C,paid_search,Silver
C00522,2024-10-12,R06,B2C,paid_search,Gold
C00523,2023-09-15,R11,B2C,organic,Silver
C00524,2022-05-26,R04,B2C,social,Gold
C00525,2024-07-16,R02,B2C,referral,Bronze
C00526,2022-07-09,R03,B2C,social,Gold
C00527,2025-09-13,R03,B2C,partner,Gold
C00528,2023-07-26,R01,B2C,organic,Silver
C00529,2023-04-14,R02,B2B,organic,Silver
C00530,2022-03-17,R07,B2C,paid_search,Silver
C00531,2022-08-18,R03,B2C,organic,Bronze
C00532,2025-07-21,R12,B2C,social,Bronze
C00533,2024-01-06,R02,B2C,referral,Bronze
C00534,2025-05-19,R01,B2B,organic,Silver
C00535,2025-08-01,R08,B2C,partner,Bronze
C00536,2022-03-08,R10,B2C,organic,Silver
C00537,2023-06-06,R02,B2C,social,Bronze
C00538,2025-02-21,R02,B2C,paid_search,Bronze
C00539,2023-11-10,R02,B2C,social,New
C00540,2023-11-28,R05,B2C,organic,Bronze
C00541,2024-02-20,R04,B2C,partner,Silver
C00542,2024-08-18,R02,B2C,partner,Bronze
C00543,2025-07-09,R01,B2C,paid_search,New
C00544,2025-04-29,R05,B2C,paid_search,Bronze
C00545,2024-05-05,R12,B2C,social,Bronze
C00546,2024-02-29,R07,B2C,social,New
C00547,2023-05-10,R05,B2C,paid_search,Bronze
C00548,2022-06-09,R01,B2C,social,Silver
C00549,2024-08-28,R02,B2C,referral,Silver
C00550,2022-01-04,R02,B2C,social,Gold
C00551,2024-08-13,R08,B2C,organic,New
C00552,2023-11-12,R10,B2C,partner,Bronze
C00553,2024-12-12,R11,B2C,organic,New
C00554,2025-07-23,R12,B2C,organic,Silver
