line_id,order_id,order_datetime,customer_id,loyalty_member,customer_age_group,store_id,store_name,admin_district,district,latitude,longitude,sales_channel,product_id,product_name,product_category,size,quantity,unit_price_rub,discount_pct,promo_code,payment_method,gross_revenue_rub,discount_amount_rub,net_revenue_rub,unit_cost_rub,total_cost_rub,gross_profit_rub,customer_rating
L0006261,O003914,2025-08-24 16:11:04,C01084,Да,35–44,S020,КофеТочка Чертаново,ЮАО,Чертаново Центральное,55.6137,37.6063,Мобильное приложение,P006,Раф,Кофейные напитки,S,1,340.0,0,,Банковская карта,340.0,0.0,340.0,132.0,132.0,208.0,3.0
L0000720,O000451,2025-04-04 19:00:09,C01244,Да,55+,S016,КофеТочка Марьино,ЮВАО,Марьино,55.649,37.7432,Мобильное приложение,P005,Флэт уайт,Кофейные напитки,S,2,300.0,5,APP10,Банковская карта,600.0,30.0,570.0,108.0,216.0,354.0,5.0
L0004613,O002877,2025-09-19 22:55:50,C00654,Да,35–44,S009,КофеТочка Останкино,СВАО,Останкинский,55.8211,37.6208,Касса,P020,Сэндвич с лососем,Сэндвичи,Не применимо,2,450.0,0,,Банковская карта,900.0,0.0,900.0,245.0,490.0,410.0,
L0006488,O004057,2025-04-10 18:19:15,,Нет,,S001,КофеТочка Арбат,ЦАО,Арбат,55.7522,37.5902,Доставка,P011,Круассан классический,Выпечка,Не применимо,1,190.0,0,,Банковская карта,190.0,0.0,190.0,86.0,86.0,104.0,
L0001540,O000978,2025-04-09 14:58:26,,Нет,,S002,КофеТочка Тверская,ЦАО,Тверской,55.7653,37.6059,Доставка,P011,Круассан классический,Выпечка,Не применимо,1,190.0,10,WELCOME5,Банковская карта,190.0,19.0,171.0,86.0,86.0,85.0,
L0006920,O004316,2025-05-17 18:30:33,,Нет,,S007,КофеТочка Беговая,САО,Беговой,55.7818,37.5597,Касса,P007,Фильтр-кофе,Кофейные напитки,M,1,270.0,0,,Наличные,270.0,0.0,270.0,85.0,85.0,185.0,
L0009824,O006128,2025-11-07 08:09:17,,Нет,,S022,КофеТочка Академическая,ЮЗАО,Академический,55.6875,37.5724,Мобильное приложение,P007,Фильтр-кофе,Кофейные напитки,M,1,270.0,5,DELIVERY20,Банковская карта,270.0,13.5,256.5,85.0,85.0,171.5,
L0000606,O000382,2025-09-22 19:56:19,,Нет,,S023,КофеТочка Южное Бутово,ЮЗАО,Южное Бутово,55.5417,37.5304,Касса,P008,Чай чёрный,Чай и другие напитки,M,1,270.0,0,,Наличные,270.0,0.0,270.0,70.0,70.0,200.0,5.0
L0007593,O004731,2025-08-22 07:53:33,C00821,Да,45–54,S003,КофеТочка Хамовники,ЦАО,Хамовники,55.7339,37.5747,Доставка,P011,Круассан классический,Выпечка,Не применимо,1,190.0,0,,Банковская карта,190.0,0.0,190.0,86.0,86.0,104.0,
L0005574,O003480,2025-07-10 08:13:00,C02481,Да,35–44,S011,КофеТочка Бутырская,СВАО,Бутырский,55.8084,37.5811,Касса,P005,Флэт уайт,Кофейные напитки,M,1,340.0,0,,СБП,340.0,0.0,340.0,123.0,123.0,217.0,5.0
L0006106,O003812,2025-10-25 19:56:11,C02586,Да,18–24,S029,КофеТочка Митино,СЗАО,Митино,55.8452,37.3618,Доставка,P004,Латте,Кофейные напитки,M,1,330.0,0,,СБП,330.0,0.0,330.0,119.0,119.0,211.0,
L0005230,O003267,2025-04-24 19:22:53,C00054,Да,45–54,S021,КофеТочка Гагаринская,ЮЗАО,Гагаринский,55.7046,37.5503,Касса,P001,Эспрессо,Кофейные напитки,L,1,235.0,0,,Банковская карта,235.0,0.0,235.0,76.0,76.0,159.0,4.0
L0003317,O002066,2025-12-08 17:41:51,,Нет,,S001,КофеТочка Арбат,ЦАО,Арбат,55.7522,37.5902,Доставка,P013,Булочка с корицей,Выпечка,Не применимо,1,210.0,0,,Банковская карта,210.0,0.0,210.0,96.0,96.0,114.0,
L0006250,O003905,2025-07-23 08:45:15,,Нет,,S020,КофеТочка Чертаново,ЮАО,Чертаново Центральное,55.6137,37.6063,Касса,P014,Маффин шоколадный,Выпечка,Не применимо,1,190.0,0,,Наличные,190.0,0.0,190.0,92.0,92.0,98.0,5.0
L0002231,O001401,2025-06-22 08:34:17,C00539,Да,45–54,S012,КофеТочка Сокольники,ВАО,Сокольники,55.7892,37.6797,Касса,P014,Маффин шоколадный,Выпечка,Не применимо,1,200.0,0,,Банковская карта,200.0,0.0,200.0,92.0,92.0,108.0,
L0000536,O000342,2025-05-09 07:16:27,C01018,Да,25–34,S010,КофеТочка Марьина Роща,СВАО,Марьина Роща,55.795,37.6165,Касса,P015,Чизкейк,Десерты,Не применимо,1,330.0,0,,СБП,330.0,0.0,330.0,164.0,164.0,166.0,
L0003450,O002147,2025-06-02 08:03:02,,Нет,,S027,КофеТочка Щукино,СЗАО,Щукино,55.8071,37.4648,Доставка,P012,Круассан с сыром,Выпечка,Не применимо,2,250.0,0,,Банковская карта,500.0,0.0,500.0,118.0,236.0,264.0,
L0002053,O001295,2025-07-05 18:08:16,C00054,Да,35–44,S021,КофеТочка Гагаринская,ЮЗАО,Гагаринский,55.7046,37.5503,Мобильное приложение,P006,Раф,Кофейные напитки,M,1,390.0,10,WELCOME5,СБП,390.0,39.0,351.0,147.0,147.0,204.0,
L0003467,O002158,2025-09-01 08:43:09,C01672,Да,35–44,S023,КофеТочка Южное Бутово,ЮЗАО,Южное Бутово,55.5417,37.5304,Мобильное приложение,P003,Капучино,Кофейные напитки,L,1,335.0,5,WELCOME5,СБП,335.0,16.75,318.25,120.0,120.0,198.25,
L0009460,O005900,2025-08-29 10:08:41,C02032,Да,35–44,S015,КофеТочка Лефортово,ЮВАО,Лефортово,55.7556,37.7047,Мобильное приложение,P012,Круассан с сыром,Выпечка,Не применимо,1,250.0,0,,карта,250.0,0.0,250.0,118.0,118.0,132.0,
L0007620,O004748,2025-10-12 08:44:32,C02439,Да,35–44,S024,КофеТочка Дорогомилово,ЗАО,Дорогомилово,55.7436,37.5657,Касса,P007,Фильтр-кофе,Кофейные напитки,M,1,280.0,0,,Банковская карта,280.0,0.0,280.0,85.0,85.0,195.0,
L0008660,O005392,2025-04-20 17:48:51,,Нет,,S014,КофеТочка Перово,ВАО,Перово,55.7513,37.785,Доставка,P001,Эспрессо,Кофейные напитки,L,2,235.0,0,,Банковская карта,470.0,0.0,470.0,76.0,152.0,318.0,
L0006482,O004054,2025-05-01 08:42:34,,Нет,,S003,КофеТочка Хамовники,ЦАО,Хамовники,55.7339,37.5747,Мобильное приложение,P007,Фильтр-кофе,Кофейные напитки,M,1,270.0,10,LUNCH15,Банковская карта,270.0,27.0,243.0,85.0,85.0,158.0,4.0
L0001798,O001136,2025-09-10 13:46:59,C01845,Да,45–54,S012,КофеТочка Сокольники,ВАО,Сокольники,55.7892,37.6797,Мобильное приложение,P007,Фильтр-кофе,Кофейные напитки,M,1,270.0,0,,СБП,270.0,0.0,270.0,85.0,85.0,185.0,
L0003123,O001947,2025-08-10 20:50:11,,Нет,,S001,КофеТочка Арбат,ЦАО,Арбат,55.7522,37.5902,Касса,P017,Брауни,Десерты,Не применимо,1,250.0,0,,Банковская карта,250.0,0.0,250.0,118.0,118.0,132.0,
L0001163,O000740,2025-05-28 12:01:06,,Нет,,S002,КофеТочка Тверская,ЦАО,Тверской,55.7653,37.6059,Доставка,P006,Раф,Кофейные напитки,L,1,415.0,0,,Банковская карта,415.0,0.0,415.0,160.0,160.0,255.0,
L0008727,O005434,2025-07-29 12:48:00,,Нет,,S021,КофеТочка Гагаринская,ЮЗАО,Гагаринский,55.7046,37.5503,Касса,P004,Латте,Кофейные напитки,S,2,290.0,0,,СБП,580.0,0.0,580.0,104.0,208.0,372.0,
L0008662,O005392,2025-04-20 17:48:51,,Нет,,S014,КофеТочка Перово,ВАО,Перово,55.7513,37.785,delivery,P003,Капучино,Кофейные напитки,S,1,270.0,0,,Банковская карта,270.0,0.0,270.0,92.0,92.0,178.0,
L0008881,O005533,2025-10-31 13:59:31,C00353,Да,35–44,S023,КофеТочка Южное Бутово,ЮЗАО,Южное Бутово,55.5417,37.5304,Касса,P003,Капучино,Кофейные напитки,M,1,300.0,0,,СБП,300.0,0.0,300.0,107.0,107.0,193.0,
L0002215,O001389,2025-12-26 16:47:26,,Нет,,S026,КофеТочка Кунцево,ЗАО,Кунцево,55.7301,37.4457,Мобильное приложение,P011,Круассан классический,Выпечка,Не применимо,1,190.0,5,DELIVERY20,Банковская карта,190.0,9.5,180.5,86.0,86.0,94.5,
L0009009,O005610,2025-12-23 19:37:02,,Нет,,S005,КофеТочка Пресня,ЦАО,Пресненский,55.7608,37.5574,Касса,P004,Латте,Кофейные напитки,L,1,365.0,0,,Банковская карта,365.0,0.0,365.0,132.0,132.0,233.0,5.0
L0006355,O003972,2025-04-03 00:48:40,,Нет,,S003,КофеТочка Хамовники,ЦАО,Хамовники,55.7339,37.5747,Касса,P017,Брауни,Десерты,Не применимо,1,250.0,0,,Банковская карта,250.0,0.0,250.0,118.0,118.0,132.0,
L0003847,O002403,2025-01-30 08:20:27,,Нет,,S022,КофеТочка Академическая,ЮЗАО,Академический,55.6875,37.5724,Касса,P017,Брауни,Десерты,Не применимо,1,250.0,0,,Банковская карта,250.0,0.0,250.0,118.0,118.0,132.0,5.0
L0001979,O001255,2025-02-25 12:40:18,C02152,Да,35–44,S017,КофеТочка Кузьминки,ЮВАО,Кузьминки,55.7056,37.7656,Касса,P001,Эспрессо,Кофейные напитки,M,1,200.0,0,,Банковская карта,200.0,0.0,200.0,63.0,63.0,137.0,4.0
L0004788,O002988,2025-09-19 14:46:39,,Нет,,S018,КофеТочка Даниловская,ЮАО,Даниловский,55.7102,37.6234,Касса,P004,Латте,Кофейные напитки,S,1,290.0,0,,Банковская карта,290.0,0.0,290.0,104.0,104.0,186.0,
L0007441,O004631,2025-06-03 13:57:58,,Нет,,S029,КофеТочка Митино,СЗАО,Митино,55.8452,37.3618,касса,P003,Капучино,Кофейные напитки,S,1,260.0,0,,Банковская карта,260.0,0.0,260.0,92.0,92.0,168.0,
L0004600,O002867,2025-06-20 07:15:23,,Нет,,S002,КофеТочка Тверская,ЦАО,Тверской,55.7653,37.6059,Мобильное приложение,P006,Раф,Кофейные напитки,M,2,380.0,0,,СБП,760.0,0.0,760.0,147.0,294.0,466.0,
L0005018,O003134,2025-12-11 21:15:41,C00451,Да,25–34,S021,КофеТочка Гагаринская,ЮЗАО,Гагаринский,55.7046,37.5503,Касса,P004,Латте,Кофейные напитки,S,1,290.0,0,,Банковская карта,290.0,0.0,290.0,104.0,104.0,186.0,
L0001738,O001098,2025-03-17 17:58:27,,Нет,,S013,КофеТочка Измайлово,ВАО,Измайлово,55.7908,37.7786,Касса,P012,Круассан с сыром,Выпечка,Не применимо,2,250.0,0,,Банковская карта,500.0,0.0,500.0,118.0,236.0,264.0,
L0008635,O005376,2025-09-05 14:56:49,C02046,Да,55+,S030,КофеТочка Зеленоград,ЗелАО,Матушкино,55.9964,37.1904,Мобильное приложение,P011,Круассан классический,Выпечка,Не применимо,1,190.0,0,,СБП,190.0,0.0,190.0,86.0,86.0,104.0,
L0003280,O002044,2025-02-17 22:05:51,C00381,Да,35–44,S002,КофеТочка Тверская,ЦАО,Тверской,55.7653,37.6059,Касса,P005,Флэт уайт,Кофейные напитки,M,1,340.0,0,,СБП,340.0,0.0,340.0,123.0,123.0,217.0,
L0001324,O000845,2025-12-08 09:05:59,C00899,Да,45–54,S025,КофеТочка Раменки,ЗАО,Раменки,55.705,37.51,Касса,P007,Фильтр-кофе,Кофейные напитки,M,1,270.0,0,,Банковская карта,270.0,0.0,270.0,85.0,85.0,185.0,5.0
L0002843,O001767,2025-12-25 10:27:32,C01707,Да,35–44,S026,КофеТочка Кунцево,ЗАО,Кунцево,55.7301,37.4457,Мобильное приложение,P002,Американо,Кофейные напитки,M,1,240.0,0,,Банковская карта,240.0,0.0,240.0,73.0,73.0,167.0,4.0
L0003764,O002349,2025-01-10 13:30:45,C01036,Да,25–34,S024,КофеТочка Дорогомилово,ЗАО,Дорогомилово,55.7436,37.5657,Мобильное приложение,P016,Морковный торт,Десерты,Не применимо,1,300.0,0,,Банковская карта,300.0,0.0,300.0,148.0,148.0,152.0,
L0000982,O000623,2025-12-28 17:48:46,C00581,Да,25–34,S016,КофеТочка Марьино,ЮВАО,Марьино,55.649,37.7432,Доставка,P016,Морковный торт,Десерты,Не применимо,1,300.0,0,,Банковская карта,300.0,0.0,300.0,148.0,148.0,152.0,
L0009727,O006064,2025-06-11 12:06:42,C00621,Да,25–34,S012,КофеТочка Сокольники,ВАО,Сокольники,55.7892,37.6797,Касса,P008,Чай чёрный,Чай и другие напитки,M,1,260.0,0,,Банковская карта,260.0,0.0,260.0,70.0,70.0,190.0,
L0009231,O005753,2025-11-19 19:15:39,C00621,Да,18–24,S001,КофеТочка Арбат,ЦАО,Арбат,55.7522,37.5902,Касса,P002,Американо,Кофейные напитки,L,1,275.0,0,,Банковская карта,275.0,0.0,275.0,86.0,86.0,189.0,
L0006652,O004158,2025-02-17 10:35:40,,Нет,,S030,КофеТочка Зеленоград,ЗелАО,Матушкино,55.9964,37.1904,Доставка,P003,Капучино,Кофейные напитки,M,1,300.0,0,,Банковская карта,300.0,0.0,300.0,107.0,107.0,193.0,4.0
L0001078,O000687,2025-02-01 08:29:28,,Нет,,S024,КофеТочка Дорогомилово,ЗАО,Дорогомилово,55.7436,37.5657,Касса,P004,Латте,Кофейные напитки,L,1,365.0,10,APP10,Банковская карта,365.0,36.5,328.5,132.0,132.0,196.5,4.0
L0001901,O001199,2025-08-12 16:15:17,C00875,Да,25–34,S015,КофеТочка Лефортово,ЮВАО,Лефортово,55.7556,37.7047,Доставка,P002,Американо,Кофейные напитки,M,1,240.0,0,,Банковская карта,240.0,0.0,240.0,73.0,73.0,167.0,
L0006123,O003823,2025-01-13 16:21:31,,Нет,,S024,КофеТочка Дорогомилово,ЗАО,Дорогомилово,55.7436,37.5657,Касса,P008,Чай чёрный,Чай и другие напитки,L,1,295.0,0,,СБП,295.0,0.0,295.0,83.0,83.0,212.0,
L0008720,O005431,2025-09-15 08:45:09,,Нет,,S018,КофеТочка Даниловская,ЮАО,Даниловский,55.7102,37.6234,Касса,P001,Эспрессо,Кофейные напитки,M,1,200.0,0,,Банковская карта,200.0,0.0,200.0,63.0,63.0,137.0,5.0
L0004053,O002529,2025-07-09 08:05:06,C00794,Да,18–24,S002,КофеТочка Тверская,ЦАО,Тверской,55.7653,37.6059,Касса,P007,Фильтр-кофе,Кофейные напитки,M,1,270.0,10,LUNCH15,Банковская карта,270.0,27.0,243.0,85.0,85.0,158.0,
L0007498,O004668,2025-10-16 14:16:46,,Нет,,S026,КофеТочка Кунцево,ЗАО,Кунцево,55.7301,37.4457,Мобильное приложение,P013,Булочка с корицей,Выпечка,Не применимо,1,210.0,0,,Банковская карта,210.0,0.0,210.0,96.0,96.0,114.0,5.0
L0007403,O004607,2025-03-19 09:15:47,,Нет,,S006,КофеТочка Аэропорт,САО,Аэропорт,55.8001,37.5326,Касса,P002,Американо,Кофейные напитки,S,1,200.0,0,,Банковская карта,200.0,0.0,200.0,58.0,58.0,142.0,
L0003534,O002202,2025-01-29 13:45:36,C00547,Да,45–54,S026,КофеТочка Кунцево,ЗАО,Кунцево,55.7301,37.4457,Доставка,P005,Флэт уайт,Кофейные напитки,S,2,300.0,0,,Банковская карта,600.0,0.0,600.0,108.0,216.0,384.0,
L0007815,O004874,2025-02-12 20:19:27,,Нет,,S025,КофеТочка Раменки,ЗАО,Раменки,55.705,37.51,Мобильное приложение,P004,Латте,Кофейные напитки,M,1,330.0,0,,Банковская карта,330.0,0.0,330.0,119.0,119.0,211.0,
L0007015,O004374,2025-05-14 09:07:22,C00255,Да,25–34,S030,КофеТочка Зеленоград,ЗелАО,Матушкино,55.9964,37.1904,Касса,P013,Булочка с корицей,Выпечка,Не применимо,1,210.0,0,,Банковская карта,210.0,0.0,210.0,96.0,96.0,114.0,
L0007307,O004552,2025-06-13 10:42:35,C02429,Да,25–34,S003,КофеТочка Хамовники,ЦАО,Хамовники,55.7339,37.5747,Касса,P004,Латте,Кофейные напитки,M,1,330.0,0,,Банковская карта,330.0,0.0,330.0,119.0,119.0,211.0,5.0
L0005644,O003523,2025-06-30 08:21:47,,Нет,,S024,КофеТочка Дорогомилово,ЗАО,Дорогомилово,55.7436,37.5657,Касса,P013,Булочка с корицей,Выпечка,Не применимо,1,210.0,0,,Наличные,210.0,0.0,210.0,96.0,96.0,114.0,
L0007711,O004804,2025-07-05 09:29:25,,Нет,,S022,КофеТочка Академическая,ЮЗАО,Академический,55.6875,37.5724,Касса,P005,Флэт уайт,Кофейные напитки,S,1,300.0,0,,Банковская карта,300.0,0.0,300.0,108.0,108.0,192.0,
L0000767,O000482,2025-06-13 01:06:58,C00636,Да,25–34,S022,КофеТочка Академическая,ЮЗАО,Академический,55.6875,37.5724,Касса,P010,Какао,Чай и другие напитки,M,1,320.0,0,,СБП,320.0,0.0,320.0,120.0,120.0,200.0,
L0003597,O002245,2025-10-17 08:14:40,,Нет,,S003,КофеТочка Хамовники,ЦАО,Хамовники,55.7339,37.5747,Касса,P004,Латте,Кофейные напитки,M,1,330.0,0,,СБП,330.0,0.0,330.0,119.0,119.0,211.0,
L0006561,O004103,2025-08-25 18:20:00,C00942,Да,35–44,S018,КофеТочка Даниловская,ЮАО,Даниловский,55.7102,37.6234,Доставка,P004,Латте,Кофейные напитки,L,1,355.0,0,,СБП,355.0,0.0,355.0,132.0,132.0,223.0,
L0002290,O001435,2025-09-09 09:05:50,C00054,Да,25–34,S008,КофеТочка Хорошёво,САО,Хорошёвский,55.7764,37.5014,Мобильное приложение,P008,Чай чёрный,Чай и другие напитки,M,1,260.0,0,,СБП,260.0,0.0,260.0,70.0,70.0,190.0,4.0
L0009709,O006054,2025-10-15 13:00:17,C02408,Да,25–34,S029,КофеТочка Митино,СЗАО,Митино,55.8452,37.3618,Касса,P011,Круассан классический,Выпечка,Не применимо,1,190.0,0,,Банковская карта,190.0,0.0,190.0,86.0,86.0,104.0,4.0
L0006551,O004095,2025-03-29 14:22:19,,Нет,,S021,КофеТочка Гагаринская,ЮЗАО,Гагаринский,55.7046,37.5503,Мобильное приложение,P007,Фильтр-кофе,Кофейные напитки,M,1,270.0,5,LUNCH15,Банковская карта,270.0,13.5,256.5,85.0,85.0,171.5,
L0004907,O003060,2025-11-27 15:43:10,,Нет,,S027,КофеТочка Щукино,СЗАО,Щукино,55.8071,37.4648,Доставка,P012,Круассан с сыром,Выпечка,Не применимо,1,250.0,0,,Банковская карта,250.0,0.0,250.0,118.0,118.0,132.0,
L0008419,O005249,2025-02-13 14:50:06,,Нет,,S022,КофеТочка Академическая,ЮЗАО,Академический,55.6875,37.5724,Доставка,P012,Круассан с сыром,Выпечка,Не применимо,1,250.0,0,,Банковская карта,250.0,0.0,250.0,118.0,118.0,132.0,6.0
L0004572,O002847,2025-06-10 07:10:17,,Нет,,S018,КофеТочка Даниловская,ЮАО,Даниловский,55.7102,37.6234,Касса,P018,Сэндвич с индейкой,Сэндвичи,Не применимо,1,400.0,0,,СБП,400.0,0.0,400.0,205.0,205.0,195.0,
L0007363,O004588,2025-06-26 16:11:58,,Нет,,S024,КофеТочка Дорогомилово,ЗАО,Дорогомилово,55.7436,37.5657,Мобильное приложение,P007,Фильтр-кофе,Кофейные напитки,M,1,270.0,0,,СБП,270.0,0.0,270.0,85.0,85.0,185.0,
L0008775,O005467,2025-10-01 12:49:37,,Нет,,S007,КофеТочка Беговая,САО,Беговой,55.7818,37.5597,Касса,P015,Чизкейк,Десерты,Не применимо,1,340.0,0,,СБП,340.0,0.0,340.0,164.0,164.0,176.0,
L0000291,O000185,2025-12-25 09:24:30,C00654,Да,18–24,S010,КофеТочка Марьина Роща,СВАО,Марьина Роща,55.795,37.6165,Доставка,P014,Маффин шоколадный,Выпечка,Не применимо,1,200.0,0,,Банковская карта,200.0,0.0,200.0,92.0,92.0,108.0,4.0
L0000447,O000284,2025-08-18 13:09:35,,Нет,,S010,КофеТочка Марьина Роща,СВАО,Марьина Роща,55.795,37.6165,Касса,P004,Латте,Кофейные напитки,L,1,365.0,0,,СБП,365.0,0.0,365.0,132.0,132.0,233.0,
L0008818,O005497,2025-10-28 15:33:16,C02018,Да,35–44,S015,КофеТочка Лефортово,ЮВАО,Лефортово,55.7556,37.7047,Доставка,P012,Круассан с сыром,Выпечка,Не применимо,3,250.0,0,,Банковская карта,750.0,0.0,750.0,118.0,354.0,396.0,4.0
L0002472,O001552,2025-01-18 15:01:41,C00654,Да,25–34,S015,КофеТочка Лефортово,ЮВАО,Лефортово,55.7556,37.7047,Доставка,P003,Капучино,Кофейные напитки,S,1,260.0,0,,Банковская карта,260.0,0.0,260.0,92.0,92.0,168.0,
L0008201,O005117,2025-03-31 06:52:58,C01635,Да,25–34,S022,КофеТочка Академическая,ЮЗАО,Академический,55.6875,37.5724,Касса,P012,Круассан с сыром,Выпечка,Не применимо,1,250.0,0,,СБП,250.0,0.0,250.0,118.0,118.0,132.0,
L0006566,O004105,2025-10-06 12:46:41,,Нет,,S002,КофеТочка Тверская,ЦАО,Тверской,55.7653,37.6059,Мобильное приложение,P007,Фильтр-кофе,Кофейные напитки,M,1,270.0,0,,Банковская карта,270.0,0.0,270.0,85.0,85.0,185.0,4.0
L0004352,O002712,2025-12-20 08:32:15,C01969,Да,35–44,S025,КофеТочка Раменки,ЗАО,Раменки,55.705,37.51,Мобильное приложение,P004,Латте,Кофейные напитки,M,1,330.0,0,,СБП,330.0,0.0,330.0,119.0,119.0,211.0,4.0
L0002839,O001765,2025-04-21 13:07:32,C01653,Да,45–54,S005,КофеТочка Пресня,ЦАО,Пресненский,55.7608,37.5574,Доставка,P019,Сэндвич овощной,Сэндвичи,Не применимо,1,360.0,10,LOYAL10,СБП,360.0,36.0,324.0,184.0,184.0,140.0,4.0
