shipment_id,order_date,origin_city,destination_city,transport_type,cargo_weight_kg,planned_days,actual_days,delivery_cost_rub,delivery_status
SHP009898,2025-08-02,Казань,Санкт-Петербург,Авто,279.0,4,4,3870.58,В срок
SHP005018,2025-01-15,Москва,Казань,Авто,447.4,3,5,3033.94,Задержка
SHP005053,2025-11-23,Москва,Новосибирск,Авто,199.5,7,6,6707.47,В срок
SHP008988,2025-08-28,Новосибирск,Пермь,Железная дорога,1677.6,5,4,5729.47,В срок
SHP004569,2025-04-09,Москва,Новосибирск,Железная дорога,172.0,6,6,6344.72,В срок
SHP000629,2025-02-03,Москва,Пермь,Авто,522.2,4,4,4168.53,В срок
SHP004469,2025-12-13,Москва,Самара,Авиа,569.8,2,2,8931.95,В срок
SHP006414,2025-02-25,Казань,Москва,Авто,712.8,3,3,4369.65,В срок
SHP001827,2025-04-07,Новосибирск,Екатеринбург,Железная дорога,723.1,4,7,4391.22,Задержка
SHP006045,2025-12-19,Москва,Новосибирск,Авиа,235.7,3,3,15531.14,В срок
SHP006339,2025-11-27,Москва,Самара,Авиа,324.5,2,4,7925.79,Задержка
SHP009206,2025-01-01,Казань,Уфа,Железная дорога,219.9,3,2,2549.26,В срок
SHP009799,2025-04-13,Казань,Самара,Авто,509.4,2,2,2891.96,В срок
SHP003759,2025-06-19,Казань,Самара,Авто,1800.0,2,4,5727.95,Задержка
SHP001459,2025-06-02,Екатеринбург,Пермь,Авиа,154.5,2,2,5320.44,В срок
SHP000918,2025-07-27,Екатеринбург,Пермь,Авто,244.4,2,2,2153.02,В срок
SHP009202,2025-07-29,Москва,Екатеринбург,Авиа,415.6,2,2,11383.08,В срок
SHP001722,2025-01-15,Санкт-Петербург,Ростов-на-Дону,Авиа,102.0,2,2,10948.03,В срок
SHP008707,2025-10-04,Новосибирск,Казань,Железная дорога,545.9,5,5,4929.23,В срок
SHP001293,2025-01-04,Казань,Новосибирск,Авиа,704.6,3,3,16216.64,В срок
SHP009589,2025-12-01,Казань,Самара,Железная дорога,268.6,3,3,2208.64,В срок
SHP001724,2025-07-20,Екатеринбург,Нижний Новгород,Авиа,312.0,2,2,9272.15,В срок
SHP000870,2025-12-18,Москва,Самара,Железная дорога,70.8,4,4,2518.28,В срок
SHP000678,2025-05-04,Москва,Казань,Железная дорога,470.6,3,3,2954.06,В срок
SHP002099,2025-08-19,Москва,Пермь,Железная дорога,292.9,4,3,3129.54,В срок
SHP002202,2025-02-05,Москва,Санкт-Петербург,Авто,237.9,3,6,2406.39,Задержка
SHP003473,2025-01-27,Москва,Уфа,Авто,298.5,4,4,3551.13,В срок
SHP008049,2025-04-13,Москва,Самара,Авиа,126.4,2,1,7768.34,В срок
SHP004653,2025-06-29,Санкт-Петербург,Ростов-на-Дону,Авиа,245.2,2,5,10960.23,Задержка
SHP005877,2025-07-13,Санкт-Петербург,Екатеринбург,Железная дорога,146.1,5,5,3573.23,В срок
SHP006930,2025-01-14,Екатеринбург,Уфа,Авто,514.4,2,4,3198.71,Задержка
SHP005165,2025-12-09,Екатеринбург,Санкт-Петербург,Железная дорога,657.9,5,5,4613.03,В срок
SHP000098,2025-02-21,Москва,Санкт-Петербург,Авто,174.5,3,3,2249.33,В срок
SHP001261,2025-10-17,Санкт-Петербург,Новосибирск,Железная дорога,242.4,7,9,6432.16,Задержка
SHP003555,2025-10-10,Санкт-Петербург,Уфа,Авиа,395.7,2,2,13903.22,В срок
SHP007242,2025-03-18,Санкт-Петербург,Новосибирск,Железная дорога,544.2,7,6,6030.87,В срок
SHP002846,2025-08-29,Екатеринбург,Санкт-Петербург,,92.4,5,5,5276.99,В срок
SHP002463,2025-08-09,Москва,Самара,Железная дорога,189.6,4,4,2936.46,В срок
SHP006438,2025-01-20,Казань,Новосибирск,Железная дорога,377.8,5,5,5017.63,В срок
SHP008952,2025-08-23,Санкт-Петербург,Москва,Авто,383.9,3,3,2996.16,В срок
SHP001551,2025-06-09,Москва,Ростов-на-Дону,Железная дорога,204.7,4,4,3033.57,В срок
SHP002764,2025-02-24,Санкт-Петербург,Новосибирск,Железная дорога,252.0,7,9,5946.98,Задержка
SHP000042,2025-03-21,Москва,Ростов-на-Дону,Авиа,362.8,2,2,9229.13,В срок
SHP001224,2025-04-02,Казань,Екатеринбург,Авто,270.2,3,6,2811.75,Задержка
SHP004364,2025-04-18,Москва,Казань,Авто,63.9,3,3,2315.54,В срок
SHP005350,2025-12-22,Москва,Уфа,Авиа,132.1,2,1,9333.86,В срок
SHP001042,2025-01-24,Москва,Самара,Железная дорога,362.8,4,4,3170.35,В срок
SHP001116,2025-04-24,Москва,Ростов-на-Дону,Авиа,399.0,2,2,9427.28,В срок
SHP008745,2025-06-21,Казань,Москва,Авто,202.3,3,3,2480.75,В срок
SHP002759,2025-09-10,Москва,Новосибирск,Железная дорога,385.3,6,7,5175.27,Задержка
SHP000646,2025-07-07,Москва,Новосибирск,Авиа,238.3,3,3,17066.88,В срок
SHP006777,2025-04-05,Москва,Самара,Авто,378.4,3,3,3100.46,В срок
SHP005182,2025-01-21,Москва,Екатеринбург,Авиа,558.0,2,1,10901.6,в срок 
SHP006803,2025-07-26,Москва,Самара,Авто,755.0,3,3,4158.4,В срок
SHP005530,2025-05-15,Екатеринбург,Казань,Железная дорога,535.7,3,2,2974.82,В срок
SHP009082,2025-03-06,Москва,Пермь,Железная дорога,84.6,4,4,2907.25,В срок
SHP009656,2025-08-08,Казань,Уфа,Железная дорога,441.8,3,2,2838.55,В срок
SHP000782,2025-04-24,Новосибирск,Москва,Железная дорога,186.5,6,6,5658.69,В срок
SHP009583,2025-11-10,Екатеринбург,Пермь,Авто,261.8,2,3,2042.57,Задержка
SHP004774,2025-10-19,Санкт-Петербург,Пермь,Авиа,165.6,2,2,11169.9,В срок
SHP008887,2025-09-08,Санкт-Петербург,Москва,Авто,346.5,3,3,3370.46,В срок
SHP006252,2025-04-19,Екатеринбург,Ростов-на-Дону,Авто,55.3,5,9,4837.38,Задержка
SHP007910,2025-07-28,Санкт-Петербург,Уфа,Авиа,595.5,2,2,12444.08,В срок
SHP006769,2025-04-04,Санкт-Петербург,Нижний Новгород,Железная дорога,251.0,4,4,2874.34,В срок
SHP009288,2025-04-11,Москва,Екатеринбург,Авто,826.9,4,3,5358.61,В срок
SHP000001,2025-01-02,Казань,Уфа,Авто,547.3,2,2,2918.73,В срок
SHP007655,2025-12-09,Новосибирск,Екатеринбург,Авто,442.7,4,4,5184.32,В срок
SHP008508,2025-01-03,Москва,Уфа,Железная дорога,233.5,4,8,3665.32,Задержка
SHP007566,2025-03-26,Санкт-Петербург,Нижний Новгород,Авиа,75.1,2,1,7084.7,В срок
SHP007236,2025-04-20,Москва,Нижний Новгород,Железная дорога,93.4,3,3,1801.32,В срок
SHP000679,2025-01-30,Москва,Нижний Новгород,Авто,92.0,2,3,1982.77,Задержка
SHP002292,2025-05-02,Санкт-Петербург,Нижний Новгород,Авто,96.7,3,3,3042.56,В срок
SHP007123,2025-07-02,Москва,Екатеринбург,Железная дорога,103.7,4,4,3170.04,В срок
SHP002601,2025-05-13,Казань,Новосибирск,Железная дорога,357.7,5,5,5010.99,В срок
SHP000024,2025-03-08,Казань,Санкт-Петербург,Железная дорога,159.4,4,3,3184.09,В срок
SHP003929,2025-07-29,Москва,Ростов-на-Дону,Железная дорога,679.5,4,4,3855.67,В срок
SHP004422,2025-08-15,Казань,Санкт-Петербург,Авто,187.1,4,4,4006.73,В срок
SHP003108,2025-09-19,Санкт-Петербург,Москва,Авто,,3,3,3485.48,В срок
SHP000717,2025-05-21,Екатеринбург,Пермь,Авто,61.5,2,1,1792.13,В срок
SHP005282,2025-10-21,Москва,Уфа,Авто,117.3,4,4,3258.9,В срок
SHP004155,2025-11-07,Москва,Санкт-Петербург,Авто,437.0,3,3,3116.7,В срок
SHP001800,2025-11-07,Москва,Санкт-Петербург,Авиа,509.8,2,2,8887.12,В срок
SHP000161,2025-05-18,Казань,Пермь,Авто,351.5,2,2,2676.84,В срок
SHP008511,2025-10-30,Москва,Санкт-Петербург,Железная дорога,480.9,3,3,2796.59,В срок
SHP002547,2025-07-01,Казань,Уфа,Авто,199.7,2,2,2353.84,В срок
SHP008169,2025-06-07,Москва,Ростов-на-Дону,Авиа,155.4,2,2,8107.93,В срок
SHP008426,2025-09-27,Москва,Ростов-на-Дону,Авто,405.1,3,3,3552.59,В срок
SHP006752,2025-12-18,Екатеринбург,Новосибирск,Железная дорога,782.2,4,4,4447.59,В срок
SHP002181,2025-04-21,Москва,Самара,Авиа,294.8,2,2,8476.82,В срок
SHP006031,2025-02-11,Казань,Екатеринбург,Железная дорога,474.3,3,3,3085.22,В срок
SHP001334,2025-01-05,Москва,Новосибирск,Железная дорога,388.4,6,5,6120.77,В срок
SHP001226,2025-10-16,Москва,Санкт-Петербург,Авто,586.2,3,3,3278.01,В срок
SHP002425,2025-08-15,Москва,Новосибирск,Авиа,253.5,3,3,14991.82,в срок 
SHP006043,2025-07-03,Санкт-Петербург,Ростов-на-Дону,Железная дорога,67.8,5,4,3574.66,В срок
SHP007408,2025-09-18,Москва,Пермь,Железная дорога,78.5,4,3,3523.18,В срок
SHP001381,2025-04-15,Екатеринбург,Ростов-на-Дону,Авиа,307.7,2,6,12704.9,Задержка
SHP007420,2025-01-14,Казань,Санкт-Петербург,Авиа,311.1,2,2,11107.02,В срок
SHP000634,2025-08-15,Новосибирск,Санкт-Петербург,Железная дорога,272.8,7,6,6119.21,В срок
SHP006455,2025-09-25,Москва,Казань,Авто,164.6,3,2,2547.64,В срок
SHP008502,2025-01-17,Москва,Санкт-Петербург,Авто,305.3,3,7,3094.95,Задержка
SHP003095,2025-04-23,Москва,Новосибирск,Авто,351.0,7,7,6790.8,В срок
SHP004152,2025-03-01,Москва,Самара,Железная дорога,311.0,4,4,2886.37,В срок
SHP007494,2025-10-29,Москва,Санкт-Петербург,Железная дорога,358.4,3,3,3098.66,В срок
SHP004630,2025-09-14,Москва,Новосибирск,Авиа,119.7,3,3,14333.91,В срок
SHP007638,2025-10-04,Новосибирск,Санкт-Петербург,Авиа,187.5,3,2,17639.19,В срок
SHP007460,2025-06-19,Екатеринбург,Казань,Авто,125.1,3,2,2569.23,В срок
SHP008081,2025-02-20,Санкт-Петербург,Москва,Авто,292.4,3,3,3053.18,В срок
SHP009345,2025-01-08,Новосибирск,Ростов-на-Дону,Железная дорога,379.5,7,7,5894.62,В срок
SHP000465,2025-02-09,Новосибирск,Уфа,Авиа,85.2,2,3,10500.71,Задержка
SHP009266,2025-07-17,Новосибирск,Нижний Новгород,Железная дорога,932.1,6,6,6328.67,В срок
SHP008148,2025-08-01,Москва,Нижний Новгород,Авто,724.9,2,4,3614.14,Задержка
SHP004072,2025-05-08,Новосибирск,Санкт-Петербург,Авиа,331.8,3,3,17573.84,В срок
SHP002138,2025-10-15,Казань,Уфа,Железная дорога,108.6,3,3,2052.57,В срок
SHP001014,2025-03-07,Москва,Нижний Новгород,Авто,180.1,2,2,2121.89,В срок
SHP003162,2025-07-20,Казань,Москва,Железная дорога,401.7,3,5,2711.43,Задержка
SHP007829,2025-10-01,Екатеринбург,Нижний Новгород,Авто,170.4,3,4,3109.13,Задержка
SHP003795,2025-04-05,Казань,Нижний Новгород,Авто,72.0,2,2,1815.08,В срок
SHP000196,2025-04-11,Москва,Нижний Новгород,Железная дорога,232.9,3,2,2387.19,В срок
SHP007757,2025-01-25,Екатеринбург,Уфа,Авиа,118.6,2,2,4698.48,В срок
SHP005352,2025-06-11,Новосибирск,Пермь,Железная дорога,132.0,5,4,3950.5,В срок
SHP000174,2025-05-04,Казань,Самара,Авто,340.8,2,6,2226.25,Задержка
SHP005320,2025-01-10,Москва,Пермь,Железная дорога,140.0,4,4,2899.46,В срок
SHP000279,2025-09-25,Екатеринбург,Казань,Авто,192.3,3,3,2992.92,В срок
SHP003148,2025-07-03,Екатеринбург,Ростов-на-Дону,Авто,108.4,5,5,4616.5,В срок
SHP004506,2025-11-10,Казань,Нижний Новгород,Авиа,147.3,2,2,5055.57,В срок
SHP008628,2025-09-30,Новосибирск,Самара,Авиа,452.0,3,3,15223.96,В срок
SHP004148,2025-03-25,Москва,Ростов-на-Дону,Железная дорога,766.0,4,7,3639.74,Задержка
SHP004977,2025-08-17,Екатеринбург,Самара,Авто,299.0,3,3,3203.83,В срок
SHP008353,2025-06-26,Санкт-Петербург,Ростов-на-Дону,Авто,244.5,4,7,4278.28,Задержка
SHP001691,2025-08-02,Санкт-Петербург,Новосибирск,Авиа,78.1,3,3,14323.05,В срок
SHP009660,2025-04-13,Екатеринбург,Ростов-на-Дону,Авиа,380.4,2,2,12306.57,В срок
SHP004968,2025-04-10,Новосибирск,Екатеринбург,Авиа,273.0,2,2,9918.16,В срок
SHP005690,2025-11-06,Санкт-Петербург,Пермь,Железная дорога,465.4,5,5,4224.03,В срок
SHP007329,2025-08-29,Санкт-Петербург,Уфа,Железная дорога,165.6,5,5,4073.98,В срок
SHP006006,2025-12-28,Москва,Казань,Железная дорога,171.3,3,3,2613.17,В срок
SHP007119,2025-06-08,Екатеринбург,Нижний Новгород,Железная дорога,1301.5,4,4,4796.69,В срок
SHP003749,2025-06-17,Новосибирск,Казань,Железная дорога,205.1,5,5,4091.96,В срок
SHP002964,2025-05-06,Новосибирск,Уфа,Авиа,1088.5,2,2,18054.12,В срок
SHP002427,2025-06-11,Екатеринбург,Ростов-на-Дону,Авиа,327.6,2,2,12497.12,В срок
SHP005007,2025-08-24,Москва,Ростов-на-Дону,Авто,264.2,3,2,3060.17,В срок
SHP003334,2025-03-06,Санкт-Петербург,Казань,Авиа,67.1,2,2,8050.13,В срок
SHP001668,2025-07-05,Санкт-Петербург,Новосибирск,Железная дорога,142.8,7,7,5584.01,В срок
SHP009161,2025-01-25,Москва,Санкт-Петербург,Авто,534.7,3,4,3604.96,Задержка
SHP000775,2025-09-23,Москва,Уфа,Авиа,744.9,2,2,11581.88,В срок
SHP001570,2025-01-29,Москва,Казань,Авто,35.4,3,7,2345.55,Задержка
SHP007552,2025-05-11,Казань,Ростов-на-Дону,Железная дорога,264.6,4,4,3191.93,В срок
SHP008790,28.04.2025,Москва,Самара,Железная дорога,148.7,4,4,2624.51,В срок
SHP007856,2025-01-30,Москва,Новосибирск,Авиа,298.2,3,3,19402.49,В срок
SHP000344,2025-06-20,Москва,Санкт-Петербург,Железная дорога,599.7,3,3,3062.59,В срок
SHP007233,2025-11-13,Москва,Санкт-Петербург,Авто,178.3,3,3,2580.47,В срок
SHP003464,2025-06-09,Екатеринбург,Самара,Авто,127.3,3,3,2614.57,В срок
SHP002406,2025-06-01,Новосибирск,Казань,Авиа,149.2,3,3,12154.11,В срок
SHP001276,2025-07-09,Казань,Москва,Авто,93.8,3,3,2458.49,В срок
SHP006584,2025-03-31,Москва,Санкт-Петербург,Железная дорога,152.1,3,3,2966.42,В срок
SHP008606,2025-12-29,Санкт-Петербург,Уфа,Авто,1159.4,5,5,7092.98,В срок
SHP002840,2025-07-24,Москва,Уфа,Железная дорога,1647.7,4,4,5767.34,В срок
SHP007559,2025-05-23,Екатеринбург,Москва,Железная дорога,59.6,4,6,3603.97,Задержка
SHP006597,2025-08-02,Новосибирск,Екатеринбург,Железная дорога,94.7,4,4,2775.43,В срок
SHP001511,2025-08-10,Санкт-Петербург,Ростов-на-Дону,Авиа,495.5,2,2,11720.2,В срок
SHP004743,2025-03-29,Москва,Пермь,Железная дорога,171.0,4,4,2961.86,В срок
SHP007547,2025-07-28,Новосибирск,Нижний Новгород,Авиа,320.0,3,3,16239.07,В срок
SHP002998,2025-04-12,Москва,Пермь,Авиа,264.8,2,2,9644.9,В срок
SHP000138,2025-07-12,Москва,Новосибирск,Авиа,260.6,3,3,16646.4,В срок
SHP006952,2025-04-03,Москва,Пермь,Железная дорога,185.5,4,4,3480.68,В срок
SHP001980,2025-09-24,Москва,Санкт-Петербург,Авиа,72.7,2,2,5549.21,В срок
SHP008384,2025-04-16,Санкт-Петербург,Уфа,Авто,404.9,5,5,5304.11,В срок
SHP007383,2025-12-01,Москва,Екатеринбург,Железная дорога,246.1,4,8,3471.77,Задержка
SHP004294,2025-06-04,Санкт-Петербург,Нижний Новгород,Железная дорога,180.4,4,4,2905.31,В срок
SHP009274,2025-01-06,Санкт-Петербург,Нижний Новгород,Авто,174.0,3,3,2791.35,В срок
SHP004525,2025-07-30,Москва,Новосибирск,Железная дорога,,6,6,5465.66,В срок
SHP002849,2025-04-17,Екатеринбург,Казань,Железная дорога,108.9,3,3,2213.55,В срок
SHP000341,2025-08-10,Санкт-Петербург,Нижний Новгород,Железная дорога,157.2,4,4,3076.19,В срок
SHP007162,2025-01-01,Новосибирск,Самара,Железная дорога,138.8,5,5,4356.07,В срок
SHP004314,2025-03-04,Санкт-Петербург,Пермь,Авто,115.6,4,4,4343.55,В срок
SHP007150,2025-08-28,Казань,Самара,Авиа,95.2,2,4,5166.0,Задержка
SHP008809,2025-04-07,Москва,Уфа,Авиа,120.5,2,2,8585.47,В срок
SHP003580,2025-06-23,Санкт-Петербург,Самара,Авиа,340.8,2,2,11074.95,В срок
SHP003698,2025-04-06,Екатеринбург,Санкт-Петербург,Железная дорога,151.0,5,5,3972.51,В срок
SHP005376,2025-03-06,Москва,Новосибирск,Железная дорога,1082.1,6,6,7034.04,В срок
SHP005761,2025-06-19,Казань,Нижний Новгород,Авто,148.1,2,2,1857.49,В срок
SHP002466,2025-11-02,Новосибирск,Ростов-на-Дону,Железная дорога,530.1,7,7,6291.89,В срок
SHP008872,2025-02-01,Москва,Санкт-Петербург,Железная дорога,693.7,3,5,3069.67,Задержка
SHP007357,2025-10-22,Москва,Самара,Авто,195.5,3,4,2667.98,Задержка
SHP003534,2025-02-04,Москва,Санкт-Петербург,Авто,942.2,3,5,3723.69,Задержка
SHP006754,2025-05-06,Казань,Екатеринбург,Авто,394.1,3,3,2780.91,В срок
SHP000062,2025-01-01,Москва,Уфа,Железная дорога,72.3,4,4,2906.1,В срок
SHP003527,2025-07-25,Москва,Самара,Железная дорога,81.3,4,4,2844.06,В срок
SHP005302,2025-05-07,Москва,Пермь,Авто,501.5,4,3,3944.32,В срок
SHP000066,2025-03-21,Москва,Ростов-на-Дону,Железная дорога,297.1,4,4,3218.14,В срок
SHP006366,2025-04-05,Москва,Ростов-на-Дону,Железная дорога,155.2,4,3,3058.82,В срок
SHP008698,2025-04-06,Москва,Пермь,Железная дорога,268.2,4,3,2821.08,В срок
SHP002529,2025-07-03,Санкт-Петербург,Уфа,Авто,225.1,5,5,4171.78,В срок
SHP005349,2025-12-11,Казань,Нижний Новгород,Авто,264.8,2,2,2284.56,Задержка
SHP002226,2025-08-12,Санкт-Петербург,Пермь,Железная дорога,220.0,5,5,3912.33,В срок
SHP000463,2025-02-01,Москва,Казань,Авиа,297.7,2,6,7580.51,Задержка
SHP002006,2025-08-11,Новосибирск,Уфа,Авто,156.9,5,5,4303.94,В срок
SHP006997,2025-04-01,Москва,Уфа,Железная дорога,101.2,4,4,2990.61,В срок
SHP001344,2025-05-18,Санкт-Петербург,Пермь,Авто,323.8,4,4,4282.02,В срок
SHP001769,2025-06-05,Новосибирск,Пермь,Железная дорога,285.9,5,5,3884.89,В срок
SHP008275,2025-03-28,Новосибирск,Самара,Железная дорога,103.8,5,6,4517.71,Задержка
SHP005064,2025-07-17,Екатеринбург,Казань,Авто,307.5,3,4,2911.38,Задержка
SHP004821,2025-09-08,Новосибирск,Уфа,Авто,227.0,5,7,4373.67,Задержка
SHP003308,2025-10-07,Санкт-Петербург,Екатеринбург,Железная дорога,52.3,5,7,4048.32,Задержка
SHP009447,2025-12-20,Казань,Екатеринбург,Железная дорога,107.3,3,5,2804.52,Задержка
SHP009328,2025-09-04,Санкт-Петербург,Новосибирск,Железная дорога,328.1,7,7,5285.03,В срок
SHP001069,2025-07-04,Новосибирск,Москва,Железная дорога,705.5,6,10,5875.23,Задержка
SHP000504,2025-03-09,Москва,Санкт-Петербург,Авто,539.7,3,3,3788.23,В срок
SHP003702,2025-04-08,Новосибирск,Казань,Авиа,64.4,3,3,12037.94,В срок
SHP003418,2025-02-13,Москва,Екатеринбург,Железная дорога,267.7,4,4,3784.42,В срок
SHP008372,2025-09-11,Санкт-Петербург,Ростов-на-Дону,Железная дорога,219.0,5,5,3511.83,В срок
SHP006554,2025-09-23,Москва,Санкт-Петербург,Авто,370.9,3,3,2731.61,В срок
SHP007551,2025-05-24,Москва,Екатеринбург,Авиа,102.1,2,2,8981.17,В срок
SHP008237,2025-10-02,Москва,Самара,Железная дорога,169.2,4,4,2789.69,В срок
SHP006646,2025-07-21,Санкт-Петербург,Москва,Железная дорога,136.8,3,2,2430.9,В срок
SHP007356,2025-01-08,Екатеринбург,Казань,Авто,246.6,3,3,2978.54,В срок
SHP002723,2025-03-21,Москва,Уфа,Железная дорога,134.9,4,3,3009.51,В срок
SHP008119,2025-06-10,Санкт-Петербург,Самара,Авиа,903.9,2,2,13592.16,В срок
SHP000365,2025-08-26,Санкт-Петербург,Самара,Авиа,258.6,2,2,11032.84,В срок
SHP001922,2025-10-27,Москва,Ростов-на-Дону,Железная дорога,65.8,4,4,2458.51,В срок
SHP007878,2025-06-08,Казань,Уфа,Авто,191.9,2,2,2336.08,В срок
SHP001407,2025-01-03,Екатеринбург,Уфа,Авто,299.2,2,4,2273.91,Задержка
SHP006373,2025-09-19,Москва,Самара,Авто,102.4,3,4,2880.08,Задержка
SHP004582,2025-07-02,Санкт-Петербург,Москва,Авто,494.2,3,3,3316.42,В срок
SHP002096,2025-11-30,Москва,Ростов-на-Дону,Железная дорога,240.4,4,4,2834.4,В срок
SHP002504,2025-07-25,Казань,Ростов-на-Дону,Железная дорога,64.3,4,8,2921.64,Задержка
SHP009431,2025-12-29,Новосибирск,Уфа,Железная дорога,630.6,5,4,4498.79,В срок
SHP006495,2025-06-15,Москва,Санкт-Петербург,Авто,182.2,3,3,2660.6,В срок
SHP000386,2025-05-31,Казань,Уфа,Авто,309.6,2,2,2316.94,В срок
SHP006294,2025-10-27,Москва,Самара,Авиа,339.8,2,2,8349.11,В срок
SHP007738,2025-01-20,Казань,Новосибирск,Железная дорога,97.1,5,5,4582.83,В срок
SHP008898,2025-11-02,Москва,Нижний Новгород,Авто,169.8,2,2,1937.67,В срок
SHP006331,2025-12-02,Москва,Санкт-Петербург,Авто,264.0,3,3,2949.04,В срок
SHP009534,2025-01-06,Новосибирск,Нижний Новгород,Железная дорога,332.2,6,6,5684.56,В срок
SHP008858,2025-12-09,Новосибирск,Екатеринбург,Железная дорога,98.5,4,4,3338.06,В срок
SHP001427,2025-04-09,Казань,Екатеринбург,Авто,275.1,3,3,2922.57,В срок
SHP009418,2025-10-05,Москва,Екатеринбург,Железная дорога,1140.6,4,4,4954.82,В срок
SHP007215,2025-04-20,Казань,Самара,Железная дорога,162.8,3,2,2034.85,В срок
SHP001322,2025-01-30,Москва,Уфа,Авто,334.8,4,8,3932.11,Задержка
SHP007025,2025-09-08,Новосибирск,Уфа,Железная дорога,443.6,5,5,4657.89,В срок
SHP008715,2025-08-07,Новосибирск,Екатеринбург,Авто,90.8,4,4,3734.36,В срок
SHP004419,2025-07-28,Екатеринбург,Нижний Новгород,Авто,226.1,3,3,2782.58,В срок
SHP008503,2025-02-22,Москва,Ростов-на-Дону,Авиа,1262.2,2,2,13133.84,В срок
SHP005963,2025-11-04,Москва,Пермь,Железная дорога,287.2,4,3,3352.09,В срок
SHP003135,2025-11-30,Москва,Нижний Новгород,Авто,167.0,2,2,1790.64,В срок
SHP005369,2025-08-22,Москва,Ростов-на-Дону,Железная дорога,105.7,4,8,2826.12,Задержка
SHP004717,2025-10-02,Казань,Ростов-на-Дону,Железная дорога,357.4,4,4,3411.94,В срок
SHP001645,2025-02-07,Москва,Санкт-Петербург,Авто,616.5,3,3,3565.73,В срок
SHP008880,2025-08-30,Казань,Москва,Железная дорога,675.1,3,3,3454.3,В срок
SHP000514,2025-12-02,Новосибирск,Уфа,Авто,206.7,5,6,4742.31,Задержка
SHP006265,2025-06-03,Екатеринбург,Самара,Железная дорога,170.0,4,7,2520.52,Задержка
SHP006633,2025-01-07,Москва,Уфа,Железная дорога,230.9,4,4,3464.56,В срок
SHP000928,2025-04-02,Екатеринбург,Уфа,Авто,56.0,2,2,1761.28,Задержка
SHP003071,2025-08-14,Екатеринбург,Ростов-на-Дону,Авто,153.4,5,5,4567.68,В срок
SHP001142,2025-07-03,Екатеринбург,Нижний Новгород,Железная дорога,410.7,4,4,3846.54,В срок
SHP009539,2025-09-14,Москва,Ростов-на-Дону,Железная дорога,506.5,4,7,3964.19,Задержка
SHP009501,2025-07-23,Москва,Казань,Авто,372.6,3,3,3376.98,В срок
SHP001048,2025-10-10,Москва,Новосибирск,Железная дорога,392.1,6,8,6315.72,Задержка
SHP007418,2025-10-15,Новосибирск,Уфа,Авто,263.8,5,9,4657.43,Задержка
SHP008871,2025-07-08,Екатеринбург,Москва,Железная дорога,124.4,4,4,3313.95,В срок
SHP001972,2025-03-21,Москва,Самара,Авиа,360.7,2,3,9037.76,Задержка
SHP001529,2025-02-26,Москва,Екатеринбург,Железная дорога,80.3,4,4,3599.62,В срок
