order_id,order_date,client_id,product_id,region_id,channel,quantity,unit_price,discount
ORD-00066,21.04.2026,C022,P011,R01,store,6,4028.61,0.07
ORD-00067,2026/01/25,C010,P012,R04,store,3,9933.51,0.15
ORD-00068,2026-02-13,C038,P007,R03,web,6,15782.34,0.15
ORD-00069,29.03.2026,C037,P008,R05, ONLINE ,2,22479.5,0.07
ORD-00070,15.04.2026,C014,P008,R03,partner,2,23869.15,0.05
ORD-00071,2026-01-13,C034,P001,R02,store,5,51904.97,0.03
ORD-00072,2026-04-14,C032,P011,R04,internet,1,4108.46,0.03
ORD-00073,2026/03/04,C038,P011,R03,offline,3,4248.75,0.07
ORD-00074,11.02.2026,C030,P012,R03,Online,2,10043.43,0.07
ORD-00075,2026-04-01,C035,P012,R07, Partner ,1,10070.31,0.05
ORD-00076,2026-01-15,C039,P009,R03,online,2,6355.32,0.05
ORD-00077,2026-02-07,C035,P012,R02,store,12,9782.81,0
ORD-00078,08.02.2026,C001,P002,R05,internet,3,91604.22,0
ORD-00079,11.01.2026,C008,P008,R07, ONLINE ,3,22777.28,0
ORD-00080,2026-01-13,C037,P003,R03,partner,1,18761.6,0.03
ORD-00081,2026/02/10,C029,P007,R04, Partner ,12,16373.75,0
ORD-00082,2026/01/29,C007,P012,R07,web,1,9948.98,0
ORD-00083,2026-01-23,C036,P003,R01,internet,2,18545.39,0.15
ORD-00084,03.04.2026,C015,P001,R03,internet,5,51617.54,0.03
ORD-00085,2026-04-15,C038,P011,R06,internet,3,4330.66,0
ORD-00086,24.01.2026,C005,P003,R01,store,4,18933.81,0.05
ORD-00087,2026/02/10,C030,P002,R06,store,2,90574.58,0.15
ORD-00088,26.04.2026,C039,P002,R01,Online,5,95559.85,0
ORD-00089,2026/01/05,C037,P004,R05,store,6,26317.19,0
ORD-00090,2026/01/26,C029,P009,R03,store,3,6826.81,0
ORD-00091,2026/02/13,C027,P006,R03,store,1,1796.89,0.1
ORD-00092,2026/04/10,C026,P005,R07,offline,1,2615.45,0.05
ORD-00093,2026-03-09,C026,P002,R07,online,4,94640.61,0.1
ORD-00094,23.03.2026,C034,P004,R03,internet,4,27081.56,0.03
ORD-00095,2026/02/28,C009,P009,R03, ONLINE ,3,6010.02,0.03
ORD-00096,14.03.2026,C036,P005,R01,store,1,3020.53,0
ORD-00097,2026/05/02,C010,P002,R04,store,2,97089.39,0.1
ORD-00098,2026-03-14,C016,P008,R04,Online,2,24018.73,0
ORD-00099,2026/05/02,C027,P005,R03, Partner ,2,2577.15,0.05
ORD-00100,22.01.2026,C032,P010,R07,store,3,4973.62,0.1
ORD-00101,2026/02/02,C013,P006,R06,online,2,2008.23,0.1
ORD-00102,29.04.2026,C031,P006,R06,store,2,1949.76,0
ORD-00103,19.03.2026,C009,P001,R05,Online,6,55113.26,0.15
ORD-00104,2026-04-05,C030,P009,R01,Online,2,6660.97,0
ORD-00105,2026/03/23,C017,P008,R03,partner,2,20989.14,0.07
ORD-00106,04.04.2026,C021,P007,R06,web,8,15645.07,0
ORD-00107,2026-04-08,C019,P011,R02,store,3,4023.73,0
ORD-00108,08.01.2026,C020,P003,R01,Offline ,6,17404.9,0.07
ORD-00109,2026/02/24,C016,P003,R05,Online,4,17078.56,0
ORD-00110,2026-03-31,C025,P010,R05,store,3,5167.86,0.03
ORD-00111,2026/02/04,C017,P011,R04,partner,1,4509.59,0.05
ORD-00112,03.05.2026,C005,P003,R04,internet,12,17421.56,0.1
ORD-00113,21.02.2026,C020,P008,R02, Partner ,1,22072.91,0.07
ORD-00114,2026/04/19,C019,P005,R01, Partner ,2,2579.63,0
ORD-00115,28.04.2026,C032,P012,R07,web,5,9281.14,0.07
ORD-00116,2026/02/04,C013,P011,R05,Online,5,4484.02,0
ORD-00117,13.04.2026,C003,P011,R03,Online,1,4207.02,0
ORD-00118,2026-02-25,C021,P005,R06,partner,1,2928.36,0.07
ORD-00119,24.01.2026,C018,P009,R07,offline,8,6961.96,0.05
ORD-00120,2026-01-21,C030,P002,R01,partner,6,97372.22,0.1
ORD-00121,2026-02-22,C006,P006,R07,internet,2,1785.57,0.07
ORD-00122,25.03.2026,C025,P010,R07, Partner ,1,4882.8,0
ORD-00123,2026/01/31,C021,P009,R05,Offline ,1,6836.81,0.05
ORD-00124,07.01.2026,C009,P002,R01,partner,12,88226.45,0.03
ORD-00125,2026/02/19,C025,P003,R04, Partner ,10,18565.87,0.1
ORD-00126,2026-03-27,C010,P012,R04,online,6,9879.49,0.05
ORD-00127,28.02.2026,C024,P012,R02,offline,10,10251.66,0
ORD-00128,22.02.2026,C023,P009,R01,Online,1,6107.05,0.15
ORD-00129,2026/03/25,C014,P011,R06,web,12,3990.8,0.07
ORD-00130,2026/01/11,C037,P003,R02,offline,1,17181.94,0.03
ORD-00131,2026-02-07,C039,P003,R01,Online,12,18115.82,0
ORD-00132,04.01.2026,C002,P011,R02,online,5,4119.7,0.07
ORD-00133,2026/01/19,C017,P003,R01,store,3,16887.31,0
ORD-00134,2026-03-19,C024,P008,R05,partner,3,21497.58,0
ORD-00135,2026-01-06,C030,P005,R06,Online,12,2955.59,0.1
ORD-00136,2026-04-28,C029,P008,R01,internet,2,21234.0,0
ORD-00137,04.04.2026,C038,P010,R05,store,2,5179.47,0.05
ORD-00138,2026/01/15,C039,P009,R04,Offline ,1,6660.9,0.03
ORD-00139,15.02.2026,C015,P008,R04,Offline ,2,23326.61,0.07
ORD-00140,2026/01/22,C017,P006,R03,Online,8,1768.41,0
ORD-00141,07.04.2026,C007,P007,R06,Online,6,17052.43,0.07
ORD-00142,29.03.2026,C023,P007,R07, Partner ,6,17497.75,0.05
ORD-00143,2026/03/17,C023,P005,R01,Online,1,2870.22,0.03
ORD-00144,17.01.2026,C036,P006,R03, Partner ,4,1993.4,0
ORD-00145,26.01.2026,C018,P011,R01,offline,5,4168.58,0.07
ORD-00146,2026/01/21,C012,P001,R07,Online,4,48418.95,0
ORD-00147,20.02.2026,C034,P012,R02,offline,3,9168.3,0.05
ORD-00148,2026-04-26,C039,P010,R01,Online,1,5307.62,0
ORD-00149,26.02.2026,C029,P005,R06,partner,4,2761.55,0.03
ORD-00150,17.01.2026,C023,P002,R04,online,4,95400.74,0.05
ORD-00151,2026-01-10,C026,P004,R05,internet,1,27852.55,0
ORD-00152,03.01.2026,C021,P005,R01,partner,5,2654.71,0.1
ORD-00153,2026/03/15,C015,P012,R05,Offline ,6,9035.86,0
ORD-00154,23.04.2026,C030,P001,R01,internet,4,52610.69,0.1
ORD-00155,2026-02-13,C026,P002,R01,Online,6,95776.6,0.07
ORD-00156,2026/02/27,C007,P007,R02,offline,2,15760.66,0.05
ORD-00157,2026-01-24,C022,P004,R07,offline,3,24394.35,0.03
ORD-00158,2026-01-16,C010,P006,R02,Online,2,1800.74,0
ORD-00159,2026/04/09,C032,P003,R04,offline,5,17852.85,0.07
ORD-00160,04.03.2026,C029,P003,R01,offline,4,18853.43,0
ORD-00161,03.03.2026,C005,P009,R03,Online,1,6363.49,0.05
ORD-00162,2026/03/20,C006,P011,R05,store,2,4355.27,0
ORD-00163,21.03.2026,C013,P010,R03,Online,3,5473.5,0.15
ORD-00164,2026-03-26,C006,P006,R05,partner,1,1963.12,0.15
ORD-00165,18.02.2026,C040,P009,R02, Partner ,8,6382.91,0.07
ORD-00166,2026-02-14,C022,P001,R01, Partner ,3,51056.21,0.05
ORD-00167,2026/03/18,C022,P003,R01, ONLINE ,1,17567.48,0.1
ORD-00168,15.03.2026,C006,P010,R03,partner,4,4960.04,0
ORD-00169,2026-02-18,C028,P002,R05,offline,2,89191.15,0.03
ORD-00170,2026-01-20,C013,P008,R02,partner,1,23739.94,0
ORD-00171,28.03.2026,C034,P009,R01, ONLINE ,8,6622.75,0.1
ORD-00172,2026/04/01,C012,P003,R07,online,6,17036.75,0.15
ORD-00173,2026-04-05,C024,P007,R06,web,10,17199.05,0.15
ORD-00174,16.04.2026,C016,P009,R03,store,8,6181.78,0.15
ORD-00175,11.03.2026,C025,P005,R05,internet,10,2941.97,0
ORD-00176,2026/02/19,C031,P001,R07,internet,10,53758.86,0
ORD-00177,2026/03/01,C011,P002,R03,store,1,93059.59,0.03
ORD-00178,09.01.2026,C002,P006,R04,offline,3,1819.68,0
ORD-00179,2026-05-02,C002,P004,R03, ONLINE ,6,26623.84,0
ORD-00180,2026/03/04,C019,P001,R07,store,6,54153.56,0.15
ORD-00181,05.01.2026,C001,P010,R01,Online,1,4814.01,0.1
ORD-00182,2026-01-18,C016,P005,R03,Online,2,2862.25,0.15
ORD-00183,2026-03-12,C032,P002,R05,internet,4,95128.71,0
ORD-00184,2026-02-17,C001,P007,R05,partner,4,16054.5,0
ORD-00185,2026/03/13,C005,P006,R05,Offline ,5,1902.32,0
ORD-00186,21.02.2026,C003,P008,R06,offline,2,20758.47,0
ORD-00187,2026/03/18,C007,P004,R07,partner,5,24474.98,0.07
ORD-00188,2026/04/12,C012,P006,R07, ONLINE ,3,1959.4,0
ORD-00189,2026-02-09,C030,P002,R01,offline,1,89480.03,0
ORD-00190,2026/04/17,C033,P005,R04,internet,3,2592.41,0.03
ORD-00191,27.03.2026,C004,P006,R07,Offline ,2,1991.0,0.1
ORD-00192,2026-02-15,C029,P012,R04,Online,3,9696.16,0.05
ORD-00193,2026/02/27,C028,P012,R01,offline,12,9204.07,0.05
ORD-00194,28.03.2026,C006,P002,R03, ONLINE ,2,95543.43,0.1
ORD-00195,2026-03-01,C029,P012,R03,internet,5,10338.81,0.1
ORD-00196,2026/03/29,C004,P011,R01,online,2,4309.0,0
ORD-00197,13.04.2026,C039,P003,R06,offline,1,16753.63,0.07
ORD-00198,2026-03-21,C037,P007,R01,store,4,18113.62,0.07
ORD-00199,11.03.2026,C037,P002,R02,Online,2,96249.39,0.03
ORD-00200,10.03.2026,C012,P001,R04,store,8,48819.77,0.05
ORD-00201,01.04.2026,C040,P004,R03,store,1,24484.63,0
ORD-00202,2026/04/16,C029,P003,R01,Online,10,19401.34,0.07
ORD-00203,27.04.2026,C035,P009,R03,offline,6,6720.28,0
ORD-00204,2026-01-28,C015,P009,R01,partner,2,6493.78,0.07
ORD-00205,2026/04/15,C024,P010,R04,internet,1,5413.55,0
ORD-00206,24.02.2026,C031,P007,R05,Online,6,15747.42,0.07
ORD-00207,10.03.2026,C030,P008,R06, ONLINE ,1,23684.59,0
ORD-00208,2026-01-10,C033,P007,R07,offline,3,16370.35,0
ORD-00209,2026/05/03,C015,P012,R03,web,8,10236.89,0.05
ORD-00210,2026/01/19,C036,P011,R03, Partner ,2,4323.03,0
ORD-00211,2026/03/28,C010,P010,R02,online,5,5185.79,0
ORD-00212,2026/04/11,C003,P002,R06, Partner ,2,89650.56,0.1
ORD-00213,2026/04/26,C002,P011,R04,store,3,4397.63,0.05
ORD-00214,2026-03-02,C026,P004,R03,store,4,24577.61,0.1
ORD-00215,2026-03-21,C014,P008,R03,Offline ,2,23286.11,0.07
ORD-00216,2026-03-15,C024,P003,R05,store,2,17903.44,0.05
ORD-00217,09.01.2026,C010,P004,R01,web,10,27514.92,0.1
ORD-00218,05.04.2026,C021,P003,R05,store,1,17018.91,0.15
ORD-00219,14.01.2026,C032,P005,R01, Partner ,3,3009.08,0.03
ORD-00220,08.02.2026,C004,P006,R01,internet,4,2004.23,0.15
ORD-00221,16.01.2026,C001,P009,R07,Offline ,1,6255.05,0.07
ORD-00222,2026/01/09,C003,P006,R04,Online,3,1858.21,0.05
ORD-00223,2026/04/10,C033,P007,R04, ONLINE ,2,18222.5,0
ORD-00224,14.04.2026,C026,P002,R03,web,3,91978.72,0
ORD-00225,2026-03-08,C033,P010,R04,store,1,4803.82,0.07
ORD-00226,2026/03/21,C030,P009,R02, ONLINE ,1,6948.62,0.07
ORD-00227,20.04.2026,C040,P007,R06, Partner ,4,16919.78,0.15
ORD-00228,05.01.2026,C031,P005,R07, Partner ,2,2625.1,0.1
ORD-00229,04.03.2026,C002,P005,R05,online,10,2926.74,0.03
ORD-00230,2026/03/11,C031,P010,R02, ONLINE ,5,5324.08,0.1
ORD-00231,2026/03/17,C016,P011,R01,Offline ,1,3969.03,0.07
ORD-00232,29.01.2026,C027,P003,R06,online,3,18321.06,0.15
ORD-00233,2026/01/29,C009,P012,R05,offline,2,9951.78,0.1
ORD-00234,2026/02/15,C030,P003,R05, Partner ,2,18783.33,0.05
ORD-00235,2026/02/07,C013,P008,R02,internet,2,24089.35,0.05
ORD-00236,03.04.2026,C014,P012,R06,internet,2,9465.34,0.05
ORD-00237,13.03.2026,C037,P002,R06, ONLINE ,8,92413.77,0.07
ORD-00238,2026-04-04,C003,P005,R03,store,2,2774.18,0.05
ORD-00239,12.03.2026,C013,P004,R07,Online,10,26816.07,0
ORD-00240,2026-02-03,C038,P010,R02,online,4,5125.33,0.03
ORD-00241,not_a_date,C005,P002,R03, WEB ,2,94000,0.1
ORD-00242,2026-04-30,C999,P004,R02,online,1,26000,0.05
ORD-00243,2026-04-29,C003,P999,R01,internet,3,12000,0
