ticket_id,created_at,channel,priority,category,customer_segment,region,resolution_hours,sla_missed,satisfaction_score,first_response_minutes
TCK-00050,2026-01-13 21:44:00,phone,critical,product,B2C,Volga,8.67,1,3,47
TCK-00051,2026-01-13 17:05:00,web,medium,product,B2C,Siberia,3.87,0,5,68
TCK-00052,2026-01-13 17:46:00,chat,low,billing,SMB,Volga,2.24,0,4,39
TCK-00053,2026-01-13 15:01:00,chat,high,billing,B2C,Volga,4.44,0,3,16
TCK-00054,2026-01-14 16:17:00,email,low,delivery,SMB,South,5.08,0,5,63
TCK-00055,2026-01-14 12:12:00,web,medium,billing,B2C,Central,8.14,0,4,76
TCK-00056,2026-01-14 13:14:00,web,medium,technical,B2C,South,1.36,0,5,8
TCK-00057,2026-01-14 12:52:00,phone,low,billing,B2C,Central,5.86,0,5,51
TCK-00058,2026-01-14 11:47:00,chat,critical,access,SMB,South,8.22,1,4,26
TCK-00059,2026-01-14 12:02:00,chat,medium,billing,Enterprise,Central,0.51,0,5,31
TCK-00060,2026-01-14 14:12:00,email,low,technical,B2C,Volga,7.85,0,5,94
TCK-00061,2026-01-15 14:50:00,chat,medium,technical,B2C,Siberia,4.38,0,4,8
TCK-00062,2026-01-16 08:55:00,chat,medium,billing,B2C,Central,5.29,0,3,5
TCK-00063,2026-01-16 11:51:00,email,medium,access,SMB,Central,26.97,0,4,78
TCK-00064,2026-01-16 18:48:00,web,medium,access,Enterprise,North-West,17.07,0,5,77
TCK-00065,2026-01-17 12:44:00,chat,low,billing,SMB,Volga,10.65,0,4,35
TCK-00066,2026-01-17 20:00:00,phone,low,technical,Enterprise,Central,20.01,0,4,59
TCK-00067,2026-01-18 08:35:00,chat,low,access,SMB,Central,8.95,0,4,19
TCK-00068,2026-01-18 18:59:00,chat,medium,delivery,B2C,Siberia,13.55,0,4,39
TCK-00069,2026-01-18 13:57:00,email,high,technical,SMB,Central,8.71,0,3,100
TCK-00070,2026-01-19 19:43:00,email,medium,billing,Enterprise,North-West,9.71,0,5,152
TCK-00071,2026-01-19 12:22:00,chat,medium,product,B2C,Central,5.77,0,3,42
TCK-00072,2026-01-19 12:16:00,web,low,billing,SMB,Siberia,10.69,0,4,44
TCK-00073,2026-01-19 20:06:00,email,medium,product,SMB,North-West,8.75,0,4,94
TCK-00074,2026-01-19 21:18:00,web,critical,product,B2C,Central,9.39,1,3,40
TCK-00075,2026-01-19 15:44:00,email,low,billing,SMB,Volga,9.31,0,4,96
TCK-00076,2026-01-19 13:15:00,email,high,billing,Enterprise,Central,5.88,0,4,105
TCK-00077,2026-01-19 18:14:00,phone,high,product,B2C,Volga,1.27,0,4,57
TCK-00078,2026-01-19 13:07:00,chat,medium,technical,B2C,North-West,4.73,0,5,64
TCK-00079,2026-01-19 10:55:00,chat,low,technical,B2C,Central,6.45,0,4,40
TCK-00080,2026-01-19 19:09:00,email,critical,delivery,SMB,North-West,25.42,1,3,119
TCK-00081,2026-01-19 15:26:00,chat,medium,delivery,B2C,South,4.33,0,4,30
TCK-00082,2026-01-19 10:55:00,chat,low,billing,SMB,North-West,1.86,0,3,27
TCK-00083,2026-01-20 18:39:00,chat,high,delivery,Enterprise,Volga,18.22,0,4,58
TCK-00084,2026-01-20 10:38:00,chat,medium,technical,Enterprise,North-West,3.79,0,5,35
TCK-00085,2026-01-20 19:11:00,phone,medium,access,B2C,Central,3.96,0,4,36
TCK-00086,2026-01-20 18:12:00,email,low,technical,SMB,South,10.19,0,4,55
TCK-00087,2026-01-20 15:01:00,chat,low,product,B2C,Volga,2.31,0,5,24
TCK-00088,2026-01-20 19:20:00,web,low,technical,B2C,Volga,2.34,0,5,37
TCK-00089,2026-01-21 13:00:00,chat,low,delivery,SMB,Central,1.73,0,4,33
TCK-00090,2026-01-21 08:25:00,email,medium,product,B2C,Central,17.77,0,4,102
TCK-00091,2026-01-21 10:25:00,web,medium,billing,SMB,Central,4.97,0,4,58
TCK-00092,2026-01-21 12:19:00,web,medium,billing,SMB,South,17.07,0,3,64
TCK-00093,2026-01-21 11:44:00,phone,high,delivery,B2C,Central,6.95,0,4,56
TCK-00094,2026-01-21 11:00:00,email,low,technical,B2C,Central,2.84,0,5,90
TCK-00095,2026-01-21 14:49:00,email,low,product,SMB,Volga,16.17,0,4,96
TCK-00096,2026-01-21 16:12:00,chat,medium,technical,B2C,Central,4.76,0,5,28
TCK-00097,2026-01-21 10:26:00,web,medium,product,B2C,Volga,7.01,0,3,10
TCK-00098,2026-01-22 11:45:00,email,medium,technical,B2C,North-West,1.52,0,5,101
TCK-00099,2026-01-22 08:12:00,email,medium,access,B2C,Central,5.52,0,5,92
TCK-00100,2026-01-22 14:11:00,chat,high,billing,B2C,Volga,3.09,0,4,11
TCK-00101,2026-01-22 11:03:00,email,low,product,B2C,North-West,20.6,0,4,86
TCK-00102,2026-01-22 13:07:00,web,low,billing,B2C,Volga,11.46,0,5,62
TCK-00103,2026-01-22 20:48:00,email,medium,technical,Enterprise,Volga,6.68,0,5,96
TCK-00104,2026-01-22 19:51:00,chat,low,technical,B2C,Central,1.48,0,5,53
TCK-00105,2026-01-22 21:34:00,web,high,technical,B2C,North-West,4.8,0,5,43
TCK-00106,2026-01-23 21:55:00,email,medium,delivery,B2C,Siberia,11.12,0,4,121
TCK-00107,2026-01-23 20:33:00,web,medium,billing,B2C,Volga,5.46,0,5,18
TCK-00108,2026-01-23 19:33:00,email,medium,technical,SMB,North-West,10.01,0,4,56
TCK-00109,2026-01-23 21:52:00,web,critical,product,B2C,Volga,1.44,0,3,50
TCK-00110,2026-01-24 08:01:00,phone,high,technical,B2C,Siberia,11.25,0,4,41
TCK-00111,2026-01-24 21:12:00,chat,medium,billing,B2C,North-West,4.29,0,5,15
TCK-00112,2026-01-24 21:52:00,chat,high,product,B2C,Volga,5.79,0,4,42
TCK-00113,2026-01-24 15:54:00,web,high,billing,SMB,Central,9.62,0,5,61
TCK-00114,2026-01-25 10:57:00,email,critical,technical,B2C,Central,34.33,1,4,67
TCK-00115,2026-01-25 13:32:00,web,high,billing,SMB,Volga,14.47,0,4,3
TCK-00116,2026-01-25 15:46:00,chat,low,technical,B2C,Central,1.62,0,5,25
TCK-00117,2026-01-25 20:58:00,email,critical,billing,B2C,South,31.58,1,3,86
TCK-00118,2026-01-25 15:48:00,chat,high,technical,SMB,Central,32.37,1,3,59
TCK-00119,2026-01-26 19:06:00,email,medium,billing,Enterprise,Central,2.14,0,2,87
TCK-00120,2026-01-26 11:13:00,chat,medium,technical,B2C,Volga,4.22,0,4,62
TCK-00121,2026-01-26 20:25:00,chat,low,delivery,SMB,Siberia,4.05,0,5,67
TCK-00122,2026-01-26 13:30:00,phone,critical,technical,B2C,Siberia,3.77,0,5,23
TCK-00123,2026-01-26 15:06:00,email,medium,delivery,Enterprise,Central,2.66,0,5,103
TCK-00124,2026-01-26 19:28:00,web,medium,access,B2C,North-West,8.19,0,4,54
TCK-00125,2026-01-26 09:48:00,phone,low,technical,SMB,Siberia,1.93,0,5,78
TCK-00126,2026-01-26 10:16:00,chat,medium,billing,SMB,Central,6.19,0,3,2
TCK-00127,2026-01-26 16:59:00,phone,high,technical,SMB,Siberia,9.28,0,4,76
TCK-00128,2026-01-26 16:50:00,chat,medium,technical,B2C,Volga,16.02,0,3,4
TCK-00129,2026-01-27 08:40:00,email,low,product,B2C,Siberia,2.89,0,4,92
TCK-00130,2026-01-27 12:57:00,email,medium,delivery,B2C,Central,7.96,0,4,95
TCK-00131,2026-01-27 16:34:00,phone,low,delivery,B2C,Central,0.39,0,5,52
TCK-00132,2026-01-27 10:11:00,email,medium,delivery,B2C,Central,4.91,0,4,91
TCK-00133,2026-01-27 21:43:00,web,medium,technical,Enterprise,Central,9.14,0,4,29
TCK-00134,2026-01-27 16:15:00,chat,low,delivery,Enterprise,Siberia,4.28,0,5,22
TCK-00135,2026-01-27 19:38:00,email,high,technical,B2C,Central,17.31,0,2,115
TCK-00136,2026-01-27 15:45:00,email,low,product,B2C,Volga,5.23,0,5,63
TCK-00137,2026-01-27 16:17:00,web,medium,delivery,SMB,Siberia,12.69,0,5,52
TCK-00138,2026-01-27 12:40:00,chat,medium,product,B2C,Volga,3.92,0,5,3
TCK-00139,2026-01-28 10:20:00,chat,critical,product,B2C,Siberia,18.77,1,2,29
TCK-00140,2026-01-28 19:51:00,phone,medium,technical,B2C,Central,7.1,0,3,45
TCK-00141,2026-01-28 13:46:00,web,medium,product,B2C,Volga,26.24,0,4,34
TCK-00142,2026-01-28 08:38:00,chat,medium,technical,B2C,North-West,9.36,0,5,2
TCK-00143,2026-01-28 19:10:00,email,critical,product,Enterprise,Central,6.27,0,5,83
TCK-00144,2026-01-28 08:37:00,email,low,delivery,SMB,Siberia,6.18,0,4,69
TCK-00145,2026-01-28 13:09:00,chat,medium,billing,SMB,Central,15.16,0,4,47
TCK-00146,2026-01-28 17:54:00,email,medium,technical,B2C,Volga,4.12,0,5,106
TCK-00147,2026-01-28 15:40:00,chat,medium,billing,SMB,Volga,2.34,0,5,13
TCK-00148,2026-01-28 08:45:00,chat,medium,billing,SMB,Volga,1.81,0,3,40
TCK-00149,2026-01-29 10:05:00,chat,critical,technical,B2C,Central,9.6,1,4,2
TCK-00150,2026-01-29 10:19:00,chat,low,product ,B2C,Volga,2.78,0,5,2
TCK-00151,2026-01-29 18:17:00,chat,medium,delivery,Enterprise,Central,6.91,0,5,46
TCK-00152,2026-01-29 13:31:00,chat,medium,product,Enterprise,Central,3.29,0,4,63
TCK-00153,2026-01-29 09:33:00,web,medium,technical,B2C,Volga,6.9,0,4,81
TCK-00154,2026-01-29 08:13:00,email,low,billing,SMB,North-West,6.79,0,4,106
TCK-00155,2026-01-29 19:01:00,phone,low,billing,B2C,Volga,8.92,0,4,66
TCK-00156,2026-01-30 19:39:00,email,high,technical,B2C,Central,6.19,0,5,62
TCK-00157,2026-01-30 14:42:00,chat,low,billing,B2C,North-West,3.81,0,5,15
TCK-00158,2026-01-30 17:14:00,phone,medium,billing,B2C,Volga,4.81,0,4,63
TCK-00159,2026-01-31 10:54:00,web,high,billing,SMB,South,6.09,0,5,2
TCK-00160,2026-01-31 17:04:00,chat,medium,access,B2C,Volga,9.37,0,3,34
TCK-00161,2026-01-31 18:27:00,web,medium,technical,B2C,Central,3.11,0,4,83
TCK-00162,2026-01-31 09:41:00,web,low,access,Enterprise,Central,0.67,0,4,41
TCK-00163,2026-02-01 19:57:00,email,high,technical,SMB,North-West,10.24,0,4,83
TCK-00164,2026-02-01 10:26:00,email,medium,billing,B2C,Central,12.2,0,5,96
TCK-00165,2026-02-01 12:27:00,chat,medium,billing,B2C,Central,5.34,0,4,30
TCK-00166,2026-02-02 20:17:00,phone,high,billing,SMB,Siberia,13.38,0,4,94
TCK-00167,2026-02-02 10:00:00,chat,medium,billing,B2C,South,1.77,0,5,12
TCK-00168,2026-02-02 19:30:00,chat,low,billing,Enterprise,Central,3.03,0,4,35
TCK-00169,2026-02-02 13:51:00,email,medium,product,B2C,Central,8.22,0,5,86
TCK-00170,2026-02-03 14:27:00,phone,low,technical,B2C,Volga,1.24,0,5,63
TCK-00171,2026-02-03 17:44:00,chat,low,technical,B2C,Central,3.68,0,4,2
TCK-00172,2026-02-03 19:31:00,phone,critical,technical,B2C,North-West,41.37,1,3,51
TCK-00173,2026-02-03 11:11:00,email,low,technical,B2C,Central,5.16,0,5,78
TCK-00174,2026-02-04 09:46:00,phone,medium,delivery,Enterprise,North-West,14.97,0,5,22
TCK-00175,2026-02-04 18:47:00,phone,low,access,B2C,Siberia,10.96,0,5,58
TCK-00176,2026-02-04 08:52:00,email,medium,technical,B2C,North-West,7.65,0,4,104
TCK-00177,2026-02-04 16:33:00,chat,low,technical,B2C,North-West,4.78,0,4,77
TCK-00178,2026-02-04 11:49:00,web,high,billing,B2C,Central,21.34,0,4,103
TCK-00179,2026-02-04 15:30:00,phone,low,access,SMB,Central,5.29,0,5,35
TCK-00180,2026-02-04 14:09:00,email,low,access,SMB,North-West,9.95,0,5,105
TCK-00181,2026-02-05 09:39:00,web,low,access,B2C,Central,17.42,0,3,36
TCK-00182,2026-02-05 14:17:00,web,low,technical,B2C,Volga,2.18,0,3,58
TCK-00183,2026-02-05 21:46:00,email,medium,technical,B2C,Volga,7.56,0,4,89
TCK-00184,2026-02-05 19:27:00,phone,low,technical,SMB,South,16.79,0,4,55
TCK-00185,2026-02-05 16:50:00,phone,high,access,SMB,Siberia,4.08,0,5,65
TCK-00186,2026-02-05 12:12:00,chat,medium,billing,B2C,Volga,1.9,0,4,18
TCK-00187,2026-02-05 17:02:00,web,medium,access,B2C,Central,5.1,0,4,36
TCK-00188,2026-02-06 09:45:00,chat,low,technical,B2C,Central,4.76,0,4,51
TCK-00189,2026-02-06 19:34:00,web,low,billing,B2C,North-West,4.89,0,5,63
TCK-00190,2026-02-06 17:04:00,web,low,access,B2C,Central,10.69,0,5,71
TCK-00191,2026-02-06 18:14:00,web,low,billing,B2C,Siberia,3.43,0,4,89
TCK-00192,2026-02-06 09:53:00,web,low,delivery,B2C,North-West,6.89,0,5,62
TCK-00193,2026-02-06 20:21:00,chat,medium,technical,B2C,Central,6.79,0,5,38
TCK-00194,2026-02-06 12:45:00,web,low,billing,B2C,Central,23.56,0,5,70
TCK-00195,2026-02-06 21:15:00,phone,low,billing,SMB,South,3.13,0,5,66
TCK-00196,2026-02-06 18:17:00,phone,high,delivery,B2C,Volga,19.01,0,4,37
TCK-00197,2026-02-07 19:05:00,email,high,billing,B2C,Siberia,7.75,0,4,82
TCK-00198,2026-02-07 20:41:00,phone,high,delivery,SMB,Central,6.5,0,4,75
TCK-00199,2026-02-07 19:34:00,web,low,billing,B2C,North-West,3.41,0,4,65
TCK-00200,2026-02-07 08:36:00,phone,medium,delivery,SMB,Volga,1.5,0,4,12
TCK-00201,2026-02-08 13:31:00,chat,low,technical,SMB,Volga,11.83,0,5,55
TCK-00202,2026-02-08 08:48:00,web,medium,billing,B2C,Central,6.97,0,5,37
TCK-00203,2026-02-08 16:12:00,email,high,product,B2C,Volga,17.95,0,5,86
TCK-00204,2026-02-08 08:31:00,web,low,billing,Enterprise,South,7.64,0,3,21
TCK-00205,2026-02-08 21:12:00,email,high,billing,B2C,Volga,7.21,0,4,95
TCK-00206,2026-02-09 08:26:00,phone,low,billing,B2C,North-West,10.82,0,5,54
TCK-00207,2026-02-09 09:38:00,email,low,technical,B2C,North-West,0.48,0,5,104
TCK-00208,2026-02-09 11:30:00,chat,low,access,SMB,Siberia,8.16,0,4,65
TCK-00209,2026-02-09 13:32:00,web,low,technical,SMB,Siberia,1.13,0,3,51
TCK-00210,2026-02-09 10:09:00,email,low,billing,B2C,Central,11.32,0,4,97
TCK-00211,2026-02-09 21:56:00,email,low,product,B2C,North-West,7.45,0,4,109
TCK-00212,2026-02-09 08:21:00,email,low,access,B2C,Volga,4.88,0,4,102
TCK-00213,2026-02-09 12:52:00,chat,low,product,SMB,South,10.46,0,4,18
TCK-00214,2026-02-09 16:29:00,chat,low,technical,B2C,Central,4.04,0,4,20
TCK-00215,2026-02-09 21:34:00,email,high,billing,SMB,Siberia,17.77,0,4,120
TCK-00216,2026-02-10 15:48:00,web,medium,technical,B2C,North-West,5.55,0,5,24
TCK-00217,2026-02-10 09:28:00,chat,medium,technical,SMB,North-West,3.09,0,5,22
TCK-00218,2026-02-10 18:40:00,email,medium,technical,SMB,Central,8.55,0,4,93
TCK-00219,2026-02-10 21:23:00,web,high,billing,SMB,Central,18.59,0,3,53
TCK-00220,2026-02-10 15:38:00,phone,medium,product,B2C,Central,24.26,0,5,57
TCK-00221,2026-02-10 15:30:00,email,medium,product,B2C,Volga,9.74,0,3,88
TCK-00222,2026-02-10 17:17:00,phone,low,technical,Enterprise,Central,10.58,0,4,63
TCK-00223,2026-02-10 15:10:00,chat,medium,access,B2C,Siberia,3.97,0,5,8
TCK-00224,2026-02-10 09:04:00,chat,low,billing,SMB,Siberia,4.21,0,5,52
TCK-00225,2026-02-10 08:04:00,chat,medium,product,B2C,Central,10.29,0,2,42
TCK-00226,2026-02-10 16:21:00,email,medium,product,B2C,Siberia,6.34,0,5,97
TCK-00227,2026-02-11 15:37:00,email,medium,product,SMB,Volga,6.42,0,5,139
TCK-00228,2026-02-11 16:43:00,email,medium,billing,B2C,Central,14.21,0,4,108
TCK-00229,2026-02-11 09:55:00,email,medium,technical,SMB,North-West,11.22,0,3,82
TCK-00230,2026-02-11 09:13:00,phone,medium,billing,SMB,Volga,13.02,0,4,65
TCK-00231,2026-02-11 13:25:00,chat,low,technical,B2C,Siberia,1.47,0,5,44
TCK-00232,2026-02-11 12:48:00,email,medium,technical,B2C,North-West,18.21,0,5,85
TCK-00233,2026-02-11 15:06:00,phone,medium,technical,B2C,Central,4.84,0,4,37
TCK-00234,2026-02-11 20:07:00,email,medium,technical,B2C,Central,4.2,0,4,85
TCK-00235,2026-02-11 12:13:00,email,low,technical,B2C,Volga,6.58,0,4,95
TCK-00236,2026-02-12 12:58:00,web,low,product,B2C,Volga,7.28,0,4,36
TCK-00237,2026-02-12 11:51:00,chat,medium,technical,B2C,Central,5.63,0,4,33
TCK-00238,2026-02-12 14:21:00,phone,low,access,SMB,Volga,2.14,0,5,82
TCK-00239,2026-02-12 17:00:00,phone,medium,technical,B2C,Central,0.5,0,5,40
TCK-00240,2026-02-12 21:09:00,chat,low,delivery,Enterprise,Siberia,7.49,0,4,29
TCK-00241,2026-02-12 17:58:00,email,low,billing,Enterprise,Siberia,2.64,0,5,79
TCK-00242,2026-02-12 11:07:00,email,medium,billing,B2C,Volga,15.05,0,4,104
TCK-00243,2026-02-12 18:36:00,phone,high,access,B2C,Central,26.68,1,4,42
TCK-00244,2026-02-12 20:33:00,chat,medium,delivery,B2C,Volga,1.36,0,5,50
TCK-00245,2026-02-13 14:41:00,email,medium,technical,Enterprise,Siberia,14.1,0,5,73
TCK-00246,2026-02-13 10:18:00,email,medium,delivery,B2C,Volga,7.69,0,4,72
TCK-00247,2026-02-13 09:42:00,phone,low,technical,B2C,South,15.28,0,4,54
TCK-00248,2026-02-13 10:27:00,web,medium,technical,SMB,South,7.34,0,5,53
TCK-00249,2026-02-13 10:09:00,chat,medium,access,B2C,Volga,12.86,0,5,46
TCK-00250,2026-02-13 10:43:00,web,low,technical,B2C,Central,8.49,0,5,67
TCK-00251,2026-02-13 18:16:00,web,high,technical,SMB,Volga,19.51,0,4,47
TCK-00252,2026-02-14 21:57:00,email,low,technical,B2C,Central,1.52,0,5,93
TCK-00253,2026-02-14 17:15:00,email,medium,billing,Enterprise,Central,5.15,0,4,92
TCK-00254,2026-02-14 19:19:00,phone,low,technical,B2C,Central,11.1,0,4,38
TCK-00255,2026-02-14 17:02:00,phone,high,technical,Enterprise,Central,27.54,1,3,58
TCK-00256,2026-02-14 11:49:00,chat,low,billing,Enterprise,Central,6.07,0,4,57
TCK-00257,2026-02-14 14:19:00,EMAIL,medium,technical,B2C,Central,8.36,0,3,108
TCK-00258,not_a_date,web,low,delivery,SMB,Volga,3.14,0,4,78
TCK-00259,2026-02-14 18:21:00,phone,critical,access,B2C,Siberia,11.51,1,3,57
TCK-00260,2026-02-14 10:08:00,email,low,billing,SMB,Siberia,11.1,0,3,80
TCK-00261,2026-02-15 15:55:00,web,medium,product,Enterprise,Volga,5.49,0,4,45
TCK-00262,2026-02-15 19:44:00,chat,medium,delivery,SMB,Central,3.03,0,5,27
TCK-00263,2026-02-15 21:40:00,phone,medium,access,B2C,Siberia,7.99,0,5,41
TCK-00264,2026-02-15 11:17:00,chat,low,billing,B2C,South,5.65,0,4,19
TCK-00265,2026-02-16 08:04:00,phone,low,technical,B2C,Central,1.9,0,3,30
TCK-00266,2026-02-16 12:35:00,email,medium,product,B2C,South,6.02,0,5,84
TCK-00267,2026-02-16 08:16:00,chat,low,billing,SMB,Central,8.75,0,5,33
TCK-00268,2026-02-16 15:29:00,email,medium,technical,SMB,Volga,17.3,0,3,65
TCK-00269,2026-02-16 09:43:00,email,high,technical,B2C,South,15.76,0,3,122
TCK-00270,2026-02-16 14:03:00,web,high,technical,SMB,Central,4.21,0,5,59
TCK-00271,2026-02-16 21:24:00,chat,medium,delivery,SMB,Siberia,12.59,0,4,52
TCK-00272,2026-02-16 15:52:00,email,low,technical,B2C,North-West,2.03,0,5,86
TCK-00273,2026-02-16 20:46:00,email,medium,access,SMB,Volga,7.71,0,5,74
TCK-00274,2026-02-16 10:40:00,chat,low,access,B2C,Volga,8.26,0,5,10
TCK-00275,2026-02-16 08:53:00,email,medium,access,B2C,North-West,4.4,0,4,93
TCK-00276,2026-02-17 20:08:00,phone,medium,product,B2C,Central,12.21,0,5,42
TCK-00277,2026-02-17 15:50:00,email,low,access,SMB,Central,8.14,0,4,82
TCK-00278,2026-02-17 15:30:00,email,medium,billing,SMB,Central,7.29,0,4,65
TCK-00279,2026-02-17 09:24:00,email,high,product,B2C,Volga,11.68,0,5,96
TCK-00280,2026-02-17 18:04:00,web,medium,technical,Enterprise,Central,6.24,0,3,53
TCK-00281,2026-02-17 10:20:00,email,low,billing,B2C,Siberia,6.6,0,3,67
TCK-00282,2026-02-17 12:56:00,chat,low,billing,Enterprise,Siberia,4.2,0,4,68
TCK-00283,2026-02-17 13:18:00,email,low,delivery,SMB,Volga,2.58,0,5,76
TCK-00284,2026-02-18 13:07:00,chat,medium,billing,SMB,Volga,4.44,0,5,37
TCK-00285,2026-02-18 08:34:00,chat,medium,billing,SMB,Volga,7.74,0,3,49
TCK-00286,2026-02-18 08:32:00,web,high,delivery,SMB,Central,12.62,0,4,90
TCK-00287,2026-02-18 21:29:00,chat,medium,billing,B2C,Siberia,3.05,0,5,47
TCK-00288,2026-02-18 12:53:00,phone,low,access,B2C,Central,7.55,0,3,31
TCK-00289,2026-02-18 17:33:00,chat,critical,billing,SMB,Siberia,2.77,0,3,44
TCK-00290,2026-02-18 09:54:00,web,medium,technical,SMB,North-West,14.77,0,5,70
TCK-00291,2026-02-18 20:26:00,web,low,delivery,B2C,Central,3.89,0,5,54
TCK-00292,2026-02-18 13:54:00,email,medium,delivery,B2C,Volga,2.44,0,5,91
TCK-00293,2026-02-18 14:59:00,phone,low,delivery,B2C,Central,5.74,0,4,53
TCK-00294,2026-02-18 16:11:00,email,high,billing,B2C,Central,27.71,1,3,67
TCK-00295,2026-02-18 11:57:00,chat,medium,technical,B2C,Central,8.88,0,4,20
TCK-00296,2026-02-18 10:06:00,chat,high,access,SMB,Central,17.21,0,3,21
TCK-00297,2026-02-18 17:01:00,web,low,delivery,B2C,Central,7.29,0,3,57
TCK-00298,2026-02-18 20:18:00,chat,low,product,B2C,Central,6.31,0,4,41
TCK-00299,2026-02-19 19:36:00,email,low,technical,B2C,North-West,6.15,0,5,94
TCK-00300,2026-02-19 21:25:00,chat,low,billing,SMB,Central,0.75,0,3,78
TCK-00301,2026-02-19 19:32:00,chat,medium,billing,SMB,Central,5.72,0,4,24
TCK-00302,2026-02-19 15:03:00,chat,high,billing,B2C,Volga,8.78,0,4,23
TCK-00303,2026-02-19 20:49:00,web,medium,product,SMB,Siberia,12.55,0,4,43
TCK-00304,2026-02-19 19:57:00,chat,high,technical,SMB,Siberia,1.94,0,4,23
