contact_id,contact_date,channel,campaign_type,customer_segment,device_type,ad_cost_rub,clicked,converted,revenue_rub
MKT005715,2025-03-27,Медийная реклама,Имиджевая кампания,Повторный,Планшет,6.84,0,0,5285.0
MKT002131,2025-05-09,Поисковая реклама,Ретаргетинг,Повторный,Мобильное устройство,21.68,0,0,0.0
MKT006564,2025-08-27,Email,Ретаргетинг,Новый,Мобильное устройство,2.66,0,0,0.0
MKT004777,2025-11-19,Email,Программа лояльности,Лояльный,Мобильное устройство,2.25,0,0,0.0
MKT004291,2025-09-09,Email,Программа лояльности,Повторный,мобильное ,1.16,0,0,0.0
MKT005500,2025-05-10,Медийная реклама,Ретаргетинг,Повторный,Компьютер,5.73,0,0,0.0
MKT001625,2025-02-01,Поисковая реклама,Имиджевая кампания,Новый,Компьютер,20.75,1,1,1942.26
MKT006128,2025-02-06,Email,Ретаргетинг,Новый,Мобильное устройство,3.02,0,0,0.0
MKT000150,2025-05-17,Email,Имиджевая кампания,Лояльный,Мобильное устройство,2.59,0,0,0.0
MKT009355,2025-04-12,Социальные сети,Программа лояльности,Повторный,Компьютер,7.24,0,0,0.0
MKT007003,2025-02-11,Социальные сети,Программа лояльности,Повторный,Мобильное устройство,7.22,0,0,0.0
MKT002313,2025-07-02,Социальные сети,Ретаргетинг,Новый,Компьютер,10000.0,1,0,0.0
MKT002397,2025-09-12,Email,Программа лояльности,Повторный,Мобильное устройство,1.31,1,1,5230.02
MKT005087,2025-07-13,Поисковая реклама,Программа лояльности,Повторный,Компьютер,21.22,0,0,0.0
MKT003969,2025-09-12,Социальные сети,Новый продукт,Новый,Компьютер,12.64,0,0,0.0
MKT002714,2025-05-24,Push,Программа лояльности,Повторный,Мобильное устройство,1.27,0,0,0.0
MKT000479,2025-06-19,Email,Ретаргетинг,Повторный,Мобильное устройство,2.0,0,0,0.0
MKT006851,2025-01-30,Поисковая реклама,Имиджевая кампания,Лояльный,Планшет,25.3,0,0,0.0
MKT005531,2025-09-22,Email,Программа лояльности,Лояльный,Мобильное устройство,1.96,0,0,0.0
MKT009431,2025-07-08,Медийная реклама,Имиджевая кампания,Повторный,Планшет,10.35,0,0,0.0
MKT009373,2025-08-27,Социальные сети,Имиджевая кампания,Новый,Мобильное устройство,6.74,0,0,0.0
MKT004485,2025-03-12,Email,Ретаргетинг,Повторный,Мобильное устройство,2.22,0,0,0.0
MKT001474,2025-12-03,Email,Ретаргетинг,Повторный,Мобильное устройство,2.31,0,0,0.0
MKT006980,2025-03-17,Медийная реклама,Имиджевая кампания,Новый,Мобильное устройство,10.28,0,0,0.0
MKT005729,27.01.2025,Email, имиджевая кампания ,Лояльный,Мобильное устройство,2.39,0,0,0.0
MKT009427,2025-02-14,Email,Имиджевая кампания,Повторный,Мобильное устройство,1.84,0,0,0.0
MKT004154,2025-09-16,Поисковая реклама,Ретаргетинг,Новый,Мобильное устройство,21.19,0,0,0.0
MKT009688,2025-06-13,Push,Ретаргетинг,Новый,Компьютер,1.37,0,0,0.0
MKT009048,2025-09-16,Email,Новый продукт,Новый,Мобильное устройство,2.78,0,0,0.0
MKT001371,2025-05-18,Социальные сети,Ретаргетинг,Повторный,Мобильное устройство,6.15,0,0,0.0
MKT000822,2025-02-06,Медийная реклама,Новый продукт,Новый,Мобильное устройство,5.91,0,0,0.0
MKT003625,2025-11-30,Email,Сезонная акция,Повторный,Компьютер,2.86,0,0,0.0
MKT000882,2025-11-09,Поисковая реклама,Имиджевая кампания,Лояльный,Компьютер,16.99,0,0,0.0
MKT006060,2025-12-17,Email,Сезонная акция,Лояльный,Мобильное устройство,2.14,0,0,0.0
MKT003565,2025-10-31,Email,Ретаргетинг,Повторный,Мобильное устройство,1.91,0,0,0.0
MKT007951,2025-11-19,Email,Новый продукт,Повторный,Компьютер,3.74,0,0,0.0
MKT003848,2025-03-21,Социальные сети,Сезонная акция,Повторный,Мобильное устройство,8.59,0,0,0.0
MKT006291,2025-09-17,Поисковая реклама,Имиджевая кампания,Лояльный,Мобильное устройство,19.1,1,0,0.0
MKT008023,2025-11-10,Медийная реклама,Сезонная акция,Новый,Мобильное устройство,6.28,0,0,0.0
MKT002968,2025-08-12,Социальные сети,Имиджевая кампания,Новый,Мобильное устройство,12.98,0,0,0.0
MKT000827,2025-12-15,Push,Имиджевая кампания,Лояльный,Мобильное устройство,2.71,0,0,0.0
MKT008536,2025-09-11,Социальные сети,Новый продукт,Повторный,Компьютер,9.98,0,0,0.0
MKT003134,2025-11-24,Медийная реклама,Сезонная акция,Повторный,Компьютер,8.47,0,0,0.0
MKT004335,2025-08-10,соцсети,Имиджевая кампания,Лояльный,Мобильное устройство,10.66,0,0,0.0
MKT007367,2025-11-29,Поисковая реклама,Сезонная акция,Лояльный,Компьютер,15.3,0,0,0.0
MKT003025,2025-10-12,Социальные сети,Имиджевая кампания,Новый,Компьютер,11.99,0,0,0.0
MKT005397,2025-02-04,Push,Ретаргетинг,Новый,Мобильное устройство,1.56,0,0,0.0
MKT004806,2025-03-22,Социальные сети,Программа лояльности,Повторный,Мобильное устройство,6.14,0,0,0.0
MKT001698,2025-06-30,Email,Программа лояльности,Новый,Планшет,1.41,0,0,0.0
MKT008635,2025-09-06,Медийная реклама,Новый продукт,Повторный,Мобильное устройство,9.26,0,0,0.0
MKT007907,2025-09-20,Социальные сети,Сезонная акция,Повторный,Мобильное устройство,13.31,2,0,0.0
MKT004858,2025-05-27,Социальные сети,Сезонная акция,Новый,Мобильное устройство,11.74,0,0,0.0
MKT008753,2025-08-14,Поисковая реклама,Программа лояльности,Повторный,Мобильное устройство,11.6,0,0,0.0
MKT002016,2025-12-07,Поисковая реклама,Новый продукт,Новый,Компьютер,26.68,0,0,0.0
MKT004533,2025-04-23,Социальные сети,Программа лояльности,Новый,Компьютер,7.99,0,0,0.0
MKT004379,2025-05-12,Поисковая реклама,Новый продукт,Повторный,Мобильное устройство,17.68,0,0,0.0
MKT004800,2025-07-28,Социальные сети,Сезонная акция,Лояльный,Мобильное устройство,7.05,0,0,0.0
MKT000522,2025-05-27,Email,Сезонная акция,Повторный,Мобильное устройство,2.64,0,0,0.0
MKT001075,2025-11-09,Социальные сети,Сезонная акция,Повторный,Мобильное устройство,10.1,0,0,0.0
MKT004184,2025-07-22,Push,Сезонная акция,Новый,Мобильное устройство,1.95,0,0,0.0
MKT005115,2025-07-29,Push,Имиджевая кампания,Новый,Компьютер,1.27,0,0,0.0
MKT007189,2025-04-28,Поисковая реклама,Ретаргетинг,Новый,Мобильное устройство,13.44,1,0,0.0
MKT003113,10.07.2025,Email,Программа лояльности,Лояльный,Мобильное устройство,1.47,0,0,0.0
MKT009352,2025-04-15,Поисковая реклама,Ретаргетинг,Новый,Мобильное устройство,30.27,0,0,0.0
MKT001398,2025-11-03,Социальные сети,Программа лояльности,Лояльный,Мобильное устройство,8.97,0,0,0.0
MKT006644,2025-11-24,Поисковая реклама,Ретаргетинг,Повторный,Мобильное устройство,18.09,0,0,0.0
MKT007762,2025-02-04,Email,Ретаргетинг,Лояльный,Мобильное устройство,2.15,0,0,0.0
MKT008008,2025-11-14,Поисковая реклама,Ретаргетинг,Новый,Компьютер,16.94,0,0,0.0
MKT003769,2025-03-21,Поисковая реклама,Новый продукт,Новый,Мобильное устройство,19.64,0,0,0.0
MKT008114,2025-09-25,Push,Ретаргетинг,Повторный,Мобильное устройство,1.79,0,0,0.0
MKT007809,2025-02-26,Поисковая реклама,Новый продукт,Лояльный,Мобильное устройство,24.13,0,0,0.0
MKT009566,2025-08-04,Email,Программа лояльности,Лояльный,Мобильное устройство,1.59,1,1,8538.13
MKT006891,2025-10-19,Поисковая реклама,Новый продукт,Новый,мобильное ,21.65,1,0,0.0
MKT008711,2025-10-20,Email,Ретаргетинг,Новый,Мобильное устройство,2.58,0,0,0.0
MKT008842,2025-03-13,Социальные сети,Новый продукт,Повторный,Компьютер,13.46,0,0,0.0
MKT008867,2025-08-07,Социальные сети,Программа лояльности,Новый,Мобильное устройство,10.25,0,0,0.0
MKT009297,2025-06-06,Социальные сети,Программа лояльности,Повторный,Компьютер,6.5,0,0,0.0
MKT009770,2025-12-28,Push,Новый продукт,Лояльный,Компьютер,1.12,0,0,0.0
MKT006381,2025-02-17,Поисковая реклама,Новый продукт,Новый,Компьютер,26.15,0,0,0.0
MKT000364,2025-03-19,Медийная реклама,Программа лояльности,Лояльный,Компьютер,5.16,0,0,0.0
MKT009862,2025-10-13,Социальные сети,Сезонная акция,Новый,Мобильное устройство,10.75,0,0,0.0
MKT008246,2025-06-08,Социальные сети,Программа лояльности,Повторный,Мобильное устройство,10.42,0,0,0.0
MKT007108,2025-01-03,Социальные сети,Сезонная акция,Новый,Мобильное устройство,14.67,0,0,0.0
MKT008960,2025-08-23,Push,Имиджевая кампания,Новый,Мобильное устройство,1.36,0,0,0.0
MKT001351,2025-03-05,Поисковая реклама,Ретаргетинг,Повторный,Компьютер,17.35,1,0,0.0
MKT001546,2025-01-08,Push,Новый продукт,Новый,Мобильное устройство,2.15,0,0,0.0
MKT008846,2025-11-27,Поисковая реклама,Ретаргетинг,Повторный,Мобильное устройство,17.82,1,1,3436.81
MKT005343,2025-03-17,Медийная реклама,Сезонная акция,Повторный,Компьютер,7.4,0,0,0.0
MKT009835,2025-09-28,Email,Ретаргетинг,Повторный,Компьютер,1.85,1,0,
MKT008814,2025-03-23,Email,Новый продукт,Лояльный,Планшет,3.96,0,0,0.0
MKT001933,2025-05-20,Медийная реклама,Имиджевая кампания,Повторный,Мобильное устройство,7.04,0,0,0.0
MKT005535,2025-06-22,Социальные сети,Ретаргетинг,Новый,Мобильное устройство,5.83,0,0,0.0
MKT009443,2025-02-25,Email,Программа лояльности,Повторный,Мобильное устройство,2.61,0,0,0.0
MKT002116,2025-08-18,Поисковая реклама,Новый продукт,Повторный,Компьютер,21.58,1,0,0.0
MKT007810,2025-03-08,Email,Сезонная акция,Повторный,Мобильное устройство,1.75,1,0,0.0
MKT003004,2025-02-08,Медийная реклама,Сезонная акция,Новый,Мобильное устройство,9.14,0,0,0.0
MKT001352,2025-02-09,Email,Сезонная акция,Повторный,Мобильное устройство,1.82,0,0,0.0
MKT000299,2025-10-27,Push,Программа лояльности,Лояльный,Компьютер,1.49,0,0,0.0
MKT000877,2025-04-26,Социальные сети,Программа лояльности,Новый,Компьютер,6.41,0,0,0.0
MKT001708,2025-06-23,Поисковая реклама,Имиджевая кампания,Лояльный,Мобильное устройство,27.17,1,0,0.0
MKT009545,2025-10-26,Медийная реклама,Ретаргетинг,Лояльный,Компьютер,6.57,1,1,9202.59
MKT003741,2025-08-24,Поисковая реклама,Сезонная акция,Повторный,Мобильное устройство,31.09,0,0,0.0
MKT003839,2025-01-09,Email,Ретаргетинг,Новый,Мобильное устройство,2.44,0,0,0.0
MKT002703,2025-11-12,Социальные сети,Сезонная акция,Повторный,Планшет,8.92,0,0,0.0
MKT003274,04.03.2025,Медийная реклама,Ретаргетинг,Лояльный,Мобильное устройство,6.1,0,0,0.0
MKT009864,2025-06-01,Email,Ретаргетинг,Повторный,Мобильное устройство,3.0,0,0,0.0
MKT001989,2025-12-15,соцсети,Имиджевая кампания,Новый,Мобильное устройство,11.5,0,0,0.0
MKT008556,2025-02-10,Социальные сети,Новый продукт,Повторный,Мобильное устройство,11.69,0,0,0.0
MKT009514,2025-03-27,Социальные сети,Имиджевая кампания,Новый,Мобильное устройство,11.52,0,0,0.0
MKT007625,2025-03-03,Push,Новый продукт,Лояльный,Мобильное устройство,1.57,0,0,0.0
MKT005261,2025-12-09,Медийная реклама,Новый продукт,Повторный,Компьютер,8.83,0,0,0.0
MKT006648,2025-05-31,Email,Сезонная акция,Новый,Компьютер,1.96,0,0,0.0
MKT000231,2025-07-15,Email,Ретаргетинг,Лояльный,Мобильное устройство,1.49,0,0,0.0
MKT008921,2025-08-03,Социальные сети,Программа лояльности,Новый,Мобильное устройство,7.81,1,0,0.0
MKT007786,2025-12-18,Поисковая реклама,Имиджевая кампания,Лояльный,Компьютер,18.76,0,0,0.0
MKT002476,2025-08-16,Поисковая реклама,Имиджевая кампания,Повторный,Компьютер,27.42,0,0,0.0
MKT006519,2025-07-26,Push,Программа лояльности,Лояльный,Мобильное устройство,1.36,0,0,0.0
MKT004064,2025-11-12,Email,Программа лояльности,Повторный,Мобильное устройство,2.2,1,1,6452.08
MKT008763,2025-06-24,Медийная реклама,Ретаргетинг,Повторный,Мобильное устройство,6.04,1,0,0.0
MKT004961,2025-05-09,Email,Новый продукт,Лояльный,Мобильное устройство,2.44,0,0,0.0
MKT003555,2025-04-14,Поисковая реклама,Новый продукт,Новый,Мобильное устройство,24.44,0,0,0.0
MKT002189,2025-01-06,Поисковая реклама,Новый продукт,Новый,Мобильное устройство,27.35,0,0,0.0
MKT004825,2025-01-19,Email,Новый продукт,Повторный,Мобильное устройство,2.26,0,0,0.0
MKT004076,2025-06-03,Email,Сезонная акция,Новый,Мобильное устройство,2.84,0,0,0.0
MKT002078,2025-12-20,Социальные сети,Сезонная акция,Новый,Мобильное устройство,18.35,0,0,0.0
MKT005089,2025-11-12,Push,Имиджевая кампания,Повторный,Компьютер,1.36,0,0,0.0
MKT003342,2025-07-07,Email,Сезонная акция,Новый,Мобильное устройство,1.82,1,1,3494.62
MKT002362,2025-09-22,Социальные сети,Сезонная акция,Лояльный,Мобильное устройство,8.57,0,0,0.0
MKT001203,2025-12-07,Медийная реклама,Сезонная акция,Повторный,Компьютер,6.86,0,0,0.0
MKT003311,2025-02-12,Email,Имиджевая кампания,Повторный,Компьютер,2.18,0,0,0.0
MKT001221,2025-02-19,Поисковая реклама,Новый продукт,Новый,Мобильное устройство,30.65,0,0,0.0
MKT001364,2025-05-24,Социальные сети,Ретаргетинг,Лояльный,Мобильное устройство,9.62,0,0,0.0
MKT003420,2025-08-11,Email,Программа лояльности,Повторный,мобильное ,1.61,0,0,0.0
MKT007901,2025-06-30,Email,Новый продукт,Новый,Мобильное устройство,3.85,0,0,0.0
MKT008368,2025-04-02,Email,Ретаргетинг,Повторный,Мобильное устройство,2.56,0,0,0.0
MKT005561,2025-02-14,Социальные сети,Имиджевая кампания,Повторный,Мобильное устройство,9.53,0,0,0.0
MKT008267,2025-08-15,Email,Ретаргетинг,Повторный,Мобильное устройство,1.3,0,0,0.0
MKT009155,2025-09-07,Email,Ретаргетинг,Повторный,Мобильное устройство,2.3,0,0,0.0
MKT008665,2025-10-19,Email,Ретаргетинг,Новый,Мобильное устройство,2.46,0,0,0.0
MKT008237,2025-03-14,Поисковая реклама,Ретаргетинг,Лояльный,Компьютер,10.32,0,0,0.0
MKT008568,2025-08-26,Медийная реклама,Ретаргетинг,Повторный,Мобильное устройство,5.7,0,0,0.0
MKT000798,2025-11-20,Email,Новый продукт,Повторный,Компьютер,2.34,0,0,0.0
MKT005325,2025-03-16,Поисковая реклама,Новый продукт,Повторный,Мобильное устройство,19.55,0,0,0.0
MKT009429,2025-05-18,Медийная реклама,Новый продукт,Повторный,Компьютер,8.47,0,0,0.0
MKT005679,2025-04-14,Email,Сезонная акция,Повторный,Планшет,2.84,0,0,0.0
MKT001646,2025-01-11,Социальные сети,Ретаргетинг,Повторный,Мобильное устройство,11.54,0,0,0.0
MKT003281,2025-07-26,Email,Имиджевая кампания,Повторный,Мобильное устройство,2.15,1,0,0.0
MKT006726,2025-11-11,Поисковая реклама,Ретаргетинг,Повторный,Компьютер,19.37,0,0,0.0
MKT000531,2025-01-08,Медийная реклама,Имиджевая кампания,Повторный,Мобильное устройство,4.31,0,0,0.0
MKT004888,2025-03-20,Медийная реклама,Имиджевая кампания,Новый,Мобильное устройство,6.6,0,0,0.0
MKT004004,2025-09-20,Медийная реклама,Сезонная акция,Новый,Компьютер,5.67,0,0,0.0
MKT007502,2025-11-05,Поисковая реклама,Ретаргетинг,Повторный,Компьютер,14.41,0,0,0.0
MKT009861,2025-08-14,Поисковая реклама,Новый продукт,Лояльный,Компьютер,31.2,1,0,0.0
MKT000156,2025-09-02,Медийная реклама,Сезонная акция,Лояльный,Планшет,9.67,0,0,0.0
MKT009802,2025-07-22,Поисковая реклама,Программа лояльности,Повторный,Мобильное устройство,20.74,0,0,0.0
MKT008095,2025-06-19,Медийная реклама,Новый продукт,Повторный,Мобильное устройство,5.87,0,0,0.0
MKT000390,2025-05-08,Push,Ретаргетинг,Новый,Планшет,1.04,0,0,0.0
MKT003343,2025-07-23,Email,Новый продукт,Повторный,Мобильное устройство,3.34,0,0,0.0
MKT008218,2025-12-04,Email,сезонная акция ,Лояльный,Мобильное устройство,1.93,0,0,0.0
MKT003238,2025-01-16,Поисковая реклама,Имиджевая кампания,Повторный,Компьютер,29.49,0,0,0.0
MKT002024,2025-07-03,Push,Программа лояльности,Лояльный,Мобильное устройство,1.11,0,0,0.0
MKT001029,2025-03-30,Email,Сезонная акция,Повторный,Компьютер,2.54,0,0,0.0
MKT004401,2025-01-17,Медийная реклама,Новый продукт,новый ,Мобильное устройство,6.79,0,0,0.0
MKT000571,2025-06-27,Социальные сети,Новый продукт,Новый,Компьютер,9.1,0,0,0.0
MKT002656,2025-08-22,Поисковая реклама,Сезонная акция,Повторный,Мобильное устройство,22.14,0,0,0.0
MKT001812,2025-08-01,Email,Сезонная акция,Повторный,Мобильное устройство,1.47,0,0,0.0
MKT009463,2025-11-16,Социальные сети,Ретаргетинг,Повторный,Компьютер,9.9,1,0,0.0
MKT001345,2025-03-29,Медийная реклама,Новый продукт,Повторный,Мобильное устройство,6.48,0,0,0.0
MKT001451,2025-03-07,Push,Имиджевая кампания,Лояльный,Компьютер,1.05,0,0,0.0
MKT008778,2025-04-25,Email,Имиджевая кампания,Лояльный,Мобильное устройство,2.14,0,0,0.0
MKT008548,2025-11-03,Email,Имиджевая кампания,Новый,Мобильное устройство,2.7,0,0,0.0
MKT009438,2025-10-08,Социальные сети,Новый продукт,Повторный,Мобильное устройство,11.27,0,0,0.0
MKT009933,2025-07-24,Социальные сети,Имиджевая кампания,Новый,Компьютер,12.93,0,0,0.0
MKT009598,21.10.2025,Медийная реклама,Имиджевая кампания,Повторный,Планшет,9.75,0,0,0.0
MKT000481,2025-10-26,Push,Ретаргетинг,Новый,Планшет,1.87,0,0,0.0
MKT003817,2025-10-07,Социальные сети,Ретаргетинг,Новый,Компьютер,7.49,0,0,0.0
MKT002160,2025-03-23,Поисковая реклама,Сезонная акция,Повторный,Компьютер,17.59,0,0,0.0
MKT005605,2025-01-18,Email,Имиджевая кампания,Новый,Мобильное устройство,2.55,0,0,0.0
MKT001918,2025-03-26, email ,Сезонная акция,Повторный,Компьютер,2.96,0,0,0.0
MKT008931,2025-08-15,Социальные сети,Имиджевая кампания,Новый,Мобильное устройство,14.11,0,0,0.0
MKT008265,2025-05-14,Социальные сети,Ретаргетинг,Повторный,Мобильное устройство,6.65,0,0,0.0
MKT000649,2025-04-16,Медийная реклама,Имиджевая кампания,Повторный,Мобильное устройство,9.09,0,0,0.0
MKT001457,2025-06-27,Email,Имиджевая кампания,Повторный,Компьютер,2.35,0,0,0.0
MKT002713,2025-10-21,Социальные сети,Сезонная акция,Повторный,Мобильное устройство,8.96,0,0,0.0
MKT001786,2025-02-04,Медийная реклама,Ретаргетинг,Новый,Мобильное устройство,5.81,0,0,0.0
MKT002840,2025-01-08,Email,Ретаргетинг,Повторный,Мобильное устройство,2.0,0,0,0.0
MKT002744,2025-10-27,Поисковая реклама,Ретаргетинг,Повторный,Мобильное устройство,28.11,-1,0,0.0
MKT008565,2025-05-19,Медийная реклама,Сезонная акция,Повторный,Мобильное устройство,8.36,0,0,0.0
MKT008078,2025-12-18,Email,Программа лояльности,Повторный,Мобильное устройство,1.79,0,0,0.0
MKT008719,2025-01-31,Email,Имиджевая кампания,Новый,Планшет,3.67,0,0,0.0
MKT002848,2025-06-23,Email,Ретаргетинг,Новый,Планшет,2.31,0,0,0.0
MKT005850,2025-12-09,Поисковая реклама,Программа лояльности,Повторный,Компьютер,18.91,0,0,0.0
MKT006808,2025-05-10,Поисковая реклама,Ретаргетинг,Новый,Мобильное устройство,18.46,0,0,0.0
MKT003261,2025-12-14,Социальные сети,Новый продукт,Новый,Мобильное устройство,12.37,0,0,0.0
MKT008135,2025-02-10,Медийная реклама,Сезонная акция,Новый,Планшет,6.9,0,0,0.0
MKT001744,2025-02-26,Email,Новый продукт,Повторный,Мобильное устройство,2.72,0,0,0.0
MKT004131,2025-02-22,Email,Ретаргетинг,Повторный,Мобильное устройство,2.17,1,0,0.0
MKT009911,2025-11-03,Медийная реклама,Ретаргетинг,Новый,Мобильное устройство,5.19,0,0,0.0
