client_id,client_segment,loyalty_level,registration_date
CL-00097,regular,none,2025-05-24
CL-00098,new,silver,2024-02-24
CL-00099,new,gold,2026-01-07
CL-00100,sleeping,silver,2025-04-16
CL-00101,sleeping,none,2025-04-16
CL-00102,regular,silver,2024-09-27
CL-00103,new,none,2024-09-08
CL-00104,sleeping,none,2024-10-03
CL-00105,regular,none,2024-02-08
CL-00106,regular,silver,2024-12-08
CL-00107,regular,none,2024-02-17
CL-00108,new,silver,2025-03-29
CL-00109,new,silver,2024-06-06
CL-00110,sleeping,gold,2025-04-13
CL-00111,regular,silver,2024-10-10
CL-00112,new,platinum,2024-07-30
CL-00113,new,silver,2024-04-20
CL-00114,regular,none,2024-10-18
CL-00115,new,none,2024-02-22
CL-00116,vip,none,2024-07-08
CL-00117,regular,none,2024-12-18
CL-00118,regular,none,2025-04-25
CL-00119,regular,none,2024-12-15
CL-00120,regular,silver,2024-03-18
CL-00121,regular,silver,2025-07-01
CL-00122,regular,none,2024-11-17
CL-00123,new,silver,2025-04-21
CL-00124,regular,none,2026-01-13
CL-00125,new,silver,2024-02-06
CL-00126,regular,silver,2026-01-21
CL-00127,new,none,2025-12-24
CL-00128,new,none,2025-01-28
CL-00129,new,platinum,2024-01-21
CL-00130,regular,silver,2024-07-07
CL-00131,new,silver,2024-06-20
CL-00132,sleeping,none,2025-03-19
CL-00133,regular,none,2025-06-09
CL-00134,new,none,2025-01-06
CL-00135,regular,platinum,2024-09-27
CL-00136,new,none,2024-02-02
CL-00137,sleeping,none,2025-12-14
CL-00138,regular,platinum,2026-01-21
CL-00139,regular,silver,2024-01-25
CL-00140,new,none,2024-09-05
CL-00141,regular,silver,2026-01-16
CL-00142,regular,silver,2024-10-30
CL-00143,sleeping,platinum,2025-04-18
CL-00144,regular,none,2025-01-25
CL-00145,regular,gold,2025-04-26
CL-00146,new,none,2025-10-31
CL-00147,new,gold,2024-10-15
CL-00148,regular,gold,2025-08-30
CL-00149,regular,gold,2024-12-12
CL-00150,new,gold,2024-06-05
CL-00151,vip,silver,2024-02-26
CL-00152,sleeping,none,2025-06-28
CL-00153,new,none,2025-04-02
CL-00154,regular,none,2025-10-26
CL-00155,new,silver,2024-06-27
CL-00156,regular,none,2025-06-26
CL-00157,new,silver,2024-01-18
CL-00158,regular,silver,2024-04-15
CL-00159,regular,platinum,2025-03-27
CL-00160,regular,silver,2025-02-13
CL-00161,new,gold,2025-03-26
CL-00162,sleeping,silver,2025-09-29
CL-00163,new,platinum,2025-09-25
CL-00164,new,gold,2024-05-28
CL-00165,regular,none,2024-06-02
CL-00166,regular,none,2025-02-13
CL-00167,vip,platinum,2025-12-28
CL-00168,vip,silver,2025-05-23
CL-00169,new,gold,2024-04-21
CL-00170,sleeping,gold,2025-04-27
CL-00171,new,silver,2024-09-13
CL-00172,regular,gold,2024-03-22
CL-00173,new,gold,2025-06-25
CL-00174,sleeping,gold,2024-07-29
CL-00175,new,none,2025-08-12
CL-00176,new,none,2025-02-23
CL-00177,regular,none,2024-12-05
CL-00178,sleeping,silver,2024-06-07
CL-00179,sleeping,gold,2024-08-10
CL-00180,regular,gold,2024-09-10
CL-00181,sleeping,silver,2025-06-10
CL-00182,sleeping,none,2024-11-11
CL-00183,regular,silver,2024-01-26
CL-00184,new,gold,2024-01-11
CL-00185,regular,silver,2024-07-27
CL-00186,regular,none,2025-01-22
CL-00187,regular,none,2024-09-10
CL-00188,new,silver,2026-01-26
CL-00189,regular,silver,2024-06-24
CL-00190,new,gold,2024-11-06
CL-00191,sleeping,platinum,2024-10-29
CL-00192,new,none,2024-07-27
CL-00193,new,none,2025-11-01
CL-00194,vip,none,2024-07-11
CL-00195,new,none,2024-01-09
CL-00196,new,silver,2025-01-26
CL-00197,regular,none,2025-04-27
CL-00198,vip,none,2024-12-12
CL-00199,new,gold,2024-11-16
CL-00200,new,none,2025-10-17
CL-00201,regular,gold,2024-10-11
CL-00202,sleeping,none,2025-04-30
CL-00203,regular,none,2025-09-28
CL-00204,new,none,2024-10-29
CL-00205,new,none,2025-02-14
CL-00206,new,none,2024-10-20
CL-00207,new,gold,2025-04-11
CL-00208,regular,gold,2025-02-19
CL-00209,new,none,2025-10-09
CL-00210,regular,none,2024-07-11
CL-00211,regular,none,2024-05-02
CL-00212,regular,gold,2024-11-17
CL-00213,new,none,2025-04-10
CL-00214,vip,none,2024-08-04
CL-00215,regular,gold,2026-01-28
CL-00216,regular,gold,2025-01-26
CL-00217,new,silver,2025-09-08
CL-00218,new,none,2025-02-19
CL-00219,sleeping,none,2024-10-25
CL-00220,regular,none,2025-10-05
CL-00221,new,silver,2024-04-29
CL-00222,regular,gold,2024-07-09
CL-00223,regular,none,2025-08-04
CL-00224,sleeping,gold,2025-11-18
CL-00225,new,silver,2024-08-09
CL-00226,sleeping,gold,2025-02-10
CL-00227,new,none,2025-01-04
CL-00228,regular,none,2025-07-06
CL-00229,regular,none,2025-01-14
CL-00230,new,silver,2025-04-09
CL-00231,new,none,2025-05-23
CL-00232,regular,none,2025-09-22
CL-00233,sleeping,gold,2024-04-15
CL-00234,regular,silver,2025-05-18
CL-00235,sleeping,silver,2024-05-17
CL-00236,vip,silver,2024-01-09
CL-00237,regular,silver,2025-06-28
CL-00238,regular,silver,2024-10-23
CL-00239,new,none,2025-06-28
CL-00240,new,none,2025-12-14
CL-00241,vip,silver,2024-04-07
CL-00242,regular,none,2024-12-09
CL-00243,new,silver,2024-03-16
CL-00244,regular,silver,2025-09-21
CL-00245,regular,none,2026-01-29
CL-00246,vip,gold,2025-10-22
CL-00247,regular,silver,2026-01-25
CL-00248,regular,silver,2024-09-09
CL-00249,regular,gold,2024-07-30
CL-00250,regular,none,2025-10-13
CL-00251,regular,none,2025-05-10
CL-00252,vip,none,2024-10-13
CL-00253,regular,silver,2024-06-08
CL-00254,new,none,2024-01-20
CL-00255,new,gold,2024-01-29
CL-00256,regular,none,2025-06-11
CL-00257,vip,silver,2024-07-19
CL-00258,new,silver,2025-09-15
CL-00259,new,none,2025-10-05
CL-00260,regular,silver,2024-12-09
CL-00261,new,silver,2024-08-15
CL-00262,vip,gold,2024-05-11
CL-00263,new,silver,2024-07-14
CL-00264,new,silver,2025-04-12
CL-00265,sleeping,silver,2025-07-28
CL-00266,new,silver,2025-07-15
CL-00267,new,none,2025-12-29
CL-00268,new,silver,2025-05-12
CL-00269,new,none,2025-01-21
CL-00270,new,silver,2024-09-27
CL-00271,new,none,2024-09-12
CL-00272,new,platinum,2024-10-06
CL-00273,new,none,2025-10-30
CL-00274,regular,none,2025-02-21
CL-00275,regular,none,2024-06-16
CL-00276,regular,none,2024-05-26
CL-00277,new,none,2024-01-22
CL-00278,regular,silver,2025-10-05
CL-00279,vip,none,2024-06-15
CL-00280,vip,none,2024-03-18
CL-00281,new,none,2024-08-08
CL-00282,new,none,2025-01-04
CL-00283,new,platinum,2025-12-30
CL-00284,new,none,2025-10-15
CL-00285,regular,gold,2024-05-09
CL-00286,regular,silver,2025-02-06
CL-00287,new,silver,2025-09-18
CL-00288,regular,gold,2025-08-01
CL-00289,regular,none,2024-12-22
CL-00290,new,gold,2024-07-01
CL-00291,vip,silver,2025-08-19
CL-00292,new,none,2024-12-04
CL-00293,sleeping,gold,2024-06-29
CL-00294,new,none,2025-06-25
CL-00295,vip,platinum,2025-11-01
CL-00296,sleeping,platinum,2025-11-06
CL-00297,sleeping,none,2025-12-13
CL-00298,vip,none,2025-05-03
CL-00299,regular,gold,2025-08-06
CL-00300,regular,none,2024-07-03
CL-00301,regular,silver,2024-09-03
CL-00302,new,none,2024-04-21
CL-00303,regular,none,2024-03-02
CL-00304,regular,silver,2025-10-01
CL-00305,vip,silver,2024-12-13
CL-00306,regular,silver,2025-02-25
CL-00307,regular,silver,2024-03-07
CL-00308,regular,none,2024-05-19
CL-00309,new,silver,2024-02-27
CL-00310,new,none,2025-01-04
CL-00311,regular,none,2025-03-17
CL-00312,regular,none,2024-04-06
CL-00313,new,silver,2025-06-22
CL-00314,regular,none,2024-03-20
CL-00315,regular,none,2025-09-29
CL-00316,new,silver,2025-11-30
CL-00317,regular,none,2025-05-01
CL-00318,regular,platinum,2025-02-17
CL-00319,new,none,2025-07-10
CL-00320,sleeping,none,2024-07-08
CL-00321,sleeping,gold,2025-12-01
CL-00322,regular,silver,2025-10-31
CL-00323,new,gold,2025-06-12
CL-00324,regular,silver,2026-01-29
CL-00325,vip,none,2024-08-18
CL-00326,regular,silver,2025-11-02
CL-00327,vip,silver,2024-01-26
CL-00328,regular,silver,2025-07-22
CL-00329,regular,none,2024-08-07
CL-00330,new,none,2026-01-01
CL-00331,regular,none,2025-03-07
CL-00332,new,gold,2024-05-30
CL-00333,regular,none,2024-08-27
CL-00334,vip,platinum,2025-10-29
CL-00335,new,none,2025-09-03
CL-00336,regular,silver,2024-09-29
CL-00337,new,none,2024-07-18
CL-00338,regular,silver,2024-01-25
CL-00339,new,gold,2024-04-03
CL-00340,sleeping,silver,2024-01-25
CL-00341,new,none,2024-09-07
CL-00342,sleeping,silver,2024-05-22
CL-00343,vip,none,2024-01-16
CL-00344,regular,silver,2025-08-15
CL-00345,regular,silver,2025-10-30
CL-00346,regular,none,2025-11-12
CL-00347,sleeping,silver,2025-09-27
CL-00348,new,silver,2024-04-07
CL-00349,regular,none,2024-05-04
CL-00350,new,none,2025-10-04
CL-00351,regular,silver,2024-01-12
CL-00352,new,gold,2025-07-28
CL-00353,regular,silver,2024-04-05
CL-00354,regular,silver,2024-02-09
CL-00355,regular,none,2025-08-16
CL-00356,regular,none,2025-07-09
CL-00357,regular,none,2024-03-05
CL-00358,regular,none,2024-01-30
CL-00359,regular,none,2025-11-02
CL-00360,regular,none,2024-07-18
CL-00361,sleeping,silver,2026-01-06
CL-00362,new,silver,2025-02-07
CL-00363,new,none,2026-01-13
CL-00364,new,silver,2025-11-22
CL-00365,regular,none,2025-04-13
CL-00366,regular,none,2024-03-21
CL-00367,regular,platinum,2025-11-12
CL-00368,regular,silver,2024-09-21
CL-00369,new,none,2024-07-10
CL-00370,sleeping,none,2025-03-14
CL-00371,regular,silver,2024-09-28
CL-00372,new,none,2025-07-16
CL-00373,regular,platinum,2024-07-20
CL-00374,new,silver,2025-11-26
CL-00375,new,none,2024-03-16
CL-00376,new,silver,2024-12-22
CL-00377,sleeping,silver,2025-12-30
CL-00378,regular,silver,2025-10-01
CL-00379,regular,gold,2025-09-15
CL-00380,regular,gold,2025-04-13
CL-00381,regular,none,2025-03-08
CL-00382,sleeping,none,2024-06-04
CL-00383,regular,none,2024-08-14
CL-00384,regular,silver,2025-03-16
CL-00385,regular,silver,2024-08-21
CL-00386,sleeping,none,2024-08-26
CL-00387,regular,platinum,2025-05-31
CL-00388,sleeping,none,2025-06-18
CL-00389,new,gold,2025-01-12
CL-00390,vip,gold,2024-08-04
CL-00391,regular,none,2024-05-13
CL-00392,new,none,2024-07-18
CL-00393,regular,none,2024-09-07
CL-00394,regular,gold,2025-12-19
CL-00395,new,none,2024-09-02
CL-00396,regular,gold,2025-11-21
CL-00397,vip,silver,2025-02-13
CL-00398,new,silver,2024-12-09
CL-00399,regular,gold,2024-07-22
CL-00400,regular,silver,2025-08-04
CL-00401,new,silver,2025-10-02
CL-00402,sleeping,silver,2026-01-16
CL-00403,regular,none,2025-09-15
CL-00404,new,none,2024-03-08
CL-00405,sleeping,none,2025-10-30
CL-00406,vip,silver,2025-04-05
CL-00407,new,none,2025-01-24
CL-00408,vip,silver,2024-07-11
CL-00409,new,none,2025-01-19
CL-00410,sleeping,silver,2025-08-31
CL-00411,regular,gold,2025-03-23
CL-00412,regular,silver,2024-03-18
CL-00413,new,platinum,2025-07-28
CL-00414,sleeping,none,2025-08-22
CL-00415,new,none,2025-05-25
CL-00416,new,silver,2024-06-01
CL-00417,new,none,2024-08-12
CL-00418,regular,silver,2024-12-12
CL-00419,new,gold,2025-10-22
CL-00420,sleeping,none,2025-09-10
CL-00421,regular,gold,2024-03-13
CL-00422,new,none,2024-02-21
CL-00423,new,silver,2024-02-07
CL-00424,new,none,2025-12-06
CL-00425,regular,silver,2025-10-18
CL-00426,vip,none,2024-06-14
CL-00427,new,platinum,2025-11-27
CL-00428,vip,platinum,2025-01-15
CL-00429,new,silver,2024-08-26
CL-00430,vip,silver,2025-07-12
CL-00431,sleeping,silver,2024-02-22
CL-00432,regular,silver,2024-04-03
CL-00433,regular,silver,2024-07-13
CL-00434,vip,silver,2025-04-07
CL-00435,new,gold,2025-09-29
CL-00436,new,silver,2025-01-26
CL-00437,new,none,2024-11-30
CL-00438,regular,gold,2025-03-21
CL-00439,regular,none,2024-01-09
CL-00440,regular,none,2025-05-18
CL-00441,vip,platinum,2025-09-03
CL-00442,new,none,2024-11-15
CL-00443,regular,none,2025-05-07
CL-00444,new,silver,2024-08-15
CL-00445,new,gold,2025-12-12
CL-00446,regular,none,2024-05-19
CL-00447,sleeping,silver,2024-04-14
CL-00448,regular,none,2025-12-14
CL-00449,new,silver,2025-01-20
CL-00450,regular,none,2024-11-01
CL-00451,new,none,2025-09-12
CL-00452,sleeping,platinum,2024-08-02
CL-00453,regular,silver,2024-08-12
CL-00454,new,gold,2024-02-09
CL-00455,new,gold,2025-01-28
CL-00456,new,platinum,2025-07-24
CL-00457,sleeping,silver,2026-01-19
CL-00458,regular,none,2025-02-05
CL-00459,regular,gold,2024-02-26
CL-00460,regular,silver,2024-05-25
CL-00461,regular,none,2024-08-01
CL-00462,new,none,2025-11-09
CL-00463,sleeping,none,2025-03-17
CL-00464,new,silver,2025-12-10
CL-00465,regular,gold,2025-10-03
CL-00466,regular,silver,2025-10-31
CL-00467,regular,none,2024-07-31
CL-00468,sleeping,none,2025-03-02
CL-00469,new,gold,2024-02-15
CL-00470,regular,silver,2024-10-10
CL-00471,regular,silver,2024-08-25
CL-00472,regular,gold,2024-05-03
CL-00473,new,gold,2024-02-16
CL-00474,new,silver,2024-10-13
CL-00475,new,silver,2024-02-23
CL-00476,new,none,2025-04-10
CL-00477,regular,platinum,2024-07-29
CL-00478,regular,silver,2024-06-21
CL-00479,regular,silver,2024-03-25
CL-00480,regular,none,2024-12-18
CL-00481,regular,silver,2024-05-08
CL-00482,new,none,2025-03-11
CL-00483,regular,silver,2026-01-19
CL-00484,new,silver,2025-07-09
CL-00485,new,gold,2024-03-29
CL-00486,regular,none,2024-03-10
CL-00487,regular,gold,2025-10-27
CL-00488,new,none,2025-10-20
CL-00489,regular,silver,2024-10-02
CL-00490,regular,none,2024-12-12
CL-00491,regular,none,2024-10-13
CL-00492,regular,gold,2025-03-18
CL-00493,regular,none,2024-06-07
CL-00494,new,gold,2025-12-15
CL-00495,regular,none,2024-11-02
CL-00496,regular,silver,2024-05-07
CL-00497,regular,none,2024-08-16
CL-00498,regular,silver,2025-11-03
CL-00499,regular,gold,2024-08-07
CL-00500,regular,silver,2025-09-03
CL-00501,regular,none,2025-08-05
CL-00502,sleeping,gold,2026-01-25
CL-00503,sleeping,silver,2024-04-26
CL-00504,regular,none,2024-10-25
CL-00505,regular,silver,2025-10-01
CL-00506,regular,silver,2024-04-06
CL-00507,new,gold,2024-01-27
CL-00508,vip,none,2024-01-11
CL-00509,regular,silver,2024-03-03
CL-00510,new,platinum,2025-08-25
CL-00511,new,silver,2024-09-22
CL-00512,vip,silver,2024-04-13
CL-00513,new,platinum,2025-06-18
CL-00514,new,none,2024-08-20
CL-00515,new,none,2024-04-15
CL-00516,new,gold,2026-01-20
CL-00517,new,silver,2025-03-19
CL-00518,regular,platinum,2024-12-01
CL-00519,new,silver,2025-12-01
CL-00520,vip,none,2024-06-24
CL-00521,vip,none,2025-03-24
CL-00522,regular,none,2025-07-26
CL-00523,new,gold,2024-01-05
CL-00524,regular,none,2024-07-25
CL-00525,new,silver,2024-03-13
CL-00526,regular,silver,2025-02-07
CL-00527,sleeping,none,2025-06-01
CL-00528,sleeping,none,2024-04-29
CL-00529,regular,silver,2024-04-17
CL-00530,new,none,2024-12-16
CL-00531,regular,platinum,2024-10-28
CL-00532,regular,gold,2024-03-23
CL-00533,regular,none,2025-06-01
CL-00534,regular,gold,2025-08-10
CL-00535,new,none,2024-11-21
CL-00536,new,none,2024-10-04
CL-00537,regular,none,2024-05-01
CL-00538,new,gold,2024-08-30
CL-00539,new,silver,2025-01-20
CL-00540,vip,none,2026-01-25
CL-00541,sleeping,silver,2024-05-21
CL-00542,regular,silver,2025-09-22
CL-00543,vip,silver,2025-01-16
CL-00544,sleeping,silver,2025-02-24
CL-00545,new,gold,2024-08-16
CL-00546,regular,silver,2025-12-18
CL-00547,regular,none,2024-02-18
CL-00548,new,gold,2024-06-09
CL-00549,regular,none,2024-08-28
CL-00550,regular,silver,2025-03-11
CL-00551,regular,silver,2024-11-17
CL-00552,new,none,2025-12-07
CL-00553,new,none,2024-05-20
CL-00554,sleeping,silver,2025-03-08
CL-00555,new,gold,2025-01-03
CL-00556,new,gold,2024-08-22
CL-00557,new,silver,2024-01-18
CL-00558,regular,none,2025-09-08
CL-00559,regular,none,2024-06-01
CL-00560,regular,gold,2024-04-15
CL-00561,new,silver,2025-03-09
CL-00562,new,silver,2024-04-25
CL-00563,vip,none,2025-04-30
CL-00564,regular,none,2025-07-09
CL-00565,regular,silver,2024-06-23
CL-00566,regular,silver,2024-02-22
CL-00567,regular,silver,2024-03-14
CL-00568,new,none,2024-02-08
CL-00569,regular,gold,2025-01-03
CL-00570,regular,silver,2024-10-15
CL-00571,new,gold,2025-08-14
CL-00572,vip,silver,2024-10-29
CL-00573,regular,silver,2025-05-09
CL-00574,regular,silver,2024-12-22
CL-00575,vip,silver,2024-11-21
CL-00576,regular,silver,2025-07-16
CL-00577,sleeping,silver,2025-01-21
CL-00578,regular,none,2025-03-08
CL-00579,vip,gold,2024-12-08
CL-00580,new,none,2025-06-26
CL-00581,regular,none,2024-08-19
CL-00582,regular,gold,2024-02-07
CL-00583,new,none,2024-11-17
CL-00584,regular,platinum,2024-08-27
CL-00585,sleeping,silver,2025-11-12
CL-00586,regular,none,2026-01-04
CL-00587,new,none,2024-06-14
CL-00588,new,none,2024-11-21
CL-00589,new,none,2024-11-24
CL-00590,new,none,2024-06-18
CL-00591,sleeping,none,2024-01-08
CL-00592,regular,none,2026-01-23
CL-00593,new,silver,2025-05-10
CL-00594,regular,none,2024-11-08
CL-00595,new,none,2024-05-19
CL-00596,new,none,2024-12-29
CL-00597,regular,none,2024-07-26
CL-00598,regular,none,2024-06-19
CL-00599,sleeping,none,2025-12-28
CL-00600,regular,none,2025-05-13
CL-00601,regular,gold,2024-08-22
CL-00602,regular,none,2024-06-06
CL-00603,sleeping,none,2025-08-07
CL-00604,regular,silver,2025-04-08
CL-00605,sleeping,silver,2025-10-11
CL-00606,regular,none,2025-07-29
CL-00607,vip,gold,2024-11-01
CL-00608,new,silver,2025-05-10
CL-00609,regular,platinum,2024-10-16
CL-00610,regular,platinum,2024-03-09
CL-00611,regular,silver,2024-01-25
CL-00612,regular,silver,2024-03-01
CL-00613,sleeping,silver,2025-11-29
CL-00614,sleeping,gold,2025-10-02
CL-00615,new,silver,2024-10-24
CL-00616,regular,none,2025-11-18
CL-00617,regular,none,2025-07-14
CL-00618,new,silver,2024-04-13
CL-00619,new,silver,2024-06-20
CL-00620,new,gold,2024-10-12
CL-00621,regular,none,2025-09-03
CL-00622,regular,gold,2025-05-12
CL-00623,sleeping,none,2024-10-25
CL-00624,regular,silver,2025-09-26
CL-00625,sleeping,none,2024-09-04
CL-00626,regular,none,2025-11-21
CL-00627,regular,silver,2025-07-02
CL-00628,new,none,2025-06-14
CL-00629,regular,none,2024-03-07
CL-00630,vip,gold,2024-04-22
CL-00631,sleeping,none,2026-01-17
CL-00632,vip,silver,2025-08-06
CL-00633,new,silver,2024-07-14
CL-00634,regular,none,2025-10-14
CL-00635,new,gold,2024-08-22
CL-00636,new,gold,2024-09-23
CL-00637,regular,gold,2024-08-19
CL-00638,regular,gold,2025-01-10
CL-00639,regular,silver,2025-08-01
CL-00640,vip,platinum,2024-05-06
CL-00641,regular,none,2026-01-05
CL-00642,vip,none,2024-08-19
CL-00643,new,silver,2026-01-06
CL-00644,new,none,2025-10-23
CL-00645,regular,silver,2025-02-20
CL-00646,vip,none,2024-03-08
CL-00647,new,none,2025-03-12
CL-00648,regular,gold,2025-08-02
CL-00649,regular,none,2026-01-16
CL-00650,new,none,2024-03-15
CL-00651,regular,silver,2025-07-19
CL-00652,sleeping,gold,2024-08-10
CL-00653,regular,gold,2025-07-23
CL-00654,new,none,2025-03-18
CL-00655,vip,gold,2025-10-20
CL-00656,new,silver,2024-01-03
CL-00657,vip,gold,2025-01-19
CL-00658,new,none,2025-05-28
CL-00659,regular,none,2024-10-15
CL-00660,regular,silver,2024-08-28
CL-00661,new,silver,2024-09-05
CL-00662,sleeping,none,2025-07-22
CL-00663,new,silver,2024-06-06
CL-00664,new,silver,2026-01-11
CL-00665,new,none,2024-06-07
CL-00666,regular,silver,2024-11-12
CL-00667,vip,none,2026-01-24
CL-00668,sleeping,gold,2024-01-23
CL-00669,new,silver,2024-09-12
CL-00670,regular,silver,2025-10-07
CL-00671,new,platinum,2024-08-28
CL-00672,regular,silver,2024-07-27
CL-00673,sleeping,none,2024-01-01
CL-00674,regular,silver,2024-04-22
CL-00675,regular,platinum,2024-05-28
CL-00676,regular,none,2025-10-30
CL-00677,sleeping,silver,2025-02-19
CL-00678,regular,none,2024-06-25
CL-00679,new,gold,2025-09-07
CL-00680,regular,silver,2025-04-05
CL-00681,new,platinum,2024-08-27
CL-00682,new,silver,2024-07-12
CL-00683,new,none,2024-06-16
CL-00684,regular,silver,2025-06-25
CL-00685,regular,gold,2025-06-28
CL-00686,new,none,2025-05-08
CL-00687,regular,none,2024-12-05
CL-00688,sleeping,silver,2025-01-21
CL-00689,regular,silver,2025-11-13
CL-00690,regular,none,2025-02-25
CL-00691,new,none,2025-04-11
CL-00692,sleeping,none,2024-06-21
CL-00693,new,silver,2024-12-12
CL-00694,new,silver,2024-01-17
CL-00695,sleeping,silver,2024-12-16
CL-00696,regular,gold,2025-08-31
CL-00697,regular,none,2025-05-24
CL-00698,regular,silver,2025-11-06
CL-00699,regular,none,2024-09-15
CL-00700,new,silver,2025-08-14
CL-00701,new,silver,2025-07-10
CL-00702,new,silver,2025-06-22
CL-00703,new,platinum,2025-08-30
CL-00704,vip,none,2024-12-24
CL-00705,new,none,2024-09-16
CL-00706,regular,silver,2025-03-19
CL-00707,regular,silver,2024-10-19
CL-00708,regular,none,2025-06-09
CL-00709,regular,gold,2025-10-20
CL-00710,regular,gold,2024-01-20
CL-00711,sleeping,silver,2025-04-16
CL-00712,regular,silver,2024-11-17
CL-00713,vip,none,2024-03-20
CL-00714,sleeping,silver,2024-06-19
CL-00715,regular,silver,2025-09-19
CL-00716,new,gold,2024-10-03
CL-00717,regular,silver,2024-03-07
CL-00718,new,none,2025-07-23
CL-00719,regular,none,2024-06-29
CL-00720,sleeping,none,2024-10-03
CL-00721,regular,platinum,2024-05-29
CL-00722,regular,gold,2025-07-15
CL-00723,new,gold,2025-11-28
CL-00724,sleeping,gold,2026-01-08
CL-00725,new,none,2024-02-26
CL-00726,new,silver,2025-12-02
CL-00727,new,silver,2025-04-27
CL-00728,new,none,2025-09-21
CL-00729,regular,silver,2024-02-27
CL-00730,regular,silver,2025-10-10
CL-00731,new,gold,2024-09-06
CL-00732,new,none,2024-10-26
CL-00733,new,gold,2025-11-11
CL-00734,regular,gold,2025-07-10
CL-00735,new,gold,2025-01-24
CL-00736,regular,none,2025-05-21
CL-00737,new,none,2024-09-27
CL-00738,new,silver,2026-01-16
CL-00739,regular,none,2024-02-23
CL-00740,regular,none,2025-03-12
CL-00741,new,gold,2024-02-03
CL-00742,new,none,2024-11-22
CL-00743,vip,silver,2025-01-21
CL-00744,new,platinum,2025-09-28
CL-00745,regular,silver,2025-12-14
CL-00746,regular,gold,2025-07-23
CL-00747,new,silver,2026-01-02
CL-00748,regular,none,2024-04-04
CL-00749,regular,none,2025-02-03
CL-00750,vip,none,2025-03-29
CL-00751,new,none,2024-02-28
CL-00752,new,gold,2025-03-26
CL-00753,new,gold,2024-02-02
