order_id,order_date,client_id,product_id,region,channel,quantity,discount,delivery_days,unit_price,revenue,rating,is_returned,category
ORD-0000100,2026-04-07,CL-09155,PR-0203,Краснодар,marketplace,2,0.04,3,2279.5,4383.68,,0,Товары для дома
ORD-0000101,2026-01-06,CL-13252,PR-0542,Казань,mobile_app,4,0.07,6,2382.39,8859.68,4.9,0,Одежда
ORD-0000102,2026-05-14,CL-07063,PR-0435,Воронеж,offline,2,0.07,3,15370.31,28513.48,4.4,0,Бытовая техника
ORD-0000103,2026-02-03,CL-06219,PR-0374,Самара,online,6,0.07,5,4383.34,24513.25,4.2,0,Электроника
ORD-0000104,2026-04-08,CL-09290,PR-0184,Москва,mobile_app,5,0.05,6,2896.99,13794.68,,0,Электроника
ORD-0000105,2026-04-07,CL-17079,PR-0305,Казань,online,3,0.0,4,6913.04,20739.12,3.8,0,Спорт
ORD-0000106,2026-01-17,CL-15120,PR-0487,Краснодар,marketplace,2,0.09,5,1829.33,3337.1,4.5,0,Косметика
ORD-0000107,2026-02-21,CL-09725,PR-0186,Санкт-Петербург,online,3,0.07,2,9310.22,25979.76,4.0,1,Электроника
ORD-0000108,2026-02-20,CL-17027,PR-0290,Санкт-Петербург,offline,4,0.14,4,15715.72,54173.85,4.0,0,Бытовая техника
ORD-0000109,2026-02-06,CL-09307,PR-0472,Нижний Новгород,online,3,0.06,5,6033.4,17091.6,4.8,0,Электроника
ORD-0000110,2026-03-13,CL-00958,PR-0247,Москва,online,2,0.07,3,1089.66,2036.86,4.2,0,Одежда
ORD-0000111,2026-02-22,CL-14789,PR-0616,Москва,online,5,0.0,4,5758.36,28791.81,4.5,0,Электроника
ORD-0000112,2026-04-13,CL-04896,PR-0191,Воронеж,marketplace,5,0.14,4,2143.51,9256.11,4.7,0,Товары для дома
ORD-0000113,2026-01-12,CL-09266,PR-0486,Самара,online,5,0.14,5,17066.17,73486.77,4.5,0,Бытовая техника
ORD-0000114,2026-01-31,CL-16608,PR-0433,,online,2,0.07,3,1755.29,3265.62,4.6,0,Товары для дома
ORD-0000115,2026-04-03,CL-12662,PR-0382,Самара,marketplace,2,0.12,5,2664.65,4692.25,4.3,0,Косметика
ORD-0000116,2026-03-02,CL-11355,PR-0209,Екатеринбург,online,2,0.21,2,3829.81,6014.31,3.9,0,Бытовая техника
ORD-0000117,2026-03-16,CL-15000,PR-0138,Новосибирск,offline,1,0.25,4,14611.84,11019.46,3.1,0,Электроника
ORD-0000118,2026-01-12,CL-12838,PR-0113,Москва,online,2,0.23,4,15108.99,23376.1,4.7,0,Бытовая техника
ORD-0000119,2026-02-15,CL-07492,PR-0549,Москва,offline,3,0.17,6,2128.66,5299.76,4.6,0,Косметика
ORD-0000120,2026-02-28,CL-07515,PR-0438,Москва,marketplace,2,0.08,4,6831.7,12558.5,4.1,0,Электроника
ORD-0000121,2026-01-05,CL-09229,PR-0435,Москва,online,1,0.12,2,17074.01,15087.48,4.8,0,Бытовая техника
ORD-0000122,2026-04-03,CL-02201,PR-0121,Москва,online,2,0.16,4,1504.99,2542.71,4.6,0,Товары для дома
ORD-0000123,2026-01-10,CL-13044,PR-0474,Екатеринбург,mobile_app,3,0.0,3,3882.33,11646.99,3.8,0,Одежда
ORD-0000124,2026-06-18,CL-06904,PR-0241,Москва,online,1,0.03,3,1852.92,1791.06,4.9,0,Косметика
ORD-0000125,2026-01-08,CL-06550,PR-0142,Ростов-на-Дону,offline,6,0.0,8,1544.69,9268.16,4.4,0,Косметика
ORD-0000126,2026-02-01,CL-00952,PR-0425,Санкт-Петербург,marketplace,3,0.19,5,8130.86,19717.61,4.5,0,Электроника
ORD-0000127,2026-04-04,CL-03469,PR-0268,Самара,offline,3,0.04,4,14783.79,42629.52,4.2,0,Электроника
ORD-0000128,2026-01-05,CL-02431,PR-0217,Москва,online,2,0.15,2,2268.36,3845.36,4.9,0,Товары для дома
ORD-0000129,2026-04-23,CL-15680,PR-0056,Санкт-Петербург,marketplace,3,0.12,3,17831.06,47182.15,4.4,0,Бытовая техника
ORD-0000130,2026-03-09,CL-10071,PR-0376,Санкт-Петербург,online,3,0.12,5,3768.95,9956.86,4.9,1,Одежда
ORD-0000131,2026-01-04,CL-04790,PR-0130,Казань,marketplace,1,0.09,2,3384.49,3086.49,4.5,0,Одежда
ORD-0000132,2026-04-20,CL-08796,PR-0305,Москва,online,5,0.02,2,5234.14,25745.92,4.6,0,Спорт
ORD-0000133,2026-01-14,CL-15183,PR-0105,Новосибирск,mobile_app,3,0.15,5,252.17,640.8,4.1,0,Бытовая техника
ORD-0000134,2026-04-20,CL-06486,PR-0258,Москва,mobile_app,3,0.05,7,2301.6,6551.4,4.8,0,Товары для дома
ORD-0000135,2026-04-30,CL-13329,PR-0074,Москва,marketplace,2,0.23,6,3396.72,5262.69,4.5,0,Спорт
ORD-0000136,2026-03-04,CL-11008,PR-0437,Екатеринбург,offline,4,0.17,3,1183.51,3933.6,4.5,0,Косметика
ORD-0000137,2026-04-20,CL-13600,PR-0644,Москва,online,5,0.15,5,9346.46,39953.39,4.7,0,Электроника
ORD-0000138,2026-01-07,CL-10969,PR-0319,Новосибирск,marketplace,4,0.21,6,1993.19,6282.8,4.1,0,Одежда
ORD-0000139,2026-06-06,CL-17748,PR-0191,Нижний Новгород,offline,1,0.03,4,1964.74,1909.79,4.2,0,Товары для дома
ORD-0000140,2026-06-15,CL-12640,PR-0045,Нижний Новгород,offline,2,0.08,1,8716.61,16019.5,4.9,0,Электроника
ORD-0000141,2026-01-31,CL-05965,PR-0425,Краснодар,marketplace,2,0.11,3,8047.17,14322.97,4.6,0,Электроника
ORD-0000142,2026-04-01,CL-06716,PR-0617,Ростов-на-Дону,offline,3,0.14,4,5450.72,14039.66,4.3,0,Спорт
ORD-0000143,2026-03-16,CL-14446,PR-0506,Москва,marketplace,4,0.08,3,12298.67,45457.78,4.0,0,Бытовая техника
ORD-0000144,2026-05-20,CL-12673,PR-0108,Екатеринбург,mobile_app,2,0.08,3,10453.24,19146.56,4.4,0,Бытовая техника
ORD-0000145,2026-02-08,CL-04178,PR-0397,Нижний Новгород,marketplace,2,0.19,4,3230.45,5253.63,4.5,0,Одежда
ORD-0000146,2026-03-13,CL-14472,PR-0230,Санкт-Петербург,online,6,0.25,6,15019.17,67510.3,4.3,0,Электроника
ORD-0000147,2026-03-09,CL-08977,PR-0439,Самара,online,2,0.14,2,3892.58,6722.13,4.3,0,Одежда
ORD-0000148,2026-05-30,CL-17049,PR-0185,Казань,online,3,0.17,6,5751.81,14402.71,4.1,0,Спорт
ORD-0000149,2026-04-04,CL-13286,PR-0169,Новосибирск,mobile_app,4,0.05,4,10634.98,40441.2,4.3,0,Бытовая техника
ORD-0000150,2026-05-22,CL-01925,PR-0444,Москва,online,1,0.08,2,2499.01,2310.32,4.5,0,Косметика
ORD-0000151,2026-01-14,CL-01581,PR-0085,Екатеринбург,marketplace,6,0.22,6,2451.97,11466.76,4.1,0,Спорт
ORD-0000152,2026-01-18,CL-13145,PR-0284,Ростов-на-Дону,mobile_app,2,0.07,2,2927.72,5453.82,4.8,0,Одежда
ORD-0000153,2026-06-20,CL-09922,PR-0476,Москва,online,3,0.05,2,4549.07,12915.24,4.4,0,Одежда
ORD-0000154,2026-01-10,CL-02157,PR-0247,Москва,online,2,0.14,7,1262.7,2161.03,4.0,0,Одежда
ORD-0000155,2026-05-01,CL-03714,PR-0233,Краснодар,online,3,0.22,5,2968.76,6951.96,,1,Косметика
ORD-0000156,2026-01-27,CL-07334,PR-0553,Екатеринбург,marketplace,4,0.04,5,2222.03,8562.18,4.6,0,Одежда
ORD-0000157,2026-04-04,CL-17793,PR-0638,Екатеринбург,online,4,0.1,2,1970.92,7078.85,4.5,0,Косметика
ORD-0000158,2026-05-29,CL-08224,PR-0641,Казань,offline,5,0.12,2,2635.44,11600.84,4.5,0,Товары для дома
ORD-0000159,2026-03-27,CL-15358,PR-0338,Ростов-на-Дону,offline,3,0.1,5,9785.02,26329.62,4.2,0,Электроника
ORD-0000160,2026-02-18,CL-01161,PR-0315,Москва,mobile_app,4,0.06,5,3879.12,14639.77,4.8,0,Спорт
ORD-0000161,2026-01-30,CL-11739,PR-0076,Нижний Новгород,offline,4,0.17,2,2175.63,7234.3,4.3,0,Товары для дома
ORD-0000162,2026-03-13,CL-07811,PR-0258,Самара,marketplace,1,0.12,4,2545.16,2231.08,4.7,0,Товары для дома
ORD-0000163,2026-06-19,CL-06559,PR-0364,Ростов-на-Дону,online,4,0.23,3,3974.56,12311.1,4.9,1,Спорт
ORD-0000164,2026-04-15,CL-04870,PR-0553,Самара,online,1,0.06,7,2437.49,2288.04,4.5,0,Одежда
ORD-0000165,2026-03-25,CL-15605,PR-0631,Казань,online,3,0.12,2,3419.43,9034.78,4.6,0,Одежда
ORD-0000166,2026-04-28,CL-05745,PR-0517,Екатеринбург,online,6,0.2,4,3642.6,17434.88,3.8,0,Одежда
ORD-0000167,2026-04-06,CL-17893,PR-0322,Краснодар,ONLINE ,4,0.22,3,15749.0,48973.31,4.2,0,Бытовая техника
ORD-0000168,2026-03-18,CL-09949,PR-0129,Ростов-на-Дону,online,2,0.17,8,8850.33,14677.57,4.1,0,Бытовая техника
ORD-0000169,2026-01-30,CL-13279,PR-0245,Москва,online,5,0.23,3,1484.2,5729.74,4.5,0,Косметика
ORD-0000170,2026-03-22,CL-12178,PR-0251,Москва,online,3,0.16,4,11341.88,28484.65,5.0,0,Электроника
ORD-0000171,2026-02-18,CL-02690,PR-0026,Москва,online,4,0.08,7,3889.65,14309.7,4.0,0,Одежда
ORD-0000172,2026-03-01,CL-15809,PR-0003,Москва,marketplace,2,0.12,5,10333.53,18102.99,4.4,0,Бытовая техника
ORD-0000173,2026-02-24,CL-11436,PR-0251,Москва,marketplace,2,0.15,4,11700.31,19944.3,4.1,0,Электроника
ORD-0000174,2026-01-17,CL-13137,PR-0301,Самара,marketplace,3,0.08,4,18915.64,52161.01,4.2,0,Бытовая техника
ORD-0000175,2026-04-04,CL-10340,PR-0248,Казань,marketplace,3,0.0,6,3877.72,11633.17,4.8,0,Одежда
ORD-0000176,2026-01-27,CL-13980,PR-0550,Воронеж,offline,5,0.18,4,982.04,4016.72,4.5,1,Косметика
ORD-0000177,2026-03-15,CL-07906,PR-0415,Казань,marketplace,3,0.26,6,7319.55,16324.11,4.0,0,Спорт
ORD-0000178,2026-06-10,CL-13665,PR-0641,Москва,offline,4,0.07,2,2884.41,10709.68,4.5,0,Товары для дома
ORD-0000179,2026-06-02,CL-17112,PR-0637,Москва,online,1,0.06,3,1448.75,1364.55,4.4,0,Косметика
ORD-0000180,2026-06-25,CL-01679,PR-0166,Ростов-на-Дону,online,2,0.05,5,3024.45,5745.86,4.7,1,Одежда
ORD-0000181,2026-01-27,CL-00516,PR-0041,Краснодар,online,2,0.11,3,3521.8,6295.29,4.3,0,Товары для дома
ORD-0000182,2026-05-29,CL-06531,PR-0366,Москва,online,2,0.03,7,12440.51,24252.0,4.2,1,Электроника
ORD-0000183,2026-05-27,CL-00662,PR-0099,Воронеж,online,2,0.09,8,2378.09,4314.2,4.0,0,Косметика
ORD-0000184,2026-02-25,CL-10106,PR-0335,Москва,online,2,0.03,3,2354.75,4555.58,,0,Товары для дома
ORD-0000185,2026-03-07,CL-17154,PR-0074,Москва,marketplace,2,0.17,6,3830.64,6363.96,3.9,0,Спорт
ORD-0000186,2026-02-02,CL-07258,PR-0354,Нижний Новгород,mobile_app,2,0.18,4,2891.16,4761.3,3.8,0,Одежда
ORD-0000187,2026-06-23,CL-11630,PR-0229,Самара,marketplace,5,0.04,2,8443.78,40404.69,4.4,0,Электроника
ORD-0000188,2026-04-02,CL-14866,PR-0003,Санкт-Петербург,marketplace,4,0.06,4,11411.45,42777.15,4.1,0,Бытовая техника
ORD-0000189,2026-02-21,CL-01164,PR-0159,Краснодар,marketplace,3,0.14,5,12221.09,31566.81,3.7,0,Бытовая техника
ORD-0000190,2026-01-18,CL-09413,PR-0542,Санкт-Петербург,online,1,0.08,5,2418.69,2236.59,4.3,0,Одежда
ORD-0000191,2026-04-01,CL-10498,PR-0517,Санкт-Петербург,online,2,0.03,5,3335.95,6489.54,4.0,0,Одежда
ORD-0000192,2026-06-14,CL-01070,PR-0111,Казань,online,5,0.12,5,1795.06,7933.33,4.1,0,Спорт
ORD-0000193,2026-03-10,CL-13831,PR-0358,Новосибирск,marketplace,3,0.13,3,15012.6,39316.92,4.6,0,Бытовая техника
ORD-0000194,2026-05-19,CL-03035,PR-0052,Краснодар,online,3,0.11,4,2486.48,6645.62,4.6,0,Одежда
ORD-0000195,2026-03-02,CL-06887,PR-0054,Москва,online,2,0.07,9,2197.78,4095.63,4.2,0,Товары для дома
ORD-0000196,2026-06-25,CL-14324,PR-0346,Москва,online,1,0.03,4,13812.84,13342.82,4.7,0,Бытовая техника
ORD-0000197,2026-04-25,CL-13045,PR-0500,Краснодар,offline,6,0.0,3,12888.39,76967.58,4.4,0,Бытовая техника
ORD-0000198,2026-06-04,CL-15630,PR-0596,Новосибирск,marketplace,2,0.14,1,2293.07,3923.12,4.1,0,Товары для дома
ORD-0000199,2026-04-19,CL-13046,PR-0024,Самара,online,2,0.1,7,2482.32,4447.58,4.6,0,Одежда
ORD-0000200,2026-03-15,CL-17939,PR-0309,Санкт-Петербург,marketplace,3,0.17,2,11767.54,29398.46,4.6,0,Бытовая техника
ORD-0000201,2026-01-09,CL-06640,PR-0341,Москва,marketplace,1,0.1,4,2363.87,2136.38,4.2,0,Товары для дома
ORD-0000202,2026-02-26,CL-13851,PR-0400,Екатеринбург,online,2,0.11,2,3519.75,6286.99,5.0,0,Одежда
ORD-0000203,2026-02-10,CL-05714,PR-0359,Москва,marketplace,1,0.16,3,3422.06,2858.94,4.2,0,Товары для дома
ORD-0000204,2026-05-31,CL-13924,PR-0549,Нижний Новгород,online,2,0.15,2,2114.58,3606.17,4.8,0,Косметика
ORD-0000205,2026-04-13,CL-17073,PR-0487,Санкт-Петербург,marketplace,4,0.16,5,1762.8,5923.72,3.9,0,Косметика
ORD-0000206,2026-04-16,CL-06175,PR-0137,Москва,offline,3,0.12,10,3543.4,9364.76,4.0,0,Товары для дома
ORD-0000207,2026-06-25,CL-07324,PR-0109,Казань,marketplace,3,0.13,6,5214.42,13655.59,4.0,0,Одежда
ORD-0000208,2026-06-08,CL-12414,PR-0280,Самара,marketplace,2,0.18,4,2719.19,4448.12,4.4,0,Одежда
ORD-0000209,2026-05-01,CL-12554,PR-0612,Нижний Новгород,mobile_app,3,0.09,3,4383.29,11980.01,4.6,0,Одежда
